actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
25,PT10M07.00S,2022-06-17T01:10:45.4Z,1,REGULAR,2pt,Jump Shot,[],203952,25.57490144546649,43.38235294117647,1610612744,6,2,2022-06-17T01:10:50Z,250000,33.0,188.0,1,left,MISS A. Wiggins 19' step back Shot,[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,,,,,,Missed,,19.08,,,,,,,,,,,,
26,PT10M04.00S,2022-06-17T01:10:48.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,2,2022-06-17T01:10:50Z,260000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,
27,PT09M55.00S,2022-06-17T01:10:57.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,65.39093298291722,37.745098039215684,1610612738,9,2,2022-06-17T01:11:01Z,270000,-61.0,273.0,1,right,J. Brown 27' 3PT  (5 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Made,5.0,27.96,M. Smart,203935.0,1.0,,,,,,,,,
29,PT09M37.00S,2022-06-17T01:11:16.7Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,9,2,2022-06-17T01:11:20Z,290000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 201143]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,1.0,Horford,201143.0,,
30,PT09M37.00S,2022-06-17T01:11:16.7Z,1,REGULAR,steal,,[],201143,,,1610612738,9,2,2022-06-17T01:11:18Z,300000,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M27.00S,2022-06-17T01:11:26.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,71.30420499342969,24.019607843137255,1610612738,12,2,2022-06-17T01:11:30Z,310000,-130.0,217.0,1,right,J. Tatum 25' 3PT  (3 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Made,3.0,25.31,M. Smart,203935.0,2.0,,,,,,,,,
33,PT09M25.00S,2022-06-17T01:11:33.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,12,2,2022-06-17T01:11:33Z,330000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M12.00S,2022-06-17T01:15:44.3Z,1,REGULAR,3pt,Jump Shot,[],202691,27.94021024967148,22.794117647058822,1610612744,12,2,2022-06-17T01:15:49Z,350000,136.0,210.0,1,left,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,Missed,,25.03,,,,,,,,,,,,
36,PT09M09.00S,2022-06-17T01:15:47.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,12,2,2022-06-17T01:15:49Z,360000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,
37,PT08M58.00S,2022-06-17T01:16:00.4Z,1,REGULAR,foul,personal,[],201939,,,1610612738,12,2,2022-06-17T01:16:06Z,370000,,,0,,S. Curry personal FOUL (1 PF),"[201939, 203935]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,2534.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,
39,PT08M57.00S,2022-06-17T01:16:24.3Z,1,REGULAR,foul,personal,[],202691,,,1610612738,12,2,2022-06-17T01:16:33Z,390000,,,0,,K. Thompson personal FOUL (2 PF),"[202691, 203935]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,101284.0,2.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,
41,PT08M45.00S,2022-06-17T01:17:05.1Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,12,2,2022-06-17T01:17:08Z,410000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 203952]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1.0,Wiggins,203952.0,,
42,PT08M45.00S,2022-06-17T01:17:05.1Z,1,REGULAR,steal,,[],203952,,,1610612744,12,2,2022-06-17T01:17:06Z,420000,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M45.00S,2022-06-17T01:17:08.5Z,1,REGULAR,foul,personal,[],1628369,,,1610612744,12,2,2022-06-17T01:17:18Z,430000,,,0,,J. Tatum take personal FOUL (1 PF),"[1628369, 201939]",1610612738.0,BOS,take,,,Tatum,J. Tatum,,,,,101284.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,
45,PT08M45.00S,2022-06-17T01:17:16.8Z,1,REGULAR,substitution,out,[],1629057,,,1610612744,12,2,2022-06-17T01:17:23Z,450000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M45.00S,2022-06-17T01:17:16.8Z,1,REGULAR,substitution,out,[],203490,,,1610612744,12,2,2022-06-17T01:17:23Z,460000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M45.00S,2022-06-17T01:17:16.8Z,1,REGULAR,substitution,in,[],1628401,,,1610612744,12,2,2022-06-17T01:17:23Z,470000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M45.00S,2022-06-17T01:17:16.8Z,1,REGULAR,substitution,in,[],1626172,,,1610612744,12,2,2022-06-17T01:17:23Z,480000,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M24.00S,2022-06-17T01:17:49.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201939,9.198423127463863,60.56219362745098,1610612744,12,2,2022-06-17T01:18:25Z,490000,-53.0,34.0,1,left,MISS S. Curry 6' driving floating Shot,[201939],1610612744.0,GSW,driving floating,,,Curry,S. Curry,,,,,,,,,,Missed,,6.28,,,,,,,,,,,,
50,PT08M21.00S,2022-06-17T01:17:52.0Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,12,2,2022-06-17T01:17:57Z,500000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,49.0,1.0,0.0,1.0,,,,,
51,PT08M17.00S,2022-06-17T01:17:56.2Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",202691,10.33180026281209,17.892156862745097,1610612744,12,2,2022-06-17T01:18:01Z,510000,161.0,45.0,1,left,MISS K. Thompson 16' turnaround Shot,[202691],1610612744.0,GSW,turnaround,,,Thompson,K. Thompson,,,,,,,,,,Missed,,16.66,,,,,,,,,,,,
52,PT08M13.00S,2022-06-17T01:18:00.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,12,2,2022-06-17T01:18:01Z,520000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,
53,PT08M03.00S,2022-06-17T01:18:10.0Z,1,REGULAR,2pt,Jump Shot,[],1628369,78.0059132720105,31.372549019607842,1610612738,14,2,2022-06-17T01:18:14Z,530000,-93.0,154.0,1,right,J. Tatum 18' step back Jump Shot (5 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,Made,5.0,18.01,,,,,,,,,,,,
54,PT07M48.00S,2022-06-17T01:18:24.8Z,1,REGULAR,3pt,Jump Shot,[],203952,33.98488830486202,58.08823529411765,1610612744,14,5,2022-06-17T01:19:16Z,540000,-40.0,267.0,1,left,A. Wiggins 27' 3PT pullup (3 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,,,,,,Made,3.0,27.0,K. Looney,1626172.0,1.0,,,,,,,,,
56,PT07M32.00S,2022-06-17T01:18:40.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,73.40670170827858,17.401960784313726,1610612738,14,5,2022-06-17T01:18:48Z,560000,-163.0,197.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Missed,,25.61,,,,,,,,,,,,
57,PT07M29.00S,2022-06-17T01:18:43.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,14,5,2022-06-17T01:18:48Z,570000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,56.0,2.0,1.0,1.0,,,,,
58,PT07M17.00S,2022-06-17T01:18:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,18.2161629434954,37.00980392156863,1610612744,14,7,2022-06-17T01:19:00Z,580000,65.0,119.0,1,left,K. Thompson 13' pullup Jump Shot (2 PTS) (D. Green 1 AST),"[202691, 203110]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,,,,,,Made,2.0,13.53,D. Green,203110.0,1.0,,,,,,,,,
60,PT06M56.00S,2022-06-17T01:19:17.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.16688567674113,60.31709558823529,1610612738,14,7,2022-06-17T01:19:22Z,600000,52.0,12.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,Missed,,5.29,,,,,,,,,,,,
61,PT06M55.00S,2022-06-17T01:19:18.3Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,14,7,2022-06-17T01:19:22Z,610000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,60.0,1.0,1.0,0.0,,,,,
62,PT06M48.00S,2022-06-17T01:19:25.8Z,1,REGULAR,3pt,Jump Shot,[],202691,32.802233902759525,33.33333333333333,1610612744,14,7,2022-06-17T01:19:34Z,620000,83.0,256.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,Missed,,26.9,,,,,,,,,,,,
63,PT06M46.00S,2022-06-17T01:19:27.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,14,7,2022-06-17T01:19:34Z,630000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,
64,PT06M35.00S,2022-06-17T01:19:39.9Z,1,REGULAR,foul,personal,[],1626172,,,1610612738,14,7,2022-06-17T01:19:51Z,640000,,,0,,K. Looney personal FOUL (1 PF),"[1626172, 201143]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,2534.0,1.0,0.0,Horford,201143.0,,,,,,,,,,,,,,,
66,PT06M27.00S,2022-06-17T01:20:09.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.54467805519053,31.61764705882353,1610612738,14,7,2022-06-17T01:20:15Z,660000,-92.0,243.0,1,right,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,Missed,,26.0,,,,,,,,,,,,
67,PT06M25.00S,2022-06-17T01:20:11.5Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,14,7,2022-06-17T01:20:15Z,670000,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,
68,PT06M17.00S,2022-06-17T01:20:20.5Z,1,REGULAR,3pt,Jump Shot,[],203110,8.623521681997373,98.0392156862745,1610612744,14,7,2022-06-17T01:20:38Z,680000,-240.0,29.0,1,left,MISS D. Green 24' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,Missed,,24.19,,,,,,,,,,,,
69,PT06M11.00S,2022-06-17T01:20:26.5Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,14,7,2022-06-17T01:23:10Z,690000,,,0,,A. Wiggins REBOUND (Off:1 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,68.0,2.0,1.0,1.0,,,,,
70,PT06M01.00S,2022-06-17T01:20:36.4Z,1,REGULAR,turnover,lost ball,[],203952,,,1610612744,14,7,2022-06-17T01:20:41Z,700000,,,0,,A. Wiggins lost ball TURNOVER (2 TO),"[203952, 203935]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,2.0,Smart,203935.0,,
71,PT06M01.00S,2022-06-17T01:20:36.4Z,1,REGULAR,steal,,[],203935,,,1610612738,14,7,2022-06-17T01:20:38Z,710000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M57.00S,2022-06-17T01:20:40.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628401,94.03745072273325,51.470588235294116,1610612738,16,7,2022-06-17T01:20:47Z,720000,7.0,4.0,1,right,D. White running finger roll Layup (2 PTS) (J. Brown 2 AST),"[1628401, 1627759]",1610612738.0,BOS,running finger roll,,,White,D. White,,,,,,,,,,Made,2.0,0.82,J. Brown,1627759.0,2.0,,,,,,,,,
74,PT05M40.00S,2022-06-17T01:20:57.6Z,1,REGULAR,3pt,Jump Shot,[],202691,24.52365308804205,14.460784313725492,1610612744,16,10,2022-06-17T01:21:15Z,740000,178.0,178.0,1,left,K. Thompson 25' 3PT  (5 PTS) (D. Green 2 AST),"[202691, 203110]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,Made,5.0,25.15,D. Green,203110.0,2.0,,,,,,,,,
76,PT05M24.00S,2022-06-17T01:21:15.8Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,16,10,2022-06-17T01:21:22Z,760000,,,0,,J. Tatum lost ball out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,lost ball,,,Tatum,J. Tatum,,,,,101284.0,,,,,,,,,,,,,,,1.0,,,,
77,PT05M24.00S,2022-06-17T01:21:20.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612744,16,10,2022-06-17T01:21:37Z,770000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M24.00S,2022-06-17T01:21:20.4Z,1,REGULAR,substitution,out,[],201143,,,1610612744,16,10,2022-06-17T01:21:37Z,780000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M24.00S,2022-06-17T01:21:20.4Z,1,REGULAR,substitution,out,[],202691,,,1610612744,16,10,2022-06-17T01:21:37Z,790000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M24.00S,2022-06-17T01:21:20.4Z,1,REGULAR,substitution,in,[],1630202,,,1610612744,16,10,2022-06-17T01:21:37Z,800000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M24.00S,2022-06-17T01:21:20.4Z,1,REGULAR,substitution,in,[],1629057,,,1610612744,16,10,2022-06-17T01:21:37Z,810000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2022-06-17T01:21:20.4Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,16,10,2022-06-17T01:21:37Z,820000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M13.00S,2022-06-17T01:21:47.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,36.48160315374508,28.431372549019606,1610612744,16,10,2022-06-17T01:22:42Z,830000,108.0,290.0,1,left,MISS S. Curry 30' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,,,,,,Missed,,30.98,,,,,,,,,,,,
84,PT05M10.00S,2022-06-17T01:21:50.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,16,10,2022-06-17T01:21:54Z,840000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,
87,PT04M53.00S,2022-06-17T01:22:14.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626172,,,1610612738,16,10,2022-06-17T01:22:20Z,870000,,,0,,K. Looney shooting personal FOUL (2 PF) (Williams III 2 FT),"[1626172, 1629057]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,101284.0,2.0,0.0,Williams III,1629057.0,,,,,,,,,,,,,,,
89,PT04M53.00S,2022-06-17T01:22:37.5Z,1,REGULAR,freethrow,1 of 2,[],1629057,,,1610612738,17,10,2022-06-17T01:22:37Z,890000,,,0,,R. Williams III Free Throw 1 of 2 (1 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
90,PT04M53.00S,2022-06-17T01:22:37.9Z,1,REGULAR,substitution,out,[],203952,,,1610612738,17,10,2022-06-17T01:22:49Z,900000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M53.00S,2022-06-17T01:22:37.9Z,1,REGULAR,substitution,out,[],203110,,,1610612738,17,10,2022-06-17T01:22:49Z,910000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M53.00S,2022-06-17T01:22:37.9Z,1,REGULAR,substitution,in,[],1629673,,,1610612738,17,10,2022-06-17T01:22:49Z,920000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M53.00S,2022-06-17T01:22:37.9Z,1,REGULAR,substitution,in,[],203490,,,1610612738,17,10,2022-06-17T01:22:49Z,930000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M53.00S,2022-06-17T01:23:07.0Z,1,REGULAR,freethrow,2 of 2,[],1629057,,,1610612738,18,10,2022-06-17T01:23:07Z,940000,,,0,,R. Williams III Free Throw 2 of 2 (2 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
95,PT04M30.00S,2022-06-17T01:23:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,11.432325886990801,51.616115196078425,1610612744,18,12,2022-06-17T01:23:38Z,950000,-8.0,55.0,1,left,S. Curry driving finger roll Layup (2 PTS),[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,,,,,,Made,2.0,5.56,,,,,,,,,,,,
96,PT04M20.00S,2022-06-17T01:23:43.4Z,1,REGULAR,foul,offensive,[],203935,,,1610612738,18,12,2022-06-17T01:23:51Z,960000,,,0,,M. Smart offensive FOUL (1 PF),"[203935, 201939]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,101284.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,
