actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
16,PT10M59.00S,2022-05-07T19:42:12.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201572,94.03745072273325,53.67647058823529,1610612749,2,2,2022-05-07T19:42:19Z,160000,18.0,4.0,1,right,B. Lopez DUNK (2 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,1.87,Made,,,,,,,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,
18,PT10M36.00S,2022-05-07T19:42:43.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,5.469776609724048,49.26470588235294,1610612738,2,4,2022-05-07T19:42:50Z,180000,4.0,-1.0,1,left,R. Williams III cutting DUNK (2 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,0.39,Made,,,,,,,2.0,J. Brown,1627759.0,1.0,,,,,,,,,
20,PT10M21.00S,2022-05-07T19:43:00.0Z,1,REGULAR,3pt,Jump Shot,[],1628960,69.46452036793693,74.50980392156863,1610612749,2,4,2022-05-07T19:43:04Z,200000,123.0,235.0,1,right,MISS G. Allen 26' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2022-05-07T19:43:00.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,4,2022-05-07T19:43:04Z,210000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
22,PT10M21.00S,2022-05-07T19:43:04.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,2,4,2022-05-07T19:43:04Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2022-05-07T19:43:44.6Z,1,REGULAR,2pt,Jump Shot,[],1628369,10.5946123521682,74.26470588235294,1610612738,2,4,2022-05-07T19:43:48Z,230000,-121.0,47.0,1,left,MISS J. Tatum 13' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,13.01,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2022-05-07T19:43:47.6Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,2,4,2022-05-07T19:43:48Z,240000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT09M48.00S,2022-05-07T19:43:54.5Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612749,2,4,2022-05-07T19:44:07Z,250000,,,0,,M. Smart shooting personal FOUL (1 PF) (Lopez 2 FT),"[203935, 201572]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,,,2003.0,1.0,0.0,Lopez,201572.0,,,,
27,PT09M48.00S,2022-05-07T19:44:28.6Z,1,REGULAR,freethrow,1 of 2,[],201572,,,1610612749,3,4,2022-05-07T19:44:28Z,270000,,,0,,B. Lopez Free Throw 1 of 2 (3 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
28,PT09M48.00S,2022-05-07T19:44:47.6Z,1,REGULAR,freethrow,2 of 2,[],201572,,,1610612749,4,4,2022-05-07T19:44:47Z,280000,,,0,,B. Lopez Free Throw 2 of 2 (4 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
29,PT09M28.00S,2022-05-07T19:45:09.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,9.280551905387648,49.754901960784316,1610612738,4,4,2022-05-07T19:45:18Z,290000,1.0,35.0,1,left,MISS A. Horford driving Hook,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,3.47,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M20.00S,2022-05-07T19:45:17.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,4,4,2022-05-07T19:45:17Z,300000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
31,PT09M20.00S,2022-05-07T19:45:17.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629057,5.590000152587891,50.0,1610612738,4,6,2022-05-07T19:45:47Z,310000,0.0,0.0,1,left,R. Williams III tip Layup (4 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Made,,,,,,,4.0,,,,,,,,,,,,
32,PT09M17.00S,2022-05-07T19:45:19.8Z,1,REGULAR,3pt,Jump Shot,[],201950,71.04139290407359,84.31372549019608,1610612749,4,6,2022-05-07T19:45:29Z,320000,172.0,220.0,1,right,MISS J. Holiday 27' step back 3PT,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,27.88,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M15.00S,2022-05-07T19:45:21.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,6,2022-05-07T19:45:29Z,330000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
34,PT09M11.00S,2022-05-07T19:45:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629057,8.09789750328515,45.09803921568628,1610612738,4,6,2022-05-07T19:45:33Z,340000,25.0,24.0,1,left,MISS R. Williams III running Layup,[1629057],1610612738.0,BOS,running,,,Williams III,R. Williams III,,,,,3.4,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M09.00S,2022-05-07T19:45:28.3Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,4,6,2022-05-07T19:45:33Z,350000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
36,PT08M58.00S,2022-05-07T19:45:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,90.75229960578186,53.67647058823529,1610612749,6,6,2022-05-07T19:45:43Z,360000,18.0,34.0,1,right,G. Antetokounmpo driving finger roll Layup (2 PTS) (B. Lopez 1 AST),"[203507, 201572]",1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,3.9,Made,,,,,,,2.0,B. Lopez,201572.0,1.0,,,,,,,,,
38,PT08M48.00S,2022-05-07T19:45:49.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,26.231931668856767,11.27450980392157,1610612738,6,6,2022-05-07T19:45:54Z,380000,194.0,194.0,1,left,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.41,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2022-05-07T19:45:52.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,6,2022-05-07T19:45:54Z,390000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
40,PT08M38.00S,2022-05-07T19:45:59.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203507,71.43561103810775,18.627450980392158,1610612749,6,6,2022-05-07T19:46:05Z,400000,-157.0,216.0,1,right,MISS G. Antetokounmpo 26' running pullup 3PT,[203507],1610612749.0,MIL,running pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,26.7,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M36.00S,2022-05-07T19:46:01.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,6,2022-05-07T19:46:05Z,410000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
42,PT08M29.00S,2022-05-07T19:46:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,18.74178712220762,46.568627450980394,1610612738,6,6,2022-05-07T19:46:14Z,420000,17.0,124.0,1,left,MISS J. Brown 12' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,12.49,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M26.00S,2022-05-07T19:46:12.1Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,6,6,2022-05-07T19:46:14Z,430000,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
44,PT08M20.00S,2022-05-07T19:46:19.6Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612749,6,6,2022-05-07T19:46:27Z,440000,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[201950],1610612749.0,MIL,bad pass,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,2882.0,,,,,1.0,,,
45,PT08M20.00S,2022-05-07T19:46:28.2Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,6,6,2022-05-07T19:46:32Z,450000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M20.00S,2022-05-07T19:46:28.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,6,6,2022-05-07T19:46:32Z,460000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M05.00S,2022-05-07T19:46:49.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,33.590670170827856,61.76470588235294,1610612738,6,6,2022-05-07T19:46:55Z,470000,-59.0,263.0,1,left,MISS G. Williams 26' step back 3PT,[1629684],1610612738.0,BOS,step back,,,Williams,G. Williams,,,,,26.98,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M02.00S,2022-05-07T19:46:52.4Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,6,6,2022-05-07T19:46:55Z,480000,,,0,,G. Allen REBOUND (Off:0 Def:2),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
49,PT07M59.00S,2022-05-07T19:46:59.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203507,84.05059132720105,49.26470588235294,1610612749,8,6,2022-05-07T19:47:33Z,490000,-4.0,97.0,1,right,G. Antetokounmpo 9' driving floating Jump Shot (4 PTS),[203507],1610612749.0,MIL,driving floating,,,Antetokounmpo,G. Antetokounmpo,,,,,9.75,Made,,,,,,,4.0,,,,,,,,,,,,
50,PT07M59.00S,2022-05-07T19:47:02.8Z,1,REGULAR,foul,personal,['1freethrow'],201143,,,1610612749,8,6,2022-05-07T19:47:18Z,500000,,,0,,A. Horford shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[201143, 203507]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Antetokounmpo,203507.0,,,,
52,PT07M59.00S,2022-05-07T19:47:38.8Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],203507,,,1610612749,9,6,2022-05-07T19:47:38Z,520000,,,0,,G. Antetokounmpo Free Throw 1 of 1 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
55,PT07M37.00S,2022-05-07T19:48:10.0Z,1,REGULAR,3pt,Jump Shot,[],201143,6.964520367936925,95.12101715686273,1610612738,9,9,2022-05-07T19:50:34Z,550000,-226.0,13.0,1,left,A. Horford 3PT  (3 PTS) (G. Williams 1 AST),"[201143, 1629684]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,22.6,Made,,,,,,,3.0,G. Williams,1629684.0,1.0,,,,,,,,,
57,PT07M22.00S,2022-05-07T19:48:21.6Z,1,REGULAR,foul,personal,[],1629684,,,1610612749,9,9,2022-05-07T19:48:29Z,570000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 201572]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Lopez,201572.0,,,,
59,PT07M14.00S,2022-05-07T19:48:47.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,89.56964520367937,53.431372549019606,1610612749,11,9,2022-05-07T19:52:31Z,590000,17.0,46.0,1,right,J. Holiday driving finger roll Layup (2 PTS),[201950],1610612749.0,MIL,driving finger roll,,,Holiday,J. Holiday,,,,,4.86,Made,,,,,,,2.0,,,,,,,,,,,,
60,PT06M56.00S,2022-05-07T19:49:05.7Z,1,REGULAR,2pt,Jump Shot,[],1628369,21.107095926412615,23.774509803921568,1610612738,11,9,2022-05-07T19:53:13Z,600000,131.0,146.0,1,left,MISS J. Tatum 19' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,19.61,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M56.00S,2022-05-07T19:49:05.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,11,9,2022-05-07T19:49:44Z,610000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
62,PT06M46.00S,2022-05-07T19:49:15.4Z,1,REGULAR,2pt,Jump Shot,[],203507,90.3580814717477,14.215686274509803,1610612749,13,9,2022-05-07T19:50:55Z,620000,-179.0,38.0,1,right,G. Antetokounmpo 18' Jump Shot (7 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,18.29,Made,,,,,,,7.0,,,,,,,,,,,,
63,PT06M41.00S,2022-05-07T19:49:37.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,13,9,2022-05-07T19:49:37Z,630000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M41.00S,2022-05-07T19:50:46.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,9,2022-05-07T19:50:46Z,640000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M41.00S,2022-05-07T19:52:43.2Z,1,REGULAR,substitution,out,[],1628960,,,1610612738,13,9,2022-05-07T19:53:20Z,650000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M41.00S,2022-05-07T19:52:43.2Z,1,REGULAR,substitution,out,[],201572,,,1610612738,13,9,2022-05-07T19:53:20Z,660000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M41.00S,2022-05-07T19:52:43.2Z,1,REGULAR,substitution,out,[],201143,,,1610612738,13,9,2022-05-07T19:53:20Z,670000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2022-05-07T19:52:43.2Z,1,REGULAR,substitution,in,[],1626171,,,1610612738,13,9,2022-05-07T19:53:20Z,680000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M41.00S,2022-05-07T19:52:43.2Z,1,REGULAR,substitution,in,[],1626192,,,1610612738,13,9,2022-05-07T19:53:20Z,690000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M41.00S,2022-05-07T19:52:43.2Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,13,9,2022-05-07T19:53:20Z,700000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M41.00S,2022-05-07T19:53:45.0Z,1,REGULAR,turnover,backcourt,[],203935,,,1610612738,13,9,2022-05-07T19:54:00Z,710000,,,0,,M. Smart backcourt TURNOVER (1 TO),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,2003.0,,,,,1.0,,,
72,PT06M24.00S,2022-05-07T19:54:08.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626171,95.0886990801577,4.166666666666666,1610612749,13,9,2022-05-07T19:54:14Z,720000,-229.0,-6.0,1,right,MISS B. Portis 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,,
73,PT06M21.00S,2022-05-07T19:54:11.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,9,2022-05-07T19:54:14Z,730000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,72.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
74,PT06M15.00S,2022-05-07T19:54:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,10.726018396846255,47.05882352941176,1610612738,13,9,2022-05-07T19:54:23Z,740000,15.0,48.0,1,left,MISS R. Williams III cutting Layup,[1629057],1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,5.05,Missed,,,,,,,,,,,,,,,,,,,
76,PT06M11.00S,2022-05-07T19:54:22.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,13,9,2022-05-07T19:54:23Z,760000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,74.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
77,PT05M58.00S,2022-05-07T19:54:35.2Z,1,REGULAR,3pt,Jump Shot,[],1626192,73.01248357424441,85.5392156862745,1610612749,13,9,2022-05-07T19:54:40Z,770000,178.0,201.0,1,right,MISS P. Connaughton 26' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,26.84,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M56.00S,2022-05-07T19:54:37.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,9,2022-05-07T19:57:37Z,780000,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,77.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
79,PT05M55.00S,2022-05-07T19:54:39.3Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,13,9,2022-05-07T20:00:18Z,790000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 201950]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,1.0,Holiday,201950.0,
80,PT05M55.00S,2022-05-07T19:54:39.3Z,1,REGULAR,steal,,[],201950,,,1610612749,13,9,2022-05-07T19:54:41Z,800000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M54.00S,2022-05-07T19:54:42.1Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612749,13,9,2022-05-07T19:58:48Z,805000,,,0,,J. Holiday bad pass TURNOVER (2 TO),"[201950, 1629057]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,2.0,Williams III,1629057.0,
101,PT05M54.00S,2022-05-07T19:54:42.1Z,1,REGULAR,steal,,[],1629057,,,1610612738,13,9,2022-05-07T19:58:48Z,807500,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M48.00S,2022-05-07T19:54:45.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629057,8.623521681997373,50.73529411764706,1610612738,13,11,2022-05-07T19:59:20Z,810000,-4.0,29.0,1,left,R. Williams III running DUNK (6 PTS),[1629057],1610612738.0,BOS,running,,,Williams III,R. Williams III,,,,,2.88,Made,,,,,,,6.0,,,,,,,,,,,,
82,PT05M33.00S,2022-05-07T19:54:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,79.84559789750328,37.99019607843137,1610612749,13,11,2022-05-07T20:04:31Z,820000,-60.0,137.0,1,right,MISS G. Antetokounmpo 14' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,14.96,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M33.00S,2022-05-07T19:54:59.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,11,2022-05-07T19:55:09Z,830000,,,0,,J. Brown REBOUND (Off:0 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,82.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
84,PT05M21.00S,2022-05-07T19:55:12.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,21.50131406044678,50.49019607843137,1610612738,13,13,2022-05-07T19:55:17Z,840000,-2.0,150.0,1,left,J. Brown 14' Jump Shot (2 PTS) (R. Williams III 2 AST),"[1627759, 1629057]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,14.96,Made,,,,,,,2.0,R. Williams III,1629057.0,2.0,,,,,,,,,
86,PT05M08.00S,2022-05-07T19:55:28.9Z,1,REGULAR,foul,personal,[],203935,,,1610612749,13,13,2022-05-07T19:55:45Z,860000,,,0,,M. Smart personal FOUL (2 PF),"[203935, 1626192]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,2882.0,2.0,0.0,Connaughton,1626192.0,,,,
88,PT05M08.00S,2022-05-07T19:55:39.1Z,1,REGULAR,substitution,out,[],203507,,,1610612749,13,13,2022-05-07T19:55:54Z,880000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
