actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
31,PT09M33.00S,2022-05-30T00:50:45.0Z,1,REGULAR,block,,[],200782,,,1610612738,1,6,2022-05-30T00:50:47Z,310000,,,0,,P. Tucker BLOCK (1 BLK),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M30.00S,2022-05-30T00:50:48.0Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,1,6,2022-05-30T00:50:52Z,320000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M24.00S,2022-05-30T00:50:54.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,83.39356110381078,50.245098039215684,1610612748,1,6,2022-05-30T00:51:04Z,330000,1.0,104.0,1,right,MISS B. Adebayo 10' floating Shot,[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,10.36,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M20.00S,2022-05-30T00:50:58.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,1,6,2022-05-30T00:51:04Z,340000,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,33.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
35,PT09M18.00S,2022-05-30T00:51:00.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,30.17411300919842,22.54901960784314,1610612738,1,9,2022-05-30T00:52:56Z,350000,137.0,231.0,1,left,M. Smart 26' 3PT running pullup (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,running pullup,,,Smart,M. Smart,,,,,26.88,Made,,,,,3.0,,,,J. Tatum,1628369.0,1.0,,,,,,,,
37,PT09M03.00S,2022-05-30T00:51:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,93.38042049934296,54.41176470588235,1610612748,1,9,2022-05-30T00:51:19Z,370000,22.0,10.0,1,right,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,2.41,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M00.00S,2022-05-30T00:51:17.9Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,1,9,2022-05-30T00:51:23Z,380000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT08M59.00S,2022-05-30T00:51:27.2Z,1,REGULAR,foul,personal,[],200768,,,1610612738,1,9,2022-05-30T00:53:23Z,390000,,,0,,K. Lowry take personal FOUL (2 PF),"[200768, 203935]",1610612748.0,MIA,take,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,2714.0,2.0,0.0,Smart,203935.0,,,
41,PT08M59.00S,2022-05-30T00:51:34.4Z,1,REGULAR,substitution,out,[],203935,,,1610612738,1,9,2022-05-30T00:51:46Z,410000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M59.00S,2022-05-30T00:51:34.4Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,1,9,2022-05-30T00:51:46Z,420000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
