actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
33,PT09M20.00S,2022-06-11T01:12:16.2Z,1,REGULAR,turnover,lost ball,[],201939,,,1610612744,8,4,2022-06-11T01:12:22Z,330000,,,0,,S. Curry lost ball TURNOVER (1 TO),"[201939, 203935]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,1.0,,,,,,Smart,203935.0
34,PT09M20.00S,2022-06-11T01:12:16.2Z,1,REGULAR,steal,,[],203935,,,1610612738,8,4,2022-06-11T01:12:17Z,340000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M15.00S,2022-06-11T01:12:21.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628369,77.61169513797634,87.00980392156863,1610612738,11,4,2022-06-11T01:13:00Z,350000,185.0,158.0,1,right,J. Tatum 24' 3PT running (7 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,24.33,Made,7.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
37,PT08M58.00S,2022-06-11T01:12:38.4Z,1,REGULAR,3pt,Jump Shot,[],201939,36.35019710906702,49.50980392156863,1610612744,11,4,2022-06-11T01:12:44Z,370000,2.0,289.0,1,left,MISS S. Curry 28' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,28.92,Missed,,,,,,,,,,,,,,,,,,
38,PT08M56.00S,2022-06-11T01:12:40.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,11,4,2022-06-11T01:12:44Z,380000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,37.0,,2.0,1.0,1.0,,,,
39,PT08M47.00S,2022-06-11T01:12:49.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,80.76544021024968,66.66666666666666,1610612738,11,4,2022-06-11T01:12:54Z,390000,83.0,128.0,1,right,MISS J. Tatum 15' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,15.3,Missed,,,,,,,,,,,,,,,,,,
40,PT08M45.00S,2022-06-11T01:12:51.2Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,11,4,2022-06-11T01:12:54Z,400000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,39.0,,1.0,1.0,0.0,,,,
41,PT08M41.00S,2022-06-11T01:12:56.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203490,9.411957950065702,3.431372549019608,1610612744,11,4,2022-06-11T01:13:50Z,410000,233.0,36.0,1,left,MISS O. Porter Jr. running 3PT,[203490],1610612744.0,GSW,running,,,Porter Jr.,O. Porter Jr.,,,,,23.56,Missed,,,,,,,,,,,,,,,,,,
42,PT08M39.00S,2022-06-11T01:12:58.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,4,2022-06-11T01:13:08Z,420000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,41.0,,1.0,1.0,0.0,,,,
43,PT08M24.00S,2022-06-11T01:13:12.3Z,1,REGULAR,3pt,Jump Shot,[],203935,85.49605781865965,3.1862745098039214,1610612738,11,4,2022-06-11T01:13:20Z,430000,-234.0,84.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.86,Missed,,,,,,,,,,,,,,,,,,
44,PT08M22.00S,2022-06-11T01:13:14.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,11,4,2022-06-11T01:13:20Z,440000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,43.0,,1.0,1.0,0.0,,,,
