actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
174,PT11M23.00S,2021-05-13T00:37:49.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629641,75.50919842312747,90.26501225490196,1610612738,22,17,2021-05-13T00:46:41Z,1720000,201.0,178.0,1,right,MISS R. Langford 26' 3PT,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,26.85,Missed,,,,,,,,,,,,,,,,
175,PT11M20.00S,2021-05-13T00:37:52.5Z,2,REGULAR,rebound,defensive,[],1629662,,,1610612739,22,17,2021-05-13T00:37:55Z,1730000,,,0,,M. Kabengele REBOUND (Off:0 Def:2),[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,,,174.0,2.0,2.0,0.0,,,,,,,,,,,,
176,PT11M13.00S,2021-05-13T00:37:59.7Z,2,REGULAR,3pt,Jump Shot,[],1629662,32.013797634691194,57.176776960784316,1610612739,22,17,2021-05-13T00:38:03Z,1740000,-36.0,248.0,1,left,MISS M. Kabengele 25' 3PT,[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,25.1,Missed,,,,,,,,,,,,,,,,
177,PT11M09.00S,2021-05-13T00:38:03.7Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,22,17,2021-05-13T00:38:03Z,1750000,,,0,,P. Pritchard REBOUND (Off:1 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,176.0,3.0,2.0,1.0,,,,,,,,,,,,
178,PT11M02.00S,2021-05-13T00:38:10.0Z,2,REGULAR,3pt,Jump Shot,[],1630202,78.53153745072274,91.73560049019608,1610612738,22,17,2021-05-13T00:38:14Z,1760000,209.0,149.0,1,right,MISS P. Pritchard 25' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,,,,25.66,Missed,,,,,,,,,,,,,,,,
179,PT10M59.00S,2021-05-13T00:38:13.0Z,2,REGULAR,rebound,defensive,[],201567,,,1610612739,22,17,2021-05-13T00:38:14Z,1770000,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,178.0,2.0,2.0,0.0,,,,,,,,,,,,
180,PT10M53.00S,2021-05-13T00:38:21.5Z,2,REGULAR,foul,personal,['2freethrow'],1628436,,,1610612739,22,17,2021-05-13T00:38:30Z,1780000,,,0,,L. Kornet shooting personal FOUL (1 PF) (Sexton 2 FT),"[1628436, 1629012]",1610612738.0,BOS,shooting,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Sexton,1629012.0,,,
182,PT10M53.00S,2021-05-13T00:38:49.1Z,2,REGULAR,freethrow,1 of 2,[],1629012,,,1610612739,23,17,2021-05-13T00:38:49Z,1800000,,,0,,C. Sexton Free Throw 1 of 2 (6 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,Made,,,,,6.0,,,,,,,,,,,
183,PT10M53.00S,2021-05-13T00:39:01.1Z,2,REGULAR,freethrow,2 of 2,[],1629012,,,1610612739,24,17,2021-05-13T00:39:01Z,1810000,,,0,,C. Sexton Free Throw 2 of 2 (7 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,Made,,,,,7.0,,,,,,,,,,,
184,PT10M35.00S,2021-05-13T00:39:20.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,89.30683311432325,40.75520833333333,1610612738,24,17,2021-05-13T00:39:26Z,1820000,-46.0,48.0,1,right,MISS L. Kornet 6' alley-oop Layup,[1628436],1610612738.0,BOS,alley-oop,,,Kornet,L. Kornet,,,,,,,,6.66,Missed,,,,,,,,,,,,,,,,
185,PT10M33.00S,2021-05-13T00:39:22.4Z,2,REGULAR,rebound,defensive,[],1629012,,,1610612739,24,17,2021-05-13T00:39:26Z,1830000,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,184.0,1.0,1.0,0.0,,,,,,,,,,,,
186,PT10M26.00S,2021-05-13T00:39:30.0Z,2,REGULAR,3pt,Jump Shot,[],1628422,6.258212877792378,4.4806985294117645,1610612739,24,17,2021-05-13T00:39:33Z,1840000,228.0,6.0,1,left,MISS D. Dotson 3PT,[1628422],1610612739.0,CLE,,,,Dotson,D. Dotson,,,,,,,,22.77,Missed,,,,,,,,,,,,,,,,
187,PT10M23.00S,2021-05-13T00:39:32.6Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,24,17,2021-05-13T00:39:32Z,1850000,,,0,,P. Pritchard REBOUND (Off:1 Def:3),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,186.0,4.0,3.0,1.0,,,,,,,,,,,,
188,PT10M15.00S,2021-05-13T00:39:40.4Z,2,REGULAR,3pt,Jump Shot,[],1629684,77.34888304862024,9.137561274509803,1610612738,24,20,2021-05-13T00:39:44Z,1860000,-204.0,160.0,1,right,G. Williams 25' 3PT  (3 PTS) (P. Pritchard 1 AST),"[1629684, 1630202]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,25.97,Made,,,,,3.0,P. Pritchard,1630202.0,1.0,,,,,,,,
190,PT09M56.00S,2021-05-13T00:40:00.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201567,5.863994743758213,50.55912990196079,1610612739,26,20,2021-05-13T00:40:04Z,1880000,-3.0,3.0,1,left,K. Love alley-oop Layup (5 PTS) (C. Sexton 4 AST),"[201567, 1629012]",1610612739.0,CLE,alley-oop,,,Love,K. Love,,,,,,,,0.38,Made,,,,,5.0,C. Sexton,1629012.0,4.0,,,,,,,,
192,PT09M43.00S,2021-05-13T00:40:12.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203095,94.43166885676742,51.049325980392155,1610612738,26,20,2021-05-13T00:40:16Z,1900000,5.0,0.0,1,right,MISS E. Fournier driving Layup,[203095],1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,,,,0.52,Missed,,,,,,,,,,,,,,,,
193,PT09M41.00S,2021-05-13T00:40:14.6Z,2,REGULAR,rebound,defensive,[],1630271,,,1610612739,26,20,2021-05-13T00:40:16Z,1910000,,,0,,B. Thomas REBOUND (Off:0 Def:3),[1630271],1610612739.0,CLE,,,,Thomas,B. Thomas,,,,,,,,,,192.0,3.0,3.0,0.0,,,,,,,,,,,,
194,PT09M34.00S,2021-05-13T00:40:21.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630271,7.703679369250986,50.80422794117647,1610612739,26,20,2021-05-13T00:40:25Z,1920000,-4.0,20.0,1,left,MISS B. Thomas cutting Layup,[1630271],1610612739.0,CLE,cutting,,,Thomas,B. Thomas,,,,,,,,2.03,Missed,,,,,,,,,,,,,,,,
195,PT09M30.00S,2021-05-13T00:40:25.1Z,2,REGULAR,rebound,offensive,[],1629662,,,1610612739,26,20,2021-05-13T00:40:25Z,1930000,,,0,,M. Kabengele REBOUND (Off:1 Def:2),[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,,,194.0,3.0,2.0,1.0,,,,,,,,,,,,
196,PT09M30.00S,2021-05-13T00:40:25.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629662,5.590000152587891,50.0,1610612739,28,20,2021-05-13T00:40:25Z,1940000,0.0,0.0,1,left,M. Kabengele tip Layup (2 PTS),[1629662],1610612739.0,CLE,tip,,,Kabengele,M. Kabengele,,,,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,
197,PT09M20.00S,2021-05-13T00:40:35.8Z,2,REGULAR,3pt,Jump Shot,[],1630202,71.69842312746385,85.11795343137256,1610612738,28,23,2021-05-13T00:40:40Z,1950000,176.0,214.0,1,right,P. Pritchard 27' 3PT  (7 PTS) (L. Kornet 1 AST),"[1630202, 1628436]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,27.64,Made,,,,,7.0,L. Kornet,1628436.0,1.0,,,,,,,,
199,PT09M04.00S,2021-05-13T00:40:52.3Z,2,REGULAR,2pt,Jump Shot,[],1629012,14.799605781865965,69.43167892156863,1610612739,30,23,2021-05-13T00:47:22Z,1970000,-97.0,87.0,1,left,C. Sexton 13' step back Jump Shot (9 PTS) (M. Kabengele 1 AST),"[1629012, 1629662]",1610612739.0,CLE,step back,,,Sexton,C. Sexton,,,,,,,,13.02,Made,,,,,9.0,M. Kabengele,1629662.0,1.0,,,,,,,,
201,PT08M53.00S,2021-05-13T00:41:03.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203095,94.1688567674113,51.049325980392155,1610612738,30,25,2021-05-13T00:41:06Z,1990000,5.0,2.0,1,right,E. Fournier cutting Layup (4 PTS) (L. Kornet 2 AST),"[203095, 1628436]",1610612738.0,BOS,cutting,,,Fournier,E. Fournier,,,,,,,,0.57,Made,,,,,4.0,L. Kornet,1628436.0,2.0,,,,,,,,
203,PT08M40.00S,2021-05-13T00:41:20.4Z,2,REGULAR,foul,personal,[],1629684,,,1610612739,30,25,2021-05-13T00:41:26Z,2010000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 1629012]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,2148.0,1.0,0.0,Sexton,1629012.0,,,
205,PT08M40.00S,2021-05-13T00:41:26.4Z,2,REGULAR,substitution,out,[],1629641,,,1610612739,30,25,2021-05-13T00:41:33Z,2030000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M40.00S,2021-05-13T00:41:26.4Z,2,REGULAR,substitution,in,[],1629035,,,1610612739,30,25,2021-05-13T00:41:33Z,2040000,,,0,,SUB in: C. Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M35.00S,2021-05-13T00:41:42.3Z,2,REGULAR,3pt,Jump Shot,[],1630271,19.004599211563733,4.970894607843137,1610612739,30,25,2021-05-13T00:41:47Z,2050000,225.0,126.0,1,left,MISS B. Thomas 25' 3PT,[1630271],1610612739.0,CLE,,,,Thomas,B. Thomas,,,,,,,,25.8,Missed,,,,,,,,,,,,,,,,
208,PT08M33.00S,2021-05-13T00:41:44.3Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,30,25,2021-05-13T00:41:47Z,2060000,,,0,,P. Pritchard REBOUND (Off:1 Def:4),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,207.0,5.0,4.0,1.0,,,,,,,,,,,,
209,PT08M21.00S,2021-05-13T00:41:56.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,89.17542706964521,41.98069852941176,1610612738,30,25,2021-05-13T00:42:01Z,2070000,-40.0,49.0,1,right,MISS E. Fournier 6' driving floating Shot - blocked,"[203095, 1629662]",1610612738.0,BOS,driving floating,,,Fournier,E. Fournier,,,,,,,,6.35,Missed,,,,,,,,,,,,,,Kabengele,1629662.0,
210,PT08M21.00S,2021-05-13T00:41:56.9Z,2,REGULAR,block,,[],1629662,,,1610612738,30,25,2021-05-13T00:41:59Z,2080000,,,0,,M. Kabengele BLOCK (3 BLK),[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M17.00S,2021-05-13T00:42:00.9Z,2,REGULAR,rebound,offensive,[],203095,,,1610612738,30,25,2021-05-13T00:42:01Z,2090000,,,0,,E. Fournier REBOUND (Off:1 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,209.0,2.0,1.0,1.0,,,,,,,,,,,,
212,PT08M14.00S,2021-05-13T00:42:03.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203095,88.51839684625493,57.91207107843137,1610612738,30,27,2021-05-13T00:42:08Z,2100000,40.0,55.0,1,right,E. Fournier 6' putback Layup (6 PTS),[203095],1610612738.0,BOS,putback,,,Fournier,E. Fournier,,,,,,,,6.81,Made,,,,,6.0,,,,,,,,,,,
213,PT08M05.00S,2021-05-13T00:42:14.7Z,2,REGULAR,turnover,out-of-bounds,[],1629012,,,1610612739,30,27,2021-05-13T00:42:26Z,2110000,,,0,,C. Sexton lost ball out-of-bounds TURNOVER (3 TO),[1629012],1610612739.0,CLE,lost ball,,,Sexton,C. Sexton,,,,,3.0,,,,,,,,,,,,,1626301.0,,,,,,,
214,PT07M53.00S,2021-05-13T00:42:31.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630202,94.43166885676742,53.01011029411765,1610612738,30,27,2021-05-13T00:42:36Z,2120000,15.0,0.0,1,right,MISS P. Pritchard driving Layup,[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,,,,1.51,Missed,,,,,,,,,,,,,,,,
215,PT07M48.00S,2021-05-13T00:42:35.6Z,2,REGULAR,rebound,offensive,[],1628436,,,1610612738,30,27,2021-05-13T00:42:35Z,2130000,,,0,,L. Kornet REBOUND (Off:1 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,214.0,2.0,1.0,1.0,,,,,,,,,,,,
216,PT07M48.00S,2021-05-13T00:42:35.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628436,94.40999984741211,50.0,1610612738,30,27,2021-05-13T00:42:35Z,2140000,0.0,0.0,1,right,MISS L. Kornet tip Layup,[1628436],1610612738.0,BOS,tip,,,Kornet,L. Kornet,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,
217,PT07M48.00S,2021-05-13T00:42:36.5Z,2,REGULAR,rebound,defensive,[],1628422,,,1610612739,30,27,2021-05-13T00:42:36Z,2150000,,,0,,D. Dotson REBOUND (Off:0 Def:1),[1628422],1610612739.0,CLE,,,,Dotson,D. Dotson,,,,,,,,,,216.0,1.0,1.0,0.0,,,,,,,,,,,,
218,PT07M37.00S,2021-05-13T00:42:46.6Z,2,REGULAR,3pt,Jump Shot,[],1629662,31.35676741130092,71.14736519607843,1610612739,30,27,2021-05-13T00:42:50Z,2160000,-106.0,242.0,1,left,MISS M. Kabengele 26' 3PT,[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,26.44,Missed,,,,,,,,,,,,,,,,
219,PT07M35.00S,2021-05-13T00:42:48.6Z,2,REGULAR,rebound,defensive,[],203095,,,1610612738,30,27,2021-05-13T00:42:50Z,2170000,,,0,,E. Fournier REBOUND (Off:1 Def:2),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,218.0,3.0,2.0,1.0,,,,,,,,,,,,
220,PT07M29.00S,2021-05-13T00:42:54.7Z,2,REGULAR,3pt,Jump Shot,[],203095,69.46452036793693,27.519914215686274,1610612738,30,27,2021-05-13T00:49:47Z,2180000,-112.0,235.0,1,right,MISS E. Fournier 26' pullup 3PT,[203095],1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,,,,26.0,Missed,,,,,,,,,,,,,,,,
221,PT07M26.00S,2021-05-13T00:42:57.7Z,2,REGULAR,rebound,defensive,[],201567,,,1610612739,30,27,2021-05-13T00:42:59Z,2190000,,,0,,K. Love REBOUND (Off:0 Def:3),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,220.0,3.0,3.0,0.0,,,,,,,,,,,,
222,PT07M25.00S,2021-05-13T00:43:05.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,30,27,2021-05-13T00:43:05Z,2200000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M25.00S,2021-05-13T00:45:28.3Z,2,REGULAR,substitution,out,[],1629662,,,1610612739,30,27,2021-05-13T00:45:48Z,2210000,,,0,,SUB out: M. Kabengele,[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M25.00S,2021-05-13T00:45:28.3Z,2,REGULAR,substitution,out,[],1630271,,,1610612739,30,27,2021-05-13T00:45:48Z,2220000,,,0,,SUB out: B. Thomas,[1630271],1610612739.0,CLE,,,,Thomas,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M25.00S,2021-05-13T00:45:28.3Z,2,REGULAR,substitution,in,[],1628386,,,1610612739,30,27,2021-05-13T00:45:48Z,2230000,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M25.00S,2021-05-13T00:45:28.3Z,2,REGULAR,substitution,in,[],1629731,,,1610612739,30,27,2021-05-13T00:45:48Z,2240000,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M10.00S,2021-05-13T00:46:11.3Z,2,REGULAR,turnover,bad pass,[],1628386,,,1610612739,30,27,2021-05-13T00:46:15Z,2250000,,,0,,J. Allen bad pass TURNOVER (3 TO),"[1628386, 1630202]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,3.0,Pritchard,1630202.0,,,,,,,,,,,,,,,,,,
228,PT07M10.00S,2021-05-13T00:46:11.3Z,2,REGULAR,steal,,[],1630202,,,1610612738,30,27,2021-05-13T00:46:13Z,2260000,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M02.00S,2021-05-13T00:46:19.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629035,72.09264126149803,81.44148284313727,1610612738,30,27,2021-05-13T00:46:23Z,2270000,157.0,210.0,1,right,MISS C. Edwards 26' 3PT,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,26.22,Missed,,,,,,,,,,,,,,,,
230,PT06M58.00S,2021-05-13T00:46:23.3Z,2,REGULAR,rebound,defensive,[],201567,,,1610612739,30,27,2021-05-13T00:46:23Z,2280000,,,0,,K. Love REBOUND (Off:0 Def:4),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,229.0,4.0,4.0,0.0,,,,,,,,,,,,
233,PT06M40.00S,2021-05-13T00:46:41.8Z,2,REGULAR,3pt,Jump Shot,[],1629012,31.750985545335087,26.784620098039213,1610612739,30,27,2021-05-13T00:50:50Z,2290000,116.0,246.0,1,left,MISS C. Sexton 27' pullup 3PT,[1629012],1610612739.0,CLE,pullup,,,Sexton,C. Sexton,,,,,,,,27.2,Missed,,,,,,,,,,,,,,,,
234,PT06M37.00S,2021-05-13T00:46:44.8Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,30,27,2021-05-13T00:46:45Z,2300000,,,0,,P. Pritchard REBOUND (Off:1 Def:5),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,233.0,6.0,5.0,1.0,,,,,,,,,,,,
235,PT06M30.00S,2021-05-13T00:46:51.5Z,2,REGULAR,2pt,Jump Shot,[],203095,80.23981603153744,76.53952205882352,1610612738,30,27,2021-05-13T00:46:55Z,2310000,133.0,133.0,1,right,MISS E. Fournier 18' pullup Shot,[203095],1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,,,,18.8,Missed,,,,,,,,,,,,,,,,
236,PT06M27.00S,2021-05-13T00:46:54.5Z,2,REGULAR,rebound,defensive,[],1628386,,,1610612739,30,27,2021-05-13T00:46:55Z,2320000,,,0,,J. Allen REBOUND (Off:1 Def:4),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,235.0,5.0,4.0,1.0,,,,,,,,,,,,
237,PT06M17.00S,2021-05-13T00:47:04.2Z,2,REGULAR,2pt,Jump Shot,[],201567,19.793035479632064,88.79442401960785,1610612739,30,27,2021-05-13T00:47:08Z,2330000,-194.0,134.0,1,left,MISS K. Love 23' Jump Shot,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,23.56,Missed,,,,,,,,,,,,,,,,
238,PT06M15.00S,2021-05-13T00:47:06.2Z,2,REGULAR,rebound,defensive,[],1628436,,,1610612738,30,27,2021-05-13T00:47:08Z,2340000,,,0,,L. Kornet REBOUND (Off:1 Def:2),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,237.0,3.0,2.0,1.0,,,,,,,,,,,,
239,PT06M10.00S,2021-05-13T00:47:12.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,93.24901445466492,52.029718137254896,1610612738,30,29,2021-05-13T00:47:16Z,2350000,10.0,11.0,1,right,P. Pritchard driving Layup (9 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,,,,1.49,Made,,,,,9.0,,,,,,,,,,,
240,PT05M47.00S,2021-05-13T00:47:33.7Z,2,REGULAR,2pt,Jump Shot,[],1629012,6.915243101182654,30.706188725490197,1610612739,32,29,2021-05-13T00:47:39Z,2360000,96.0,13.0,1,left,C. Sexton 9' driving floating Jump Shot (11 PTS),[1629012],1610612739.0,CLE,driving floating,,,Sexton,C. Sexton,,,,,,,,9.73,Made,,,,,11.0,,,,,,,,,,,
241,PT05M27.00S,2021-05-13T00:47:54.3Z,2,REGULAR,2pt,Jump Shot,[],1629035,79.45137976346912,76.04932598039215,1610612738,32,29,2021-05-13T00:47:58Z,2370000,130.0,141.0,1,right,MISS C. Edwards 19' pullup Shot,[1629035],1610612738.0,BOS,pullup,,,Edwards,C. Edwards,,,,,,,,19.17,Missed,,,,,,,,,,,,,,,,
242,PT05M25.00S,2021-05-13T00:47:56.3Z,2,REGULAR,rebound,defensive,[],1628386,,,1610612739,32,29,2021-05-13T00:47:58Z,2380000,,,0,,J. Allen REBOUND (Off:1 Def:5),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,241.0,6.0,5.0,1.0,,,,,,,,,,,,
243,PT05M19.00S,2021-05-13T00:48:20.7Z,2,REGULAR,foul,personal,['2freethrow'],1628436,,,1610612739,32,29,2021-05-13T00:48:28Z,2390000,,,0,,L. Kornet shooting personal FOUL (2 PF) (Sexton 2 FT),"[1628436, 1629012]",1610612738.0,BOS,shooting,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,101283.0,2.0,0.0,Sexton,1629012.0,,,
245,PT05M19.00S,2021-05-13T00:48:29.0Z,2,REGULAR,freethrow,1 of 2,[],1629012,,,1610612739,33,29,2021-05-13T00:48:29Z,2410000,,,0,,C. Sexton Free Throw 1 of 2 (12 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,Made,,,,,12.0,,,,,,,,,,,
246,PT05M19.00S,2021-05-13T00:48:29.9Z,2,REGULAR,substitution,out,[],1628422,,,1610612739,33,29,2021-05-13T00:48:40Z,2420000,,,0,,SUB out: D. Dotson,[1628422],1610612739.0,CLE,,,,Dotson,D. Dotson,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT05M19.00S,2021-05-13T00:48:29.9Z,2,REGULAR,substitution,out,[],1628436,,,1610612739,33,29,2021-05-13T00:48:40Z,2430000,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT05M19.00S,2021-05-13T00:48:29.9Z,2,REGULAR,substitution,in,[],1630171,,,1610612739,33,29,2021-05-13T00:48:40Z,2440000,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT05M19.00S,2021-05-13T00:48:29.9Z,2,REGULAR,substitution,in,[],1628369,,,1610612739,33,29,2021-05-13T00:48:40Z,2450000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M19.00S,2021-05-13T00:48:48.3Z,2,REGULAR,freethrow,2 of 2,[],1629012,,,1610612739,34,29,2021-05-13T00:48:48Z,2460000,,,0,,C. Sexton Free Throw 2 of 2 (13 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,Made,,,,,13.0,,,,,,,,,,,
251,PT05M13.00S,2021-05-13T00:48:59.1Z,2,REGULAR,3pt,Jump Shot,[],1629035,71.82982917214193,79.72579656862744,1610612738,34,29,2021-05-13T00:49:04Z,2470000,149.0,212.0,1,right,MISS C. Edwards 25' 3PT,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,25.91,Missed,,,,,,,,,,,,,,,,
252,PT05M09.00S,2021-05-13T00:49:03.1Z,2,REGULAR,rebound,defensive,[],201567,,,1610612739,34,29,2021-05-13T00:49:04Z,2480000,,,0,,K. Love REBOUND (Off:0 Def:5),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,251.0,5.0,5.0,0.0,,,,,,,,,,,,
253,PT04M57.00S,2021-05-13T00:49:15.2Z,2,REGULAR,2pt,Jump Shot,[],201567,7.046649145860711,23.108149509803923,1610612739,36,29,2021-05-13T00:49:19Z,2490000,134.0,14.0,1,left,K. Love 13' turnaround fadeaway Jump Shot (7 PTS) (I. Okoro 3 AST),"[201567, 1630171]",1610612739.0,CLE,turnaround fadeaway,,,Love,K. Love,,,,,,,,13.52,Made,,,,,7.0,I. Okoro,1630171.0,3.0,,,,,,,,
255,PT04M45.00S,2021-05-13T00:49:26.8Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,36,29,2021-05-13T00:49:31Z,2510000,,,0,,J. Tatum bad pass TURNOVER (2 TO),"[1628369, 201567]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,2.0,Love,201567.0,,,,,,,,,,,,,,,,,,
256,PT04M45.00S,2021-05-13T00:49:26.8Z,2,REGULAR,steal,,[],201567,,,1610612739,36,29,2021-05-13T00:49:28Z,2520000,,,0,,K. Love STEAL (2 STL),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M43.00S,2021-05-13T00:49:35.1Z,2,REGULAR,foul,personal,[],1629684,,,1610612739,36,29,2021-05-13T00:49:41Z,2530000,,,0,,G. Williams personal FOUL (2 PF),"[1629684, 201567]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,101283.0,2.0,0.0,Love,201567.0,,,
259,PT04M43.00S,2021-05-13T00:49:40.7Z,2,REGULAR,substitution,out,[],1629012,,,1610612739,36,29,2021-05-13T00:50:03Z,2550000,,,0,,SUB out: C. Sexton,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
