actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
38,PT07M19.00S,2021-05-23T00:26:40.0Z,1,REGULAR,3pt,Jump Shot,[],202689,66.3107752956636,44.18658088235294,1610612738,6,13,2021-05-23T00:26:44Z,380000,-29.0,264.0,1,right,MISS K. Walker 26' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,26.58,Missed,,,,,,,,,,,,,,,,
39,PT07M16.00S,2021-05-23T00:26:43.0Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,6,13,2021-05-23T00:26:44Z,390000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,
40,PT07M07.00S,2021-05-23T00:26:52.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201142,5.601182654402102,48.59834558823529,1610612751,8,13,2021-05-23T00:26:56Z,400000,7.0,0.0,1,left,K. Durant driving DUNK (2 PTS) (J. Harden 2 AST),"[201142, 201935]",1610612751.0,BKN,driving,,,Durant,K. Durant,,,,,,,,0.7,Made,,,,,,2.0,J. Harden,201935.0,2.0,,,,,,,
42,PT06M40.00S,2021-05-23T00:27:19.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,70.12155059132719,47.61795343137255,1610612738,8,13,2021-05-23T00:27:24Z,420000,-12.0,228.0,1,right,MISS J. Tatum 22' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,22.87,Missed,,,,,,,,,,,,,,,,
43,PT06M37.00S,2021-05-23T00:27:22.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,8,13,2021-05-23T00:27:24Z,430000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,
44,PT06M29.00S,2021-05-23T00:27:30.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201142,5.075558475689881,50.06893382352941,1610612751,10,13,2021-05-23T00:27:34Z,440000,0.0,-5.0,1,left,K. Durant driving DUNK (4 PTS) (J. Harden 3 AST),"[201142, 201935]",1610612751.0,BKN,driving,,,Durant,K. Durant,,,,,,,,0.48,Made,,,,,,4.0,J. Harden,201935.0,3.0,,,,,,,
46,PT06M05.00S,2021-05-23T00:27:53.5Z,1,REGULAR,2pt,Jump Shot,[],202689,86.15308804204993,69.18658088235294,1610612738,10,15,2021-05-23T00:27:59Z,460000,96.0,78.0,1,right,K. Walker 12' step back Jump Shot (5 PTS) (T. Thompson 1 AST),"[202689, 202684]",1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,,,,12.34,Made,,,,,,5.0,T. Thompson,202684.0,1.0,,,,,,,
47,PT05M57.00S,2021-05-23T00:28:02.0Z,1,REGULAR,3pt,Jump Shot,[],203925,27.414586070959263,21.39246323529412,1610612751,10,15,2021-05-23T00:28:07Z,470000,143.0,205.0,1,left,MISS J. Harris 25' step back 3PT,[203925],1610612751.0,BKN,step back,,,Harris,J. Harris,,,,,,,,25.01,Missed,,,,,,,,,,,,,,,,
48,PT05M54.00S,2021-05-23T00:28:05.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,10,15,2021-05-23T00:28:07Z,480000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,
49,PT05M45.00S,2021-05-23T00:28:14.5Z,1,REGULAR,3pt,Jump Shot,[],203935,93.11760840998686,3.2552083333333335,1610612738,10,15,2021-05-23T00:28:19Z,490000,-234.0,12.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,23.4,Missed,,,,,,,,,,,,,,,,
50,PT05M41.00S,2021-05-23T00:28:18.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,10,15,2021-05-23T00:28:19Z,500000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,
51,PT05M31.00S,2021-05-23T00:28:27.8Z,1,REGULAR,3pt,Jump Shot,[],201935,32.53942181340342,50.80422794117647,1610612751,10,15,2021-05-23T00:28:34Z,510000,-4.0,253.0,1,left,MISS J. Harden 25' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,,,,25.34,Missed,,,,,,,,,,,,,,,,
52,PT05M26.00S,2021-05-23T00:28:32.8Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,10,15,2021-05-23T00:28:34Z,520000,,,0,,E. Fournier REBOUND (Off:0 Def:3),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,51.0,3.0,3.0,0.0,,,,,,,,,,,,
53,PT05M09.00S,2021-05-23T00:28:50.8Z,1,REGULAR,3pt,Jump Shot,[],203095,70.12155059132719,72.61795343137256,1610612738,10,18,2021-05-23T00:29:00Z,530000,113.0,228.0,1,right,E. Fournier 25' 3PT pullup (3 PTS) (K. Walker 2 AST),"[203095, 202689]",1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,,,,25.49,Made,,,,,,3.0,K. Walker,202689.0,2.0,,,,,,,
55,PT05M07.00S,2021-05-23T00:28:58.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,10,18,2021-05-23T00:28:58Z,550000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT05M07.00S,2021-05-23T00:29:00.7Z,1,REGULAR,substitution,out,[],201933,,,1610612751,10,18,2021-05-23T00:32:11Z,560000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M07.00S,2021-05-23T00:29:00.7Z,1,REGULAR,substitution,out,[],201935,,,1610612751,10,18,2021-05-23T00:32:11Z,570000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M07.00S,2021-05-23T00:29:00.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612751,10,18,2021-05-23T00:32:11Z,580000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M07.00S,2021-05-23T00:29:00.7Z,1,REGULAR,substitution,in,[],1628971,,,1610612751,10,18,2021-05-23T00:32:11Z,590000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M07.00S,2021-05-23T00:29:00.7Z,1,REGULAR,substitution,in,[],201145,,,1610612751,10,18,2021-05-23T00:32:11Z,600000,,,0,,SUB in: J. Green,[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M07.00S,2021-05-23T00:29:00.7Z,1,REGULAR,substitution,in,[],1630174,,,1610612751,10,18,2021-05-23T00:32:11Z,610000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT04M57.00S,2021-05-23T00:32:45.3Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612751,10,18,2021-05-23T00:33:01Z,620000,,,0,,K. Walker shooting personal FOUL (1 PF) (Durant 2 FT),"[202689, 201142]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,,,1198.0,,,,,1.0,0.0,Durant,201142.0,,,
65,PT04M57.00S,2021-05-23T00:33:13.1Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,11,18,2021-05-23T00:33:13Z,640000,,,0,,K. Durant Free Throw 1 of 2 (5 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,Made,,,,,,5.0,,,,,,,,,,
66,PT04M57.00S,2021-05-23T00:33:29.1Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,12,18,2021-05-23T00:33:29Z,650000,,,0,,K. Durant Free Throw 2 of 2 (6 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,Made,,,,,,6.0,,,,,,,,,,
67,PT04M47.00S,2021-05-23T00:33:43.0Z,1,REGULAR,foul,personal,[],201145,,,1610612738,12,18,2021-05-23T00:34:01Z,660000,,,0,,J. Green personal FOUL (1 PF),"[201145, 202689]",1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,201639.0,,,,,1.0,0.0,Walker,202689.0,,,
69,PT04M47.00S,2021-05-23T00:33:54.7Z,1,REGULAR,substitution,out,[],202684,,,1610612738,12,18,2021-05-23T00:33:59Z,680000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT04M47.00S,2021-05-23T00:33:54.7Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,12,18,2021-05-23T00:33:59Z,690000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M39.00S,2021-05-23T00:34:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,89.04402102496715,47.372855392156865,1610612738,12,18,2021-05-23T00:34:19Z,700000,-13.0,50.0,1,right,MISS E. Fournier driving Layup,[203095],1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,,,,5.22,Missed,,,,,,,,,,,,,,,,
72,PT04M36.00S,2021-05-23T00:34:19.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,12,18,2021-05-23T00:34:19Z,710000,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,71.0,3.0,3.0,0.0,,,,,,,,,,,,
73,PT04M32.00S,2021-05-23T00:34:23.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,30.17411300919842,32.421875,1610612751,12,18,2021-05-23T00:34:29Z,720000,88.0,231.0,1,left,MISS K. Durant 24' running pullup 3PT,[201142],1610612751.0,BKN,running pullup,,,Durant,K. Durant,,,,,,,,24.73,Missed,,,,,,,,,,,,,,,,
74,PT04M30.00S,2021-05-23T00:34:25.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,12,18,2021-05-23T00:34:29Z,730000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,
75,PT04M30.00S,2021-05-23T00:34:29.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,12,18,2021-05-23T00:34:29Z,740000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M13.00S,2021-05-23T00:34:47.6Z,1,REGULAR,3pt,Jump Shot,[],203935,69.46452036793693,27.519914215686274,1610612738,12,18,2021-05-23T00:34:52Z,750000,-112.0,235.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,26.0,Missed,,,,,,,,,,,,,,,,
77,PT04M09.00S,2021-05-23T00:34:51.6Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,12,18,2021-05-23T00:34:52Z,760000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,
78,PT04M00.00S,2021-05-23T00:35:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,6.258212877792378,46.88265931372549,1610612751,14,18,2021-05-23T00:35:05Z,770000,16.0,6.0,1,left,K. Irving driving Layup (4 PTS),[202681],1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,,,,1.68,Made,,,,,,4.0,,,,,,,,,,
79,PT03M47.00S,2021-05-23T00:35:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,92.85479632063075,53.990502450980394,1610612738,14,18,2021-05-23T00:35:18Z,780000,20.0,15.0,1,right,MISS K. Walker driving Layup - blocked,"[202689, 1628971]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,,,,2.48,Missed,,,,,,,,,,,,,,Brown,1628971.0,
80,PT03M47.00S,2021-05-23T00:35:12.4Z,1,REGULAR,block,,[],1628971,,,1610612738,14,18,2021-05-23T00:35:15Z,790000,,,0,,B. Brown BLOCK (1 BLK),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT03M45.00S,2021-05-23T00:35:14.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,14,18,2021-05-23T00:35:18Z,800000,,,0,,K. Durant REBOUND (Off:0 Def:4),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,79.0,4.0,4.0,0.0,,,,,,,,,,,,
82,PT03M44.00S,2021-05-23T00:35:19.5Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612751,14,18,2021-05-23T00:35:38Z,810000,,,0,,M. Smart shooting personal FOUL (1 PF) (Durant 2 FT),"[203935, 201142]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,201639.0,,,,,1.0,0.0,Durant,201142.0,,,
84,PT03M44.00S,2021-05-23T00:35:47.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],201142,,,1610612751,15,18,2021-05-23T00:35:47Z,830000,,,0,,K. Durant Free Throw 1 of 2 (7 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,Made,,,,,,7.0,,,,,,,,,,
85,PT03M44.00S,2021-05-23T00:35:49.6Z,1,REGULAR,substitution,out,[],203095,,,1610612751,15,18,2021-05-23T00:35:58Z,840000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT03M44.00S,2021-05-23T00:35:49.6Z,1,REGULAR,substitution,in,[],203953,,,1610612751,15,18,2021-05-23T00:35:58Z,850000,,,0,,SUB in: J. Parker,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT03M44.00S,2021-05-23T00:36:13.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],201142,,,1610612751,16,18,2021-05-23T00:36:13Z,860000,,,0,,K. Durant Free Throw 2 of 2 (8 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,Made,,,,,,8.0,,,,,,,,,,
88,PT03M37.00S,2021-05-23T00:36:23.9Z,1,REGULAR,3pt,Jump Shot,[],202689,72.48685939553219,81.93167892156863,1610612738,16,18,2021-05-23T00:36:27Z,870000,160.0,206.0,1,right,MISS K. Walker 26' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,26.07,Missed,,,,,,,,,,,,,,,,
