actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
95,PT04M50.00S,2021-03-05T00:24:40.6Z,1,REGULAR,substitution,in,[],1628449,,,1610612738,21,21,2021-03-05T00:24:48Z,920000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M50.00S,2021-03-05T00:25:03.4Z,1,REGULAR,freethrow,2 of 2,[],202689,,,1610612738,22,21,2021-03-05T00:25:03Z,930000,,,0,,K. Walker Free Throw 2 of 2 (6 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
97,PT04M43.00S,2021-03-05T00:25:10.4Z,1,REGULAR,3pt,Jump Shot,[],1626181,24.52365308804205,83.40226715686273,1610612761,22,21,2021-03-05T00:25:17Z,940000,-167.0,178.0,1,left,MISS N. Powell 24' pullup 3PT,[1626181],1610612761.0,TOR,pullup,,,Powell,N. Powell,,,,,24.41,Missed,,,,,,,,,,,,,,,,,,
98,PT04M41.00S,2021-03-05T00:25:12.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,22,21,2021-03-05T00:25:17Z,950000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,97.0,1.0,1.0,0.0,,,,,,,,,,
99,PT04M36.00S,2021-03-05T00:25:18.3Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612738,22,21,2021-03-05T00:25:22Z,960000,,,0,,K. Walker bad pass TURNOVER (2 TO),"[202689, 1626169]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,2.0,,,Johnson,1626169.0
100,PT04M36.00S,2021-03-05T00:25:18.3Z,1,REGULAR,steal,,[],1626169,,,1610612761,22,21,2021-03-05T00:25:20Z,970000,,,0,,S. Johnson STEAL (1 STL),[1626169],1610612761.0,TOR,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M26.00S,2021-03-05T00:25:27.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626169,7.30946123521682,95.16697303921569,1610612761,22,21,2021-03-05T00:25:35Z,980000,-226.0,16.0,1,left,MISS S. Johnson 3PT,[1626169],1610612761.0,TOR,,,,Johnson,S. Johnson,,,,,22.64,Missed,,,,,,,,,,,,,,,,,,
102,PT04M24.00S,2021-03-05T00:25:29.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,22,21,2021-03-05T00:25:35Z,990000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,101.0,2.0,2.0,0.0,,,,,,,,,,
103,PT04M12.00S,2021-03-05T00:25:43.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626181,,,1610612738,22,21,2021-03-05T00:25:49Z,1000000,,,0,,N. Powell personal FOUL (1 PF) (Brown 2 FT),"[1626181, 1627759]",1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,1162.0,1.0,0.0,Brown,1627759.0,,,,,
105,PT04M12.00S,2021-03-05T00:26:10.1Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,22,21,2021-03-05T00:26:10Z,1020000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,
106,PT04M12.00S,2021-03-05T00:26:10.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,22,21,2021-03-05T00:26:10Z,1030000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,
107,PT04M12.00S,2021-03-05T00:26:26.4Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,23,21,2021-03-05T00:26:26Z,1040000,,,0,,J. Brown Free Throw 2 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
108,PT03M55.00S,2021-03-05T00:26:50.9Z,1,REGULAR,3pt,Jump Shot,[],1629056,24.392247043363994,83.64736519607843,1610612761,23,24,2021-03-05T00:26:57Z,1050000,-168.0,177.0,1,left,T. Davis 24' 3PT pullup (3 PTS),[1629056],1610612761.0,TOR,pullup,,,Davis,T. Davis,,,,,24.4,Made,3.0,,,,,,,,,,,,,,,,,
109,PT03M40.00S,2021-03-05T00:27:05.8Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,23,24,2021-03-05T00:27:28Z,1060000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 200768]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1.0,,,Lowry,200768.0
110,PT03M40.00S,2021-03-05T00:27:05.8Z,1,REGULAR,steal,,[],200768,,,1610612761,23,24,2021-03-05T00:39:01Z,1070000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M40.00S,2021-03-05T00:27:10.2Z,1,REGULAR,foul,personal,[],1627759,,,1610612761,23,24,2021-03-05T01:26:24Z,1080000,,,0,,J. Brown take personal FOUL (2 PF),"[1627759, 200768]",1610612738.0,BOS,take,,,Brown,J. Brown,,,,,,,,,,,,,,,201638.0,2.0,0.0,Lowry,200768.0,,,,,
113,PT03M40.00S,2021-03-05T00:27:19.0Z,1,REGULAR,substitution,out,[],202689,,,1610612761,23,24,2021-03-05T00:27:27Z,1100000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M40.00S,2021-03-05T00:27:19.0Z,1,REGULAR,substitution,out,[],1626181,,,1610612761,23,24,2021-03-05T00:27:27Z,1110000,,,0,,SUB out: N. Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M40.00S,2021-03-05T00:27:19.0Z,1,REGULAR,substitution,in,[],201952,,,1610612761,23,24,2021-03-05T00:27:27Z,1120000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M40.00S,2021-03-05T00:27:19.0Z,1,REGULAR,substitution,in,[],1628778,,,1610612761,23,24,2021-03-05T00:27:27Z,1130000,,,0,,SUB in: P. Watson,[1628778],1610612761.0,TOR,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M25.00S,2021-03-05T00:27:53.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626169,7.178055190538765,45.41207107843137,1610612761,23,24,2021-03-05T00:28:02Z,1140000,23.0,15.0,1,left,MISS S. Johnson driving Layup - blocked,"[1626169, 1629057]",1610612761.0,TOR,driving,,,Johnson,S. Johnson,,,,,2.74,Missed,,,,,,,,,,,,,,,Williams III,1629057.0,,
118,PT03M25.00S,2021-03-05T00:27:53.4Z,1,REGULAR,block,,[],1629057,,,1610612761,23,24,2021-03-05T00:27:55Z,1150000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M24.00S,2021-03-05T00:27:54.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,23,24,2021-03-05T00:28:02Z,1160000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,
120,PT03M24.00S,2021-03-05T00:27:58.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,23,24,2021-03-05T00:27:58Z,1170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M17.00S,2021-03-05T00:28:16.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628449,28.465834428383708,23.598345588235293,1610612761,23,27,2021-03-05T00:28:22Z,1180000,132.0,215.0,1,left,C. Boucher 25' 3PT  (3 PTS) (S. Johnson 1 AST),"[1628449, 1626169]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,25.24,Made,3.0,S. Johnson,1626169.0,1.0,,,,,,,,,,,,,,
123,PT02M50.00S,2021-03-05T00:28:44.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,23,27,2021-03-05T00:28:44Z,1200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M50.00S,2021-03-05T00:28:52.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,23,27,2021-03-05T00:28:52Z,1210000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M50.00S,2021-03-05T00:31:15.8Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,23,27,2021-03-05T00:31:27Z,1220000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M50.00S,2021-03-05T00:31:15.8Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,23,27,2021-03-05T00:31:27Z,1230000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M48.00S,2021-03-05T00:31:46.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,88.91261498028909,44.676776960784316,1610612738,23,27,2021-03-05T00:32:04Z,1240000,-27.0,52.0,1,right,MISS R. Williams III cutting Layup,[1629057],1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,5.81,Missed,,,,,,,,,,,,,,,,,,
128,PT02M47.00S,2021-03-05T00:31:47.7Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,23,27,2021-03-05T00:31:54Z,1250000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,127.0,3.0,2.0,1.0,,,,,,,,,,
129,PT02M46.00S,2021-03-05T00:31:49.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629057,94.40999984741211,50.0,1610612738,25,27,2021-03-05T00:32:00Z,1260000,0.0,0.0,1,right,R. Williams III tip Layup (2 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
130,PT02M30.00S,2021-03-05T00:32:04.1Z,1,REGULAR,3pt,Jump Shot,[],1628449,28.728646517739815,26.049325980392158,1610612761,25,30,2021-03-05T00:32:09Z,1270000,120.0,218.0,1,left,C. Boucher 24' 3PT  (6 PTS) (K. Lowry 4 AST),"[1628449, 200768]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,24.83,Made,6.0,K. Lowry,200768.0,4.0,,,,,,,,,,,,,,
132,PT02M22.00S,2021-03-05T00:32:14.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628778,,,1610612738,25,30,2021-03-05T00:32:23Z,1290000,,,0,,P. Watson shooting personal FOUL (1 PF) (Teague 2 FT),"[1628778, 201952]",1610612761.0,TOR,shooting,,,Watson,P. Watson,,,,,,,,,,,,,,,201638.0,1.0,0.0,Teague,201952.0,,,,,
134,PT02M22.00S,2021-03-05T00:32:35.9Z,1,REGULAR,freethrow,1 of 2,[],201952,,,1610612738,25,30,2021-03-05T00:32:36Z,1310000,,,0,,MISS J. Teague Free Throw 1 of 2,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,Missed,,,,,,,,,,,,,,,,,,
135,PT02M22.00S,2021-03-05T00:32:35.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,25,30,2021-03-05T00:32:36Z,1320000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,
136,PT02M22.00S,2021-03-05T00:32:45.0Z,1,REGULAR,substitution,out,[],1626169,,,1610612738,25,30,2021-03-05T00:32:56Z,1330000,,,0,,SUB out: S. Johnson,[1626169],1610612761.0,TOR,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M22.00S,2021-03-05T00:32:45.0Z,1,REGULAR,substitution,in,[],203382,,,1610612738,25,30,2021-03-05T00:32:56Z,1340000,,,0,,SUB in: A. Baynes,[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M22.00S,2021-03-05T00:33:08.6Z,1,REGULAR,freethrow,2 of 2,[],201952,,,1610612738,26,30,2021-03-05T00:33:08Z,1350000,,,0,,J. Teague Free Throw 2 of 2 (1 PTS),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
139,PT02M13.00S,2021-03-05T00:33:22.8Z,1,REGULAR,turnover,out-of-bounds,[],1629056,,,1610612761,26,30,2021-03-05T00:33:30Z,1360000,,,0,,T. Davis step out-of-bounds TURNOVER (1 TO),[1629056],1610612761.0,TOR,step,,,Davis,T. Davis,,,,,,,,,,,,,,,1162.0,,,,,1.0,,,,
140,PT02M02.00S,2021-03-05T00:33:44.9Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,26,30,2021-03-05T00:33:55Z,1370000,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,bad pass,,,Williams III,R. Williams III,,,,,,,,,,,,,,,202049.0,,,,,1.0,,,,
141,PT01M51.00S,2021-03-05T00:34:07.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],200768,25.706307490144546,43.69638480392157,1610612761,26,30,2021-03-05T00:34:16Z,1380000,32.0,189.0,1,left,MISS K. Lowry 19' step back Shot,[200768],1610612761.0,TOR,step back,,,Lowry,K. Lowry,,,,,19.17,Missed,,,,,,,,,,,,,,,,,,
142,PT01M49.00S,2021-03-05T00:34:09.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,26,30,2021-03-05T00:34:16Z,1390000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,141.0,3.0,3.0,0.0,,,,,,,,,,
143,PT01M44.00S,2021-03-05T00:34:14.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,82.7365308804205,3.5003063725490198,1610612738,29,30,2021-03-05T00:34:19Z,1400000,-232.0,110.0,1,right,P. Pritchard 25' 3PT  (3 PTS) (J. Tatum 2 AST),"[1630202, 1628369]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,25.71,Made,3.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,
145,PT01M28.00S,2021-03-05T00:34:30.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203382,9.149145860709593,54.48069852941176,1610612761,29,32,2021-03-05T00:34:37Z,1420000,-22.0,34.0,1,left,A. Baynes driving Hook (7 PTS) (K. Lowry 5 AST),"[203382, 200768]",1610612761.0,TOR,driving,,,Baynes,A. Baynes,,,,,4.03,Made,7.0,K. Lowry,200768.0,5.0,,,,,,,,,,,,,,
146,PT01M17.00S,2021-03-05T00:34:45.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,29,32,2021-03-05T00:34:45Z,1430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M17.00S,2021-03-05T00:34:48.1Z,1,REGULAR,substitution,out,[],200768,,,1610612738,29,32,2021-03-05T00:34:51Z,1440000,,,0,,SUB out: K. Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M17.00S,2021-03-05T00:34:48.1Z,1,REGULAR,substitution,in,[],1627761,,,1610612738,29,32,2021-03-05T00:34:51Z,1450000,,,0,,SUB in: D. Bembry,[1627761],1610612761.0,TOR,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M08.00S,2021-03-05T00:35:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,90.09526938239159,47.127757352941174,1610612738,29,32,2021-03-05T00:35:18Z,1460000,-14.0,41.0,1,right,MISS J. Tatum driving finger roll Layup,[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,4.31,Missed,,,,,,,,,,,,,,,,,,
151,PT01M06.00S,2021-03-05T00:35:15.8Z,1,REGULAR,rebound,defensive,[],203382,,,1610612761,29,32,2021-03-05T00:35:18Z,1470000,,,0,,A. Baynes REBOUND (Off:3 Def:2),[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,,,,,,,150.0,5.0,2.0,3.0,,,,,,,,,,
152,PT00M59.80S,2021-03-05T00:35:22.1Z,1,REGULAR,3pt,Jump Shot,[],1628449,27.94021024967148,21.39246323529412,1610612761,29,32,2021-03-05T00:35:27Z,1480000,143.0,210.0,1,left,MISS C. Boucher 25' 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,25.41,Missed,,,,,,,,,,,,,,,,,,
153,PT00M57.90S,2021-03-05T00:35:24.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,29,32,2021-03-05T00:35:27Z,1490000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,152.0,4.0,3.0,1.0,,,,,,,,,,
154,PT00M45.40S,2021-03-05T00:35:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201952,92.46057818659659,50.55912990196079,1610612738,31,32,2021-03-05T00:35:42Z,1500000,3.0,18.0,1,right,J. Teague cutting finger roll Layup (3 PTS) (R. Williams III 1 AST),"[201952, 1629057]",1610612738.0,BOS,cutting finger roll,,,Teague,J. Teague,,,,,1.86,Made,3.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,
156,PT00M29.30S,2021-03-05T00:35:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628449,6.652431011826544,50.55912990196079,1610612761,31,34,2021-03-05T00:36:01Z,1520000,-3.0,10.0,1,left,C. Boucher cutting Layup (8 PTS) (D. Bembry 3 AST),"[1628449, 1627761]",1610612761.0,TOR,cutting,,,Boucher,C. Boucher,,,,,1.04,Made,8.0,D. Bembry,1627761.0,3.0,,,,,,,,,,,,,,
158,PT00M07.30S,2021-03-05T00:36:25.1Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,31,34,2021-03-05T00:36:30Z,1540000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,,,,,202049.0,,,,,1.0,,,,
159,PT00M03.90S,2021-03-05T00:36:37.4Z,1,REGULAR,foul,personal,[],1630202,,,1610612761,31,34,2021-03-05T00:36:48Z,1550000,,,0,,P. Pritchard take personal FOUL (1 PF),"[1630202, 1629056]",1610612738.0,BOS,take,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,1162.0,1.0,0.0,Davis,1629056.0,,,,,
161,PT00M00.80S,2021-03-05T00:36:58.3Z,1,REGULAR,turnover,out-of-bounds,[],1627761,,,1610612761,31,34,2021-03-05T00:37:04Z,1570000,,,0,,D. Bembry bad pass out-of-bounds TURNOVER (1 TO),[1627761],1610612761.0,TOR,bad pass,,,Bembry,D. Bembry,,,,,,,,,,,,,,,1162.0,,,,,1.0,,,,
162,PT00M00.00S,2021-03-05T00:37:24.4Z,1,REGULAR,period,end,[],0,,,1610612738,31,34,2021-03-05T00:37:24Z,1580000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-03-05T00:39:39.9Z,2,REGULAR,substitution,out,['startperiod'],1628400,,,1610612738,31,34,2021-03-05T00:39:58Z,1590000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-03-05T00:39:39.9Z,2,REGULAR,substitution,in,['startperiod'],1629684,,,1610612738,31,34,2021-03-05T00:39:58Z,1600000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-03-05T00:40:07.2Z,2,REGULAR,period,start,[],0,,,1610612761,31,34,2021-03-05T00:40:07Z,1610000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M42.00S,2021-03-05T00:40:24.7Z,2,REGULAR,3pt,Jump Shot,[],1628778,31.09395532194481,39.03952205882353,1610612761,31,34,2021-03-05T00:40:41Z,1620000,55.0,240.0,1,left,MISS P. Watson 24' 3PT,[1628778],1610612761.0,TOR,,,,Watson,P. Watson,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,
167,PT11M40.00S,2021-03-05T00:40:26.7Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,31,34,2021-03-05T00:40:41Z,1630000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,166.0,1.0,1.0,0.0,,,,,,,,,,
169,PT11M27.00S,2021-03-05T00:40:39.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,65.78515111695138,34.627757352941174,1610612738,31,34,2021-03-05T00:40:47Z,1640000,-77.0,269.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.99,Missed,,,,,,,,,,,,,,,,,,
170,PT11M25.00S,2021-03-05T00:40:41.5Z,2,REGULAR,rebound,defensive,[],1627761,,,1610612761,31,34,2021-03-05T00:40:47Z,1650000,,,0,,D. Bembry REBOUND (Off:0 Def:3),[1627761],1610612761.0,TOR,,,,Bembry,D. Bembry,,,,,,,,,,,169.0,3.0,3.0,0.0,,,,,,,,,,
171,PT11M18.00S,2021-03-05T00:40:48.2Z,2,REGULAR,turnover,bad pass,[],1627761,,,1610612761,31,34,2021-03-05T00:40:53Z,1660000,,,0,,D. Bembry bad pass TURNOVER (2 TO),"[1627761, 1628369]",1610612761.0,TOR,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,2.0,,,Tatum,1628369.0
172,PT11M18.00S,2021-03-05T00:40:48.2Z,2,REGULAR,steal,,[],1628369,,,1610612738,31,34,2021-03-05T00:40:49Z,1670000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
173,PT11M09.00S,2021-03-05T00:40:57.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,65.1281208935611,58.647365196078425,1610612738,31,34,2021-03-05T00:41:05Z,1680000,43.0,275.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.87,Missed,,,,,,,,,,,,,,,,,,
174,PT11M07.00S,2021-03-05T00:40:59.3Z,2,REGULAR,rebound,defensive,[],1628449,,,1610612761,31,34,2021-03-05T00:41:05Z,1690000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,173.0,1.0,1.0,0.0,,,,,,,,,,
175,PT10M58.00S,2021-03-05T00:41:08.6Z,2,REGULAR,3pt,Jump Shot,[],1629056,22.683968462549277,86.09834558823529,1610612761,31,37,2021-03-05T00:41:14Z,1700000,-180.0,161.0,1,left,T. Davis 24' 3PT  (6 PTS) (D. Bembry 4 AST),"[1629056, 1627761]",1610612761.0,TOR,,,,Davis,T. Davis,,,,,24.17,Made,6.0,D. Bembry,1627761.0,4.0,,,,,,,,,,,,,,
177,PT10M38.00S,2021-03-05T00:41:27.4Z,2,REGULAR,3pt,Jump Shot,[],1630202,68.28186596583443,21.637561274509803,1610612738,34,37,2021-03-05T00:41:51Z,1720000,-142.0,246.0,1,right,P. Pritchard 28' 3PT  (6 PTS) (J. Teague 1 AST),"[1630202, 201952]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,28.37,Made,6.0,J. Teague,201952.0,1.0,,,,,,,,,,,,,,
179,PT10M15.00S,2021-03-05T00:41:51.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628449,7.178055190538765,46.63756127450981,1610612761,34,39,2021-03-05T00:41:56Z,1740000,17.0,15.0,1,left,C. Boucher cutting Layup (10 PTS) (T. Davis 2 AST),"[1628449, 1629056]",1610612761.0,TOR,cutting,,,Boucher,C. Boucher,,,,,2.25,Made,10.0,T. Davis,1629056.0,2.0,,,,,,,,,,,,,,
181,PT09M56.00S,2021-03-05T00:42:09.7Z,2,REGULAR,3pt,Jump Shot,[],1629684,89.43823915900131,95.41207107843137,1610612738,37,39,2021-03-05T00:42:14Z,1760000,227.0,47.0,1,right,G. Williams 3PT  (3 PTS) (J. Tatum 3 AST),"[1629684, 1628369]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.19,Made,3.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,,,
183,PT09M37.00S,2021-03-05T00:42:31.9Z,2,REGULAR,foul,personal,[],201952,,,1610612761,37,39,2021-03-05T00:42:38Z,1780000,,,0,,J. Teague personal FOUL (1 PF),"[201952, 1627761]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,201638.0,1.0,0.0,Bembry,1627761.0,,,,,
185,PT09M26.00S,2021-03-05T00:43:02.5Z,2,REGULAR,3pt,Jump Shot,[],1628449,32.802233902759525,55.4610906862745,1610612761,37,42,2021-03-05T00:43:07Z,1800000,-27.0,256.0,1,left,C. Boucher 25' 3PT  (13 PTS) (T. Davis 3 AST),"[1628449, 1629056]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,25.73,Made,13.0,T. Davis,1629056.0,3.0,,,,,,,,,,,,,,
187,PT09M12.00S,2021-03-05T00:43:15.9Z,2,REGULAR,3pt,Jump Shot,[],1628369,78.9257555847569,93.69638480392157,1610612738,37,42,2021-03-05T00:43:24Z,1820000,218.0,146.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,
188,PT09M10.00S,2021-03-05T00:43:17.9Z,2,REGULAR,rebound,offensive,[],1630202,,,1610612738,37,42,2021-03-05T00:43:24Z,1830000,,,0,,P. Pritchard REBOUND (Off:1 Def:0),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,187.0,1.0,0.0,1.0,,,,,,,,,,
