actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
91,PT03M34.00S,2021-02-10T03:30:48.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1627759,,,1610612738,17,23,2021-02-10T03:30:48Z,880000,,,0,,J. Brown Free Throw 1 of 2 (10 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
92,PT03M34.00S,2021-02-10T03:30:50.0Z,1,REGULAR,substitution,out,[],202324,,,1610612738,17,23,2021-02-10T03:30:58Z,890000,,,0,,SUB out: D. Favors,[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M34.00S,2021-02-10T03:30:50.0Z,1,REGULAR,substitution,out,[],202711,,,1610612738,17,23,2021-02-10T03:30:58Z,900000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M34.00S,2021-02-10T03:30:50.0Z,1,REGULAR,substitution,out,[],202684,,,1610612738,17,23,2021-02-10T03:30:58Z,910000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M34.00S,2021-02-10T03:30:50.0Z,1,REGULAR,substitution,in,[],203497,,,1610612738,17,23,2021-02-10T03:30:58Z,920000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M34.00S,2021-02-10T03:30:50.0Z,1,REGULAR,substitution,in,[],1627777,,,1610612738,17,23,2021-02-10T03:30:58Z,930000,,,0,,SUB in: G. Niang,[1627777],1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M34.00S,2021-02-10T03:30:50.0Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,17,23,2021-02-10T03:30:58Z,940000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M34.00S,2021-02-10T03:31:13.8Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1627759,,,1610612738,17,24,2021-02-10T03:31:13Z,950000,,,0,,J. Brown Free Throw 2 of 2 (11 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
99,PT03M18.00S,2021-02-10T03:31:31.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,11.645860709592641,36.34344362745098,1610612762,19,24,2021-02-10T03:31:46Z,960000,68.0,57.0,1,left,J. Clarkson 8' driving floating Jump Shot (2 PTS) (D. Mitchell 1 AST),"[203903, 1628378]",1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,8.9,Made,,,,,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,
100,PT03M06.00S,2021-02-10T03:31:46.8Z,1,REGULAR,foul,personal,[],203903,,,1610612738,19,24,2021-02-10T03:31:55Z,970000,,,0,,J. Clarkson personal FOUL (1 PF),"[203903, 1627759]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,2148.0,,,,,,1.0,0.0,Brown,1627759.0
102,PT03M06.00S,2021-02-10T03:31:56.2Z,1,REGULAR,substitution,out,[],1626220,,,1610612738,19,24,2021-02-10T03:32:03Z,990000,,,0,,SUB out: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M06.00S,2021-02-10T03:31:56.2Z,1,REGULAR,substitution,out,[],1628378,,,1610612738,19,24,2021-02-10T03:32:03Z,1000000,,,0,,SUB out: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M06.00S,2021-02-10T03:31:56.2Z,1,REGULAR,substitution,in,[],1629671,,,1610612738,19,24,2021-02-10T03:32:03Z,1010000,,,0,,SUB in: M. Oni,[1629671],1610612762.0,UTA,,,,Oni,M. Oni,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M06.00S,2021-02-10T03:31:56.2Z,1,REGULAR,substitution,in,[],204060,,,1610612738,19,24,2021-02-10T03:32:03Z,1020000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M00.00S,2021-02-10T03:32:19.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,67.62483574244416,31.686580882352942,1610612738,19,27,2021-02-10T03:32:24Z,1030000,-92.0,252.0,1,right,P. Pritchard 26' 3PT  (3 PTS) (S. Ojeleye 2 AST),"[1630202, 1628400]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.79,Made,,,,,3.0,S. Ojeleye,1628400.0,2.0,,,,,,,,,,
109,PT02M31.00S,2021-02-10T03:32:46.4Z,1,REGULAR,3pt,Jump Shot,[],203903,27.151773981603156,80.95128676470588,1610612762,19,27,2021-02-10T03:32:54Z,1050000,-155.0,203.0,1,left,MISS J. Clarkson 25' step back 3PT,[203903],1610612762.0,UTA,step back,,,Clarkson,J. Clarkson,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,
110,PT02M28.00S,2021-02-10T03:32:49.4Z,1,REGULAR,rebound,offensive,[],1629671,,,1610612762,19,27,2021-02-10T03:32:54Z,1060000,,,0,,M. Oni REBOUND (Off:1 Def:0),[1629671],1610612762.0,UTA,,,,Oni,M. Oni,,,,,,,109.0,1.0,0.0,1.0,,,,,,,,,,,,,,
111,PT02M26.00S,2021-02-10T03:32:52.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],204060,6.1268068331143235,94.921875,1610612762,19,27,2021-02-10T03:32:58Z,1070000,-225.0,5.0,1,left,MISS J. Ingles 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,22.47,Missed,,,,,,,,,,,,,,,,,,
112,PT02M26.00S,2021-02-10T03:32:52.3Z,1,REGULAR,rebound,offensive,[],1627777,,,1610612762,19,27,2021-02-10T03:32:58Z,1080000,,,0,,G. Niang REBOUND (Off:1 Def:0),[1627777],1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,111.0,1.0,0.0,1.0,,,,,,,,,,,,,,
113,PT02M21.00S,2021-02-10T03:32:57.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627777,10.5946123521682,3.010110294117647,1610612762,19,27,2021-02-10T03:33:02Z,1090000,235.0,47.0,1,left,MISS G. Niang 3PT,[1627777],1610612762.0,UTA,,,,Niang,G. Niang,,,,,23.96,Missed,,,,,,,,,,,,,,,,,,
114,PT02M17.00S,2021-02-10T03:33:01.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,19,27,2021-02-10T03:33:02Z,1100000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,,
115,PT02M07.00S,2021-02-10T03:33:10.4Z,1,REGULAR,3pt,Jump Shot,[],1628464,67.36202365308804,51.049325980392155,1610612738,19,27,2021-02-10T03:40:26Z,1110000,5.0,254.0,1,right,MISS D. Theis 25' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,
116,PT02M05.00S,2021-02-10T03:33:12.4Z,1,REGULAR,rebound,defensive,[],1629671,,,1610612762,19,27,2021-02-10T03:33:17Z,1120000,,,0,,M. Oni REBOUND (Off:1 Def:1),[1629671],1610612762.0,UTA,,,,Oni,M. Oni,,,,,,,115.0,2.0,1.0,1.0,,,,,,,,,,,,,,
117,PT01M57.00S,2021-02-10T03:33:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203903,6.652431011826544,42.470894607843135,1610612762,19,27,2021-02-10T03:33:28Z,1130000,38.0,10.0,1,left,MISS J. Clarkson driving reverse Layup,[203903],1610612762.0,UTA,driving reverse,,,Clarkson,J. Clarkson,,,,,3.89,Missed,,,,,,,,,,,,,,,,,,
118,PT01M54.00S,2021-02-10T03:33:24.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,19,27,2021-02-10T03:33:28Z,1140000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,117.0,2.0,2.0,0.0,,,,,,,,,,,,,,
119,PT01M47.00S,2021-02-10T03:33:33.3Z,1,REGULAR,turnover,traveling,[],1628400,,,1610612738,19,27,2021-02-10T03:33:47Z,1150000,,,0,,S. Ojeleye traveling TURNOVER (1 TO),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,2529.0,1.0,,,,,,,,
120,PT01M47.00S,2021-02-10T03:33:52.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,19,27,2021-02-10T03:33:52Z,1160000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M47.00S,2021-02-10T03:35:51.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612762,19,27,2021-02-10T03:37:01Z,1170000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M47.00S,2021-02-10T03:35:51.9Z,1,REGULAR,substitution,out,[],1628464,,,1610612762,19,27,2021-02-10T03:37:01Z,1180000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M47.00S,2021-02-10T03:35:51.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612762,19,27,2021-02-10T03:37:01Z,1190000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M47.00S,2021-02-10T03:35:51.9Z,1,REGULAR,substitution,in,[],1628369,,,1610612762,19,27,2021-02-10T03:37:01Z,1200000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M34.00S,2021-02-10T03:37:25.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629671,11.908672798948752,96.39246323529412,1610612762,19,27,2021-02-10T03:37:32Z,1210000,-232.0,59.0,1,left,MISS M. Oni 3PT,[1629671],1610612762.0,UTA,,,,Oni,M. Oni,,,,,23.95,Missed,,,,,,,,,,,,,,,,,,
126,PT01M27.00S,2021-02-10T03:37:32.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,19,27,2021-02-10T03:37:32Z,1220000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,125.0,2.0,2.0,0.0,,,,,,,,,,,,,,
127,PT01M11.00S,2021-02-10T03:37:47.6Z,1,REGULAR,3pt,Jump Shot,[],1630202,69.59592641261499,73.35324754901961,1610612738,19,27,2021-02-10T03:37:53Z,1230000,117.0,233.0,1,right,MISS P. Pritchard 26' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,26.09,Missed,,,,,,,,,,,,,,,,,,
128,PT01M09.00S,2021-02-10T03:37:49.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,19,27,2021-02-10T03:37:53Z,1240000,,,0,,R. Gobert REBOUND (Off:2 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,127.0,4.0,2.0,2.0,,,,,,,,,,,,,,
129,PT01M00.00S,2021-02-10T03:38:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,8.886333771353483,50.314031862745104,1610612762,21,27,2021-02-10T03:38:07Z,1250000,-2.0,31.0,1,left,R. Gobert Layup (2 PTS) (J. Clarkson 1 AST),"[203497, 203903]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,3.1,Made,,,,,2.0,J. Clarkson,203903.0,1.0,,,,,,,,,,
131,PT01M00.00S,2021-02-10T03:38:03.7Z,1,REGULAR,foul,personal,['1freethrow'],1629057,,,1610612762,21,27,2021-02-10T03:38:12Z,1270000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Gobert 1 FT),"[1629057, 203497]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,1188.0,,,,,,1.0,0.0,Gobert,203497.0
133,PT01M00.00S,2021-02-10T03:38:31.6Z,1,REGULAR,freethrow,1 of 1,[],203497,,,1610612762,22,27,2021-02-10T03:38:31Z,1290000,,,0,,R. Gobert Free Throw 1 of 1 (3 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
134,PT00M40.30S,2021-02-10T03:38:53.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,87.59855453350855,51.53952205882353,1610612738,22,27,2021-02-10T03:38:58Z,1300000,8.0,64.0,1,right,MISS J. Tatum 6' floating Shot,[1628369],1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,6.46,Missed,,,,,,,,,,,,,,,,,,
135,PT00M38.40S,2021-02-10T03:38:55.7Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,22,27,2021-02-10T03:38:55Z,1310000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,134.0,2.0,1.0,1.0,,,,,,,,,,,,,,
136,PT00M32.50S,2021-02-10T03:39:01.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,67.09921156373193,40.510110294117645,1610612738,22,27,2021-02-10T03:39:07Z,1320000,-47.0,257.0,1,right,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,
137,PT00M29.30S,2021-02-10T03:39:04.8Z,1,REGULAR,rebound,defensive,[],1629671,,,1610612762,22,27,2021-02-10T03:39:07Z,1330000,,,0,,M. Oni REBOUND (Off:1 Def:2),[1629671],1610612762.0,UTA,,,,Oni,M. Oni,,,,,,,136.0,3.0,2.0,1.0,,,,,,,,,,,,,,
138,PT00M22.10S,2021-02-10T03:39:12.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,7.703679369250986,46.63756127450981,1610612762,24,27,2021-02-10T03:39:18Z,1340000,17.0,20.0,1,left,R. Gobert DUNK (5 PTS) (J. Clarkson 2 AST),"[203497, 203903]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,2.6,Made,,,,,5.0,J. Clarkson,203903.0,2.0,,,,,,,,,,
140,PT00M00.50S,2021-02-10T03:39:38.1Z,1,REGULAR,3pt,Jump Shot,[],1629684,72.61826544021025,17.22579656862745,1610612738,24,27,2021-02-10T03:39:44Z,1360000,-164.0,205.0,1,right,MISS G. Williams 26' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,26.24,Missed,,,,,,,,,,,,,,,,,,
141,PT00M00.50S,2021-02-10T03:39:38.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,24,27,2021-02-10T03:39:44Z,1370000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,
142,PT00M00.00S,2021-02-10T03:39:42.0Z,1,REGULAR,period,end,[],0,,,1610612738,24,27,2021-02-10T03:39:42Z,1380000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2021-02-10T03:43:18.1Z,2,REGULAR,period,start,[],0,,,1610612738,24,27,2021-02-10T03:43:18Z,1390000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT11M46.00S,2021-02-10T03:43:31.1Z,2,REGULAR,turnover,bad pass,[],1629684,,,1610612738,24,27,2021-02-10T03:43:34Z,1400000,,,0,,G. Williams bad pass TURNOVER (1 TO),"[1629684, 1629671]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,1.0,,,Oni,1629671.0,,,,
145,PT11M46.00S,2021-02-10T03:43:31.1Z,2,REGULAR,steal,,[],1629671,,,1610612762,24,27,2021-02-10T03:43:32Z,1410000,,,0,,M. Oni STEAL (1 STL),[1629671],1610612762.0,UTA,,,,Oni,M. Oni,,,,,,,,,,,,,,,,,,,,,,,,
146,PT11M43.00S,2021-02-10T03:43:34.5Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203903,20.45006570302234,9.872855392156863,1610612762,24,27,2021-02-10T03:43:56Z,1420000,201.0,140.0,1,left,MISS J. Clarkson 24' running pullup 3PT,[203903],1610612762.0,UTA,running pullup,,,Clarkson,J. Clarkson,,,,,24.45,Missed,,,,,,,,,,,,,,,,,,
147,PT11M39.00S,2021-02-10T03:43:38.5Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,24,27,2021-02-10T03:43:44Z,1430000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,146.0,1.0,1.0,0.0,,,,,,,,,,,,,,
148,PT11M29.00S,2021-02-10T03:43:48.0Z,2,REGULAR,3pt,Jump Shot,[],1630202,63.81406044678055,35.853247549019606,1610612738,24,27,2021-02-10T03:43:53Z,1440000,-71.0,288.0,1,right,MISS P. Pritchard 29' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,29.62,Missed,,,,,,,,,,,,,,,,,,
149,PT11M26.00S,2021-02-10T03:43:51.0Z,2,REGULAR,rebound,offensive,[],1628369,,,1610612738,24,27,2021-02-10T03:43:53Z,1450000,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,148.0,3.0,2.0,1.0,,,,,,,,,,,,,,
150,PT11M26.00S,2021-02-10T03:43:51.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,94.40999984741211,50.0,1610612738,24,29,2021-02-10T03:43:51Z,1460000,0.0,0.0,1,right,J. Tatum tip Layup (2 PTS),[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
151,PT11M20.00S,2021-02-10T03:43:59.8Z,2,REGULAR,foul,personal,[],1629684,,,1610612762,24,29,2021-02-10T03:44:32Z,1470000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 203497]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,2529.0,,,,,,1.0,0.0,Gobert,203497.0
153,PT11M16.00S,2021-02-10T03:44:22.1Z,2,REGULAR,foul,personal,[],1629684,,,1610612762,24,29,2021-02-10T03:44:27Z,1490000,,,0,,G. Williams personal FOUL (2 PF),"[1629684, 203497]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,2529.0,,,,,,2.0,0.0,Gobert,203497.0
155,PT11M06.00S,2021-02-10T03:44:51.7Z,2,REGULAR,turnover,out-of-bounds,[],1629671,,,1610612762,24,29,2021-02-10T03:45:04Z,1510000,,,0,,M. Oni step out-of-bounds TURNOVER (1 TO),[1629671],1610612762.0,UTA,step,,,Oni,M. Oni,,,,,,,,,,,,,,,1188.0,1.0,,,,,,,,
156,PT10M53.00S,2021-02-10T03:45:18.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,82.86793692509855,4.235600490196079,1610612738,24,29,2021-02-10T03:45:24Z,1520000,-229.0,109.0,1,right,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,
157,PT10M49.00S,2021-02-10T03:45:22.0Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,24,29,2021-02-10T03:45:24Z,1530000,,,0,,R. Gobert REBOUND (Off:2 Def:3),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,156.0,5.0,3.0,2.0,,,,,,,,,,,,,,
158,PT10M40.00S,2021-02-10T03:45:34.3Z,2,REGULAR,foul,offensive,[],203497,,,1610612762,24,29,2021-02-10T03:45:42Z,1540000,,,0,,R. Gobert offensive FOUL (1 PF),"[203497, 1628400]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,1188.0,,,,,,1.0,0.0,Ojeleye,1628400.0
160,PT10M40.00S,2021-02-10T03:45:34.3Z,2,REGULAR,turnover,offensive foul,[],203497,,,1610612762,24,29,2021-02-10T03:45:34Z,1560000,,,0,,R. Gobert offensive foul TURNOVER (3 TO),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,1188.0,3.0,,,,,,,,
161,PT10M22.00S,2021-02-10T03:46:51.9Z,2,REGULAR,jumpball,recovered,[],1629057,,,1610612738,24,29,2021-02-10T03:46:51Z,1570000,,,0,,Jump Ball J. Tatum vs. J. Ingles: Tip to R. Williams III,"[1629057, 1628369, 204060]",1610612738.0,BOS,heldball,R. Williams III,1629057.0,Williams III,R. Williams III,Tatum,1628369.0,Ingles,204060.0,,,,,,,,,,,,,,,,,,,,
164,PT10M22.00S,2021-02-10T03:46:53.6Z,2,REGULAR,foul,personal,[],1627777,,,1610612738,24,29,2021-02-10T03:47:06Z,1600000,,,0,,G. Niang personal FOUL (1 PF),"[1627777, 1629684]",1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,,,,,,,,,2529.0,,,,,,1.0,0.0,Williams,1629684.0
166,PT10M11.00S,2021-02-10T03:47:18.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629684,91.67214191852825,36.58854166666667,1610612738,24,29,2021-02-10T03:47:26Z,1620000,-67.0,26.0,1,right,MISS G. Williams 7' step back Shot,[1629684],1610612738.0,BOS,step back,,,Williams,G. Williams,,,,,7.19,Missed,,,,,,,,,,,,,,,,,,
167,PT10M09.00S,2021-02-10T03:47:20.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612762,24,29,2021-02-10T03:47:29Z,1630000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,
168,PT10M09.00S,2021-02-10T03:47:23.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,24,29,2021-02-10T03:47:29Z,1640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT10M01.00S,2021-02-10T03:47:43.2Z,2,REGULAR,turnover,bad pass,[],204060,,,1610612762,24,29,2021-02-10T03:47:47Z,1650000,,,0,,J. Ingles bad pass TURNOVER (1 TO),"[204060, 1629684]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,1.0,,,Williams,1629684.0,,,,
170,PT10M01.00S,2021-02-10T03:47:43.2Z,2,REGULAR,steal,,[],1629684,,,1610612738,24,29,2021-02-10T03:47:45Z,1660000,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
171,PT09M54.00S,2021-02-10T03:47:50.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629684,88.91261498028909,39.77481617647059,1610612738,24,29,2021-02-10T03:47:56Z,1670000,-51.0,52.0,1,right,MISS G. Williams 7' floating Shot,[1629684],1610612738.0,BOS,floating,,,Williams,G. Williams,,,,,7.27,Missed,,,,,,,,,,,,,,,,,,
172,PT09M50.00S,2021-02-10T03:47:54.4Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,24,29,2021-02-10T03:47:56Z,1680000,,,0,,R. Gobert REBOUND (Off:2 Def:4),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,171.0,6.0,4.0,2.0,,,,,,,,,,,,,,
173,PT09M41.00S,2021-02-10T03:48:02.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203497,6.521024967148489,51.294424019607845,1610612762,26,29,2021-02-10T03:48:07Z,1690000,-6.0,9.0,1,left,R. Gobert Layup (7 PTS) (J. Clarkson 3 AST),"[203497, 203903]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,1.09,Made,,,,,7.0,J. Clarkson,203903.0,3.0,,,,,,,,,,
175,PT09M24.00S,2021-02-10T03:48:19.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.77463863337714,52.76501225490197,1610612738,26,29,2021-02-10T03:48:25Z,1710000,14.0,6.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.5,Missed,,,,,,,,,,,,,,,,,,
176,PT09M19.00S,2021-02-10T03:48:24.5Z,2,REGULAR,rebound,offensive,[],1628400,,,1610612738,26,29,2021-02-10T03:48:25Z,1720000,,,0,,S. Ojeleye REBOUND (Off:1 Def:0),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,175.0,1.0,0.0,1.0,,,,,,,,,,,,,,
177,PT09M07.00S,2021-02-10T03:48:36.4Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1629057,84.31340341655716,81.93167892156863,1610612738,26,29,2021-02-10T03:48:42Z,1730000,160.0,95.0,1,right,MISS R. Williams III 18' Jump Shot,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,18.58,Missed,,,,,,,,,,,,,,,,,,
178,PT09M04.00S,2021-02-10T03:48:39.4Z,2,REGULAR,rebound,defensive,[],204060,,,1610612762,26,29,2021-02-10T03:48:42Z,1740000,,,0,,J. Ingles REBOUND (Off:0 Def:1),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,177.0,1.0,1.0,0.0,,,,,,,,,,,,,,
179,PT08M47.00S,2021-02-10T03:48:56.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203903,10.5946123521682,35.60814950980392,1610612762,28,29,2021-02-10T03:49:02Z,1750000,72.0,47.0,1,left,J. Clarkson 8' turnaround Hook (4 PTS),[203903],1610612762.0,UTA,turnaround,,,Clarkson,J. Clarkson,,,,,8.6,Made,,,,,4.0,,,,,,,,,,,,,
180,PT08M25.00S,2021-02-10T03:49:19.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,92.9862023653088,65.26501225490196,1610612738,28,29,2021-02-10T03:52:59Z,1760000,76.0,13.0,1,right,MISS J. Tatum 7' floating Shot,[1628369],1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,7.75,Missed,,,,,,,,,,,,,,,,,,
