actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
35,PT09M32.00S,2021-05-30T23:08:03.6Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,12,7,2021-05-30T23:08:03Z,350000,,,0,,J. Tatum Free Throw 1 of 2 (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
36,PT09M32.00S,2021-05-30T23:08:24.2Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,13,7,2021-05-30T23:08:24Z,360000,,,0,,J. Tatum Free Throw 2 of 2 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
37,PT09M17.00S,2021-05-30T23:08:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,16.770696452036795,40.75520833333333,1610612751,13,7,2021-05-30T23:09:25Z,370000,46.0,105.0,1,left,MISS K. Durant 11' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,11.48,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M15.00S,2021-05-30T23:08:44.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,13,7,2021-05-30T23:08:46Z,380000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,
39,PT09M05.00S,2021-05-30T23:08:54.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,82.9993429697766,31.196384803921568,1610612738,15,7,2021-05-30T23:08:59Z,390000,-94.0,107.0,1,right,J. Tatum 14' turnaround fadeaway Jump Shot (9 PTS),[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,14.27,Made,9.0,,,,,,,,,,,,,,,,,,
40,PT08M56.00S,2021-05-30T23:09:05.2Z,1,REGULAR,foul,personal,['2freethrow'],203095,,,1610612751,15,7,2021-05-30T23:09:13Z,400000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Harden 2 FT),"[203095, 201935]",1610612738.0,BOS,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Harden,201935.0,,,
42,PT08M56.00S,2021-05-30T23:09:39.8Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612751,15,8,2021-05-30T23:09:39Z,420000,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
43,PT08M56.00S,2021-05-30T23:09:58.8Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612751,15,9,2021-05-30T23:09:58Z,430000,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
44,PT08M43.00S,2021-05-30T23:10:16.6Z,1,REGULAR,2pt,Jump Shot,[],1629641,93.24901445466492,71.6375612745098,1610612738,15,9,2021-05-30T23:10:27Z,440000,108.0,11.0,1,right,MISS R. Langford 10' driving floating Shot,[1629641],1610612738.0,BOS,driving floating,,,Langford,R. Langford,,,,,10.88,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M42.00S,2021-05-30T23:10:17.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,15,9,2021-05-30T23:10:27Z,450000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,
