actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
97,PT03M42.00S,2021-04-07T00:03:41.2Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,16,15,2021-04-07T00:04:30Z,940000,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,,,95.0,2.0,1.0,1.0,,,,,,,,,,,
98,PT03M41.00S,2021-04-07T00:03:45.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202689,,,1610612755,16,15,2021-04-07T00:03:58Z,950000,,,0,,K. Walker shooting personal FOUL (1 PF) (Embiid 2 FT),"[202689, 203954]",1610612738.0,BOS,shooting,,,,,,202049.0,,Walker,K. Walker,,,,,,,,1.0,0.0,Embiid,203954.0,,,,,,,
100,PT03M41.00S,2021-04-07T00:04:15.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,16,16,2021-04-07T00:04:15Z,970000,,,0,,J. Embiid Free Throw 1 of 2 (9 PTS),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,Made,9.0,,,,,,,,,,,,,,,
101,PT03M41.00S,2021-04-07T00:04:20.0Z,1,REGULAR,substitution,out,[],203552,,,1610612755,16,16,2021-04-07T00:04:33Z,980000,,,0,,SUB out: S. Curry,[203552],1610612755.0,PHI,,,,,,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,
102,PT03M41.00S,2021-04-07T00:04:20.0Z,1,REGULAR,substitution,in,[],203118,,,1610612755,16,16,2021-04-07T00:04:33Z,990000,,,0,,SUB in: M. Scott,[203118],1610612755.0,PHI,,,,,,,,,Scott,M. Scott,,,,,,,,,,,,,,,,,,
103,PT03M41.00S,2021-04-07T00:04:41.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,16,17,2021-04-07T00:04:41Z,1000000,,,0,,J. Embiid Free Throw 2 of 2 (10 PTS),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,Made,10.0,,,,,,,,,,,,,,,
104,PT03M29.00S,2021-04-07T00:04:54.8Z,1,REGULAR,3pt,Jump Shot,[],202689,66.96780551905388,34.872855392156865,1610612738,19,17,2021-04-07T00:04:59Z,1010000,-76.0,258.0,1,right,K. Walker 26' 3PT pullup (3 PTS),[202689],1610612738.0,BOS,pullup,,,,,,,,Walker,K. Walker,26.88,Made,3.0,,,,,,,,,,,,,,,
105,PT03M07.00S,2021-04-07T00:05:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,9.806176084099869,45.65716911764706,1610612755,19,17,2021-04-07T00:06:20Z,1020000,22.0,40.0,1,left,MISS T. Harris driving finger roll Layup,[202699],1610612755.0,PHI,driving finger roll,,,,,,,,Harris,T. Harris,4.52,Missed,,,,,,,,,,,,,,,,
106,PT03M06.00S,2021-04-07T00:05:19.2Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,19,17,2021-04-07T00:05:37Z,1030000,,,0,,J. Embiid REBOUND (Off:2 Def:1),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,,,105.0,3.0,1.0,2.0,,,,,,,,,,,
107,PT03M05.00S,2021-04-07T00:05:23.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612755,19,17,2021-04-07T00:05:30Z,1040000,,,0,,G. Williams shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629684, 203954]",1610612738.0,BOS,shooting,,,,,,202056.0,,Williams,G. Williams,,,,,,,,1.0,0.0,Embiid,203954.0,,,,,,,
109,PT03M05.00S,2021-04-07T00:05:45.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,19,18,2021-04-07T00:05:45Z,1060000,,,0,,J. Embiid Free Throw 1 of 2 (11 PTS),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,Made,11.0,,,,,,,,,,,,,,,
110,PT03M05.00S,2021-04-07T00:05:47.8Z,1,REGULAR,substitution,out,[],1627759,,,1610612755,19,18,2021-04-07T00:05:53Z,1070000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,,,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,
111,PT03M05.00S,2021-04-07T00:05:47.8Z,1,REGULAR,substitution,out,[],202689,,,1610612755,19,18,2021-04-07T00:05:53Z,1080000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,,,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,
112,PT03M05.00S,2021-04-07T00:05:47.8Z,1,REGULAR,substitution,in,[],1630202,,,1610612755,19,18,2021-04-07T00:05:53Z,1090000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,
113,PT03M05.00S,2021-04-07T00:05:47.8Z,1,REGULAR,substitution,in,[],1628369,,,1610612755,19,18,2021-04-07T00:05:53Z,1100000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
114,PT03M05.00S,2021-04-07T00:06:13.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,19,19,2021-04-07T00:06:13Z,1110000,,,0,,J. Embiid Free Throw 2 of 2 (12 PTS),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,Made,12.0,,,,,,,,,,,,,,,
115,PT02M53.00S,2021-04-07T00:06:28.8Z,1,REGULAR,turnover,lost ball,[],1629684,,,1610612738,19,19,2021-04-07T00:06:32Z,1120000,,,0,,G. Williams lost ball TURNOVER (1 TO),"[1629684, 202699]",1610612738.0,BOS,,,,,,,,1.0,Williams,G. Williams,,,,,,,,,,,,Harris,202699.0,,,,,
116,PT02M53.00S,2021-04-07T00:06:28.8Z,1,REGULAR,steal,,[],202699,,,1610612755,19,19,2021-04-07T00:06:30Z,1130000,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
117,PT02M45.00S,2021-04-07T00:06:36.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629003,30.042706964520367,24.088541666666664,1610612755,19,19,2021-04-07T00:06:41Z,1140000,130.0,230.0,1,left,MISS S. Milton 26' 3PT,[1629003],1610612755.0,PHI,,,,,,,,,Milton,S. Milton,26.39,Missed,,,,,,,,,,,,,,,,
118,PT02M43.00S,2021-04-07T00:06:39.0Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,19,19,2021-04-07T00:06:39Z,1150000,,,0,,J. Embiid REBOUND (Off:3 Def:1),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,,,117.0,4.0,1.0,3.0,,,,,,,,,,,
119,PT02M41.00S,2021-04-07T00:06:40.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203954,33.196452036793694,39.77481617647059,1610612755,19,19,2021-04-07T00:06:47Z,1160000,51.0,260.0,1,left,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,26.45,Missed,,,,,,,,,,,,,,,,
120,PT02M39.00S,2021-04-07T00:06:42.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,19,19,2021-04-07T00:06:47Z,1170000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,,,,,,Tatum,J. Tatum,,,,119.0,1.0,1.0,0.0,,,,,,,,,,,
121,PT02M27.00S,2021-04-07T00:06:54.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,64.86530880420499,45.166973039215684,1610612738,22,19,2021-04-07T00:06:58Z,1180000,-24.0,278.0,1,right,P. Pritchard 27' 3PT pullup (3 PTS) (L. Kornet 1 AST),"[1630202, 1628436]",1610612738.0,BOS,pullup,,,,,,,,Pritchard,P. Pritchard,27.89,Made,3.0,,,,,,,,,,,L. Kornet,1628436.0,1.0,,
122,PT02M03.00S,2021-04-07T00:07:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,8.754927726675426,45.90226715686275,1610612755,22,21,2021-04-07T00:07:23Z,1190000,20.0,30.0,1,left,S. Milton driving finger roll Layup (2 PTS) (M. Scott 1 AST),"[1629003, 203118]",1610612755.0,PHI,driving finger roll,,,,,,,,Milton,S. Milton,3.62,Made,2.0,,,,,,,,,,,M. Scott,203118.0,1.0,,
125,PT01M40.00S,2021-04-07T00:07:41.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,66.70499342969777,29.480698529411764,1610612738,22,21,2021-04-07T00:10:18Z,1210000,-103.0,260.0,1,right,MISS J. Tatum 28' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,,,Tatum,J. Tatum,28.0,Missed,,,,,,,,,,,,,,,,
126,PT01M37.00S,2021-04-07T00:07:44.7Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,22,21,2021-04-07T00:07:48Z,1220000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,,,,,,Harris,T. Harris,,,,125.0,1.0,1.0,0.0,,,,,,,,,,,
127,PT01M32.00S,2021-04-07T00:07:53.8Z,1,REGULAR,foul,offensive,[],202699,,,1610612755,22,21,2021-04-07T00:08:05Z,1230000,,,0,,T. Harris charge offensive FOUL (1 PF),"[202699, 1629641]",1610612755.0,PHI,charge,,,,,,202049.0,,Harris,T. Harris,,,,,,,,1.0,0.0,Langford,1629641.0,,,,,,,
129,PT01M32.00S,2021-04-07T00:07:53.8Z,1,REGULAR,turnover,offensive foul,[],202699,,,1610612755,22,21,2021-04-07T00:07:53Z,1250000,,,0,,T. Harris offensive foul TURNOVER (1 TO),[202699],1610612755.0,PHI,,,,,,,202049.0,1.0,Harris,T. Harris,,,,,,,,,,,,,,,,,,
130,PT01M32.00S,2021-04-07T00:08:07.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,22,21,2021-04-07T00:08:07Z,1260000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M32.00S,2021-04-07T00:10:33.5Z,1,REGULAR,substitution,out,[],1628436,,,1610612738,22,21,2021-04-07T00:10:57Z,1270000,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,,,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,
132,PT01M32.00S,2021-04-07T00:10:33.5Z,1,REGULAR,substitution,out,[],1629641,,,1610612738,22,21,2021-04-07T00:10:57Z,1280000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,,,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,
133,PT01M32.00S,2021-04-07T00:10:33.5Z,1,REGULAR,substitution,out,[],202699,,,1610612738,22,21,2021-04-07T00:10:57Z,1290000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
134,PT01M32.00S,2021-04-07T00:10:33.5Z,1,REGULAR,substitution,out,[],203954,,,1610612738,22,21,2021-04-07T00:10:57Z,1300000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,
135,PT01M32.00S,2021-04-07T00:10:33.5Z,1,REGULAR,substitution,in,[],203935,,,1610612738,22,21,2021-04-07T00:10:57Z,1310000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,,,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,
136,PT01M32.00S,2021-04-07T00:10:33.5Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,22,21,2021-04-07T00:10:57Z,1320000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,
137,PT01M32.00S,2021-04-07T00:10:33.5Z,1,REGULAR,substitution,in,[],1627788,,,1610612738,22,21,2021-04-07T00:10:57Z,1330000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,,,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,
138,PT01M32.00S,2021-04-07T00:10:33.5Z,1,REGULAR,substitution,in,[],2730,,,1610612738,22,21,2021-04-07T00:10:57Z,1340000,,,0,,SUB in: D. Howard,[2730],1610612755.0,PHI,,,,,,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,
139,PT01M09.00S,2021-04-07T00:11:45.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203935,75.90341655716163,73.84344362745098,1610612738,22,21,2021-04-07T00:11:50Z,1350000,119.0,174.0,1,right,MISS M. Smart 21' fadeaway Shot,[203935],1610612738.0,BOS,fadeaway,,,,,,,,Smart,M. Smart,21.09,Missed,,,,,,,,,,,,,,,,
140,PT01M07.00S,2021-04-07T00:11:47.2Z,1,REGULAR,rebound,defensive,[],1627788,,,1610612755,22,21,2021-04-07T00:11:50Z,1360000,,,0,,F. Korkmaz REBOUND (Off:0 Def:1),[1627788],1610612755.0,PHI,,,,,,,,,Korkmaz,F. Korkmaz,,,,139.0,1.0,1.0,0.0,,,,,,,,,,,
141,PT00M54.50S,2021-04-07T00:12:08.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629057,,,1610612755,22,21,2021-04-07T00:12:28Z,1370000,,,0,,R. Williams III shooting personal FOUL (3 PF) (Korkmaz 2 FT),"[1629057, 1627788]",1610612738.0,BOS,shooting,,,,,,1146.0,,Williams III,R. Williams III,,,,,,,,3.0,0.0,Korkmaz,1627788.0,,,,,,,
143,PT00M54.50S,2021-04-07T00:12:29.3Z,1,REGULAR,freethrow,1 of 2,[],1627788,,,1610612755,22,22,2021-04-07T00:12:29Z,1390000,,,0,,F. Korkmaz Free Throw 1 of 2 (1 PTS),[1627788],1610612755.0,PHI,,,,,,,,,Korkmaz,F. Korkmaz,,Made,1.0,,,,,,,,,,,,,,,
144,PT00M54.50S,2021-04-07T00:12:32.3Z,1,REGULAR,substitution,out,[],1629057,,,1610612755,22,22,2021-04-07T00:12:36Z,1400000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,
145,PT00M54.50S,2021-04-07T00:12:32.3Z,1,REGULAR,substitution,in,[],1629021,,,1610612755,22,22,2021-04-07T00:12:36Z,1410000,,,0,,SUB in: M. Wagner,[1629021],1610612738.0,BOS,,,,,,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,
146,PT00M54.50S,2021-04-07T00:12:50.8Z,1,REGULAR,freethrow,2 of 2,[],1627788,,,1610612755,22,23,2021-04-07T00:12:50Z,1420000,,,0,,F. Korkmaz Free Throw 2 of 2 (2 PTS),[1627788],1610612755.0,PHI,,,,,,,,,Korkmaz,F. Korkmaz,,Made,2.0,,,,,,,,,,,,,,,
147,PT00M44.00S,2021-04-07T00:13:07.5Z,1,REGULAR,foul,personal,['2freethrow'],1629680,,,1610612738,22,23,2021-04-07T00:13:21Z,1430000,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Smart 2 FT),"[1629680, 203935]",1610612755.0,PHI,shooting,,,,,,202049.0,,Thybulle,M. Thybulle,,,,,,,,1.0,0.0,Smart,203935.0,,,,,,,
149,PT00M44.00S,2021-04-07T00:13:36.8Z,1,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,23,23,2021-04-07T00:13:36Z,1450000,,,0,,M. Smart Free Throw 1 of 2 (4 PTS),[203935],1610612738.0,BOS,,,,,,,,,Smart,M. Smart,,Made,4.0,,,,,,,,,,,,,,,
150,PT00M44.00S,2021-04-07T00:13:53.4Z,1,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,24,23,2021-04-07T00:13:53Z,1460000,,,0,,M. Smart Free Throw 2 of 2 (5 PTS),[203935],1610612738.0,BOS,,,,,,,,,Smart,M. Smart,,Made,5.0,,,,,,,,,,,,,,,
151,PT00M36.90S,2021-04-07T00:14:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,15.850854139290407,37.32383578431372,1610612755,24,23,2021-04-07T00:14:16Z,1470000,63.0,96.0,1,left,MISS S. Milton 11' driving floating Shot,[1629003],1610612755.0,PHI,driving floating,,,,,,,,Milton,S. Milton,11.55,Missed,,,,,,,,,,,,,,,,
152,PT00M35.10S,2021-04-07T00:14:06.1Z,1,REGULAR,rebound,offensive,[],1629003,,,1610612755,24,23,2021-04-07T00:14:16Z,1480000,,,0,,S. Milton REBOUND (Off:1 Def:0),[1629003],1610612755.0,PHI,,,,,,,,,Milton,S. Milton,,,,151.0,1.0,0.0,1.0,,,,,,,,,,,
153,PT00M34.10S,2021-04-07T00:14:08.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629003,11.514454664914586,38.794424019607845,1610612755,24,25,2021-04-07T00:14:40Z,1490000,56.0,56.0,1,left,S. Milton 7' tip Layup (4 PTS),[1629003],1610612755.0,PHI,tip,,,,,,,,Milton,S. Milton,7.9,Made,4.0,,,,,,,,,,,,,,,
154,PT00M28.90S,2021-04-07T00:14:18.6Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,24,25,2021-04-07T00:14:31Z,1500000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (2 TO),[203935],1610612738.0,BOS,bad pass,,,,,,202056.0,2.0,Smart,M. Smart,,,,,,,,,,,,,,,,,,
155,PT00M05.60S,2021-04-07T00:14:50.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203118,15.719448094612352,41.490502450980394,1610612755,24,25,2021-04-07T00:15:00Z,1510000,43.0,95.0,1,left,MISS M. Scott 10' driving floating Shot,[203118],1610612755.0,PHI,driving floating,,,,,,,,Scott,M. Scott,10.43,Missed,,,,,,,,,,,,,,,,
156,PT00M04.30S,2021-04-07T00:14:51.6Z,1,REGULAR,rebound,offensive,[],1627788,,,1610612755,24,25,2021-04-07T00:15:00Z,1520000,,,0,,F. Korkmaz REBOUND (Off:1 Def:1),[1627788],1610612755.0,PHI,,,,,,,,,Korkmaz,F. Korkmaz,,,,155.0,2.0,1.0,1.0,,,,,,,,,,,
157,PT00M03.30S,2021-04-07T00:14:55.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627788,5.590000152587891,50.0,1610612755,24,25,2021-04-07T00:15:12Z,1530000,0.0,0.0,1,left,MISS F. Korkmaz tip Layup,[1627788],1610612755.0,PHI,tip,,,,,,,,Korkmaz,F. Korkmaz,0.0,Missed,,,,,,,,,,,,,,,,
158,PT00M02.30S,2021-04-07T00:14:56.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,24,25,2021-04-07T00:15:29Z,1540000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,,,,,,Tatum,J. Tatum,,,,157.0,2.0,2.0,0.0,,,,,,,,,,,
159,PT00M01.00S,2021-04-07T00:14:58.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,58.95203679369251,59.62775735294118,1610612738,24,25,2021-04-07T00:15:21Z,1550000,48.0,333.0,1,right,MISS J. Tatum 33' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,,,Tatum,J. Tatum,33.69,Missed,,,,,,,,,,,,,,,,
160,PT00M00.40S,2021-04-07T00:14:59.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,24,25,2021-04-07T00:15:21Z,1560000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,159.0,,,,,,,,,,,,,,
161,PT00M00.00S,2021-04-07T00:15:02.8Z,1,REGULAR,period,end,[],0,,,1610612738,24,25,2021-04-07T00:15:02Z,1570000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-04-07T00:17:36.8Z,2,REGULAR,substitution,out,['startperiod'],1629680,,,1610612738,24,25,2021-04-07T00:18:29Z,1580000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,,,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-04-07T00:17:36.8Z,2,REGULAR,substitution,in,['startperiod'],1627732,,,1610612738,24,25,2021-04-07T00:18:29Z,1590000,,,0,,SUB in: B. Simmons,[1627732],1610612755.0,PHI,,,,,,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-04-07T00:18:46.1Z,2,REGULAR,period,start,[],0,,,1610612755,24,25,2021-04-07T00:18:46Z,1600000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M48.00S,2021-04-07T00:18:57.5Z,2,REGULAR,turnover,bad pass,[],1627732,,,1610612755,24,25,2021-04-07T00:19:01Z,1610000,,,0,,B. Simmons bad pass TURNOVER (1 TO),"[1627732, 1630202]",1610612755.0,PHI,,,,,,,,1.0,Simmons,B. Simmons,,,,,,,,,,,,Pritchard,1630202.0,,,,,
166,PT11M48.00S,2021-04-07T00:18:57.5Z,2,REGULAR,steal,,[],1630202,,,1610612738,24,25,2021-04-07T00:18:59Z,1620000,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,
167,PT11M41.00S,2021-04-07T00:19:04.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,64.60249671484888,54.970894607843135,1610612738,27,25,2021-04-07T00:19:10Z,1630000,25.0,280.0,1,right,P. Pritchard 28' 3PT  (6 PTS) (M. Wagner 1 AST),"[1630202, 1629021]",1610612738.0,BOS,,,,,,,,,Pritchard,P. Pritchard,28.13,Made,6.0,,,,,,,,,,,M. Wagner,1629021.0,1.0,,
169,PT11M27.00S,2021-04-07T00:19:20.5Z,2,REGULAR,turnover,out-of-bounds,[],1627788,,,1610612755,27,25,2021-04-07T00:19:27Z,1650000,,,0,,F. Korkmaz bad pass out-of-bounds TURNOVER (1 TO),[1627788],1610612755.0,PHI,bad pass,,,,,,202056.0,1.0,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,
170,PT11M16.00S,2021-04-07T00:19:37.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,65.78515111695138,32.176776960784316,1610612738,27,25,2021-04-07T00:19:46Z,1660000,-89.0,269.0,1,right,MISS P. Pritchard 28' 3PT,[1630202],1610612738.0,BOS,,,,,,,,,Pritchard,P. Pritchard,28.35,Missed,,,,,,,,,,,,,,,,
171,PT11M14.00S,2021-04-07T00:19:39.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612755,27,25,2021-04-07T00:19:46Z,1670000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,170.0,,,,,,,,,,,,,,
172,PT11M14.00S,2021-04-07T00:19:46.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,27,25,2021-04-07T00:19:51Z,1680000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT10M59.00S,2021-04-07T00:19:59.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627788,11.777266754270697,64.03952205882352,1610612755,27,27,2021-04-07T00:20:06Z,1690000,-70.0,58.0,1,left,F. Korkmaz 9' driving floating Jump Shot (4 PTS),[1627788],1610612755.0,PHI,driving floating,,,,,,,,Korkmaz,F. Korkmaz,9.12,Made,4.0,,,,,,,,,,,,,,,
174,PT10M44.00S,2021-04-07T00:20:14.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.90407358738501,44.458486519607845,1610612738,29,27,2021-04-07T00:20:23Z,1700000,-28.0,14.0,1,right,J. Tatum driving finger roll Layup (2 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,,,,,,Tatum,J. Tatum,3.11,Made,2.0,,,,,,,,,,,,,,,
175,PT10M34.00S,2021-04-07T00:20:25.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627732,7.30946123521682,46.14736519607843,1610612755,29,29,2021-04-07T00:20:30Z,1710000,19.0,16.0,1,left,B. Simmons driving reverse Layup (4 PTS),[1627732],1610612755.0,PHI,driving reverse,,,,,,,,Simmons,B. Simmons,2.52,Made,4.0,,,,,,,,,,,,,,,
176,PT10M13.00S,2021-04-07T00:20:45.2Z,2,REGULAR,turnover,bad pass,[],203935,,,1610612738,29,29,2021-04-07T00:20:49Z,1720000,,,0,,M. Smart bad pass TURNOVER (3 TO),"[203935, 1627788]",1610612738.0,BOS,,,,,,,,3.0,Smart,M. Smart,,,,,,,,,,,,Korkmaz,1627788.0,,,,,
177,PT10M13.00S,2021-04-07T00:20:45.2Z,2,REGULAR,steal,,[],1627788,,,1610612755,29,29,2021-04-07T00:20:47Z,1730000,,,0,,F. Korkmaz STEAL (1 STL),[1627788],1610612755.0,PHI,,,,,,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,
178,PT10M01.00S,2021-04-07T00:20:57.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629003,17.296320630749015,65.75520833333334,1610612755,29,29,2021-04-07T00:21:07Z,1740000,-79.0,110.0,1,left,MISS S. Milton 13' step back Shot,[1629003],1610612755.0,PHI,step back,,,,,,,,Milton,S. Milton,13.54,Missed,,,,,,,,,,,,,,,,
179,PT09M59.00S,2021-04-07T00:20:59.6Z,2,REGULAR,rebound,defensive,[],1629021,,,1610612738,29,29,2021-04-07T00:21:07Z,1750000,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612738.0,BOS,,,,,,,,,Wagner,M. Wagner,,,,178.0,1.0,1.0,0.0,,,,,,,,,,,
180,PT09M54.00S,2021-04-07T00:21:08.3Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628369,86.67871222076215,56.68658088235294,1610612738,31,29,2021-04-07T00:21:25Z,1760000,33.0,73.0,1,right,J. Tatum 8' driving Layup (4 PTS),[1628369],1610612738.0,BOS,driving,,,,,,,,Tatum,J. Tatum,8.0,Made,4.0,,,,,,,,,,,,,,,
181,PT09M54.00S,2021-04-07T00:21:12.0Z,2,REGULAR,foul,personal,['1freethrow'],1629003,,,1610612738,31,29,2021-04-07T00:21:42Z,1770000,,,0,,S. Milton shooting personal FOUL (1 PF) (Tatum 1 FT),"[1629003, 1628369]",1610612755.0,PHI,shooting,,,,,,202049.0,,Milton,S. Milton,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,,,
183,PT09M54.00S,2021-04-07T00:21:30.0Z,2,REGULAR,substitution,out,[],1629021,,,1610612738,31,29,2021-04-07T00:21:35Z,1790000,,,0,,SUB out: M. Wagner,[1629021],1610612738.0,BOS,,,,,,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,
