actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
16,PT11M01.00S,2021-05-29T00:42:32.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,2,3,2021-05-29T00:42:32Z,160000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2021-05-29T00:42:33.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,2,3,2021-05-29T00:42:33Z,170000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M58.00S,2021-05-29T00:42:35.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203925,27.808804204993432,21.147365196078432,1610612751,2,6,2021-05-29T00:43:56Z,180000,144.0,209.0,1,left,J. Harris 25' 3PT running (3 PTS) (K. Irving 1 AST),"[203925, 202681]",1610612751.0,BKN,running,,,Harris,J. Harris,,,,,25.39,Made,,,,,3.0,,,,,,K. Irving,202681.0,1.0,,,,,,
20,PT10M46.00S,2021-05-29T00:42:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,90.75229960578186,44.676776960784316,1610612738,2,6,2021-05-29T00:43:00Z,200000,-27.0,34.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,4.35,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M43.00S,2021-05-29T00:42:50.7Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,2,6,2021-05-29T00:42:50Z,210000,,,0,,T. Thompson REBOUND (Off:2 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,20.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
22,PT10M43.00S,2021-05-29T00:42:52.8Z,1,REGULAR,foul,offensive,[],202684,,,1610612738,2,6,2021-05-29T00:43:40Z,220000,,,0,,T. Thompson charge offensive FOUL (1 PF),"[202684, 201142]",1610612738.0,BOS,charge,,,Thompson,T. Thompson,,,,,,,,,,,,2715.0,1.0,0.0,Durant,201142.0,,,,,,,,,
24,PT10M43.00S,2021-05-29T00:42:52.8Z,1,REGULAR,turnover,offensive foul,[],202684,,,1610612738,2,6,2021-05-29T00:43:39Z,240000,,,0,,T. Thompson offensive foul TURNOVER (1 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,2715.0,,,,,,,,1.0,,,,,
25,PT10M26.00S,2021-05-29T00:43:27.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201142,22.946780551905388,8.402267156862745,1610612751,2,9,2021-05-29T00:45:06Z,250000,208.0,163.0,1,left,K. Durant 26' 3PT  (3 PTS) (J. Harden 1 AST),"[201142, 201935]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,26.44,Made,,,,,3.0,,,,,,J. Harden,201935.0,1.0,,,,,,
27,PT10M09.00S,2021-05-29T00:43:44.2Z,1,REGULAR,3pt,Jump Shot,[],202689,85.23324572930355,3.7454044117647056,1610612738,2,9,2021-05-29T00:43:56Z,270000,-231.0,86.0,1,right,MISS K. Walker 24' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,24.69,Missed,,,,,,,,,,,,,,,,,,,
28,PT10M07.00S,2021-05-29T00:43:46.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,9,2021-05-29T00:43:56Z,280000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
29,PT10M07.00S,2021-05-29T00:43:49.7Z,1,REGULAR,foul,personal,[],203925,,,1610612738,2,9,2021-05-29T00:44:00Z,290000,,,0,,J. Harris loose ball personal FOUL (1 PF),"[203925, 202684]",1610612751.0,BKN,loose ball,,,Harris,J. Harris,,,,,,,,,,,,2715.0,1.0,0.0,Thompson,202684.0,,,,,,,,,
31,PT10M00.00S,2021-05-29T00:44:08.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,66.96780551905388,59.872855392156865,1610612738,2,9,2021-05-29T00:44:14Z,310000,49.0,258.0,1,right,MISS M. Smart 26' step back 3PT,[203935],1610612738.0,BOS,step back,,,Smart,M. Smart,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M57.00S,2021-05-29T00:44:11.0Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,2,9,2021-05-29T00:44:14Z,320000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M49.00S,2021-05-29T00:44:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.1268068331143235,45.90226715686275,1610612751,2,11,2021-05-29T00:44:23Z,330000,20.0,5.0,1,left,J. Harden driving Layup (5 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,2.11,Made,,,,,5.0,,,,,,,,,,,,,,
34,PT09M44.00S,2021-05-29T00:44:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,92.06636005256242,50.80422794117647,1610612738,2,11,2021-05-29T00:44:40Z,340000,4.0,22.0,1,right,MISS E. Fournier driving Layup,[203095],1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,2.25,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M42.00S,2021-05-29T00:44:28.3Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,2,11,2021-05-29T00:44:40Z,360000,,,0,,T. Thompson REBOUND (Off:3 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,34.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
37,PT09M42.00S,2021-05-29T00:44:32.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",202684,92.85479632063075,50.55912990196079,1610612738,4,11,2021-05-29T00:44:54Z,370000,3.0,15.0,1,right,T. Thompson DUNK (2 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,1.5,Made,,,,,2.0,,,,,,,,,,,,,,
38,PT09M42.00S,2021-05-29T00:44:36.6Z,1,REGULAR,violation,defensive goaltending,[],201933,,,1610612738,4,11,2021-05-29T00:44:54Z,380000,,,0,,B. Griffin defensive goaltending VIOLATION,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,2715.0,,,,,,,,,,,,,
39,PT09M29.00S,2021-05-29T00:44:57.0Z,1,REGULAR,foul,personal,['2freethrow'],203095,,,1610612751,4,11,2021-05-29T00:45:08Z,390000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Harden 2 FT),"[203095, 201935]",1610612738.0,BOS,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,201638.0,1.0,0.0,Harden,201935.0,,,,,,,,,
41,PT09M29.00S,2021-05-29T00:45:26.7Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612751,4,12,2021-05-29T00:45:26Z,410000,,,0,,J. Harden Free Throw 1 of 2 (6 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
42,PT09M29.00S,2021-05-29T00:45:45.5Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612751,4,13,2021-05-29T00:45:45Z,420000,,,0,,J. Harden Free Throw 2 of 2 (7 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
43,PT09M16.00S,2021-05-29T00:46:00.5Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,4,13,2021-05-29T00:46:05Z,430000,,,0,,M. Smart lost ball TURNOVER (1 TO),"[203935, 201142]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,1.0,Durant,201142.0,,,
44,PT09M16.00S,2021-05-29T00:46:00.5Z,1,REGULAR,steal,,[],201142,,,1610612751,4,13,2021-05-29T00:46:02Z,440000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M03.00S,2021-05-29T00:46:13.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,22.683968462549277,10.363051470588236,1610612751,4,16,2021-05-29T00:49:00Z,450000,198.0,161.0,1,left,J. Harden 25' 3PT step back (10 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,25.52,Made,,,,,10.0,,,,,,,,,,,,,,
46,PT08M44.00S,2021-05-29T00:46:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,84.1819973718791,47.61795343137255,1610612738,4,16,2021-05-29T00:46:40Z,460000,-12.0,96.0,1,right,MISS J. Tatum 9' driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,9.69,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M40.00S,2021-05-29T00:46:35.7Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,4,16,2021-05-29T00:46:40Z,470000,,,0,,T. Thompson REBOUND (Off:4 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,46.0,4.0,0.0,4.0,,,,,,,,,,,,,,,
48,PT08M40.00S,2021-05-29T00:46:35.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,4,16,2021-05-29T00:46:35Z,480000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M39.00S,2021-05-29T00:46:36.7Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,4,16,2021-05-29T00:46:36Z,490000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
50,PT08M36.00S,2021-05-29T00:46:40.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203925,8.886333771353483,3.7454044117647056,1610612751,4,19,2021-05-29T00:46:49Z,500000,231.0,31.0,1,left,J. Harris 3PT  (6 PTS) (J. Harden 2 AST),"[203925, 201935]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,23.34,Made,,,,,6.0,,,,,,J. Harden,201935.0,2.0,,,,,,
298,PT08M35.00S,2021-05-29T00:48:08.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,4,19,2021-05-29T01:48:26Z,515000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M35.00S,2021-05-29T00:49:37.1Z,1,REGULAR,substitution,out,[],202684,,,1610612738,4,19,2021-05-29T00:50:00Z,520000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M35.00S,2021-05-29T00:49:37.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,4,19,2021-05-29T00:50:00Z,530000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M18.00S,2021-05-29T00:50:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,86.28449408672799,43.20618872549019,1610612738,4,19,2021-05-29T00:50:49Z,540000,-34.0,76.0,1,right,MISS E. Fournier 8' driving Layup - blocked,"[203095, 203925]",1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,8.36,Missed,,,,,,,,,,,,,,,,,Harris,203925.0,
55,PT08M18.00S,2021-05-29T00:50:41.0Z,1,REGULAR,block,,[],203925,,,1610612738,4,19,2021-05-29T00:50:43Z,550000,,,0,,J. Harris BLOCK (1 BLK),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M15.00S,2021-05-29T00:50:44.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,4,19,2021-05-29T00:50:49Z,560000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
57,PT08M09.00S,2021-05-29T00:50:49.6Z,1,REGULAR,3pt,Jump Shot,[],201142,17.296320630749015,94.43167892156863,1610612751,4,19,2021-05-29T00:50:54Z,570000,-222.0,110.0,1,left,MISS K. Durant 24' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,24.8,Missed,,,,,,,,,,,,,,,,,,,
58,PT08M06.00S,2021-05-29T00:50:52.6Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,4,19,2021-05-29T00:50:54Z,580000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
59,PT08M04.00S,2021-05-29T00:50:57.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,4,19,2021-05-29T00:50:57Z,590000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M58.00S,2021-05-29T00:51:16.6Z,1,REGULAR,2pt,Jump Shot,[],1628369,76.03482260183968,26.784620098039213,1610612738,6,19,2021-05-29T00:51:22Z,600000,-116.0,173.0,1,right,J. Tatum 20' step back Jump Shot (2 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,20.82,Made,,,,,2.0,,,,,,,,,,,,,,
61,PT07M36.00S,2021-05-29T00:51:40.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,6,19,2021-05-29T00:51:40Z,610000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M36.00S,2021-05-29T00:51:47.9Z,1,REGULAR,substitution,out,[],203095,,,1610612751,6,19,2021-05-29T00:51:53Z,620000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M36.00S,2021-05-29T00:51:47.9Z,1,REGULAR,substitution,in,[],1629641,,,1610612751,6,19,2021-05-29T00:51:53Z,630000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M35.00S,2021-05-29T00:52:08.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,6,19,2021-05-29T00:52:08Z,640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M32.00S,2021-05-29T00:52:21.2Z,1,REGULAR,2pt,Jump Shot,[],201142,15.588042049934298,27.519914215686274,1610612751,6,19,2021-05-29T00:52:27Z,650000,112.0,94.0,1,left,MISS K. Durant 14' Jump Shot - blocked,"[201142, 1628369]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,14.65,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0,
66,PT07M32.00S,2021-05-29T00:52:21.2Z,1,REGULAR,block,,[],1628369,,,1610612751,6,19,2021-05-29T00:52:23Z,660000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M29.00S,2021-05-29T00:52:24.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,19,2021-05-29T00:52:27Z,670000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
68,PT07M26.00S,2021-05-29T00:52:26.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,93.24901445466492,47.127757352941174,1610612738,8,19,2021-05-29T00:52:31Z,680000,-14.0,11.0,1,right,J. Tatum running Layup (4 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,1.81,Made,,,,,4.0,,,,,,,,,,,,,,
69,PT07M08.00S,2021-05-29T00:52:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,5.732588699080158,54.48069852941176,1610612751,8,19,2021-05-29T00:52:49Z,690000,-22.0,1.0,1,left,MISS K. Irving driving Layup,[202681],1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,2.24,Missed,,,,,,,,,,,,,,,,,,,
70,PT07M06.00S,2021-05-29T00:52:46.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,19,2021-05-29T00:52:49Z,700000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
72,PT07M01.00S,2021-05-29T00:52:52.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628369,88.91261498028909,41.24540441176471,1610612738,10,19,2021-05-29T00:53:04Z,720000,-44.0,52.0,1,right,J. Tatum 6' driving floating Jump Shot (6 PTS),[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,6.78,Made,,,,,6.0,,,,,,,,,,,,,,
73,PT06M44.00S,2021-05-29T00:53:09.6Z,1,REGULAR,foul,offensive,[],201142,,,1610612751,10,19,2021-05-29T00:53:23Z,730000,,,0,,K. Durant charge offensive FOUL (1 PF),"[201142, 203935]",1610612751.0,BKN,charge,,,Durant,K. Durant,,,,,,,,,,,,200832.0,1.0,0.0,Smart,203935.0,,,,,,,,,
75,PT06M44.00S,2021-05-29T00:53:09.6Z,1,REGULAR,turnover,offensive foul,[],201142,,,1610612751,10,19,2021-05-29T00:53:09Z,750000,,,0,,K. Durant offensive foul TURNOVER (1 TO),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,200832.0,,,,,,,,1.0,,,,,
76,PT06M39.00S,2021-05-29T00:53:29.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203935,91.93495400788436,52.27481617647059,1610612738,12,19,2021-05-29T00:53:32Z,760000,11.0,23.0,1,right,M. Smart driving Layup (2 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,2.59,Made,,,,,2.0,,,,,,,,,,,,,,
77,PT06M24.00S,2021-05-29T00:53:44.0Z,1,REGULAR,3pt,Jump Shot,[],201935,26.757555847568987,17.22579656862745,1610612751,12,22,2021-05-29T00:53:52Z,770000,164.0,199.0,1,left,J. Harden 25' 3PT step back (13 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,25.78,Made,,,,,13.0,,,,,,,,,,,,,,
78,PT06M06.00S,2021-05-29T00:54:03.1Z,1,REGULAR,foul,personal,['2freethrow'],203925,,,1610612738,12,22,2021-05-29T00:54:13Z,780000,,,0,,J. Harris shooting personal FOUL (2 PF) (Tatum 2 FT),"[203925, 1628369]",1610612751.0,BKN,shooting,,,Harris,J. Harris,,,,,,,,,,,,2715.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,
80,PT06M06.00S,2021-05-29T00:54:31.4Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,13,22,2021-05-29T00:54:31Z,800000,,,0,,J. Tatum Free Throw 1 of 2 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
81,PT06M06.00S,2021-05-29T00:54:49.9Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,14,22,2021-05-29T00:54:49Z,810000,,,0,,J. Tatum Free Throw 2 of 2 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
82,PT05M54.00S,2021-05-29T00:55:04.8Z,1,REGULAR,2pt,Jump Shot,[],201142,21.76412614980289,62.07873774509803,1610612751,14,24,2021-05-29T00:55:11Z,820000,-60.0,152.0,1,left,K. Durant 16' turnaround Jump Shot (5 PTS) (J. Harden 3 AST),"[201142, 201935]",1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,16.37,Made,,,,,5.0,,,,,,J. Harden,201935.0,3.0,,,,,,
84,PT05M43.00S,2021-05-29T00:55:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,89.83245729303549,58.40226715686274,1610612738,16,24,2021-05-29T00:55:26Z,840000,42.0,43.0,1,right,M. Smart 6' driving Layup (4 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,6.02,Made,,,,,4.0,,,,,,,,,,,,,,
85,PT05M43.00S,2021-05-29T00:55:21.8Z,1,REGULAR,foul,personal,['1freethrow'],201933,,,1610612738,16,24,2021-05-29T00:55:30Z,850000,,,0,,B. Griffin shooting personal FOUL (1 PF) (Smart 1 FT),"[201933, 203935]",1610612751.0,BKN,shooting,,,Griffin,B. Griffin,,,,,,,,,,,,200832.0,1.0,0.0,Smart,203935.0,,,,,,,,,
87,PT05M43.00S,2021-05-29T00:55:43.7Z,1,REGULAR,freethrow,1 of 1,[],203935,,,1610612738,17,24,2021-05-29T00:55:43Z,870000,,,0,,M. Smart Free Throw 1 of 1 (5 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
88,PT05M30.00S,2021-05-29T00:55:58.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,15.325229960578188,41.73560049019608,1610612751,17,26,2021-05-29T00:56:07Z,880000,41.0,92.0,1,left,K. Durant 10' fadeaway Jump Shot (7 PTS) (J. Harden 4 AST),"[201142, 201935]",1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,10.05,Made,,,,,7.0,,,,,,J. Harden,201935.0,4.0,,,,,,
90,PT05M18.00S,2021-05-29T00:56:10.0Z,1,REGULAR,3pt,Jump Shot,[],202689,67.09921156373193,57.91207107843137,1610612738,17,26,2021-05-29T00:56:16Z,900000,40.0,257.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,,
