actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
54,PT08M01.00S,2021-05-05T23:19:49.1Z,1,REGULAR,freethrow,1 of 2,[],1628964,,,1610612753,3,13,2021-05-05T23:19:49Z,540000,,,0,,M. Bamba Free Throw 1 of 2 (1 PTS),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
55,PT08M01.00S,2021-05-05T23:19:49.9Z,1,REGULAR,substitution,out,[],1629021,,,1610612753,3,13,2021-05-05T23:19:58Z,550000,,,0,,SUB out: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M01.00S,2021-05-05T23:19:49.9Z,1,REGULAR,substitution,in,[],1629649,,,1610612753,3,13,2021-05-05T23:19:58Z,560000,,,0,,SUB in: I. Brazdeikis,[1629649],1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M01.00S,2021-05-05T23:20:03.6Z,1,REGULAR,freethrow,2 of 2,[],1628964,,,1610612753,4,13,2021-05-05T23:20:03Z,570000,,,0,,M. Bamba Free Throw 2 of 2 (2 PTS),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
58,PT07M47.00S,2021-05-05T23:20:21.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,33.85348226018397,40.510110294117645,1610612738,4,13,2021-05-05T23:20:54Z,580000,47.0,266.0,1,left,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.99,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M45.00S,2021-05-05T23:20:23.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,4,13,2021-05-05T23:20:27Z,590000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,
60,PT07M45.00S,2021-05-05T23:20:26.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,4,13,2021-05-05T23:20:26Z,600000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M31.00S,2021-05-05T23:20:41.4Z,1,REGULAR,turnover,lost ball,[],203914,,,1610612753,4,13,2021-05-05T23:20:46Z,610000,,,0,,G. Harris lost ball TURNOVER (1 TO),"[203914, 203095]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,1.0,,,,Fournier,203095.0,,,
62,PT07M31.00S,2021-05-05T23:20:41.4Z,1,REGULAR,steal,,[],203095,,,1610612738,4,13,2021-05-05T23:20:43Z,620000,,,0,,E. Fournier STEAL (2 STL),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M26.00S,2021-05-05T23:20:45.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202689,8.09789750328515,48.10814950980392,1610612738,4,15,2021-05-05T23:21:42Z,630000,9.0,24.0,1,left,K. Walker running finger roll Layup (10 PTS),[202689],1610612738.0,BOS,running finger roll,,,Walker,K. Walker,,,,,2.54,Made,,,,,10.0,,,,,,,,,,,,,,
