actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
166,PT11M38.00S,2021-05-05T23:38:13.3Z,2,REGULAR,turnover,out-of-bounds,[],1629021,,,1610612753,27,39,2021-05-05T23:38:19Z,1660000,,,0,,M. Wagner lost ball out-of-bounds TURNOVER (2 TO),[1629021],1610612753.0,ORL,lost ball,,,Wagner,M. Wagner,,,,,,,,,,,,1188.0,,,,,2.0,,,,,,,,
167,PT11M16.00S,2021-05-05T23:38:37.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,18.74178712220762,4.725796568627451,1610612738,27,39,2021-05-05T23:38:41Z,1670000,226.0,124.0,1,left,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
168,PT11M12.00S,2021-05-05T23:38:41.7Z,2,REGULAR,rebound,defensive,[],1629649,,,1610612753,27,39,2021-05-05T23:38:41Z,1680000,,,0,,I. Brazdeikis REBOUND (Off:0 Def:1),[1629649],1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
169,PT10M59.00S,2021-05-05T23:39:00.9Z,2,REGULAR,foul,offensive,[],1626184,,,1610612753,27,39,2021-05-05T23:42:48Z,1690000,,,0,,C. Randle off-the-ball offensive FOUL (1 PF),"[1626184, 1629684]",1610612753.0,ORL,off-the-ball,,,Randle,C. Randle,,,,,,,,,,,,201640.0,1.0,0.0,Williams,1629684.0,,,,,,,,,
171,PT10M59.00S,2021-05-05T23:39:00.9Z,2,REGULAR,turnover,offensive foul,[],1626184,,,1610612753,27,39,2021-05-05T23:39:00Z,1710000,,,0,,C. Randle offensive foul TURNOVER (2 TO),[1626184],1610612753.0,ORL,,,,Randle,C. Randle,,,,,,,,,,,,201640.0,,,,,2.0,,,,,,,,
172,PT10M49.00S,2021-05-05T23:39:19.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,32.14520367936925,38.549325980392155,1610612738,27,39,2021-05-05T23:39:26Z,1720000,57.0,250.0,1,left,MISS P. Pritchard 25' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
173,PT10M46.00S,2021-05-05T23:39:22.9Z,2,REGULAR,rebound,defensive,[],1629021,,,1610612753,27,39,2021-05-05T23:39:26Z,1730000,,,0,,M. Wagner REBOUND (Off:0 Def:2),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,172.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
174,PT10M38.00S,2021-05-05T23:39:30.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628414,86.67871222076215,42.470894607843135,1610612753,27,39,2021-05-05T23:39:35Z,1740000,-38.0,73.0,1,right,MISS S. Thornwell 8' driving floating Shot,[1628414],1610612753.0,ORL,driving floating,,,Thornwell,S. Thornwell,,,,,8.18,Missed,,,,,,,,,,,,,,,,,,,
175,PT10M36.00S,2021-05-05T23:39:32.7Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,27,39,2021-05-05T23:43:24Z,1750000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,174.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
176,PT10M22.00S,2021-05-05T23:39:46.7Z,2,REGULAR,3pt,Jump Shot,[],1629684,4.155716162943495,95.90226715686273,1610612738,27,39,2021-05-05T23:39:52Z,1760000,-230.0,-13.0,1,left,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,22.99,Missed,,,,,,,,,,,,,,,,,,,
177,PT10M19.00S,2021-05-05T23:39:49.7Z,2,REGULAR,rebound,defensive,[],1630181,,,1610612753,27,39,2021-05-05T23:39:52Z,1770000,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,176.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
178,PT10M14.00S,2021-05-05T23:39:54.9Z,2,REGULAR,3pt,Jump Shot,[],1629021,66.3107752956636,53.01011029411765,1610612753,27,39,2021-05-05T23:40:01Z,1780000,15.0,264.0,1,right,MISS M. Wagner 26' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,,
179,PT10M11.00S,2021-05-05T23:39:57.9Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,27,39,2021-05-05T23:40:01Z,1790000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,178.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
180,PT09M58.00S,2021-05-05T23:40:10.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,10.5946123521682,41.24540441176471,1610612738,27,39,2021-05-05T23:40:15Z,1800000,44.0,47.0,1,left,MISS P. Pritchard 6' turnaround fadeaway Shot,[1630202],1610612738.0,BOS,turnaround fadeaway,,,Pritchard,P. Pritchard,,,,,6.43,Missed,,,,,,,,,,,,,,,,,,,
181,PT09M56.00S,2021-05-05T23:40:12.9Z,2,REGULAR,rebound,defensive,[],1630181,,,1610612753,27,39,2021-05-05T23:40:15Z,1810000,,,0,,R. Hampton REBOUND (Off:0 Def:2),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,180.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
182,PT09M45.00S,2021-05-05T23:40:23.9Z,2,REGULAR,3pt,Jump Shot,[],1626184,70.25295663600527,75.3140318627451,1610612753,27,39,2021-05-05T23:42:54Z,1820000,127.0,227.0,1,right,MISS C. Randle 26' step back 3PT,[1626184],1610612753.0,ORL,step back,,,Randle,C. Randle,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,,
183,PT09M45.00S,2021-05-05T23:40:23.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612753,27,39,2021-05-05T23:42:54Z,1830000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,182.0,,,,,,,,,,,,,,,,,,
184,PT09M45.00S,2021-05-05T23:40:28.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,27,39,2021-05-05T23:40:28Z,1840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT09M45.00S,2021-05-05T23:40:29.4Z,2,REGULAR,substitution,out,[],1629649,,,1610612753,27,39,2021-05-05T23:40:37Z,1850000,,,0,,SUB out: I. Brazdeikis,[1629649],1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT09M45.00S,2021-05-05T23:40:29.4Z,2,REGULAR,substitution,in,[],1628407,,,1610612753,27,39,2021-05-05T23:40:37Z,1860000,,,0,,SUB in: D. Bacon,[1628407],1610612753.0,ORL,,,,Bacon,D. Bacon,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT09M36.00S,2021-05-05T23:40:51.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630181,79.58278580814718,92.9610906862745,1610612753,27,39,2021-05-05T23:40:57Z,1870000,215.0,139.0,1,right,MISS R. Hampton 25' step back 3PT,[1630181],1610612753.0,ORL,step back,,,Hampton,R. Hampton,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
188,PT09M32.00S,2021-05-05T23:40:55.7Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,27,39,2021-05-05T23:40:57Z,1880000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,187.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
189,PT09M28.00S,2021-05-05T23:40:58.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628400,31.750985545335087,62.32383578431373,1610612738,27,39,2021-05-05T23:41:09Z,1890000,-62.0,246.0,1,left,MISS S. Ojeleye 25' running pullup 3PT,[1628400],1610612738.0,BOS,running pullup,,,Ojeleye,S. Ojeleye,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,,
190,PT09M25.00S,2021-05-05T23:41:01.8Z,2,REGULAR,rebound,defensive,[],1630181,,,1610612753,27,39,2021-05-05T23:41:09Z,1900000,,,0,,R. Hampton REBOUND (Off:0 Def:3),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,189.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
191,PT09M18.00S,2021-05-05T23:41:08.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628407,83.13074901445466,52.029718137254896,1610612753,29,39,2021-05-05T23:41:17Z,1910000,10.0,106.0,1,right,D. Bacon 10' driving floating Jump Shot (4 PTS) (R. Hampton 2 AST),"[1628407, 1630181]",1610612753.0,ORL,driving floating,,,Bacon,D. Bacon,,,,,10.66,Made,,,,,4.0,,,,,,,R. Hampton,1630181.0,2.0,,,,,
192,PT09M09.00S,2021-05-05T23:41:20.7Z,2,REGULAR,foul,personal,[],1628414,,,1610612738,29,39,2021-05-05T23:41:30Z,1920000,,,0,,S. Thornwell personal FOUL (1 PF),"[1628414, 1629684]",1610612753.0,ORL,,,,Thornwell,S. Thornwell,,,,,,,,,,,,1188.0,1.0,0.0,Williams,1629684.0,,,,,,,,,
194,PT09M06.00S,2021-05-05T23:41:39.2Z,2,REGULAR,turnover,out-of-bounds,[],1629684,,,1610612738,29,39,2021-05-05T23:41:45Z,1940000,,,0,,G. Williams bad pass out-of-bounds TURNOVER (1 TO),[1629684],1610612738.0,BOS,bad pass,,,Williams,G. Williams,,,,,,,,,,,,202007.0,,,,,1.0,,,,,,,,
195,PT08M50.00S,2021-05-05T23:42:10.9Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628407,89.56964520367937,62.32383578431373,1610612753,29,39,2021-05-05T23:42:19Z,1950000,62.0,46.0,1,right,MISS D. Bacon 7' driving Hook,[1628407],1610612753.0,ORL,driving,,,Bacon,D. Bacon,,,,,7.66,Missed,,,,,,,,,,,,,,,,,,,
196,PT08M49.00S,2021-05-05T23:42:11.9Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,29,39,2021-05-05T23:42:19Z,1960000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,195.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
197,PT08M39.00S,2021-05-05T23:42:22.8Z,2,REGULAR,foul,personal,['2freethrow'],1629021,,,1610612738,29,39,2021-05-05T23:42:31Z,1970000,,,0,,M. Wagner shooting personal FOUL (2 PF) (Tatum 2 FT),"[1629021, 1628369]",1610612753.0,ORL,shooting,,,Wagner,M. Wagner,,,,,,,,,,,,1188.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,
199,PT08M39.00S,2021-05-05T23:42:44.2Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,29,40,2021-05-05T23:42:44Z,1990000,,,0,,J. Tatum Free Throw 1 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
200,PT08M39.00S,2021-05-05T23:42:44.9Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,29,40,2021-05-05T23:42:47Z,2000000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M39.00S,2021-05-05T23:42:44.9Z,2,REGULAR,substitution,in,[],202689,,,1610612738,29,40,2021-05-05T23:42:47Z,2010000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M39.00S,2021-05-05T23:42:59.5Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,29,41,2021-05-05T23:42:59Z,2020000,,,0,,J. Tatum Free Throw 2 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
203,PT08M15.00S,2021-05-05T23:43:24.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629021,90.62089356110381,42.96109068627451,1610612753,29,41,2021-05-05T23:43:30Z,2030000,-35.0,36.0,1,right,MISS M. Wagner driving Layup - blocked,"[1629021, 1628369]",1610612753.0,ORL,driving,,,Wagner,M. Wagner,,,,,5.01,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0,
204,PT08M15.00S,2021-05-05T23:43:24.5Z,2,REGULAR,block,,[],1628369,,,1610612753,29,41,2021-05-05T23:43:26Z,2040000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M11.00S,2021-05-05T23:43:28.5Z,2,REGULAR,rebound,offensive,[],1628414,,,1610612753,29,41,2021-05-05T23:43:30Z,2050000,,,0,,S. Thornwell REBOUND (Off:1 Def:0),[1628414],1610612753.0,ORL,,,,Thornwell,S. Thornwell,,,,,,,203.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
206,PT08M11.00S,2021-05-05T23:43:29.6Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612753,29,41,2021-05-05T23:43:36Z,2060000,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,202007.0,,,,,,,,,,,,,
207,PT08M07.00S,2021-05-05T23:43:55.3Z,2,REGULAR,foul,offensive,[],1629684,,,1610612738,29,41,2021-05-05T23:44:04Z,2070000,,,0,,G. Williams off-the-ball offensive FOUL (1 PF),"[1629684, 1628414]",1610612738.0,BOS,off-the-ball,,,Williams,G. Williams,,,,,,,,,,,,201640.0,1.0,0.0,Thornwell,1628414.0,,,,,,,,,
209,PT08M07.00S,2021-05-05T23:43:55.3Z,2,REGULAR,turnover,offensive foul,[],1629684,,,1610612738,29,41,2021-05-05T23:43:55Z,2090000,,,0,,G. Williams offensive foul TURNOVER (2 TO),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,201640.0,,,,,2.0,,,,,,,,
210,PT08M01.00S,2021-05-05T23:44:17.6Z,2,REGULAR,foul,personal,[],1630174,,,1610612753,29,41,2021-05-05T23:44:27Z,2100000,,,0,,A. Nesmith personal FOUL (2 PF),"[1630174, 1629021]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,1188.0,2.0,0.0,Wagner,1629021.0,,,,,,,,,
212,PT08M01.00S,2021-05-05T23:44:27.6Z,2,REGULAR,substitution,out,[],1629021,,,1610612753,29,41,2021-05-05T23:44:35Z,2120000,,,0,,SUB out: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M01.00S,2021-05-05T23:44:27.6Z,2,REGULAR,substitution,in,[],1628964,,,1610612753,29,41,2021-05-05T23:44:35Z,2130000,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M01.00S,2021-05-05T23:44:41.7Z,2,REGULAR,substitution,out,[],1629684,,,1610612753,29,41,2021-05-05T23:44:50Z,2140000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M01.00S,2021-05-05T23:44:41.7Z,2,REGULAR,substitution,in,[],1629057,,,1610612753,29,41,2021-05-05T23:44:50Z,2150000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M50.00S,2021-05-05T23:45:15.4Z,2,REGULAR,turnover,3-second-violation,[],1628964,,,1610612753,29,41,2021-05-05T23:45:28Z,2160000,,,0,,M. Bamba 3-second-violation TURNOVER (2 TO),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,202007.0,,,,,2.0,,,,,,,,
218,PT07M43.00S,2021-05-05T23:45:26.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202689,32.933639947437584,53.255208333333336,1610612738,29,41,2021-05-05T23:49:00Z,2170000,-16.0,257.0,1,left,MISS K. Walker 25' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,,
219,PT07M39.00S,2021-05-05T23:45:30.4Z,2,REGULAR,rebound,defensive,[],1628964,,,1610612753,29,41,2021-05-05T23:45:32Z,2180000,,,0,,M. Bamba REBOUND (Off:0 Def:4),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,218.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
220,PT07M24.00S,2021-05-05T23:45:45.0Z,2,REGULAR,2pt,Jump Shot,[],1628407,74.32654402102497,42.22579656862745,1610612753,31,41,2021-05-05T23:45:49Z,2190000,-39.0,189.0,1,right,D. Bacon 19' pullup Jump Shot (6 PTS),[1628407],1610612753.0,ORL,pullup,,,Bacon,D. Bacon,,,,,19.28,Made,,,,,6.0,,,,,,,,,,,,,,
221,PT07M09.00S,2021-05-05T23:45:59.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,6.915243101182654,47.61795343137255,1610612738,31,43,2021-05-05T23:46:07Z,2200000,12.0,13.0,1,left,R. Williams III Layup (4 PTS) (K. Walker 1 AST),"[1629057, 202689]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1.73,Made,,,,,4.0,,,,,,,K. Walker,202689.0,1.0,,,,,
223,PT06M50.00S,2021-05-05T23:46:18.5Z,2,REGULAR,2pt,Jump Shot,[],1628407,76.42904073587385,66.00030637254902,1610612753,33,43,2021-05-05T23:46:22Z,2220000,80.0,169.0,1,right,D. Bacon 18' pullup Jump Shot (8 PTS),[1628407],1610612753.0,ORL,pullup,,,Bacon,D. Bacon,,,,,18.71,Made,,,,,8.0,,,,,,,,,,,,,,
224,PT06M35.00S,2021-05-05T23:46:33.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,19.92444152431012,52.51991421568627,1610612738,33,43,2021-05-05T23:46:38Z,2230000,-13.0,135.0,1,left,MISS J. Tatum 13' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,13.54,Missed,,,,,,,,,,,,,,,,,,,
225,PT06M33.00S,2021-05-05T23:46:35.8Z,2,REGULAR,rebound,defensive,[],1628414,,,1610612753,33,43,2021-05-05T23:46:38Z,2240000,,,0,,S. Thornwell REBOUND (Off:1 Def:1),[1628414],1610612753.0,ORL,,,,Thornwell,S. Thornwell,,,,,,,224.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
226,PT06M29.00S,2021-05-05T23:46:39.9Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],1628407,76.42904073587385,26.049325980392158,1610612753,35,43,2021-05-05T23:46:48Z,2250000,-120.0,169.0,1,right,D. Bacon 20' running pullup Jump Shot (10 PTS),[1628407],1610612753.0,ORL,running pullup,,,Bacon,D. Bacon,,,,,20.72,Made,,,,,10.0,,,,,,,,,,,,,,
227,PT06M08.00S,2021-05-05T23:47:00.3Z,2,REGULAR,3pt,Jump Shot,[],1628369,32.14520367936925,51.78462009803921,1610612738,35,43,2021-05-05T23:50:57Z,2260000,-9.0,250.0,1,left,MISS J. Tatum 24' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,24.99,Missed,,,,,,,,,,,,,,,,,,,
228,PT06M03.00S,2021-05-05T23:47:05.3Z,2,REGULAR,rebound,defensive,[],1630181,,,1610612753,35,43,2021-05-05T23:47:09Z,2270000,,,0,,R. Hampton REBOUND (Off:0 Def:4),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,227.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
229,PT05M59.00S,2021-05-05T23:47:10.1Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630181,89.56964520367937,59.3826593137255,1610612753,35,43,2021-05-05T23:47:30Z,2280000,47.0,46.0,1,right,MISS R. Hampton 6' running Shot,[1630181],1610612753.0,ORL,running,,,Hampton,R. Hampton,,,,,6.53,Missed,,,,,,,,,,,,,,,,,,,
230,PT05M57.00S,2021-05-05T23:47:12.1Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,35,43,2021-05-05T23:47:17Z,2290000,,,0,,S. Ojeleye REBOUND (Off:0 Def:2),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,229.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
231,PT05M54.00S,2021-05-05T23:47:16.9Z,2,REGULAR,foul,personal,['2freethrow'],1626184,,,1610612738,35,43,2021-05-05T23:47:37Z,2300000,,,0,,C. Randle shooting personal FOUL (2 PF) (Walker 2 FT),"[1626184, 202689]",1610612753.0,ORL,shooting,,,Randle,C. Randle,,,,,,,,,,,,201640.0,2.0,0.0,Walker,202689.0,,,,,,,,,
233,PT05M54.00S,2021-05-05T23:47:41.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,35,43,2021-05-05T23:47:41Z,2320000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT05M54.00S,2021-05-05T23:47:43.8Z,2,REGULAR,substitution,out,[],1628414,,,1610612738,35,43,2021-05-05T23:50:05Z,2330000,,,0,,SUB out: S. Thornwell,[1628414],1610612753.0,ORL,,,,Thornwell,S. Thornwell,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT05M54.00S,2021-05-05T23:47:43.8Z,2,REGULAR,substitution,out,[],1626184,,,1610612738,35,43,2021-05-05T23:50:05Z,2340000,,,0,,SUB out: C. Randle,[1626184],1610612753.0,ORL,,,,Randle,C. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT05M54.00S,2021-05-05T23:47:43.8Z,2,REGULAR,substitution,out,[],1630174,,,1610612738,35,43,2021-05-05T23:50:05Z,2350000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT05M54.00S,2021-05-05T23:47:43.8Z,2,REGULAR,substitution,out,[],1628400,,,1610612738,35,43,2021-05-05T23:50:05Z,2360000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT05M54.00S,2021-05-05T23:47:43.8Z,2,REGULAR,substitution,in,[],1630175,,,1610612738,35,43,2021-05-05T23:50:05Z,2370000,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M54.00S,2021-05-05T23:47:43.8Z,2,REGULAR,substitution,in,[],1629649,,,1610612738,35,43,2021-05-05T23:50:05Z,2380000,,,0,,SUB in: I. Brazdeikis,[1629649],1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT05M54.00S,2021-05-05T23:47:43.8Z,2,REGULAR,substitution,in,[],203095,,,1610612738,35,43,2021-05-05T23:50:05Z,2390000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT05M54.00S,2021-05-05T23:47:43.8Z,2,REGULAR,substitution,in,[],203935,,,1610612738,35,43,2021-05-05T23:50:05Z,2400000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT05M54.00S,2021-05-05T23:50:28.0Z,2,REGULAR,freethrow,1 of 2,[],202689,,,1610612738,35,43,2021-05-05T23:50:28Z,2410000,,,0,,MISS K. Walker Free Throw 1 of 2,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Missed,,,,,,,,,,,,,,,,,,,
243,PT05M54.00S,2021-05-05T23:50:28.0Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,35,43,2021-05-05T23:50:28Z,2420000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,242.0,,,,,,,,,,,,,,,,,,
244,PT05M54.00S,2021-05-05T23:50:41.2Z,2,REGULAR,freethrow,2 of 2,[],202689,,,1610612738,35,44,2021-05-05T23:50:41Z,2430000,,,0,,K. Walker Free Throw 2 of 2 (13 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,13.0,,,,,,,,,,,,,,
245,PT05M43.00S,2021-05-05T23:50:58.7Z,2,REGULAR,2pt,Jump Shot,[],1630175,92.85479632063075,78.01011029411765,1610612753,35,44,2021-05-05T23:51:04Z,2440000,140.0,15.0,1,right,MISS C. Anthony 14' step back Shot,[1630175],1610612753.0,ORL,step back,,,Anthony,C. Anthony,,,,,14.09,Missed,,,,,,,,,,,,,,,,,,,
246,PT05M40.00S,2021-05-05T23:51:01.7Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,35,44,2021-05-05T23:51:04Z,2450000,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,245.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
247,PT05M29.00S,2021-05-05T23:51:12.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,12.171484888304862,60.11795343137255,1610612738,35,44,2021-05-05T23:51:23Z,2460000,-51.0,62.0,1,left,MISS E. Fournier 7' Jump Shot - blocked,"[203095, 1628964]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,7.99,Missed,,,,,,,,,,,,,,,,,Bamba,1628964.0,
248,PT05M29.00S,2021-05-05T23:51:12.7Z,2,REGULAR,block,,[],1628964,,,1610612738,35,44,2021-05-05T23:51:15Z,2470000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT05M23.00S,2021-05-05T23:51:18.7Z,2,REGULAR,rebound,offensive,[],203095,,,1610612738,35,44,2021-05-05T23:51:23Z,2480000,,,0,,E. Fournier REBOUND (Off:1 Def:0),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,247.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
