actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
31,PT09M36.00S,2021-02-14T18:13:43.0Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,4,2,2021-02-14T18:14:02Z,310000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Missed,,,,,,,,,,,,,
32,PT09M36.00S,2021-02-14T18:13:43.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,4,2,2021-02-14T18:14:02Z,320000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,
33,PT09M36.00S,2021-02-14T18:13:43.0Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,4,2,2021-02-14T18:14:02Z,330000,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Missed,,,,,,,,,,,,,
34,PT09M34.00S,2021-02-14T18:13:45.0Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,4,2,2021-02-14T18:22:58Z,340000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,33.0,1.0,0.0,1.0,,,,,
35,PT09M19.00S,2021-02-14T18:14:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,93.64323258869908,42.715992647058826,1610612738,4,2,2021-02-14T18:14:21Z,350000,-36.0,7.0,1,right,MISS J. Tatum reverse Layup,[1628369],1610612738.0,BOS,reverse,,,Tatum,J. Tatum,,,,,,,,,,3.71,Missed,,,,,,,,,,,,,
36,PT09M17.00S,2021-02-14T18:14:18.4Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,4,2,2021-02-14T18:14:18Z,360000,,,0,,J. Brown REBOUND (Off:2 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,35.0,2.0,0.0,2.0,,,,,
37,PT09M15.00S,2021-02-14T18:14:20.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627759,82.07950065703022,28.745404411764707,1610612738,4,2,2021-02-14T18:14:25Z,370000,-106.0,116.0,1,right,MISS J. Brown 15' Jump Shot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,15.73,Missed,,,,,,,,,,,,,
38,PT09M12.00S,2021-02-14T18:14:23.0Z,1,REGULAR,rebound,defensive,[],201566,,,1610612764,4,2,2021-02-14T18:14:25Z,380000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,
39,PT09M09.00S,2021-02-14T18:14:26.1Z,1,REGULAR,turnover,lost ball,[],201566,,,1610612764,4,2,2021-02-14T18:14:30Z,390000,,,0,,R. Westbrook lost ball TURNOVER (2 TO),"[201566, 1627759]",1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,2.0,,,Brown,1627759.0
40,PT09M09.00S,2021-02-14T18:14:26.1Z,1,REGULAR,steal,,[],1627759,,,1610612738,4,2,2021-02-14T18:14:27Z,400000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M07.00S,2021-02-14T18:14:28.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,95.3515111695138,55.70618872549019,1610612738,4,4,2021-02-14T18:14:37Z,410000,29.0,-9.0,1,right,J. Brown running DUNK (2 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,,,,,,2.98,Made,2.0,,,,,,,,,,,,
