actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
62,PT06M41.00S,2021-03-23T01:20:23.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612763,10,13,2021-03-23T01:20:35Z,620000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M31.00S,2021-03-23T01:20:52.8Z,1,REGULAR,2pt,Jump Shot,[],1628415,76.82325886990802,27.519914215686274,1610612763,10,13,2021-03-23T01:20:57Z,630000,-112.0,165.0,1,right,MISS D. Brooks 20' pullup Shot,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,20.0,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M27.00S,2021-03-23T01:20:56.8Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,10,13,2021-03-23T01:20:57Z,640000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,63.0,3.0,3.0,0.0,,,,,,,,,,,
65,PT06M17.00S,2021-03-23T01:21:06.8Z,1,REGULAR,3pt,Jump Shot,[],1629684,4.02431011826544,3.5003063725490198,1610612738,10,16,2021-03-23T01:21:10Z,650000,232.0,-15.0,1,left,G. Williams 3PT  (3 PTS) (J. Teague 1 AST),"[1629684, 201952]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.3,Made,3.0,J. Teague,201952.0,1.0,,,,,,,,,,,,,,,
67,PT05M59.00S,2021-03-23T01:21:24.0Z,1,REGULAR,3pt,Jump Shot,[],1628960,84.31340341655716,95.65716911764706,1610612763,13,16,2021-03-23T01:21:27Z,670000,228.0,95.0,1,right,G. Allen 24' 3PT  (3 PTS) (J. Morant 1 AST),"[1628960, 1629630]",1610612763.0,MEM,,,,Allen,G. Allen,,,,,24.73,Made,3.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,,
69,PT05M42.00S,2021-03-23T01:21:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.1268068331143235,49.333639705882355,1610612738,13,18,2021-03-23T01:21:45Z,690000,3.0,5.0,1,left,J. Brown cutting Layup (4 PTS) (D. Theis 1 AST),"[1627759, 1628464]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,0.61,Made,4.0,D. Theis,1628464.0,1.0,,,,,,,,,,,,,,,
71,PT05M29.00S,2021-03-23T01:21:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629634,94.1688567674113,50.80422794117647,1610612763,13,18,2021-03-23T01:21:58Z,710000,4.0,2.0,1,right,MISS B. Clarke cutting Layup,[1629634],1610612763.0,MEM,cutting,,,Clarke,B. Clarke,,,,,0.46,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M26.00S,2021-03-23T01:21:57.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,18,2021-03-23T01:21:57Z,720000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,71.0,3.0,2.0,1.0,,,,,,,,,,,
73,PT05M19.00S,2021-03-23T01:22:04.1Z,1,REGULAR,3pt,Jump Shot,[],1628464,31.09395532194481,61.83363970588235,1610612738,13,21,2021-03-23T01:22:08Z,730000,-59.0,240.0,1,left,D. Theis 24' 3PT  (5 PTS) (G. Williams 1 AST),"[1628464, 1629684]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,24.7,Made,5.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,,
75,PT05M00.00S,2021-03-23T01:22:23.9Z,1,REGULAR,3pt,Jump Shot,[],1628960,68.80749014454665,65.26501225490196,1610612763,16,21,2021-03-23T01:22:28Z,750000,76.0,241.0,1,right,G. Allen 25' 3PT  (6 PTS) (J. Morant 2 AST),"[1628960, 1629630]",1610612763.0,MEM,,,,Allen,G. Allen,,,,,25.25,Made,6.0,J. Morant,1629630.0,2.0,,,,,,,,,,,,,,,
