actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
39,PT09M11.00S,2021-04-07T23:44:58.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,6,2021-04-07T23:45:03Z,390000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,
40,PT08M59.00S,2021-04-07T23:45:09.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,86.02168199737189,96.6375612745098,1610612738,4,6,2021-04-07T23:45:21Z,400000,233.0,79.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,,24.62,,,,,,,,,
41,PT08M56.00S,2021-04-07T23:45:12.2Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612738,4,6,2021-04-07T23:45:12Z,410000,,,0,,R. Langford REBOUND (Off:1 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,40.0,1.0,0.0,1.0,,,,,,,,,,
43,PT08M51.00S,2021-04-07T23:45:17.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,68.41327201051249,71.8826593137255,1610612738,4,6,2021-04-07T23:45:24Z,420000,109.0,244.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,,26.78,,,,,,,,,
44,PT08M48.00S,2021-04-07T23:45:20.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,4,6,2021-04-07T23:45:24Z,430000,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,
45,PT08M43.00S,2021-04-07T23:45:25.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629628,6.521024967148489,52.27481617647059,1610612752,4,8,2021-04-07T23:45:32Z,440000,-11.0,9.0,1,left,R. Barrett Layup (5 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Made,5.0,,,,,1.44,J. Randle,203944.0,1.0,,,,,,
47,PT08M25.00S,2021-04-07T23:45:44.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,81.553876478318,59.62775735294118,1610612738,4,8,2021-04-07T23:51:08Z,460000,48.0,121.0,1,right,MISS M. Smart 13' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,,,,,,Missed,,,,,,13.01,,,,,,,,,
48,PT08M22.00S,2021-04-07T23:45:46.2Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,4,8,2021-04-07T23:45:46Z,470000,,,0,,N. Noel REBOUND (Off:0 Def:1),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,
49,PT08M16.00S,2021-04-07T23:45:55.9Z,1,REGULAR,foul,personal,[],1629057,,,1610612752,4,8,2021-04-07T23:46:02Z,480000,,,0,,R. Williams III personal FOUL (1 PF),"[1629057, 203901]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1151.0,1.0,0.0,Payton,203901.0,,,,,,,,,,,,,,,,
51,PT08M00.00S,2021-04-07T23:46:28.2Z,1,REGULAR,2pt,Jump Shot,[],203944,8.360709592641262,27.76501225490196,1610612752,4,8,2021-04-07T23:46:38Z,500000,111.0,26.0,1,left,MISS J. Randle 11' turnaround fadeaway Shot,[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,,,,,,Missed,,,,,,11.42,,,,,,,,,
