actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
165,PT00M09.50S,2021-04-08T00:09:21.3Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,21,16,2021-04-08T00:09:21Z,1620000,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,164.0,2.0,2.0,0.0,,,,,,,,,,
166,PT00M01.00S,2021-04-08T00:09:31.1Z,1,REGULAR,3pt,Jump Shot,[],201565,32.802233902759525,42.715992647058826,1610612752,21,19,2021-04-08T00:09:40Z,1630000,36.0,256.0,1,left,D. Rose 25' 3PT  (3 PTS) (J. Randle 3 AST),"[201565, 203944]",1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,Made,3.0,,,,,25.84,J. Randle,203944.0,3.0,,,,,,
169,PT00M01.00S,2021-04-08T00:09:37.0Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,21,19,2021-04-08T00:10:17Z,1645000,,,0,,,[],,,support,,,,,,,,,1628484.0,,,,,,,,,,,,,,,,,,,,End Period - Good Basket
168,PT00M00.00S,2021-04-08T00:09:43.0Z,1,REGULAR,period,end,[],0,,,1610612738,21,19,2021-04-08T00:09:43Z,1650000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-04-08T00:11:30.4Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612738,21,19,2021-04-08T00:12:03Z,1660000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2021-04-08T00:11:30.4Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,21,19,2021-04-08T00:12:03Z,1670000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2021-04-08T00:11:30.4Z,2,REGULAR,substitution,out,['startperiod'],202684,,,1610612738,21,19,2021-04-08T00:12:03Z,1680000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2021-04-08T00:11:30.4Z,2,REGULAR,substitution,out,['startperiod'],203944,,,1610612738,21,19,2021-04-08T00:12:03Z,1690000,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2021-04-08T00:11:30.4Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,21,19,2021-04-08T00:12:03Z,1700000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2021-04-08T00:11:30.4Z,2,REGULAR,substitution,in,['startperiod'],1628400,,,1610612738,21,19,2021-04-08T00:12:03Z,1710000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2021-04-08T00:11:30.4Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612738,21,19,2021-04-08T00:12:03Z,1720000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2021-04-08T00:11:30.4Z,2,REGULAR,substitution,in,['startperiod'],1630167,,,1610612738,21,19,2021-04-08T00:12:03Z,1730000,,,0,,SUB in: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2021-04-08T00:12:14.1Z,2,REGULAR,period,start,[],0,,,1610612738,21,19,2021-04-08T00:12:14Z,1740000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT11M39.00S,2021-04-08T00:12:34.2Z,2,REGULAR,3pt,Jump Shot,[],1628400,92.9862023653088,96.14736519607843,1610612738,21,19,2021-04-08T00:12:43Z,1750000,231.0,13.0,1,right,MISS S. Ojeleye step back 3PT,[1628400],1610612738.0,BOS,step back,,,Ojeleye,S. Ojeleye,,,,,,,,,,Missed,,,,,,23.11,,,,,,,,,
180,PT11M36.00S,2021-04-08T00:12:37.2Z,2,REGULAR,rebound,defensive,[],202692,,,1610612752,21,19,2021-04-08T00:12:43Z,1760000,,,0,,A. Burks REBOUND (Off:0 Def:3),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,179.0,3.0,3.0,0.0,,,,,,,,,,
181,PT11M23.00S,2021-04-08T00:12:49.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201959,15.719448094612352,37.32383578431372,1610612752,21,19,2021-04-08T00:12:56Z,1770000,63.0,95.0,1,left,MISS T. Gibson 11' turnaround fadeaway Shot,[201959],1610612752.0,NYK,turnaround fadeaway,,,Gibson,T. Gibson,,,,,,,,,,Missed,,,,,,11.45,,,,,,,,,
182,PT11M21.00S,2021-04-08T00:12:51.8Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,21,19,2021-04-08T00:12:56Z,1780000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,181.0,4.0,4.0,0.0,,,,,,,,,,
183,PT11M08.00S,2021-04-08T00:13:05.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,92.9862023653088,53.74540441176471,1610612738,21,19,2021-04-08T00:13:10Z,1790000,19.0,13.0,1,right,MISS R. Langford cutting Layup,[1629641],1610612738.0,BOS,cutting,,,Langford,R. Langford,,,,,,,,,,Missed,,,,,,2.3,,,,,,,,,
184,PT11M06.00S,2021-04-08T00:13:07.6Z,2,REGULAR,rebound,offensive,[],1629641,,,1610612738,21,19,2021-04-08T00:13:07Z,1800000,,,0,,R. Langford REBOUND (Off:2 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,183.0,2.0,0.0,2.0,,,,,,,,,,
185,PT11M02.00S,2021-04-08T00:13:11.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628400,72.88107752956637,15.265012254901961,1610612738,24,19,2021-04-08T00:13:15Z,1810000,-174.0,202.0,1,right,S. Ojeleye 26' 3PT  (3 PTS) (P. Pritchard 1 AST),"[1628400, 1630202]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,Made,3.0,,,,,26.67,P. Pritchard,1630202.0,1.0,,,,,,
187,PT10M38.00S,2021-04-08T00:13:35.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,17.16491458607096,39.03952205882353,1610612752,24,21,2021-04-08T00:13:42Z,1830000,55.0,109.0,1,left,I. Quickley 12' driving floating Jump Shot (2 PTS),[1630193],1610612752.0,NYK,driving floating,,,Quickley,I. Quickley,,,,,,,,,,Made,2.0,,,,,12.19,,,,,,,,,
188,PT10M22.00S,2021-04-08T00:13:53.5Z,2,REGULAR,turnover,out-of-bounds,[],1629641,,,1610612738,24,21,2021-04-08T00:14:07Z,1840000,,,0,,R. Langford lost ball out-of-bounds TURNOVER (1 TO),[1629641],1610612738.0,BOS,lost ball,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,1.0,,,,,
189,PT10M07.00S,2021-04-08T00:14:13.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630167,4.944152431011826,3.2552083333333335,1610612752,24,21,2021-04-08T00:14:18Z,1850000,234.0,-6.0,1,left,MISS O. Toppin 3PT,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,Missed,,,,,,23.38,,,,,,,,,
190,PT10M05.00S,2021-04-08T00:14:15.5Z,2,REGULAR,rebound,offensive,[],1630193,,,1610612752,24,21,2021-04-08T00:14:18Z,1860000,,,0,,I. Quickley REBOUND (Off:1 Def:0),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,189.0,1.0,0.0,1.0,,,,,,,,,,
191,PT10M02.00S,2021-04-08T00:14:18.1Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",202692,31.882391590013142,66.73560049019608,1610612752,24,24,2021-04-08T00:14:22Z,1870000,-84.0,247.0,1,left,A. Burks 26' 3PT pullup (3 PTS) (I. Quickley 1 AST),"[202692, 1630193]",1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,,,,,,Made,3.0,,,,,26.1,I. Quickley,1630193.0,1.0,,,,,,
193,PT09M45.00S,2021-04-08T00:14:35.6Z,2,REGULAR,turnover,bad pass,[],1630202,,,1610612738,24,24,2021-04-08T00:14:41Z,1890000,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 1630167]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,1.0,,,Toppin,1630167.0,
194,PT09M45.00S,2021-04-08T00:14:35.6Z,2,REGULAR,steal,,[],1630167,,,1610612752,24,24,2021-04-08T00:14:37Z,1900000,,,0,,O. Toppin STEAL (1 STL),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT09M38.00S,2021-04-08T00:14:41.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630193,29.911300919842315,18.696384803921568,1610612752,24,27,2021-04-08T00:14:47Z,1910000,157.0,229.0,1,left,I. Quickley 27' 3PT  (5 PTS) (A. Burks 2 AST),"[1630193, 202692]",1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,Made,5.0,,,,,27.71,A. Burks,202692.0,2.0,,,,,,
197,PT09M16.00S,2021-04-08T00:15:04.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,78.66294349540078,92.22579656862744,1610612738,24,27,2021-04-08T00:15:13Z,1930000,211.0,148.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,,25.79,,,,,,,,,
198,PT09M14.00S,2021-04-08T00:15:06.5Z,2,REGULAR,rebound,offensive,[],1629641,,,1610612738,24,27,2021-04-08T00:15:13Z,1940000,,,0,,R. Langford REBOUND (Off:3 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,197.0,3.0,0.0,3.0,,,,,,,,,,
199,PT09M02.00S,2021-04-08T00:15:18.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628400,67.88764783180025,25.314031862745097,1610612738,27,27,2021-04-08T00:15:23Z,1950000,-123.0,249.0,1,right,S. Ojeleye 27' 3PT  (6 PTS) (P. Pritchard 2 AST),"[1628400, 1630202]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,Made,6.0,,,,,27.83,P. Pritchard,1630202.0,2.0,,,,,,
201,PT08M49.00S,2021-04-08T00:15:36.1Z,2,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612752,27,27,2021-04-08T00:15:50Z,1970000,,,0,,R. Williams III shooting personal FOUL (2 PF) (Burks 2 FT),"[1629057, 202692]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,1151.0,2.0,0.0,Burks,202692.0,,,,,,,,,,,,,,,,
203,PT08M49.00S,2021-04-08T00:16:09.6Z,2,REGULAR,freethrow,1 of 2,[],202692,,,1610612752,27,28,2021-04-08T00:16:09Z,1990000,,,0,,A. Burks Free Throw 1 of 2 (4 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
204,PT08M49.00S,2021-04-08T00:16:33.5Z,2,REGULAR,freethrow,2 of 2,[],202692,,,1610612752,27,29,2021-04-08T00:16:33Z,2000000,,,0,,A. Burks Free Throw 2 of 2 (5 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
205,PT08M39.00S,2021-04-08T00:16:47.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630202,91.93495400788436,54.72579656862745,1610612738,29,29,2021-04-08T00:17:02Z,2010000,24.0,23.0,1,right,P. Pritchard driving Layup (2 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,,,,,,Made,2.0,,,,,3.32,,,,,,,,,
206,PT08M39.00S,2021-04-08T00:16:51.1Z,2,REGULAR,violation,defensive goaltending,[],201959,,,1610612738,29,29,2021-04-08T00:17:02Z,2020000,,,0,,T. Gibson defensive goaltending VIOLATION,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,1146.0,,,,,,,,,,,,,,,,,,,,
207,PT08M27.00S,2021-04-08T00:17:05.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201565,16.113666228646515,41.00030637254902,1610612752,29,31,2021-04-08T00:17:10Z,2030000,45.0,99.0,1,left,D. Rose 10' pullup Jump Shot (5 PTS),[201565],1610612752.0,NYK,pullup,,,Rose,D. Rose,,,,,,,,,,Made,5.0,,,,,10.87,,,,,,,,,
208,PT08M08.00S,2021-04-08T00:17:24.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,82.07950065703022,52.27481617647059,1610612738,29,31,2021-04-08T00:17:32Z,2040000,11.0,116.0,1,right,MISS J. Tatum 11' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,,11.66,,,,,,,,,
209,PT08M06.00S,2021-04-08T00:17:26.5Z,2,REGULAR,rebound,offensive,[],1629641,,,1610612738,29,31,2021-04-08T00:17:32Z,2050000,,,0,,R. Langford REBOUND (Off:4 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,208.0,4.0,0.0,4.0,,,,,,,,,,
210,PT07M58.00S,2021-04-08T00:17:38.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629641,81.42247043363994,94.921875,1610612738,32,31,2021-04-08T00:19:42Z,2060000,225.0,122.0,1,right,R. Langford 25' 3PT  (3 PTS) (S. Ojeleye 1 AST),"[1629641, 1628400]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,Made,3.0,,,,,25.56,S. Ojeleye,1628400.0,1.0,,,,,,
212,PT07M35.00S,2021-04-08T00:17:58.1Z,2,REGULAR,3pt,Jump Shot,[],202692,9.674770039421814,3.5003063725490198,1610612752,32,31,2021-04-08T00:18:03Z,2080000,232.0,38.0,1,left,MISS A. Burks 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,Missed,,,,,,23.56,,,,,,,,,
213,PT07M32.00S,2021-04-08T00:18:01.1Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,32,31,2021-04-08T00:18:03Z,2090000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,212.0,1.0,1.0,0.0,,,,,,,,,,
214,PT07M27.00S,2021-04-08T00:18:05.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,65.1281208935611,51.78462009803921,1610612738,32,31,2021-04-08T00:18:12Z,2100000,9.0,275.0,1,right,MISS P. Pritchard 27' running pullup 3PT,[1630202],1610612738.0,BOS,running pullup,,,Pritchard,P. Pritchard,,,,,,,,,,Missed,,,,,,27.54,,,,,,,,,
215,PT07M25.00S,2021-04-08T00:18:07.7Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,32,31,2021-04-08T00:18:07Z,2110000,,,0,,R. Williams III REBOUND (Off:5 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,214.0,6.0,1.0,5.0,,,,,,,,,,
216,PT07M15.00S,2021-04-08T00:18:18.2Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,32,31,2021-04-08T00:18:26Z,2120000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 201959]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,1.0,,,Gibson,201959.0,
217,PT07M15.00S,2021-04-08T00:18:18.2Z,2,REGULAR,steal,,[],201959,,,1610612752,32,31,2021-04-08T00:18:20Z,2130000,,,0,,T. Gibson STEAL (1 STL),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M11.00S,2021-04-08T00:18:21.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630167,7.30946123521682,43.94148284313725,1610612752,32,33,2021-04-08T00:18:33Z,2140000,30.0,16.0,1,left,O. Toppin running alley-oop DUNK (2 PTS) (I. Quickley 2 AST),"[1630167, 1630193]",1610612752.0,NYK,running alley-oop,,,Toppin,O. Toppin,,,,,,,,,,Made,2.0,,,,,3.44,I. Quickley,1630193.0,2.0,,,,,,
220,PT07M08.00S,2021-04-08T00:18:30.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,32,33,2021-04-08T00:18:30Z,2160000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M08.00S,2021-04-08T00:20:49.8Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,32,33,2021-04-08T00:21:13Z,2170000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M08.00S,2021-04-08T00:20:49.8Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,32,33,2021-04-08T00:21:13Z,2180000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M08.00S,2021-04-08T00:20:49.8Z,2,REGULAR,substitution,out,[],201959,,,1610612738,32,33,2021-04-08T00:21:13Z,2190000,,,0,,SUB out: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M08.00S,2021-04-08T00:20:49.8Z,2,REGULAR,substitution,in,[],202684,,,1610612738,32,33,2021-04-08T00:21:13Z,2200000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M08.00S,2021-04-08T00:20:49.8Z,2,REGULAR,substitution,in,[],203935,,,1610612738,32,33,2021-04-08T00:21:13Z,2210000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M08.00S,2021-04-08T00:20:49.8Z,2,REGULAR,substitution,in,[],203457,,,1610612738,32,33,2021-04-08T00:21:13Z,2220000,,,0,,SUB in: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M55.00S,2021-04-08T00:21:44.8Z,2,REGULAR,turnover,backcourt,[],202684,,,1610612738,32,33,2021-04-08T00:21:53Z,2230000,,,0,,T. Thompson backcourt TURNOVER (1 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,1.0,,,,,
228,PT06M39.00S,2021-04-08T00:22:23.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630193,7.966491458607096,64.03952205882352,1610612752,32,33,2021-04-08T00:22:34Z,2240000,-70.0,22.0,1,left,MISS I. Quickley 7' Jump Shot,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,Missed,,,,,,7.37,,,,,,,,,
229,PT06M38.00S,2021-04-08T00:22:24.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,32,33,2021-04-08T00:22:34Z,2250000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,228.0,,,,,,,,,,,,,
230,PT06M38.00S,2021-04-08T00:22:27.7Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,32,33,2021-04-08T00:22:27Z,2260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M22.00S,2021-04-08T00:22:50.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,84.97043363994744,52.76501225490197,1610612738,32,33,2021-04-08T00:22:58Z,2270000,14.0,89.0,1,right,MISS M. Smart 8' Jump Shot,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,Missed,,,,,,8.99,,,,,,,,,
232,PT06M21.00S,2021-04-08T00:22:51.8Z,2,REGULAR,rebound,defensive,[],202692,,,1610612752,32,33,2021-04-08T00:22:58Z,2280000,,,0,,A. Burks REBOUND (Off:0 Def:4),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,231.0,4.0,4.0,0.0,,,,,,,,,,
233,PT06M21.00S,2021-04-08T00:22:57.5Z,2,REGULAR,turnover,out-of-bounds,[],202692,,,1610612752,32,33,2021-04-08T00:23:09Z,2290000,,,0,,A. Burks bad pass out-of-bounds TURNOVER (1 TO),[202692],1610612752.0,NYK,bad pass,,,Burks,A. Burks,,,,,1146.0,,,,,,,,,,,,,,,1.0,,,,,
234,PT06M02.00S,2021-04-08T00:23:25.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,89.83245729303549,47.127757352941174,1610612738,34,33,2021-04-08T00:23:32Z,2300000,-14.0,43.0,1,right,J. Tatum driving finger roll Layup (4 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,,,,,,Made,4.0,,,,,4.54,,,,,,,,,
235,PT05M46.00S,2021-04-08T00:23:40.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203457,6.389618922470433,52.27481617647059,1610612752,34,35,2021-04-08T00:23:45Z,2310000,-11.0,8.0,1,left,N. Noel DUNK (2 PTS) (D. Rose 1 AST),"[203457, 201565]",1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,Made,2.0,,,,,1.37,D. Rose,201565.0,1.0,,,,,,
237,PT05M29.00S,2021-04-08T00:23:57.7Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202684,86.02168199737189,46.392463235294116,1610612738,34,35,2021-04-08T00:24:03Z,2330000,-18.0,79.0,1,right,MISS T. Thompson 8' Hook,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,Missed,,,,,,8.09,,,,,,,,,
238,PT05M27.00S,2021-04-08T00:23:59.7Z,2,REGULAR,rebound,defensive,[],1630167,,,1610612752,34,35,2021-04-08T00:24:03Z,2340000,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,237.0,1.0,1.0,0.0,,,,,,,,,,
239,PT05M20.00S,2021-04-08T00:24:06.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201565,11.777266754270697,37.8140318627451,1610612752,34,35,2021-04-08T00:24:12Z,2350000,61.0,58.0,1,left,MISS D. Rose 8' driving floating Shot,[201565],1610612752.0,NYK,driving floating,,,Rose,D. Rose,,,,,,,,,,Missed,,,,,,8.42,,,,,,,,,
240,PT05M18.00S,2021-04-08T00:24:08.2Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,34,35,2021-04-08T00:24:12Z,2360000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,239.0,2.0,2.0,0.0,,,,,,,,,,
241,PT05M14.00S,2021-04-08T00:24:16.0Z,2,REGULAR,foul,personal,[],1630167,,,1610612738,34,35,2021-04-08T00:24:29Z,2370000,,,0,,O. Toppin personal FOUL (1 PF),"[1630167, 1628369]",1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,1628484.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
243,PT05M14.00S,2021-04-08T00:24:23.6Z,2,REGULAR,substitution,out,[],1629641,,,1610612738,34,35,2021-04-08T00:24:36Z,2390000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M14.00S,2021-04-08T00:24:23.6Z,2,REGULAR,substitution,out,[],1630167,,,1610612738,34,35,2021-04-08T00:24:36Z,2400000,,,0,,SUB out: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT05M14.00S,2021-04-08T00:24:23.6Z,2,REGULAR,substitution,out,[],1630193,,,1610612738,34,35,2021-04-08T00:24:36Z,2410000,,,0,,SUB out: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT05M14.00S,2021-04-08T00:24:23.6Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,34,35,2021-04-08T00:24:36Z,2420000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT05M14.00S,2021-04-08T00:24:23.6Z,2,REGULAR,substitution,in,[],1629628,,,1610612738,34,35,2021-04-08T00:24:36Z,2430000,,,0,,SUB in: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT05M14.00S,2021-04-08T00:24:23.6Z,2,REGULAR,substitution,in,[],203944,,,1610612738,34,35,2021-04-08T00:24:36Z,2440000,,,0,,SUB in: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT05M09.00S,2021-04-08T00:24:50.8Z,2,REGULAR,foul,personal,[],202692,,,1610612738,34,35,2021-04-08T00:25:08Z,2450000,,,0,,A. Burks personal FOUL (1 PF),"[202692, 1628369]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,1628484.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
251,PT05M09.00S,2021-04-08T00:25:13.7Z,2,REGULAR,substitution,out,[],201565,,,1610612738,34,35,2021-04-08T00:25:18Z,2470000,,,0,,SUB out: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M09.00S,2021-04-08T00:25:13.7Z,2,REGULAR,substitution,in,[],203901,,,1610612738,34,35,2021-04-08T00:25:18Z,2480000,,,0,,SUB in: E. Payton,[203901],1610612752.0,NYK,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,,,,,,
