actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
32,PT09M03.00S,2021-03-28T01:13:55.0Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612760,5,0,2021-03-28T01:13:56Z,320000,,,0,,M. Brown REBOUND (Off:0 Def:5),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,31.0,5.0,5.0,0.0,,,,,,,,,,,,,,
33,PT08M54.00S,2021-03-28T01:14:04.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,79.84559789750328,91.49050245098039,1610612760,8,0,2021-03-28T01:14:08Z,330000,207.0,137.0,1,right,L. Dort 24' 3PT  (8 PTS) (T. Maledon 2 AST),"[1629652, 1630177]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,24.86,Made,,,,,8.0,T. Maledon,1630177.0,2.0,,,,,,,,,,
35,PT08M53.00S,2021-03-28T01:14:10.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,8,0,2021-03-28T01:14:10Z,350000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M41.00S,2021-03-28T01:17:07.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629684,10.068988173455978,59.13756127450981,1610612738,8,2,2021-03-28T01:17:21Z,360000,-46.0,42.0,1,left,G. Williams 6' Hook (2 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,6.21,Made,,,,,2.0,,,,,,,,,,,,,
37,PT08M18.00S,2021-03-28T01:17:29.6Z,1,REGULAR,3pt,Jump Shot,[],1630177,78.0059132720105,90.01991421568627,1610612760,11,2,2021-03-28T01:17:35Z,370000,200.0,154.0,1,right,T. Maledon 25' 3PT  (3 PTS) (A. Pokusevski 2 AST),"[1630177, 1630197]",1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,25.26,Made,,,,,3.0,A. Pokusevski,1630197.0,2.0,,,,,,,,,,
39,PT07M54.00S,2021-03-28T01:17:54.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,23.078186596583443,13.794424019607842,1610612738,11,2,2021-03-28T01:17:59Z,390000,181.0,164.0,1,left,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.45,Missed,,,,,,,,,,,,,,,,,,
40,PT07M51.00S,2021-03-28T01:17:57.2Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612760,11,2,2021-03-28T01:17:59Z,400000,,,0,,M. Brown REBOUND (Off:0 Def:6),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,39.0,6.0,6.0,0.0,,,,,,,,,,,,,,
41,PT07M40.00S,2021-03-28T01:18:08.5Z,1,REGULAR,3pt,Jump Shot,[],1630177,74.58935611038108,87.07873774509804,1610612760,11,2,2021-03-28T01:18:13Z,410000,185.0,186.0,1,right,MISS T. Maledon 26' pullup 3PT,[1630177],1610612760.0,OKC,pullup,,,Maledon,T. Maledon,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,
42,PT07M38.00S,2021-03-28T01:18:10.5Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,11,2,2021-03-28T01:18:13Z,420000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT07M29.00S,2021-03-28T01:18:18.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,10.200394218134035,94.921875,1610612738,11,2,2021-03-28T01:18:25Z,430000,-225.0,43.0,1,left,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.88,Missed,,,,,,,,,,,,,,,,,,
44,PT07M25.00S,2021-03-28T01:18:22.7Z,1,REGULAR,rebound,defensive,[],1630177,,,1610612760,11,2,2021-03-28T01:18:25Z,440000,,,0,,T. Maledon REBOUND (Off:0 Def:1),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT07M19.00S,2021-03-28T01:18:29.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630197,84.57621550591328,50.80422794117647,1610612760,11,2,2021-03-28T01:19:03Z,450000,4.0,92.0,1,right,MISS A. Pokusevski 9' pullup Shot - blocked,"[1630197, 1629684]",1610612760.0,OKC,pullup,,,Pokusevski,A. Pokusevski,,,,,9.26,Missed,,,,,,,,,,,,,,Williams,1629684.0,,,
115,PT07M19.00S,2021-03-28T01:18:29.7Z,1,REGULAR,block,,[],1629684,,,1610612760,11,2,2021-03-28T01:29:52Z,455000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M18.00S,2021-03-28T01:18:30.7Z,1,REGULAR,rebound,offensive,[],1629650,,,1610612760,11,2,2021-03-28T01:19:03Z,460000,,,0,,M. Brown REBOUND (Off:1 Def:6),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,45.0,7.0,6.0,1.0,,,,,,,,,,,,,,
47,PT07M18.00S,2021-03-28T01:18:32.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629650,93.38042049934296,51.53952205882353,1610612760,13,2,2021-03-28T01:18:46Z,470000,8.0,10.0,1,right,M. Brown putback DUNK (2 PTS),[1629650],1610612760.0,OKC,putback,,,Brown,M. Brown,,,,,1.24,Made,,,,,2.0,,,,,,,,,,,,,
48,PT07M18.00S,2021-03-28T01:18:35.2Z,1,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612760,13,2,2021-03-28T01:18:45Z,480000,,,0,,G. Williams shooting personal FOUL (2 PF) (Brown 1 FT),"[1629684, 1629650]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,1151.0,2.0,0.0,Brown,1629650.0,,,,,
50,PT07M18.00S,2021-03-28T01:18:55.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629650,,,1610612760,14,2,2021-03-28T01:18:55Z,500000,,,0,,M. Brown Free Throw 1 of 1 (3 PTS),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
52,PT07M03.00S,2021-03-28T01:19:16.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,17.69053876478318,57.421875,1610612738,14,4,2021-03-28T01:19:23Z,510000,-37.0,114.0,1,left,J. Brown 11' pullup Jump Shot (2 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,11.97,Made,,,,,2.0,,,,,,,,,,,,,
