actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
161,PT10M19.00S,2021-03-28T01:37:01.3Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,27,21,2021-03-28T01:37:08Z,1590000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,160.0,1.0,1.0,0.0,,,,,,,,,,,,,,
162,PT10M05.00S,2021-03-28T01:37:15.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,6.783837056504599,60.853247549019606,1610612738,27,23,2021-03-28T01:37:21Z,1600000,-54.0,11.0,1,left,P. Pritchard driving finger roll Layup (8 PTS) (M. Wagner 1 AST),"[1630202, 1629021]",1610612738.0,BOS,driving finger roll,,,Pritchard,P. Pritchard,,,,,5.55,Made,,,,,8.0,M. Wagner,1629021.0,1.0,,,,,,,,,,
163,PT09M49.00S,2021-03-28T01:37:31.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629660,94.56307490144546,53.74540441176471,1610612760,29,23,2021-03-28T01:37:35Z,1610000,19.0,-1.0,1,right,T. Jerome Layup (2 PTS),[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,1.88,Made,,,,,2.0,,,,,,,,,,,,,
164,PT09M32.00S,2021-03-28T01:37:47.4Z,2,REGULAR,2pt,Jump Shot,[],1628369,6.1268068331143235,18.941482843137255,1610612738,29,25,2021-03-28T01:37:52Z,1620000,155.0,5.0,1,left,J. Tatum 15' step back Jump Shot (2 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,15.54,Made,,,,,2.0,,,,,,,,,,,,,
165,PT09M13.00S,2021-03-28T01:38:08.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,91.14651773981603,45.90226715686275,1610612760,29,25,2021-03-28T01:50:53Z,1630000,-20.0,31.0,1,right,MISS K. Williams driving Layup,[1629026],1610612760.0,OKC,driving,,,Williams,K. Williams,,,,,3.69,Missed,,,,,,,,,,,,,,,,,,
166,PT09M12.00S,2021-03-28T01:38:09.3Z,2,REGULAR,rebound,offensive,[],1629650,,,1610612760,29,25,2021-03-28T01:50:53Z,1640000,,,0,,M. Brown REBOUND (Off:2 Def:8),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,165.0,10.0,8.0,2.0,,,,,,,,,,,,,,
167,PT09M12.00S,2021-03-28T01:38:11.9Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629650,94.40999984741211,50.0,1610612760,31,25,2021-03-28T01:42:09Z,1650000,0.0,0.0,1,right,M. Brown tip Layup (7 PTS),[1629650],1610612760.0,OKC,tip,,,Brown,M. Brown,,,,,0.0,Made,,,,,7.0,,,,,,,,,,,,,
168,PT09M12.00S,2021-03-28T01:38:13.0Z,2,REGULAR,foul,personal,['1freethrow'],1629021,,,1610612760,31,25,2021-03-28T01:38:22Z,1660000,,,0,,M. Wagner shooting personal FOUL (2 PF) (Brown 1 FT),"[1629021, 1629650]",1610612738.0,BOS,shooting,,,Wagner,M. Wagner,,,,,,,,,,,,,,,1627524.0,2.0,0.0,Brown,1629650.0,,,,,
170,PT09M12.00S,2021-03-28T01:38:28.6Z,2,REGULAR,substitution,out,[],1630174,,,1610612760,31,25,2021-03-28T01:39:48Z,1680000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
171,PT09M12.00S,2021-03-28T01:38:28.6Z,2,REGULAR,substitution,in,[],1629057,,,1610612760,31,25,2021-03-28T01:39:48Z,1690000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
172,PT09M12.00S,2021-03-28T01:38:45.6Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1629650,,,1610612760,32,25,2021-03-28T01:38:45Z,1700000,,,0,,M. Brown Free Throw 1 of 1 (8 PTS),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
173,PT08M58.00S,2021-03-28T01:39:02.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,18.873193166885677,43.69638480392157,1610612738,32,27,2021-03-28T01:39:09Z,1710000,32.0,125.0,1,left,P. Pritchard 12' floating Jump Shot (10 PTS),[1630202],1610612738.0,BOS,floating,,,Pritchard,P. Pritchard,,,,,12.88,Made,,,,,10.0,,,,,,,,,,,,,
174,PT08M42.00S,2021-03-28T01:39:18.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630221,91.93495400788436,41.24540441176471,1610612760,34,27,2021-03-28T01:39:23Z,1720000,-44.0,23.0,1,right,J. Hall driving Layup (2 PTS),[1630221],1610612760.0,OKC,driving,,,Hall,J. Hall,,,,,4.96,Made,,,,,2.0,,,,,,,,,,,,,
175,PT08M25.00S,2021-03-28T01:39:34.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629021,6.652431011826544,55.70618872549019,1610612738,34,29,2021-03-28T01:39:38Z,1730000,-29.0,10.0,1,left,M. Wagner driving Layup (2 PTS) (R. Williams III 1 AST),"[1629021, 1629057]",1610612738.0,BOS,driving,,,Wagner,M. Wagner,,,,,3.02,Made,,,,,2.0,R. Williams III,1629057.0,1.0,,,,,,,,,,
176,PT08M13.00S,2021-03-28T01:39:45.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629004,93.51182654402102,52.51991421568627,1610612760,34,29,2021-03-28T01:39:49Z,1740000,13.0,8.0,1,right,MISS S. Mykhailiuk driving Layup,[1629004],1610612760.0,OKC,driving,,,Mykhailiuk,S. Mykhailiuk,,,,,1.52,Missed,,,,,,,,,,,,,,,,,,
178,PT08M11.00S,2021-03-28T01:39:47.9Z,2,REGULAR,rebound,offensive,[],1629650,,,1610612760,34,29,2021-03-28T01:39:49Z,1760000,,,0,,M. Brown REBOUND (Off:3 Def:8),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,176.0,11.0,8.0,3.0,,,,,,,,,,,,,,
179,PT08M11.00S,2021-03-28T01:39:49.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629650,92.59198423127464,50.314031862745104,1610612760,36,29,2021-03-28T01:39:56Z,1770000,2.0,17.0,1,right,M. Brown putback DUNK (10 PTS),[1629650],1610612760.0,OKC,putback,,,Brown,M. Brown,,,,,1.72,Made,,,,,10.0,,,,,,,,,,,,,
180,PT07M57.00S,2021-03-28T01:40:02.6Z,2,REGULAR,2pt,Jump Shot,[],1629035,29.122864651773984,56.44148284313726,1610612738,36,29,2021-03-28T01:40:06Z,1780000,-32.0,221.0,1,left,MISS C. Edwards 22' Jump Shot,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,22.36,Missed,,,,,,,,,,,,,,,,,,
181,PT07M55.00S,2021-03-28T01:40:04.6Z,2,REGULAR,rebound,defensive,[],1629650,,,1610612760,36,29,2021-03-28T01:40:06Z,1790000,,,0,,M. Brown REBOUND (Off:3 Def:9),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,180.0,12.0,9.0,3.0,,,,,,,,,,,,,,
182,PT07M49.00S,2021-03-28T01:40:10.1Z,2,REGULAR,3pt,Jump Shot,[],1630221,78.53153745072274,7.176776960784313,1610612760,36,29,2021-03-28T01:40:15Z,1800000,-214.0,149.0,1,right,MISS J. Hall 26' 3PT,[1630221],1610612760.0,OKC,,,,Hall,J. Hall,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,
183,PT07M46.00S,2021-03-28T01:40:13.1Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,36,29,2021-03-28T01:56:53Z,1810000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,182.0,4.0,3.0,1.0,,,,,,,,,,,,,,
184,PT07M38.00S,2021-03-28T01:40:20.6Z,2,REGULAR,2pt,Jump Shot,[],1630202,28.465834428383708,38.794424019607845,1610612738,36,31,2021-03-28T01:40:30Z,1820000,56.0,215.0,1,left,P. Pritchard 22' step back Jump Shot (12 PTS),[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,22.23,Made,,,,,12.0,,,,,,,,,,,,,
186,PT07M24.00S,2021-03-28T01:40:36.2Z,2,REGULAR,turnover,bad pass,[],1629660,,,1610612760,36,31,2021-03-28T01:40:49Z,1830000,,,0,,T. Jerome bad pass TURNOVER (1 TO),"[1629660, 1630202]",1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,1.0,Pritchard,1630202.0
187,PT07M24.00S,2021-03-28T01:40:36.2Z,2,REGULAR,steal,,[],1630202,,,1610612738,36,31,2021-03-28T01:40:38Z,1840000,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
188,PT07M18.00S,2021-03-28T01:40:41.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629021,4.944152431011826,47.127757352941174,1610612738,36,31,2021-03-28T01:58:59Z,1850000,14.0,-6.0,1,left,MISS M. Wagner running Layup,[1629021],1610612738.0,BOS,running,,,Wagner,M. Wagner,,,,,1.56,Missed,,,,,,,,,,,,,,,,,,
189,PT07M18.00S,2021-03-28T01:40:41.8Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,36,31,2021-03-28T01:58:59Z,1860000,,,0,,R. Williams III REBOUND (Off:2 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,188.0,5.0,3.0,2.0,,,,,,,,,,,,,,
190,PT07M18.00S,2021-03-28T01:40:48.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,36,31,2021-03-28T01:40:48Z,1870000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT07M18.00S,2021-03-28T01:40:52.1Z,2,REGULAR,substitution,out,[],1629035,,,1610612738,36,31,2021-03-28T01:40:56Z,1880000,,,0,,SUB out: C. Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
192,PT07M18.00S,2021-03-28T01:40:52.1Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,36,31,2021-03-28T01:40:56Z,1890000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
193,PT07M07.00S,2021-03-28T01:41:14.2Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628369,25.04927726675427,82.66697303921569,1610612738,36,31,2021-03-28T01:41:22Z,1900000,-163.0,183.0,1,left,MISS J. Tatum 24' step back 3PT - blocked,"[1628369, 1629026]",1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,24.53,Missed,,,,,,,,,,,,,,Williams,1629026.0,,,
194,PT07M07.00S,2021-03-28T01:41:14.2Z,2,REGULAR,block,,[],1629026,,,1610612738,36,31,2021-03-28T01:41:17Z,1910000,,,0,,K. Williams BLOCK (1 BLK),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,
195,PT07M02.00S,2021-03-28T01:41:19.2Z,2,REGULAR,rebound,defensive,[],1629650,,,1610612760,36,31,2021-03-28T01:41:22Z,1920000,,,0,,M. Brown REBOUND (Off:3 Def:10),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,193.0,13.0,10.0,3.0,,,,,,,,,,,,,,
196,PT06M57.00S,2021-03-28T01:41:24.1Z,2,REGULAR,3pt,Jump Shot,[],1629004,71.17279894875165,14.529718137254902,1610612760,36,31,2021-03-28T01:41:34Z,1930000,-177.0,218.0,1,right,MISS S. Mykhailiuk 28' 3PT,[1629004],1610612760.0,OKC,,,,Mykhailiuk,S. Mykhailiuk,,,,,28.14,Missed,,,,,,,,,,,,,,,,,,
197,PT06M54.00S,2021-03-28T01:41:27.1Z,2,REGULAR,rebound,defensive,[],1629021,,,1610612738,36,31,2021-03-28T01:41:34Z,1940000,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,196.0,1.0,1.0,0.0,,,,,,,,,,,,,,
198,PT06M47.00S,2021-03-28T01:41:33.9Z,2,REGULAR,3pt,Jump Shot,[],1629021,28.203022339027594,20.412071078431374,1610612738,36,31,2021-03-28T01:41:39Z,1950000,148.0,213.0,1,left,MISS M. Wagner 25' 3PT,[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,
199,PT06M44.00S,2021-03-28T01:41:36.9Z,2,REGULAR,rebound,defensive,[],1629650,,,1610612760,36,31,2021-03-28T01:41:39Z,1960000,,,0,,M. Brown REBOUND (Off:3 Def:11),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,198.0,14.0,11.0,3.0,,,,,,,,,,,,,,
200,PT06M38.00S,2021-03-28T01:41:43.3Z,2,REGULAR,3pt,Jump Shot,[],1629004,91.80354796320631,4.725796568627451,1610612760,39,31,2021-03-28T01:41:47Z,1970000,-226.0,25.0,1,right,S. Mykhailiuk 3PT  (6 PTS) (K. Williams 1 AST),"[1629004, 1629026]",1610612760.0,OKC,,,,Mykhailiuk,S. Mykhailiuk,,,,,22.77,Made,,,,,6.0,K. Williams,1629026.0,1.0,,,,,,,,,,
202,PT06M28.00S,2021-03-28T01:41:57.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,39,31,2021-03-28T01:41:57Z,1990000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT06M28.00S,2021-03-28T01:44:17.8Z,2,REGULAR,substitution,out,[],1629004,,,1610612738,39,31,2021-03-28T01:44:28Z,2000000,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612760.0,OKC,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,
204,PT06M28.00S,2021-03-28T01:44:17.8Z,2,REGULAR,substitution,out,[],1629660,,,1610612738,39,31,2021-03-28T01:44:28Z,2010000,,,0,,SUB out: T. Jerome,[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,
205,PT06M28.00S,2021-03-28T01:44:17.8Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,39,31,2021-03-28T01:44:28Z,2020000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
206,PT06M28.00S,2021-03-28T01:44:17.8Z,2,REGULAR,substitution,out,[],1629021,,,1610612738,39,31,2021-03-28T01:44:28Z,2030000,,,0,,SUB out: M. Wagner,[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
207,PT06M28.00S,2021-03-28T01:44:17.8Z,2,REGULAR,substitution,in,[],1630197,,,1610612738,39,31,2021-03-28T01:44:28Z,2040000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,
208,PT06M28.00S,2021-03-28T01:44:17.8Z,2,REGULAR,substitution,in,[],1629652,,,1610612738,39,31,2021-03-28T01:44:28Z,2050000,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,
209,PT06M28.00S,2021-03-28T01:44:17.8Z,2,REGULAR,substitution,in,[],1629684,,,1610612738,39,31,2021-03-28T01:44:28Z,2060000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
210,PT06M28.00S,2021-03-28T01:44:17.8Z,2,REGULAR,substitution,in,[],203935,,,1610612738,39,31,2021-03-28T01:44:28Z,2070000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
211,PT06M23.00S,2021-03-28T01:44:55.9Z,2,REGULAR,foul,personal,[],1630197,,,1610612738,39,31,2021-03-28T02:03:13Z,2080000,,,0,,A. Pokusevski personal FOUL (1 PF),"[1630197, 1628369]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,1151.0,1.0,0.0,Tatum,1628369.0,,,,,
213,PT06M18.00S,2021-03-28T01:45:09.1Z,2,REGULAR,3pt,Jump Shot,[],1627759,30.305519053876477,31.44148284313725,1610612738,39,34,2021-03-28T01:45:15Z,2100000,93.0,232.0,1,left,J. Brown 25' 3PT  (5 PTS) (R. Williams III 2 AST),"[1627759, 1629057]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.02,Made,,,,,5.0,R. Williams III,1629057.0,2.0,,,,,,,,,,
215,PT05M55.00S,2021-03-28T01:45:31.1Z,2,REGULAR,3pt,Jump Shot,[],1629652,74.85216819973719,14.284620098039216,1610612760,39,34,2021-03-28T01:45:35Z,2120000,-179.0,184.0,1,right,MISS L. Dort 25' pullup 3PT,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,25.64,Missed,,,,,,,,,,,,,,,,,,
216,PT05M53.00S,2021-03-28T01:45:33.1Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,39,34,2021-03-28T01:45:35Z,2130000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,215.0,2.0,2.0,0.0,,,,,,,,,,,,,,
217,PT05M50.00S,2021-03-28T01:45:39.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,5.732588699080158,54.23560049019608,1610612738,39,36,2021-03-28T01:45:45Z,2140000,-21.0,1.0,1,left,J. Brown reverse Layup (7 PTS) (M. Smart 3 AST),"[1627759, 203935]",1610612738.0,BOS,reverse,,,Brown,J. Brown,,,,,2.12,Made,,,,,7.0,M. Smart,203935.0,3.0,,,,,,,,,,
219,PT05M50.00S,2021-03-28T01:45:50.4Z,2,REGULAR,foul,personal,['1freethrow'],1629652,,,1610612738,39,36,2021-03-28T01:45:56Z,2160000,,,0,,L. Dort shooting personal FOUL (1 PF) (Brown 1 FT),"[1629652, 1627759]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Brown,1627759.0,,,,,
221,PT05M50.00S,2021-03-28T01:46:16.2Z,2,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,39,37,2021-03-28T01:46:16Z,2180000,,,0,,J. Brown Free Throw 1 of 1 (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
222,PT05M37.00S,2021-03-28T01:46:31.0Z,2,REGULAR,3pt,Jump Shot,[],1630197,72.48685939553219,18.45128676470588,1610612760,39,37,2021-03-28T01:46:38Z,2190000,-158.0,206.0,1,right,MISS A. Pokusevski 25' 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,
223,PT05M33.00S,2021-03-28T01:46:35.0Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,39,37,2021-03-28T01:46:38Z,2200000,,,0,,R. Williams III REBOUND (Off:2 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,222.0,6.0,4.0,2.0,,,,,,,,,,,,,,
224,PT05M21.00S,2021-03-28T01:46:46.3Z,2,REGULAR,3pt,Jump Shot,[],1628369,30.56833114323259,68.94148284313727,1610612738,39,37,2021-03-28T01:46:53Z,2210000,-95.0,235.0,1,left,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,
225,PT05M16.00S,2021-03-28T01:46:51.3Z,2,REGULAR,rebound,defensive,[],1629650,,,1610612760,39,37,2021-03-28T01:46:53Z,2220000,,,0,,M. Brown REBOUND (Off:3 Def:12),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,224.0,15.0,12.0,3.0,,,,,,,,,,,,,,
226,PT05M07.00S,2021-03-28T01:46:59.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,92.9862023653088,50.80422794117647,1610612760,41,37,2021-03-28T01:47:29Z,2230000,4.0,13.0,1,right,K. Williams driving reverse Layup (4 PTS) (J. Hall 1 AST),"[1629026, 1630221]",1610612760.0,OKC,driving reverse,,,Williams,K. Williams,,,,,1.4,Made,,,,,4.0,J. Hall,1630221.0,1.0,,,,,,,,,,
228,PT04M53.00S,2021-03-28T01:47:13.4Z,2,REGULAR,3pt,Jump Shot,[],1629684,25.18068331143233,14.774816176470587,1610612738,41,37,2021-03-28T01:47:20Z,2250000,176.0,184.0,1,left,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,
229,PT04M51.00S,2021-03-28T01:47:15.4Z,2,REGULAR,rebound,defensive,[],1629650,,,1610612760,41,37,2021-03-28T01:47:20Z,2260000,,,0,,M. Brown REBOUND (Off:3 Def:13),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,228.0,16.0,13.0,3.0,,,,,,,,,,,,,,
230,PT04M44.00S,2021-03-28T01:47:23.5Z,2,REGULAR,turnover,lost ball,[],1630221,,,1610612760,41,37,2021-03-28T01:47:37Z,2270000,,,0,,J. Hall lost ball TURNOVER (1 TO),"[1630221, 203935]",1610612760.0,OKC,,,,Hall,J. Hall,,,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0
231,PT04M44.00S,2021-03-28T01:47:23.5Z,2,REGULAR,steal,,[],203935,,,1610612738,41,37,2021-03-28T01:47:25Z,2280000,,,0,,M. Smart STEAL (2 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
232,PT04M39.00S,2021-03-28T01:47:28.6Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628369,4.681340341655716,95.90226715686273,1610612738,41,40,2021-03-28T01:47:44Z,2290000,-230.0,-8.0,1,left,J. Tatum 3PT  (5 PTS) (M. Smart 4 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,22.97,Made,,,,,5.0,M. Smart,203935.0,4.0,,,,,,,,,,
234,PT04M28.00S,2021-03-28T01:47:41.7Z,2,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612760,41,40,2021-03-28T01:47:52Z,2310000,,,0,,J. Brown shooting personal FOUL (1 PF) (Brown 2 FT),"[1627759, 1629650]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Brown,1629650.0,,,,,
236,PT04M28.00S,2021-03-28T01:48:04.1Z,2,REGULAR,freethrow,1 of 2,[],1629650,,,1610612760,41,40,2021-03-28T01:48:04Z,2330000,,,0,,MISS M. Brown Free Throw 1 of 2,[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,
237,PT04M28.00S,2021-03-28T01:48:04.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,41,40,2021-03-28T01:48:04Z,2340000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,236.0,,,,,,,,,,,,,,,,,
238,PT04M28.00S,2021-03-28T01:48:06.1Z,2,REGULAR,substitution,out,[],1629026,,,1610612760,41,40,2021-03-28T01:48:10Z,2350000,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,
239,PT04M28.00S,2021-03-28T01:48:06.1Z,2,REGULAR,substitution,in,[],1630177,,,1610612760,41,40,2021-03-28T01:48:10Z,2360000,,,0,,SUB in: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,
240,PT04M28.00S,2021-03-28T01:48:24.1Z,2,REGULAR,freethrow,2 of 2,[],1629650,,,1610612760,42,40,2021-03-28T01:48:24Z,2370000,,,0,,M. Brown Free Throw 2 of 2 (11 PTS),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
241,PT04M12.00S,2021-03-28T01:48:41.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,5.995400788436268,53.255208333333336,1610612738,42,42,2021-03-28T01:48:46Z,2380000,-16.0,4.0,1,left,J. Tatum reverse Layup (7 PTS),[1628369],1610612738.0,BOS,reverse,,,Tatum,J. Tatum,,,,,1.68,Made,,,,,7.0,,,,,,,,,,,,,
242,PT04M00.00S,2021-03-28T01:48:52.9Z,2,REGULAR,turnover,bad pass,[],1629652,,,1610612760,42,42,2021-03-28T01:48:56Z,2390000,,,0,,L. Dort bad pass TURNOVER (1 TO),"[1629652, 1629057]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,1.0,Williams III,1629057.0
243,PT04M00.00S,2021-03-28T01:48:52.9Z,2,REGULAR,steal,,[],1629057,,,1610612738,42,42,2021-03-28T01:48:54Z,2400000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
244,PT03M52.00S,2021-03-28T01:49:00.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,9.280551905387648,35.853247549019606,1610612738,42,42,2021-03-28T01:49:06Z,2410000,71.0,35.0,1,left,MISS J. Brown 7' driving Layup - blocked,"[1627759, 1630197]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,7.88,Missed,,,,,,,,,,,,,,Pokusevski,1630197.0,,,
245,PT03M52.00S,2021-03-28T01:49:00.9Z,2,REGULAR,block,,[],1630197,,,1610612738,42,42,2021-03-28T01:49:03Z,2420000,,,0,,A. Pokusevski BLOCK (1 BLK),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,
246,PT03M49.00S,2021-03-28T01:49:03.9Z,2,REGULAR,rebound,defensive,[],1630177,,,1610612760,42,42,2021-03-28T01:49:06Z,2430000,,,0,,T. Maledon REBOUND (Off:0 Def:4),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,244.0,4.0,4.0,0.0,,,,,,,,,,,,,,
