actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
92,PT04M17.00S,2021-02-25T00:54:23.2Z,1,REGULAR,3pt,Jump Shot,[],1629027,42.92049934296978,52.51991421568627,1610612737,26,15,2021-02-25T00:54:27Z,920000,-13.0,351.0,1,left,T. Young 35' 3PT pullup (11 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,35.12,Made,,11.0,,,,,,,,,,,,,,,,
93,PT04M02.00S,2021-02-25T00:54:38.7Z,1,REGULAR,3pt,Jump Shot,[],1629035,91.40932982917214,95.16697303921569,1610612738,26,18,2021-02-25T00:54:44Z,930000,226.0,28.0,1,right,C. Edwards 3PT  (3 PTS) (J. Brown 2 AST),"[1629035, 1627759]",1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,22.76,Made,,3.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,
95,PT03M50.00S,2021-02-25T00:54:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,16.376478318002626,50.80422794117647,1610612737,28,18,2021-02-25T01:04:47Z,950000,-4.0,101.0,1,left,T. Young 10' driving floating Jump Shot (13 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,10.15,Made,,13.0,,,,,,,,,,,,,,,,
96,PT03M25.00S,2021-02-25T00:55:16.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,93.64323258869908,49.82383578431372,1610612738,28,20,2021-02-25T00:55:21Z,960000,-1.0,7.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (J. Brown 3 AST),"[1629057, 1627759]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,0.74,Made,,2.0,J. Brown,1627759.0,3.0,,,,,,,,,,,,,
98,PT03M14.00S,2021-02-25T00:55:27.7Z,1,REGULAR,turnover,lost ball,[],1629027,,,1610612737,28,20,2021-02-25T00:55:32Z,980000,,,0,,T. Young lost ball TURNOVER (2 TO),"[1629027, 1627759]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,2.0,Brown,1627759.0
99,PT03M14.00S,2021-02-25T00:55:27.7Z,1,REGULAR,steal,,[],1627759,,,1610612738,28,20,2021-02-25T00:55:29Z,990000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M11.00S,2021-02-25T00:55:32.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628400,92.85479632063075,49.08854166666667,1610612738,28,22,2021-02-25T00:55:39Z,1000000,-5.0,15.0,1,right,S. Ojeleye running Layup (2 PTS) (J. Brown 4 AST),"[1628400, 1627759]",1610612738.0,BOS,running,,,Ojeleye,S. Ojeleye,,,,,1.54,Made,,2.0,J. Brown,1627759.0,4.0,,,,,,,,,,,,,
102,PT03M11.00S,2021-02-25T00:55:39.4Z,1,REGULAR,foul,personal,['1freethrow'],201568,,,1610612738,28,22,2021-02-25T00:56:18Z,1020000,,,0,,D. Gallinari shooting personal FOUL (1 PF) (Ojeleye 1 FT),"[201568, 1628400]",1610612737.0,ATL,shooting,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Ojeleye,1628400.0,,,
104,PT03M11.00S,2021-02-25T00:55:51.4Z,1,REGULAR,substitution,out,[],1628989,,,1610612738,28,22,2021-02-25T00:56:13Z,1040000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M11.00S,2021-02-25T00:55:51.4Z,1,REGULAR,substitution,out,[],203503,,,1610612738,28,22,2021-02-25T00:56:13Z,1050000,,,0,,SUB out: T. Snell,[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M11.00S,2021-02-25T00:55:51.4Z,1,REGULAR,substitution,in,[],203524,,,1610612738,28,22,2021-02-25T00:56:13Z,1060000,,,0,,SUB in: S. Hill,[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M11.00S,2021-02-25T00:55:51.4Z,1,REGULAR,substitution,in,[],1630219,,,1610612738,28,22,2021-02-25T00:56:13Z,1070000,,,0,,SUB in: S. Mays,[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M11.00S,2021-02-25T00:56:23.0Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1628400,,,1610612738,28,23,2021-02-25T00:56:23Z,1080000,,,0,,S. Ojeleye Free Throw 1 of 1 (3 PTS),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
109,PT02M48.00S,2021-02-25T00:56:47.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,5.863994743758213,51.049325980392155,1610612737,30,23,2021-02-25T00:56:51Z,1090000,-5.0,3.0,1,left,O. Okongwu cutting DUNK (2 PTS) (T. Young 3 AST),"[1630168, 1629027]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,0.58,Made,,2.0,T. Young,1629027.0,3.0,,,,,,,,,,,,,
111,PT02M34.00S,2021-02-25T00:57:00.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.32917214191852,56.196384803921575,1610612738,30,25,2021-02-25T00:57:07Z,1110000,31.0,20.0,1,right,J. Brown driving Layup (6 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,3.67,Made,,6.0,,,,,,,,,,,,,,,,
112,PT02M18.00S,2021-02-25T00:57:16.4Z,1,REGULAR,3pt,Jump Shot,[],1629027,29.517082785808146,25.314031862745097,1610612737,30,25,2021-02-25T00:57:21Z,1120000,123.0,225.0,1,left,MISS T. Young 25' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,
113,PT02M15.00S,2021-02-25T00:57:19.4Z,1,REGULAR,rebound,defensive,[],1629035,,,1610612738,30,25,2021-02-25T00:57:21Z,1130000,,,0,,C. Edwards REBOUND (Off:0 Def:1),[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,112.0,,,,,,,1.0,1.0,0.0,,,,,,,,
114,PT02M11.00S,2021-02-25T00:57:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629035,93.77463863337714,50.55912990196079,1610612738,30,27,2021-02-25T00:57:29Z,1140000,3.0,6.0,1,right,C. Edwards running Layup (5 PTS),[1629035],1610612738.0,BOS,running,,,Edwards,C. Edwards,,,,,0.66,Made,,5.0,,,,,,,,,,,,,,,,
115,PT02M11.00S,2021-02-25T00:57:29.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,30,27,2021-02-25T00:57:29Z,1150000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT01M52.00S,2021-02-25T01:00:36.5Z,1,REGULAR,3pt,Jump Shot,[],201568,9.674770039421814,95.90226715686273,1610612737,33,27,2021-02-25T01:00:40Z,1160000,-230.0,38.0,1,left,D. Gallinari 3PT  (3 PTS) (S. Mays 1 AST),"[201568, 1630219]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,23.27,Made,,3.0,S. Mays,1630219.0,1.0,,,,,,,,,,,,,
118,PT01M33.00S,2021-02-25T01:00:54.5Z,1,REGULAR,3pt,Jump Shot,[],1629035,73.9323258869908,14.284620098039216,1610612738,33,27,2021-02-25T01:00:59Z,1180000,-179.0,193.0,1,right,MISS C. Edwards 26' pullup 3PT,[1629035],1610612738.0,BOS,pullup,,,Edwards,C. Edwards,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,
119,PT01M30.00S,2021-02-25T01:00:57.5Z,1,REGULAR,rebound,defensive,[],1630219,,,1610612737,33,27,2021-02-25T01:00:59Z,1190000,,,0,,S. Mays REBOUND (Off:0 Def:1),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,118.0,,,,,,,1.0,1.0,0.0,,,,,,,,
120,PT01M15.00S,2021-02-25T01:01:13.2Z,1,REGULAR,3pt,Jump Shot,[],201568,15.193823915900131,4.4806985294117645,1610612737,36,27,2021-02-25T01:01:17Z,1200000,228.0,90.0,1,left,D. Gallinari 24' 3PT  (6 PTS) (S. Mays 2 AST),"[201568, 1630219]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,24.49,Made,,6.0,S. Mays,1630219.0,2.0,,,,,,,,,,,,,
122,PT00M47.60S,2021-02-25T01:01:41.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.77858081471747,25.80422794117647,1610612738,36,27,2021-02-25T01:01:46Z,1220000,-121.0,222.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,
123,PT00M44.10S,2021-02-25T01:01:44.5Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,36,27,2021-02-25T01:01:46Z,1230000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,122.0,,,,,,,1.0,1.0,0.0,,,,,,,,
124,PT00M37.00S,2021-02-25T01:01:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,17.559132720105126,57.91207107843137,1610612737,38,27,2021-02-25T01:01:57Z,1240000,-40.0,113.0,1,left,T. Young 11' driving floating Jump Shot (15 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,11.94,Made,,15.0,,,,,,,,,,,,,,,,
125,PT00M28.80S,2021-02-25T01:02:02.7Z,1,REGULAR,2pt,Layup,[],1630202,88.78120893561103,31.686580882352942,1610612738,38,27,2021-02-25T01:02:07Z,1250000,-92.0,53.0,1,right,MISS P. Pritchard 10' driving Layup,[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,10.58,Missed,,,,,,,,,,,,,,,,,,
126,PT00M25.90S,2021-02-25T01:02:05.6Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,38,27,2021-02-25T01:02:07Z,1260000,,,0,,T. Young REBOUND (Off:1 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,125.0,,,,,,,2.0,1.0,1.0,,,,,,,,
127,PT00M07.60S,2021-02-25T01:02:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,18.74178712220762,40.510110294117645,1610612737,38,27,2021-02-25T01:02:29Z,1270000,47.0,124.0,1,left,MISS T. Young 13' pullup Shot,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,13.25,Missed,,,,,,,,,,,,,,,,,,
128,PT00M05.20S,2021-02-25T01:02:26.3Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,38,27,2021-02-25T01:02:26Z,1280000,,,0,,T. Young REBOUND (Off:2 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,127.0,,,,,,,3.0,1.0,2.0,,,,,,,,
129,PT00M04.60S,2021-02-25T01:02:27.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629027,13.61695137976347,41.73560049019608,1610612737,40,27,2021-02-25T01:02:34Z,1290000,41.0,75.0,1,left,T. Young 8' floating Jump Shot (17 PTS),[1629027],1610612737.0,ATL,floating,,,Young,T. Young,,,,,8.61,Made,,17.0,,,,,,,,,,,,,,,,
130,PT00M02.80S,2021-02-25T01:02:35.2Z,1,REGULAR,foul,personal,[],203524,,,1610612738,40,27,2021-02-25T01:02:41Z,1300000,,,0,,S. Hill take personal FOUL (1 PF),"[203524, 1627759]",1610612737.0,ATL,take,,,Hill,S. Hill,,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Brown,1627759.0,,,
132,PT00M02.80S,2021-02-25T01:02:53.8Z,1,REGULAR,substitution,out,[],201568,,,1610612738,40,27,2021-02-25T01:03:16Z,1320000,,,0,,SUB out: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
133,PT00M02.80S,2021-02-25T01:02:53.8Z,1,REGULAR,substitution,out,[],1629027,,,1610612738,40,27,2021-02-25T01:03:16Z,1330000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M02.80S,2021-02-25T01:02:53.8Z,1,REGULAR,substitution,out,[],1628400,,,1610612738,40,27,2021-02-25T01:03:16Z,1340000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M02.80S,2021-02-25T01:02:53.8Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,40,27,2021-02-25T01:03:16Z,1350000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M02.80S,2021-02-25T01:02:53.8Z,1,REGULAR,substitution,in,[],1629164,,,1610612738,40,27,2021-02-25T01:03:16Z,1360000,,,0,,SUB in: B. Goodwin,[1629164],1610612737.0,ATL,,,,Goodwin,B. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M02.80S,2021-02-25T01:02:53.8Z,1,REGULAR,substitution,in,[],203991,,,1610612738,40,27,2021-02-25T01:03:16Z,1370000,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
138,PT00M02.80S,2021-02-25T01:02:53.8Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,40,27,2021-02-25T01:03:16Z,1380000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
139,PT00M02.80S,2021-02-25T01:02:53.8Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,40,27,2021-02-25T01:03:16Z,1390000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M00.50S,2021-02-25T01:03:19.9Z,1,REGULAR,2pt,Jump Shot,[],1630202,94.43166885676742,79.72579656862744,1610612738,40,27,2021-02-25T01:03:26Z,1400000,149.0,0.0,1,right,MISS P. Pritchard 14' turnaround Shot,[1630202],1610612738.0,BOS,turnaround,,,Pritchard,P. Pritchard,,,,,14.86,Missed,,,,,,,,,,,,,,,,,,
141,PT00M00.50S,2021-02-25T01:03:19.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,40,27,2021-02-25T01:03:26Z,1410000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,
142,PT00M00.00S,2021-02-25T01:03:24.6Z,1,REGULAR,period,end,[],0,,,1610612738,40,27,2021-02-25T01:03:24Z,1420000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2021-02-25T01:05:20.5Z,2,REGULAR,substitution,out,['startperiod'],1630168,,,1610612738,40,27,2021-02-25T01:06:02Z,1430000,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2021-02-25T01:05:20.5Z,2,REGULAR,substitution,out,['startperiod'],1629164,,,1610612738,40,27,2021-02-25T01:06:02Z,1440000,,,0,,SUB out: B. Goodwin,[1629164],1610612737.0,ATL,,,,Goodwin,B. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2021-02-25T01:05:20.5Z,2,REGULAR,substitution,out,['startperiod'],1629035,,,1610612738,40,27,2021-02-25T01:06:02Z,1450000,,,0,,SUB out: C. Edwards,[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2021-02-25T01:05:20.5Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612738,40,27,2021-02-25T01:06:02Z,1460000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2021-02-25T01:05:20.5Z,2,REGULAR,substitution,in,['startperiod'],200765,,,1610612738,40,27,2021-02-25T01:06:02Z,1470000,,,0,,SUB in: R. Rondo,[200765],1610612737.0,ATL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-02-25T01:05:20.5Z,2,REGULAR,substitution,in,['startperiod'],201568,,,1610612738,40,27,2021-02-25T01:06:02Z,1480000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-02-25T01:05:20.5Z,2,REGULAR,substitution,in,['startperiod'],1630174,,,1610612738,40,27,2021-02-25T01:06:02Z,1490000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-02-25T01:05:20.5Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612738,40,27,2021-02-25T01:06:02Z,1500000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-02-25T01:06:01.9Z,2,REGULAR,period,start,[],0,,,1610612738,40,27,2021-02-25T01:06:03Z,1510000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M43.00S,2021-02-25T01:06:18.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,94.30026281208936,49.82383578431372,1610612738,40,27,2021-02-25T01:06:22Z,1520000,-1.0,1.0,1,right,MISS R. Williams III alley-oop DUNK,[1629057],1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,0.14,Missed,,,,,,,,,,,,,,,,,,
153,PT11M39.00S,2021-02-25T01:06:22.0Z,2,REGULAR,rebound,defensive,[],201568,,,1610612737,40,27,2021-02-25T01:06:22Z,1530000,,,0,,D. Gallinari REBOUND (Off:0 Def:2),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,152.0,,,,,,,2.0,2.0,0.0,,,,,,,,
154,PT11M25.00S,2021-02-25T01:06:35.4Z,2,REGULAR,3pt,Jump Shot,[],201568,26.757555847568987,19.431678921568626,1610612737,43,27,2021-02-25T01:06:39Z,1540000,153.0,199.0,1,left,D. Gallinari 25' 3PT  (9 PTS) (R. Rondo 1 AST),"[201568, 200765]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,25.09,Made,,9.0,R. Rondo,200765.0,1.0,,,,,,,,,,,,,
156,PT11M11.00S,2021-02-25T01:06:49.1Z,2,REGULAR,3pt,Jump Shot,[],1630174,72.7496714848883,16.980698529411764,1610612738,43,27,2021-02-25T01:06:54Z,1560000,-165.0,204.0,1,right,MISS A. Nesmith 26' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,
157,PT11M09.00S,2021-02-25T01:06:51.1Z,2,REGULAR,rebound,defensive,[],201568,,,1610612737,43,27,2021-02-25T01:06:54Z,1570000,,,0,,D. Gallinari REBOUND (Off:0 Def:3),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,156.0,,,,,,,3.0,3.0,0.0,,,,,,,,
158,PT10M58.00S,2021-02-25T01:07:05.0Z,2,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612737,43,27,2021-02-25T01:07:23Z,1580000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Capela 2 FT),"[1628369, 203991]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Capela,203991.0,,,
160,PT10M58.00S,2021-02-25T01:07:27.5Z,2,REGULAR,freethrow,1 of 2,[],203991,,,1610612737,44,27,2021-02-25T01:07:27Z,1600000,,,0,,C. Capela Free Throw 1 of 2 (1 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
161,PT10M58.00S,2021-02-25T01:07:43.1Z,2,REGULAR,freethrow,2 of 2,[],203991,,,1610612737,45,27,2021-02-25T01:07:43Z,1610000,,,0,,C. Capela Free Throw 2 of 2 (2 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
162,PT10M48.00S,2021-02-25T01:07:56.7Z,2,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,45,27,2021-02-25T01:08:03Z,1620000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,202041.0,,,,,1.0,,
163,PT10M36.00S,2021-02-25T01:08:18.6Z,2,REGULAR,foul,personal,[],1630174,,,1610612737,45,27,2021-02-25T01:08:34Z,1630000,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 200765]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Rondo,200765.0,,,
165,PT10M31.00S,2021-02-25T01:08:45.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201568,6.389618922470433,51.53952205882353,1610612737,47,27,2021-02-25T01:08:52Z,1650000,-8.0,8.0,1,left,D. Gallinari alley-oop Layup (11 PTS) (C. Capela 1 AST),"[201568, 203991]",1610612737.0,ATL,alley-oop,,,Gallinari,D. Gallinari,,,,,1.08,Made,,11.0,C. Capela,203991.0,1.0,,,,,,,,,,,,,
167,PT10M29.00S,2021-02-25T01:08:51.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,47,27,2021-02-25T01:08:51Z,1670000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT10M29.00S,2021-02-25T01:11:17.6Z,2,REGULAR,substitution,out,[],1630219,,,1610612738,47,27,2021-02-25T01:11:41Z,1680000,,,0,,SUB out: S. Mays,[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,
169,PT10M29.00S,2021-02-25T01:11:17.6Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,47,27,2021-02-25T01:11:41Z,1690000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
170,PT10M29.00S,2021-02-25T01:11:17.6Z,2,REGULAR,substitution,in,[],1628989,,,1610612738,47,27,2021-02-25T01:11:41Z,1700000,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
171,PT10M29.00S,2021-02-25T01:11:17.6Z,2,REGULAR,substitution,in,[],202684,,,1610612738,47,27,2021-02-25T01:11:41Z,1710000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
172,PT10M17.00S,2021-02-25T01:11:53.4Z,2,REGULAR,3pt,Jump Shot,[],1630202,77.87450722733246,90.26501225490196,1610612738,47,27,2021-02-25T01:11:58Z,1720000,201.0,155.0,1,right,MISS P. Pritchard 25' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,
173,PT10M12.00S,2021-02-25T01:11:58.4Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,47,27,2021-02-25T01:11:58Z,1730000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,172.0,,,,,,,2.0,2.0,0.0,,,,,,,,
174,PT10M02.00S,2021-02-25T01:12:08.0Z,2,REGULAR,3pt,Jump Shot,[],201568,24.52365308804205,85.85324754901961,1610612737,50,27,2021-02-25T01:12:12Z,1740000,-179.0,178.0,1,left,D. Gallinari 25' 3PT  (14 PTS) (K. Huerter 2 AST),"[201568, 1628989]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,25.27,Made,,14.0,K. Huerter,1628989.0,2.0,,,,,,,,,,,,,
176,PT09M41.00S,2021-02-25T01:12:29.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,93.77463863337714,50.80422794117647,1610612738,50,29,2021-02-25T01:12:35Z,1760000,4.0,6.0,1,right,A. Nesmith driving Layup (2 PTS),[1630174],1610612738.0,BOS,driving,,,Nesmith,A. Nesmith,,,,,0.72,Made,,2.0,,,,,,,,,,,,,,,,
178,PT09M29.00S,2021-02-25T01:12:44.8Z,2,REGULAR,foul,offensive,[],203991,,,1610612737,50,29,2021-02-25T01:12:52Z,1780000,,,0,,C. Capela off-the-ball offensive FOUL (1 PF),"[203991, 1630174]",1610612737.0,ATL,off-the-ball,,,Capela,C. Capela,,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Nesmith,1630174.0,,,
180,PT09M29.00S,2021-02-25T01:12:44.8Z,2,REGULAR,turnover,offensive foul,[],203991,,,1610612737,50,29,2021-02-25T01:12:44Z,1800000,,,0,,C. Capela offensive foul TURNOVER (1 TO),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,200833.0,,,,,1.0,,
181,PT09M29.00S,2021-02-25T01:12:51.7Z,2,REGULAR,substitution,out,[],203991,,,1610612738,50,29,2021-02-25T01:12:59Z,1810000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
182,PT09M29.00S,2021-02-25T01:12:51.7Z,2,REGULAR,substitution,in,[],1628381,,,1610612738,50,29,2021-02-25T01:12:59Z,1820000,,,0,,SUB in: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
183,PT09M10.00S,2021-02-25T01:13:21.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,92.32917214191852,50.314031862745104,1610612738,50,29,2021-02-25T01:13:29Z,1830000,2.0,20.0,1,right,MISS J. Tatum driving finger roll Layup,[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,1.97,Missed,,,,,,,,,,,,,,,,,,
