actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
88,PT05M22.00S,2021-02-20T00:52:40.5Z,1,REGULAR,substitution,out,[],202684,,,1610612738,20,13,2021-02-20T00:52:46Z,840000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M22.00S,2021-02-20T00:52:40.5Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,20,13,2021-02-20T00:52:46Z,850000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M15.00S,2021-02-20T00:52:59.4Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612738,20,13,2021-02-20T00:53:04Z,860000,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 1629629]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,1.0,Reddish,1629629.0,,,,,
91,PT05M15.00S,2021-02-20T00:52:59.4Z,1,REGULAR,steal,,[],1629629,,,1610612737,20,13,2021-02-20T00:53:02Z,870000,,,0,,C. Reddish STEAL (1 STL),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M00.00S,2021-02-20T00:53:14.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201568,32.139044021024965,31.21936274509804,1610612737,20,13,2021-02-20T00:53:22Z,880000,94.0,250.0,1,left,MISS D. Gallinari 26' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,26.67,Missed,,,,,,,,,,,,,,,,,,,
93,PT04M57.00S,2021-02-20T00:53:17.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,20,13,2021-02-20T00:53:22Z,890000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,92.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
94,PT04M48.00S,2021-02-20T00:53:26.9Z,1,REGULAR,3pt,Jump Shot,[],202689,71.96123521681997,16.735600490196077,1610612738,23,13,2021-02-20T00:53:32Z,900000,-166.0,211.0,1,right,K. Walker 26' 3PT  (8 PTS) (J. Brown 3 AST),"[202689, 1627759]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.87,Made,,,,,8.0,J. Brown,1627759.0,3.0,,,,,,,,,,,
96,PT04M35.00S,2021-02-20T00:54:08.8Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612737,23,13,2021-02-20T00:54:19Z,920000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Young 2 FT),"[1629057, 1629027]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,202026.0,,,,1.0,0.0,Young,1629027.0,
98,PT04M35.00S,2021-02-20T00:54:21.8Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,23,14,2021-02-20T00:54:21Z,940000,,,0,,T. Young Free Throw 1 of 2 (6 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
99,PT04M35.00S,2021-02-20T00:54:23.5Z,1,REGULAR,substitution,out,[],1629629,,,1610612737,23,14,2021-02-20T00:54:27Z,950000,,,0,,SUB out: C. Reddish,[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M35.00S,2021-02-20T00:54:23.5Z,1,REGULAR,substitution,in,[],203524,,,1610612737,23,14,2021-02-20T00:54:27Z,960000,,,0,,SUB in: S. Hill,[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M35.00S,2021-02-20T00:54:34.3Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,23,15,2021-02-20T00:54:34Z,970000,,,0,,T. Young Free Throw 2 of 2 (7 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
102,PT04M20.00S,2021-02-20T00:54:51.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,89.96386333771353,48.353247549019606,1610612738,25,15,2021-02-20T01:04:38Z,980000,-8.0,42.0,1,right,R. Williams III DUNK (2 PTS) (K. Walker 2 AST),"[1629057, 202689]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,4.26,Made,,,,,2.0,K. Walker,202689.0,2.0,,,,,,,,,,,
104,PT04M09.00S,2021-02-20T00:55:01.1Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,25,15,2021-02-20T00:55:09Z,1000000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1629057]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,1.0,Williams III,1629057.0,,,,,
105,PT04M09.00S,2021-02-20T00:55:01.1Z,1,REGULAR,steal,,[],1629057,,,1610612738,25,15,2021-02-20T00:55:03Z,1010000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M57.00S,2021-02-20T00:55:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629057,92.77266754270697,44.09466911764706,1610612738,27,15,2021-02-20T00:55:20Z,1020000,-30.0,15.0,1,right,R. Williams III alley-oop Layup (4 PTS) (J. Brown 4 AST),"[1629057, 1627759]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,3.33,Made,,,,,4.0,J. Brown,1627759.0,4.0,,,,,,,,,,,
108,PT03M51.00S,2021-02-20T00:55:24.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,27,15,2021-02-20T00:55:24Z,1040000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M51.00S,2021-02-20T00:57:41.1Z,1,REGULAR,substitution,out,[],202689,,,1610612737,27,15,2021-02-20T00:58:02Z,1050000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M51.00S,2021-02-20T00:57:41.1Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,27,15,2021-02-20T00:58:02Z,1060000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M51.00S,2021-02-20T00:57:41.1Z,1,REGULAR,substitution,in,[],1630202,,,1610612737,27,15,2021-02-20T00:58:02Z,1070000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M51.00S,2021-02-20T00:57:41.1Z,1,REGULAR,substitution,in,[],1630219,,,1610612737,27,15,2021-02-20T00:58:02Z,1080000,,,0,,SUB in: S. Mays,[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M39.00S,2021-02-20T00:58:26.4Z,1,REGULAR,foul,personal,[],1629057,,,1610612737,27,15,2021-02-20T00:58:49Z,1090000,,,0,,R. Williams III personal FOUL (2 PF),"[1629057, 1628381]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,101283.0,,,,2.0,0.0,Collins,1628381.0,
118,PT03M35.00S,2021-02-20T00:58:42.1Z,1,REGULAR,3pt,Jump Shot,[],1628381,29.77989487516426,22.127757352941178,1610612737,27,15,2021-02-20T00:58:56Z,1110000,139.0,227.0,1,left,MISS J. Collins 26' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,26.67,Missed,,,,,,,,,,,,,,,,,,,
119,PT03M33.00S,2021-02-20T00:58:44.1Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,27,15,2021-02-20T00:58:56Z,1120000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
120,PT03M23.00S,2021-02-20T00:58:54.5Z,1,REGULAR,3pt,Jump Shot,[],1630174,68.80749014454665,26.294424019607842,1610612738,30,15,2021-02-20T00:59:00Z,1130000,-119.0,241.0,1,right,A. Nesmith 26' 3PT  (3 PTS) (S. Ojeleye 1 AST),"[1630174, 1628400]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,26.83,Made,,,,,3.0,S. Ojeleye,1628400.0,1.0,,,,,,,,,,,
122,PT03M08.00S,2021-02-20T00:59:09.2Z,1,REGULAR,3pt,Jump Shot,[],1630219,26.231931668856767,14.284620098039216,1610612737,30,18,2021-02-20T00:59:18Z,1150000,179.0,194.0,1,left,S. Mays 26' 3PT  (3 PTS) (T. Snell 1 AST),"[1630219, 203503]",1610612737.0,ATL,,,,Mays,S. Mays,,,,,26.38,Made,,,,,3.0,T. Snell,203503.0,1.0,,,,,,,,,,,
124,PT02M56.00S,2021-02-20T00:59:24.6Z,1,REGULAR,foul,personal,[],203524,,,1610612738,30,18,2021-02-20T00:59:33Z,1170000,,,0,,S. Hill personal FOUL (1 PF),"[203524, 1627759]",1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,202026.0,,,,1.0,0.0,Brown,1627759.0,
126,PT02M56.00S,2021-02-20T00:59:35.2Z,1,REGULAR,substitution,out,[],1628381,,,1610612738,30,18,2021-02-20T00:59:38Z,1190000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M56.00S,2021-02-20T00:59:35.2Z,1,REGULAR,substitution,in,[],1628981,,,1610612738,30,18,2021-02-20T00:59:38Z,1200000,,,0,,SUB in: B. Fernando,[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M56.00S,2021-02-20T00:59:48.7Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,30,18,2021-02-20T00:59:52Z,1210000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M56.00S,2021-02-20T00:59:48.7Z,1,REGULAR,substitution,in,[],202684,,,1610612738,30,18,2021-02-20T00:59:52Z,1220000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M46.00S,2021-02-20T01:00:09.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,82.34231274638634,46.63756127450981,1610612738,30,18,2021-02-20T01:00:20Z,1230000,-17.0,113.0,1,right,MISS J. Brown 11' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,11.47,Missed,,,,,,,,,,,,,,,,,,,
131,PT02M44.00S,2021-02-20T01:00:11.3Z,1,REGULAR,rebound,defensive,[],1628981,,,1610612737,30,18,2021-02-20T01:00:20Z,1240000,,,0,,B. Fernando REBOUND (Off:0 Def:1),[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,130.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
132,PT02M36.00S,2021-02-20T01:00:19.4Z,1,REGULAR,3pt,Jump Shot,[],201568,29.38567674113009,75.3140318627451,1610612737,30,18,2021-02-20T01:00:32Z,1250000,-127.0,224.0,1,left,MISS D. Gallinari 25' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,,
133,PT02M33.00S,2021-02-20T01:00:22.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,30,18,2021-02-20T01:00:32Z,1260000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,132.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
134,PT02M19.00S,2021-02-20T01:00:38.5Z,1,REGULAR,foul,personal,['2freethrow'],1628981,,,1610612738,30,18,2021-02-20T01:00:53Z,1270000,,,0,,B. Fernando shooting personal FOUL (1 PF) (Thompson 2 FT),"[1628981, 202684]",1610612737.0,ATL,shooting,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,1188.0,,,,1.0,0.0,Thompson,202684.0,
136,PT02M19.00S,2021-02-20T01:01:05.7Z,1,REGULAR,freethrow,1 of 2,[],202684,,,1610612738,31,18,2021-02-20T01:01:31Z,1290000,,,0,,T. Thompson Free Throw 1 of 2 (7 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
137,PT02M19.00S,2021-02-20T01:01:07.0Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,31,18,2021-02-20T01:01:11Z,1300000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M19.00S,2021-02-20T01:01:07.0Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,31,18,2021-02-20T01:01:11Z,1310000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M19.00S,2021-02-20T01:01:05.7Z,1,REGULAR,freethrow,2 of 2,[],202684,,,1610612738,31,18,2021-02-20T01:01:31Z,1320000,,,0,,MISS T. Thompson Free Throw 2 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
140,PT02M19.00S,2021-02-20T01:01:05.7Z,1,REGULAR,rebound,defensive,[],1628981,,,1610612737,31,18,2021-02-20T01:01:31Z,1330000,,,0,,B. Fernando REBOUND (Off:0 Def:2),[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,139.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
141,PT01M58.00S,2021-02-20T01:01:45.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203524,9.937582128777924,44.921875,1610612737,31,20,2021-02-20T01:01:51Z,1340000,25.0,41.0,1,left,S. Hill driving finger roll Layup (2 PTS),[203524],1610612737.0,ATL,driving finger roll,,,Hill,S. Hill,,,,,4.81,Made,,,,,2.0,,,,,,,,,,,,,,
142,PT01M36.00S,2021-02-20T01:02:07.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.9039914586071,22.64093137254902,1610612738,31,20,2021-02-20T01:02:16Z,1350000,-137.0,240.0,1,right,MISS J. Tatum 27' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,27.61,Missed,,,,,,,,,,,,,,,,,,,
143,PT01M34.00S,2021-02-20T01:02:09.1Z,1,REGULAR,rebound,defensive,[],203524,,,1610612737,31,20,2021-02-20T01:02:16Z,1360000,,,0,,S. Hill REBOUND (Off:0 Def:1),[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,142.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
144,PT01M22.00S,2021-02-20T01:02:22.4Z,1,REGULAR,2pt,Jump Shot,[],203503,14.668199737187912,71.6375612745098,1610612737,31,20,2021-02-20T01:02:31Z,1370000,-108.0,85.0,1,left,MISS T. Snell 13' pullup Shot,[203503],1610612737.0,ATL,pullup,,,Snell,T. Snell,,,,,13.78,Missed,,,,,,,,,,,,,,,,,,,
145,PT01M20.00S,2021-02-20T01:02:24.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,31,20,2021-02-20T01:02:31Z,1380000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,144.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
146,PT01M11.00S,2021-02-20T01:02:32.3Z,1,REGULAR,3pt,Jump Shot,[],1630174,71.82982917214193,87.07873774509804,1610612738,31,20,2021-02-20T01:02:56Z,1390000,185.0,212.0,1,right,MISS A. Nesmith 28' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,28.19,Missed,,,,,,,,,,,,,,,,,,,
147,PT01M09.00S,2021-02-20T01:02:34.3Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,31,20,2021-02-20T01:02:42Z,1400000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,146.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
148,PT00M51.70S,2021-02-20T01:02:54.7Z,1,REGULAR,foul,personal,['2freethrow'],1628400,,,1610612737,31,20,2021-02-20T01:03:18Z,1410000,,,0,,S. Ojeleye shooting personal FOUL (1 PF) (Hill 2 FT),"[1628400, 203524]",1610612738.0,BOS,shooting,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,1188.0,,,,1.0,0.0,Hill,203524.0,
150,PT00M51.70S,2021-02-20T01:03:22.5Z,1,REGULAR,freethrow,1 of 2,[],203524,,,1610612737,31,21,2021-02-20T01:03:22Z,1430000,,,0,,S. Hill Free Throw 1 of 2 (3 PTS),[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
151,PT00M51.70S,2021-02-20T01:03:35.4Z,1,REGULAR,freethrow,2 of 2,[],203524,,,1610612737,31,22,2021-02-20T01:03:35Z,1440000,,,0,,S. Hill Free Throw 2 of 2 (4 PTS),[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
152,PT00M40.00S,2021-02-20T01:03:54.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203524,,,1610612738,31,22,2021-02-20T01:04:04Z,1450000,,,0,,S. Hill personal FOUL (2 PF) (Tatum 2 FT),"[203524, 1628369]",1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,101283.0,,,,2.0,0.0,Tatum,1628369.0,
154,PT00M40.00S,2021-02-20T01:04:20.5Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,32,22,2021-02-20T01:04:20Z,1470000,,,0,,J. Tatum Free Throw 1 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
155,PT00M40.00S,2021-02-20T01:04:36.2Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,33,22,2021-02-20T01:04:36Z,1480000,,,0,,J. Tatum Free Throw 2 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
156,PT00M30.70S,2021-02-20T01:04:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201568,7.490144546649145,54.50367647058824,1610612737,33,22,2021-02-20T01:04:55Z,1490000,-23.0,18.0,1,left,MISS D. Gallinari driving Layup - blocked,"[201568, 1628369]",1610612737.0,ATL,driving,,,Gallinari,D. Gallinari,,,,,2.88,Missed,,,,,,,,,Tatum,1628369.0,,,,,,,,,
157,PT00M30.70S,2021-02-20T01:04:47.3Z,1,REGULAR,block,,[],1628369,,,1610612737,33,22,2021-02-20T01:04:50Z,1500000,,,0,,J. Tatum BLOCK (2 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M27.00S,2021-02-20T01:04:51.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,33,22,2021-02-20T01:04:55Z,1510000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,156.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
159,PT00M07.80S,2021-02-20T01:05:10.1Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,33,22,2021-02-20T01:05:15Z,1520000,,,0,,J. Tatum lost ball TURNOVER (2 TO),"[1628369, 201568]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,2.0,Gallinari,201568.0,,,,,
160,PT00M07.80S,2021-02-20T01:05:10.1Z,1,REGULAR,steal,,[],201568,,,1610612737,33,22,2021-02-20T01:05:12Z,1530000,,,0,,D. Gallinari STEAL (1 STL),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M03.00S,2021-02-20T01:05:15.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203503,6.83311432325887,45.565257352941174,1610612737,33,22,2021-02-20T01:05:29Z,1540000,22.0,12.0,1,left,MISS T. Snell running Layup,[203503],1610612737.0,ATL,running,,,Snell,T. Snell,,,,,2.51,Missed,,,,,,,,,,,,,,,,,,,
162,PT00M01.10S,2021-02-20T01:05:17.0Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,33,22,2021-02-20T01:05:29Z,1550000,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,161.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
163,PT00M00.50S,2021-02-20T01:05:20.3Z,1,REGULAR,3pt,Jump Shot,[],1630202,60.528909329829176,20.166973039215684,1610612738,33,22,2021-02-20T01:05:43Z,1560000,-149.0,319.0,1,right,MISS P. Pritchard 35' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,35.17,Missed,,,,,,,,,,,,,,,,,,,
164,PT00M00.10S,2021-02-20T01:05:20.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,33,22,2021-02-20T01:05:43Z,1570000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,
165,PT00M00.00S,2021-02-20T01:05:26.3Z,1,REGULAR,period,end,[],0,,,1610612738,33,22,2021-02-20T01:05:26Z,1580000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-02-20T01:08:02.3Z,2,REGULAR,period,start,[],0,,,1610612738,33,22,2021-02-20T01:08:02Z,1590000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M35.00S,2021-02-20T01:08:25.9Z,2,REGULAR,3pt,Jump Shot,[],1628369,76.03482260183968,88.30422794117648,1610612738,33,22,2021-02-20T01:08:32Z,1600000,192.0,173.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,,
168,PT11M32.00S,2021-02-20T01:08:28.9Z,2,REGULAR,rebound,defensive,[],1628981,,,1610612737,33,22,2021-02-20T01:08:32Z,1610000,,,0,,B. Fernando REBOUND (Off:0 Def:3),[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,167.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
169,PT11M18.00S,2021-02-20T01:08:43.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628981,5.256241787122208,47.36136642156863,1610612737,33,24,2021-02-20T01:08:58Z,1620000,13.0,-3.0,1,left,B. Fernando reverse Layup (2 PTS) (S. Mays 1 AST),"[1628981, 1630219]",1610612737.0,ATL,reverse,,,Fernando,B. Fernando,,,,,1.36,Made,,,,,2.0,S. Mays,1630219.0,1.0,,,,,,,,,,,
171,PT10M59.00S,2021-02-20T01:09:02.0Z,2,REGULAR,3pt,Jump Shot,[],1630202,67.5324408672799,40.142463235294116,1610612738,33,24,2021-02-20T01:09:11Z,1640000,-49.0,253.0,1,right,MISS P. Pritchard 25' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,,
172,PT10M57.00S,2021-02-20T01:09:04.0Z,2,REGULAR,rebound,defensive,[],1628981,,,1610612737,33,24,2021-02-20T01:09:11Z,1650000,,,0,,B. Fernando REBOUND (Off:0 Def:4),[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,171.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
173,PT10M48.00S,2021-02-20T01:09:16.3Z,2,REGULAR,foul,personal,[],1630174,,,1610612737,33,24,2021-02-20T01:09:33Z,1660000,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 1628981]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,202026.0,,,,1.0,0.0,Fernando,1628981.0,
175,PT10M48.00S,2021-02-20T01:09:28.8Z,2,REGULAR,substitution,out,[],1628981,,,1610612737,33,24,2021-02-20T01:09:33Z,1680000,,,0,,SUB out: B. Fernando,[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT10M48.00S,2021-02-20T01:09:28.8Z,2,REGULAR,substitution,in,[],203991,,,1610612737,33,24,2021-02-20T01:09:33Z,1690000,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT10M48.00S,2021-02-20T01:09:36.3Z,2,REGULAR,substitution,out,[],202684,,,1610612737,33,24,2021-02-20T01:09:40Z,1700000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT10M48.00S,2021-02-20T01:09:36.3Z,2,REGULAR,substitution,in,[],1629057,,,1610612737,33,24,2021-02-20T01:09:40Z,1710000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT10M34.00S,2021-02-20T01:10:01.0Z,2,REGULAR,2pt,Jump Shot,[],201568,7.440867279894875,16.245404411764707,1610612737,33,24,2021-02-20T01:10:11Z,1720000,169.0,17.0,1,left,MISS D. Gallinari 16' Jump Shot,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,16.97,Missed,,,,,,,,,,,,,,,,,,,
180,PT10M31.00S,2021-02-20T01:10:04.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,33,24,2021-02-20T01:10:11Z,1730000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,
181,PT10M31.00S,2021-02-20T01:10:10.7Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,33,24,2021-02-20T01:10:10Z,1740000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
