actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
39,PT09M05.00S,2021-03-31T23:49:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,19.136005256241788,51.53952205882353,1610612742,2,7,2021-03-31T23:49:29Z,380000,-8.0,127.0,1,left,MISS J. Richardson 12' turnaround Shot,[1626196],1610612742.0,DAL,turnaround,,,Richardson,J. Richardson,,,,,12.76,Missed,,,,,,,,,,,,,,,,,,
40,PT09M03.00S,2021-03-31T23:49:25.7Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612738,2,7,2021-03-31T23:49:29Z,390000,,,0,,M. Wagner REBOUND (Off:1 Def:2),[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,39.0,3.0,2.0,1.0,,,,,,,,,,,,,,
41,PT08M54.00S,2021-03-31T23:49:35.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.82982917214193,83.40226715686273,1610612738,5,7,2021-03-31T23:49:40Z,400000,167.0,212.0,1,right,J. Brown 27' 3PT  (3 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.01,Made,,,,,3.0,K. Walker,202689.0,1.0,,,,,,,,,,
43,PT08M40.00S,2021-03-31T23:49:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,6.521024967148489,47.372855392156865,1610612742,5,9,2021-03-31T23:49:54Z,420000,13.0,9.0,1,left,L. Doncic driving finger roll Layup (4 PTS),[1629029],1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,1.58,Made,,,,,4.0,,,,,,,,,,,,,
44,PT08M32.00S,2021-03-31T23:50:00.6Z,1,REGULAR,foul,offensive,[],1629021,,,1610612738,5,9,2021-03-31T23:50:13Z,430000,,,0,,M. Wagner offensive FOUL (1 PF),"[1629021, 1629029]",1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,2529.0,1.0,0.0,Doncic,1629029.0
46,PT08M32.00S,2021-03-31T23:50:00.6Z,1,REGULAR,turnover,offensive foul,[],1629021,,,1610612738,5,9,2021-03-31T23:50:00Z,450000,,,0,,M. Wagner offensive foul TURNOVER (2 TO),[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,2.0,,,2529.0,,,,
47,PT08M16.00S,2021-03-31T23:50:30.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",204001,7.178055190538765,46.392463235294116,1610612742,5,11,2021-03-31T23:50:35Z,460000,18.0,15.0,1,left,K. Porzingis cutting DUNK (4 PTS) (L. Doncic 1 AST),"[204001, 1629029]",1610612742.0,DAL,cutting,,,Porzingis,K. Porzingis,,,,,2.34,Made,,,,,4.0,L. Doncic,1629029.0,1.0,,,,,,,,,,
49,PT07M57.00S,2021-03-31T23:50:49.1Z,1,REGULAR,3pt,Jump Shot,[],202689,69.72733245729303,24.823835784313726,1610612738,5,11,2021-03-31T23:50:54Z,480000,-126.0,232.0,1,right,MISS K. Walker 26' step back 3PT,[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,26.4,Missed,,,,,,,,,,,,,,,,,,
50,PT07M52.00S,2021-03-31T23:50:54.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,5,11,2021-03-31T23:50:54Z,490000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M40.00S,2021-03-31T23:51:06.3Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,5,11,2021-03-31T23:51:11Z,500000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1627759]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,,,,
