actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-04-28T23:40:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-28T23:40:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-04-28T23:40:44.6Z,1,REGULAR,jumpball,recovered,[],203095,,,1610612738,0,0,2021-04-28T23:40:44Z,40000,,,0,,Jump Ball T. Thompson vs. P. Washington: Tip to E. Fournier,"[203095, 202684, 1629023]",1610612738.0,BOS,startperiod,E. Fournier,203095.0,Fournier,E. Fournier,Thompson,202684.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2021-04-28T23:41:07.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,89.56964520367937,48.10814950980392,1610612738,0,0,2021-04-28T23:41:16Z,70000,-9.0,46.0,1,right,MISS T. Thompson driving Hook,[202684],1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,4.65,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-04-28T23:41:09.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,0,0,2021-04-28T23:41:16Z,80000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2021-04-28T23:41:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,87.59855453350855,45.166973039215684,1610612738,0,0,2021-04-28T23:41:47Z,90000,-24.0,64.0,1,right,MISS J. Brown 6' Layup - blocked,"[1627759, 1628984]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,6.85,Missed,,,,,Graham,1628984.0,,,,,,,,,,,,
10,PT11M30.00S,2021-04-28T23:41:13.1Z,1,REGULAR,block,,[],1628984,,,1610612738,0,0,2021-04-28T23:41:15Z,100000,,,0,,D. Graham BLOCK (1 BLK),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2021-04-28T23:41:15.1Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612766,0,0,2021-04-28T23:41:24Z,110000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M22.00S,2021-04-28T23:41:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,6.258212877792378,46.63756127450981,1610612766,0,0,2021-04-28T23:42:16Z,120000,17.0,6.0,1,left,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,1.79,Missed,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2021-04-28T23:41:21.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-04-28T23:41:31Z,130000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M10.00S,2021-04-28T23:41:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629682,93.16688567674113,46.2124693627451,1610612738,2,0,2021-04-28T23:41:41Z,140000,-19.0,12.0,1,right,T. Waters driving reverse Layup (2 PTS),[1629682],1610612738.0,BOS,driving reverse,,,Waters,T. Waters,,,,,2.22,Made,,,,,,,2.0,,,,,,,,,,,
15,PT10M59.00S,2021-04-28T23:41:44.0Z,1,REGULAR,3pt,Jump Shot,[],1629023,19.92444152431012,6.686580882352941,1610612766,2,0,2021-04-28T23:42:01Z,150000,217.0,135.0,1,left,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2021-04-28T23:41:46.0Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,2,0,2021-04-28T23:42:01Z,160000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M56.00S,2021-04-28T23:41:59.0Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612766,2,0,2021-04-28T23:42:11Z,170000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Bridges 2 FT),"[1628369, 1628970]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,202049.0,1.0,0.0,Bridges,1628970.0,,,,,,
19,PT10M56.00S,2021-04-28T23:42:13.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628970,,,1610612766,2,1,2021-04-28T23:42:13Z,190000,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
20,PT10M56.00S,2021-04-28T23:42:25.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628970,,,1610612766,2,2,2021-04-28T23:42:25Z,200000,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
21,PT10M43.00S,2021-04-28T23:42:40.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,67.09921156373193,36.34344362745098,1610612738,5,2,2021-04-28T23:42:47Z,210000,-68.0,257.0,1,right,J. Brown 26' 3PT bank (3 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,bank,,,Brown,J. Brown,,,,,26.57,Made,,,,,,,3.0,,,,,,J. Tatum,1628369.0,1.0,,,
23,PT10M29.00S,2021-04-28T23:42:54.2Z,1,REGULAR,3pt,Jump Shot,[],1628984,27.283180026281208,15.019914215686276,1610612766,5,5,2021-04-28T23:42:58Z,230000,175.0,204.0,1,left,D. Graham 26' 3PT  (3 PTS) (M. Bridges 1 AST),"[1628984, 1628970]",1610612766.0,CHA,,,,Graham,D. Graham,,,,,26.87,Made,,,,,,,3.0,,,,,,M. Bridges,1628970.0,1.0,,,
25,PT10M18.00S,2021-04-28T23:43:05.2Z,1,REGULAR,3pt,Jump Shot,[],1629682,65.25952693823915,62.56893382352941,1610612738,5,5,2021-04-28T23:44:03Z,250000,63.0,274.0,1,right,MISS T. Waters 28' pullup 3PT,[1629682],1610612738.0,BOS,pullup,,,Waters,T. Waters,,,,,28.12,Missed,,,,,,,,,,,,,,,,,,
26,PT10M16.00S,2021-04-28T23:43:07.2Z,1,REGULAR,rebound,offensive,[],203095,,,1610612738,5,5,2021-04-28T23:44:03Z,260000,,,0,,E. Fournier REBOUND (Off:1 Def:0),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
27,PT10M16.00S,2021-04-28T23:43:09.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203095,82.86793692509855,49.08854166666667,1610612738,5,5,2021-04-28T23:43:19Z,270000,-5.0,109.0,1,right,MISS E. Fournier 10' floating Shot,[203095],1610612738.0,BOS,floating,,,Fournier,E. Fournier,,,,,10.86,Missed,,,,,,,,,,,,,,,,,,
28,PT10M14.00S,2021-04-28T23:43:11.8Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,5,5,2021-04-28T23:43:19Z,280000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,,,,
29,PT10M02.00S,2021-04-28T23:43:21.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",202684,86.5473061760841,47.127757352941174,1610612738,7,5,2021-04-28T23:43:27Z,290000,-14.0,74.0,1,right,T. Thompson 7' driving Hook (2 PTS),[202684],1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,7.54,Made,,,,,,,2.0,,,,,,,,,,,
30,PT09M45.00S,2021-04-28T23:43:38.2Z,1,REGULAR,3pt,Jump Shot,[],1629023,8.360709592641262,2.7650122549019605,1610612766,7,8,2021-04-28T23:43:42Z,300000,236.0,26.0,1,left,P. Washington 3PT  (3 PTS) (M. Bridges 2 AST),"[1629023, 1628970]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,23.76,Made,,,,,,,3.0,,,,,,M. Bridges,1628970.0,2.0,,,
32,PT09M26.00S,2021-04-28T23:43:56.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,93.16688567674113,43.252144607843135,1610612738,9,8,2021-04-28T23:44:07Z,320000,-34.0,12.0,1,right,T. Thompson driving reverse Layup (4 PTS),[202684],1610612738.0,BOS,driving reverse,,,Thompson,T. Thompson,,,,,3.57,Made,,,,,,,4.0,,,,,,,,,,,
33,PT09M16.00S,2021-04-28T23:44:07.8Z,1,REGULAR,3pt,Jump Shot,[],1628984,20.844283837056505,92.47089460784314,1610612766,9,8,2021-04-28T23:44:12Z,330000,-212.0,143.0,1,left,MISS D. Graham 25' pullup 3PT,[1628984],1610612766.0,CHA,pullup,,,Graham,D. Graham,,,,,25.63,Missed,,,,,,,,,,,,,,,,,,
34,PT09M14.00S,2021-04-28T23:44:09.8Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,9,8,2021-04-28T23:44:12Z,340000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M08.00S,2021-04-28T23:44:18.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,88.12417871222075,58.892463235294116,1610612738,9,8,2021-04-28T23:44:31Z,350000,44.0,59.0,1,right,MISS J. Tatum 7' driving floating Shot - blocked,"[1628369, 1628970]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,7.4,Missed,,,,,Bridges,1628970.0,,,,,,,,,,,,
36,PT09M08.00S,2021-04-28T23:44:18.2Z,1,REGULAR,block,,[],1628970,,,1610612738,9,8,2021-04-28T23:44:20Z,360000,,,0,,M. Bridges BLOCK (1 BLK),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M06.00S,2021-04-28T23:44:20.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,9,8,2021-04-28T23:44:31Z,370000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,
38,PT09M06.00S,2021-04-28T23:44:23.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,9,8,2021-04-28T23:44:23Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M59.00S,2021-04-28T23:44:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,91.27792378449409,56.68658088235294,1610612738,11,8,2021-04-28T23:44:43Z,390000,33.0,29.0,1,right,J. Brown driving finger roll Layup (5 PTS),[1627759],1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,4.46,Made,,,,,,,5.0,,,,,,,,,,,
40,PT08M45.00S,2021-04-28T23:44:54.6Z,1,REGULAR,turnover,out-of-bounds,[],1628970,,,1610612766,11,8,2021-04-28T23:45:02Z,400000,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (1 TO),[1628970],1610612766.0,CHA,bad pass,,,Bridges,M. Bridges,,,,,,,,,,,,,,202049.0,,,,,,,,1.0,,
41,PT08M30.00S,2021-04-28T23:45:14.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,94.56307490144546,1.7846200980392155,1610612738,11,8,2021-04-28T23:45:19Z,410000,-241.0,-1.0,1,right,MISS E. Fournier 24' 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,24.11,Missed,,,,,,,,,,,,,,,,,,
42,PT08M28.00S,2021-04-28T23:45:16.9Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,11,8,2021-04-28T23:45:19Z,420000,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT08M07.00S,2021-04-28T23:45:38.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629023,7.966491458607096,51.294424019607845,1610612766,11,8,2021-04-28T23:45:47Z,430000,-6.0,22.0,1,left,MISS P. Washington driving DUNK,[1629023],1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,2.33,Missed,,,,,,,,,,,,,,,,,,
44,PT08M05.00S,2021-04-28T23:45:40.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,8,2021-04-28T23:45:47Z,440000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,43.0,2.0,1.0,1.0,,,,,,,,,,,,,,
45,PT08M01.00S,2021-04-28T23:45:44.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628369,91.93495400788436,52.76501225490197,1610612738,13,8,2021-04-28T23:47:30Z,450000,14.0,23.0,1,right,J. Tatum running Layup (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,2.71,Made,,,,,,,2.0,,,,,,J. Brown,1627759.0,1.0,,,
47,PT08M01.00S,2021-04-28T23:45:51.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,13,8,2021-04-28T23:47:22Z,470000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M41.00S,2021-04-28T23:49:06.8Z,1,REGULAR,3pt,Jump Shot,[],1629023,29.38567674113009,71.39246323529412,1610612766,13,8,2021-04-28T23:49:13Z,480000,-107.0,224.0,1,left,MISS P. Washington 24' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,24.8,Missed,,,,,,,,,,,,,,,,,,
49,PT07M39.00S,2021-04-28T23:49:08.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,8,2021-04-28T23:49:13Z,490000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,48.0,3.0,2.0,1.0,,,,,,,,,,,,,,
50,PT07M32.00S,2021-04-28T23:49:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.24704336399473,44.78017769607843,1610612738,15,8,2021-04-28T23:49:53Z,500000,-26.0,20.0,1,right,J. Brown running Layup (7 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,3.31,Made,,,,,,,7.0,,,,,,,,,,,
51,PT07M16.00S,2021-04-28T23:49:32.2Z,1,REGULAR,2pt,Jump Shot,[],1626179,21.632720105124836,40.75520833333333,1610612766,15,8,2021-04-28T23:50:21Z,510000,46.0,151.0,1,left,MISS T. Rozier 15' step back Shot,[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,15.77,Missed,,,,,,,,,,,,,,,,,,
52,PT07M14.00S,2021-04-28T23:49:34.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,15,8,2021-04-28T23:49:47Z,520000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,
53,PT07M14.00S,2021-04-28T23:49:38.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,15,8,2021-04-28T23:49:38Z,530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M02.00S,2021-04-28T23:49:53.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,87.86136662286465,44.921875,1610612738,17,8,2021-04-28T23:50:14Z,540000,-25.0,62.0,1,right,J. Tatum 6' driving floating Jump Shot (4 PTS) (T. Waters 1 AST),"[1628369, 1629682]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,6.66,Made,,,,,,,4.0,,,,,,T. Waters,1629682.0,1.0,,,
55,PT06M44.00S,2021-04-28T23:50:11.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628970,5.601182654402102,45.41207107843137,1610612766,17,10,2021-04-28T23:50:18Z,550000,23.0,0.0,1,left,M. Bridges DUNK (4 PTS) (P. Washington 1 AST),"[1628970, 1629023]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,2.29,Made,,,,,,,4.0,,,,,,P. Washington,1629023.0,1.0,,,
58,PT06M30.00S,2021-04-28T23:50:25.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,92.59198423127464,22.37285539215686,1610612738,19,10,2021-04-28T23:50:30Z,570000,-138.0,17.0,1,right,J. Brown 13' pullup Jump Shot (9 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,13.92,Made,,,,,,,9.0,,,,,,J. Tatum,1628369.0,2.0,,,
60,PT06M21.00S,2021-04-28T23:50:34.5Z,1,REGULAR,3pt,Jump Shot,[],1628984,31.750985545335087,57.421875,1610612766,19,13,2021-04-28T23:51:24Z,590000,-37.0,246.0,1,left,D. Graham 24' 3PT pullup (6 PTS),[1628984],1610612766.0,CHA,pullup,,,Graham,D. Graham,,,,,24.88,Made,,,,,,,6.0,,,,,,,,,,,
61,PT06M15.00S,2021-04-28T23:50:44.4Z,1,REGULAR,foul,personal,[],1626179,,,1610612738,19,13,2021-04-28T23:50:50Z,600000,,,0,,T. Rozier personal FOUL (1 PF),"[1626179, 1627759]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,1155.0,1.0,0.0,Brown,1627759.0,,,,,,
63,PT06M10.00S,2021-04-28T23:51:01.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.17279894875165,17.96109068627451,1610612738,19,13,2021-04-28T23:51:15Z,620000,-160.0,218.0,1,right,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.09,Missed,,,,,,,,,,,,,,,,,,
64,PT06M07.00S,2021-04-28T23:51:04.9Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,19,13,2021-04-28T23:51:15Z,630000,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,63.0,2.0,1.0,1.0,,,,,,,,,,,,,,
65,PT05M48.00S,2021-04-28T23:51:23.1Z,1,REGULAR,3pt,Jump Shot,[],1628984,9.411957950065702,2.2748161764705883,1610612766,19,13,2021-04-28T23:51:28Z,640000,239.0,36.0,1,left,MISS D. Graham 24' 3PT,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,24.13,Missed,,,,,,,,,,,,,,,,,,
66,PT05M46.00S,2021-04-28T23:51:25.6Z,1,REGULAR,rebound,offensive,[],1628998,,,1610612766,19,13,2021-04-28T23:51:25Z,650000,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,65.0,2.0,1.0,1.0,,,,,,,,,,,,,,
67,PT05M32.00S,2021-04-28T23:51:39.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629023,6.783837056504599,3.5003063725490198,1610612766,19,13,2021-04-28T23:51:45Z,660000,232.0,11.0,1,left,MISS P. Washington 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,
68,PT05M30.00S,2021-04-28T23:51:41.1Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,19,13,2021-04-28T23:51:45Z,670000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,,,
69,PT05M19.00S,2021-04-28T23:51:55.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",203095,89.56964520367937,50.06893382352941,1610612738,21,13,2021-04-28T23:52:07Z,680000,0.0,46.0,1,right,E. Fournier driving finger roll Layup (2 PTS) (J. Tatum 3 AST),"[203095, 1628369]",1610612738.0,BOS,driving finger roll,,,Fournier,E. Fournier,,,,,4.55,Made,,,,,,,2.0,,,,,,J. Tatum,1628369.0,3.0,,,
70,PT05M19.00S,2021-04-28T23:51:59.0Z,1,REGULAR,violation,defensive goaltending,[],1629023,,,1610612738,21,13,2021-04-28T23:52:07Z,690000,,,0,,P. Washington defensive goaltending VIOLATION,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,1155.0,,,,,,,,,,
72,PT05M08.00S,2021-04-28T23:52:27.7Z,1,REGULAR,foul,personal,['2freethrow'],203095,,,1610612766,21,13,2021-04-28T23:52:47Z,700000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Rozier 2 FT),"[203095, 1626179]",1610612738.0,BOS,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,,,1155.0,1.0,0.0,Rozier,1626179.0,,,,,,
74,PT05M08.00S,2021-04-28T23:52:56.8Z,1,REGULAR,freethrow,1 of 2,[],1626179,,,1610612766,21,14,2021-04-28T23:52:56Z,720000,,,0,,T. Rozier Free Throw 1 of 2 (1 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
75,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,out,[],203095,,,1610612766,21,14,2021-04-28T23:53:17Z,730000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,out,[],1629682,,,1610612766,21,14,2021-04-28T23:53:17Z,740000,,,0,,SUB out: T. Waters,[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,out,[],202684,,,1610612766,21,14,2021-04-28T23:53:17Z,750000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,out,[],1628998,,,1610612766,21,14,2021-04-28T23:53:17Z,760000,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,out,[],1628984,,,1610612766,21,14,2021-04-28T23:53:17Z,770000,,,0,,SUB out: D. Graham,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,21,14,2021-04-28T23:53:17Z,780000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,in,[],1630202,,,1610612766,21,14,2021-04-28T23:53:17Z,790000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,in,[],1630174,,,1610612766,21,14,2021-04-28T23:53:17Z,800000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612766,21,14,2021-04-28T23:53:17Z,810000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,in,[],1629667,,,1610612766,21,14,2021-04-28T23:53:17Z,820000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,in,[],202954,,,1610612766,21,14,2021-04-28T23:53:17Z,830000,,,0,,SUB in: B. Wanamaker,[202954],1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M08.00S,2021-04-28T23:52:58.1Z,1,REGULAR,substitution,in,[],202687,,,1610612766,21,14,2021-04-28T23:53:17Z,840000,,,0,,SUB in: B. Biyombo,[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M08.00S,2021-04-28T23:53:30.5Z,1,REGULAR,freethrow,2 of 2,[],1626179,,,1610612766,21,15,2021-04-28T23:53:30Z,850000,,,0,,T. Rozier Free Throw 2 of 2 (2 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
88,PT04M50.00S,2021-04-28T23:53:50.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.61235216819975,46.19332107843137,1610612738,23,15,2021-04-28T23:53:59Z,860000,-19.0,-2.0,1,right,J. Tatum driving reverse Layup (6 PTS),[1628369],1610612738.0,BOS,driving reverse,,,Tatum,J. Tatum,,,,,1.91,Made,,,,,,,6.0,,,,,,,,,,,
89,PT04M35.00S,2021-04-28T23:54:06.8Z,1,REGULAR,3pt,Jump Shot,[],1626179,27.54599211563732,81.44148284313727,1610612766,23,15,2021-04-28T23:54:14Z,870000,-157.0,206.0,1,left,MISS T. Rozier 25' pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,25.94,Missed,,,,,,,,,,,,,,,,,,
90,PT04M33.00S,2021-04-28T23:54:08.8Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,23,15,2021-04-28T23:54:14Z,880000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,89.0,1.0,1.0,0.0,,,,,,,,,,,,,,
