actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
595,PT08M04.00S,2021-04-29T01:30:45.8Z,4,REGULAR,rebound,defensive,[],1630174,,,1610612738,97,93,2021-04-29T01:30:48Z,5780000,,,0,,A. Nesmith REBOUND (Off:3 Def:4),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,593.0,7.0,4.0,3.0,,,,,,,,,,,,,,
596,PT08M04.00S,2021-04-29T01:30:49.7Z,4,REGULAR,foul,personal,[],1628984,,,1610612738,97,93,2021-04-29T01:31:01Z,5790000,,,0,,D. Graham take personal FOUL (4 PF),"[1628984, 1630174]",1610612766.0,CHA,take,,,Graham,D. Graham,,,,,,,,,,,,,,202049.0,4.0,0.0,Nesmith,1630174.0,,,,,,
598,PT07M53.00S,2021-04-29T01:31:17.4Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,7.5722733245729295,44.676776960784316,1610612738,99,93,2021-04-29T01:31:21Z,5810000,27.0,19.0,1,left,J. Brown cutting Layup (31 PTS) (J. Tatum 6 AST),"[1627759, 1628369]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,3.25,Made,,,,,,,31.0,,,,,,J. Tatum,1628369.0,6.0,,,
600,PT07M40.00S,2021-04-29T01:31:30.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],202954,90.09526938239159,44.921875,1610612766,99,93,2021-04-29T01:31:38Z,5830000,-25.0,41.0,1,right,MISS B. Wanamaker Layup - blocked,"[202954, 1630174]",1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,4.79,Missed,,,,,Nesmith,1630174.0,,,,,,,,,,,,
601,PT07M40.00S,2021-04-29T01:31:30.5Z,4,REGULAR,block,,[],1630174,,,1610612766,99,93,2021-04-29T01:31:32Z,5840000,,,0,,A. Nesmith BLOCK (3 BLK),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
602,PT07M38.00S,2021-04-29T01:31:32.5Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,99,93,2021-04-29T01:31:38Z,5850000,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,600.0,5.0,4.0,1.0,,,,,,,,,,,,,,
603,PT07M34.00S,2021-04-29T01:31:41.3Z,4,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,99,93,2021-04-29T01:31:58Z,5860000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (3 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,3.0,,
604,PT07M23.00S,2021-04-29T01:32:11.4Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,70.25295663600527,16.490502450980394,1610612766,99,96,2021-04-29T01:32:17Z,5870000,-168.0,227.0,1,right,T. Rozier 28' 3PT  (13 PTS) (D. Graham 6 AST),"[1626179, 1628984]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,28.22,Made,,,,,,,13.0,,,,,,D. Graham,1628984.0,6.0,,,
606,PT07M01.00S,2021-04-29T01:32:32.3Z,4,REGULAR,3pt,Jump Shot,[],1630174,5.995400788436268,97.12775735294117,1610612738,102,96,2021-04-29T01:32:38Z,5890000,-236.0,4.0,1,left,A. Nesmith 3PT  (11 PTS) (T. Waters 6 AST),"[1630174, 1629682]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,23.56,Made,,,,,,,11.0,,,,,,T. Waters,1629682.0,6.0,,,
608,PT06M36.00S,2021-04-29T01:32:58.7Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,90.75229960578186,56.196384803921575,1610612766,102,96,2021-04-29T01:33:20Z,5910000,31.0,34.0,1,right,MISS T. Rozier driving Layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,4.63,Missed,,,,,,,,,,,,,,,,,,
609,PT06M34.00S,2021-04-29T01:33:00.7Z,4,REGULAR,rebound,offensive,[],1626179,,,1610612766,102,96,2021-04-29T01:33:05Z,5920000,,,0,,T. Rozier REBOUND (Off:2 Def:0),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,608.0,2.0,0.0,2.0,,,,,,,,,,,,,,
610,PT06M32.00S,2021-04-29T01:33:01.4Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626179,91.67214191852825,55.70618872549019,1610612766,102,96,2021-04-29T01:33:10Z,5930000,29.0,26.0,1,right,MISS T. Rozier putback Layup,[1626179],1610612766.0,CHA,putback,,,Rozier,T. Rozier,,,,,3.84,Missed,,,,,,,,,,,,,,,,,,
611,PT06M31.00S,2021-04-29T01:33:02.4Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,102,96,2021-04-29T01:33:10Z,5940000,,,0,,J. Tatum REBOUND (Off:1 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,610.0,6.0,5.0,1.0,,,,,,,,,,,,,,
