actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
30,PT08M03.00S,2021-04-30T23:44:34.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,5,11,2021-04-30T23:44:34Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT07M58.00S,2021-04-30T23:44:49.8Z,1,REGULAR,2pt,Jump Shot,[],1627759,17.69053876478318,68.45128676470588,1610612738,5,11,2021-04-30T23:44:54Z,310000,-92.0,114.0,1,left,MISS J. Brown 14' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,14.65,Missed,,,,,,,,,,,,,,,,,,,
32,PT07M55.00S,2021-04-30T23:44:52.8Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,5,11,2021-04-30T23:44:54Z,320000,,,0,,D. Murray REBOUND (Off:0 Def:3),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,31.0,3.0,3.0,0.0,,,,,,,,,,,,,,
33,PT07M47.00S,2021-04-30T23:45:00.3Z,1,REGULAR,3pt,Jump Shot,[],1627749,70.38436268068331,20.412071078431374,1610612759,5,14,2021-04-30T23:45:05Z,330000,-148.0,226.0,1,right,D. Murray 27' 3PT  (8 PTS) (D. DeRozan 1 AST),"[1627749, 201942]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,27.0,Made,8.0,,,,,,,,D. DeRozan,201942.0,1.0,,,,,,,,
35,PT07M46.00S,2021-04-30T23:45:05.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,5,14,2021-04-30T23:45:05Z,350000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT07M27.00S,2021-04-30T23:48:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.178055190538765,53.01011029411765,1610612738,7,14,2021-04-30T23:48:27Z,360000,-15.0,15.0,1,left,J. Tatum driving finger roll Layup (7 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,2.13,Made,7.0,,,,,,,,R. Williams III,1629057.0,1.0,,,,,,,,
38,PT07M11.00S,2021-04-30T23:48:34.8Z,1,REGULAR,2pt,Jump Shot,[],201942,71.56701708278581,55.951286764705884,1610612759,7,14,2021-04-30T23:48:40Z,380000,30.0,215.0,1,right,MISS D. DeRozan 21' Jump Shot,[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,21.69,Missed,,,,,,,,,,,,,,,,,,,
39,PT07M09.00S,2021-04-30T23:48:36.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,14,2021-04-30T23:48:40Z,390000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT07M00.00S,2021-04-30T23:48:45.7Z,1,REGULAR,3pt,Jump Shot,[],203935,11.251642575558476,3.010110294117647,1610612738,7,14,2021-04-30T23:48:51Z,400000,235.0,53.0,1,left,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.09,Missed,,,,,,,,,,,,,,,,,,,
41,PT06M58.00S,2021-04-30T23:48:47.7Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,7,14,2021-04-30T23:48:51Z,410000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT06M47.00S,2021-04-30T23:48:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,80.23981603153744,53.50030637254902,1610612759,7,16,2021-04-30T23:49:03Z,420000,18.0,133.0,1,right,D. Murray 13' pullup Jump Shot (10 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,13.43,Made,10.0,,,,,,,,,,,,,,,,,,
44,PT06M28.00S,2021-04-30T23:49:19.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,10.463206307490145,39.5297181372549,1610612738,9,16,2021-04-30T23:50:53Z,430000,52.0,46.0,1,left,J. Tatum 6' driving floating bank Jump Shot (9 PTS),[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,6.97,Made,9.0,,,,,,,,,,,,,,,,,,
45,PT06M28.00S,2021-04-30T23:49:22.5Z,1,REGULAR,foul,personal,['1freethrow'],1630170,,,1610612738,9,16,2021-04-30T23:49:41Z,440000,,,0,,D. Vassell shooting personal FOUL (1 PF) (Tatum 1 FT),"[1630170, 1628369]",1610612759.0,SAS,shooting,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Tatum,1628369.0,,,
47,PT06M28.00S,2021-04-30T23:49:32.6Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,9,16,2021-04-30T23:49:39Z,460000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M28.00S,2021-04-30T23:49:32.6Z,1,REGULAR,substitution,out,[],203095,,,1610612738,9,16,2021-04-30T23:49:39Z,470000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M28.00S,2021-04-30T23:49:32.6Z,1,REGULAR,substitution,in,[],202684,,,1610612738,9,16,2021-04-30T23:49:39Z,480000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M28.00S,2021-04-30T23:49:32.6Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,9,16,2021-04-30T23:49:39Z,490000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M28.00S,2021-04-30T23:49:55.4Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,10,16,2021-04-30T23:49:55Z,500000,,,0,,J. Tatum Free Throw 1 of 1 (10 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
52,PT06M15.00S,2021-04-30T23:50:10.0Z,1,REGULAR,2pt,Jump Shot,[],1627749,76.2976346911958,52.029718137254896,1610612759,10,18,2021-04-30T23:50:15Z,510000,10.0,170.0,1,right,D. Murray 17' pullup Jump Shot (12 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,17.06,Made,12.0,,,,,,,,,,,,,,,,,,
53,PT06M01.00S,2021-04-30T23:50:24.4Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,10,18,2021-04-30T23:51:34Z,520000,,,0,,M. Smart lost ball TURNOVER (1 TO),"[203935, 1627749]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,1.0,Murray,1627749.0,,,,,,,,,,,
54,PT06M01.00S,2021-04-30T23:50:24.4Z,1,REGULAR,steal,,[],1627749,,,1610612759,10,18,2021-04-30T23:51:34Z,530000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M01.00S,2021-04-30T23:50:28.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,10,18,2021-04-30T23:50:28Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M01.00S,2021-04-30T23:50:30.1Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,10,18,2021-04-30T23:50:32Z,550000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M01.00S,2021-04-30T23:50:30.1Z,1,REGULAR,substitution,in,[],201988,,,1610612759,10,18,2021-04-30T23:50:32Z,560000,,,0,,SUB in: P. Mills,[201988],1610612759.0,SAS,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M49.00S,2021-04-30T23:50:48.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629640,91.14651773981603,46.392463235294116,1610612759,10,20,2021-04-30T23:50:53Z,570000,-18.0,31.0,1,right,K. Johnson driving finger roll Layup (2 PTS) (D. Murray 1 AST),"[1629640, 1627749]",1610612759.0,SAS,driving finger roll,,,Johnson,K. Johnson,,,,,3.56,Made,2.0,,,,,,,,D. Murray,1627749.0,1.0,,,,,,,,
60,PT05M37.00S,2021-04-30T23:51:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,11.383048620236531,38.30422794117647,1610612738,10,20,2021-04-30T23:51:06Z,590000,58.0,55.0,1,left,MISS J. Brown 8' driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,8.0,Missed,,,,,,,,,,,,,,,,,,,
61,PT05M35.00S,2021-04-30T23:51:02.3Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,10,20,2021-04-30T23:51:06Z,600000,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,60.0,2.0,1.0,1.0,,,,,,,,,,,,,,
