actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
40,PT09M05.00S,2021-05-19T01:06:35.7Z,1,REGULAR,steal,,[],1629057,,,1610612738,5,5,2021-05-19T01:06:37Z,390000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M59.00S,2021-05-19T01:06:41.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203935,89.17542706964521,95.16697303921569,1610612738,8,5,2021-05-19T01:06:50Z,400000,226.0,49.0,1,right,M. Smart 3PT  (3 PTS) (K. Walker 1 AST),"[203935, 202689]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,23.11,Made,,,,,3.0,K. Walker,202689.0,1.0,,,,,,,,,
43,PT08M33.00S,2021-05-19T01:07:07.9Z,1,REGULAR,2pt,Jump Shot,[],201566,26.49474375821288,45.41207107843137,1610612764,8,7,2021-05-19T01:07:12Z,420000,23.0,197.0,1,left,R. Westbrook 19' pullup Jump Shot (2 PTS),[201566],1610612764.0,WAS,pullup,,,Westbrook,R. Westbrook,,,,,,19.79,Made,,,,,2.0,,,,,,,,,,,,
44,PT08M17.00S,2021-05-19T01:07:23.7Z,1,REGULAR,3pt,Jump Shot,[],203935,92.85479632063075,3.5003063725490198,1610612738,8,7,2021-05-19T01:07:28Z,430000,-232.0,15.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,23.3,Missed,,,,,,,,,,,,,,,,,
45,PT08M15.00S,2021-05-19T01:07:25.7Z,1,REGULAR,rebound,defensive,[],201566,,,1610612764,8,7,2021-05-19T01:07:28Z,440000,,,0,,R. Westbrook REBOUND (Off:0 Def:3),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,44.0,3.0,3.0,0.0,,,,,,,,,,,,,
46,PT08M10.00S,2021-05-19T01:07:31.2Z,1,REGULAR,turnover,bad pass,[],1629060,,,1610612764,8,7,2021-05-19T01:07:36Z,450000,,,0,,R. Hachimura bad pass TURNOVER (2 TO),"[1629060, 203935]",1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,2.0,,,,,,,,,,,,,,,,,,Smart,203935.0
47,PT08M10.00S,2021-05-19T01:07:31.2Z,1,REGULAR,steal,,[],203935,,,1610612738,8,7,2021-05-19T01:07:34Z,460000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M00.00S,2021-05-19T01:07:43.0Z,1,REGULAR,foul,personal,['2freethrow'],203458,,,1610612738,8,7,2021-05-19T01:07:55Z,470000,,,0,,A. Len shooting personal FOUL (1 PF) (Williams III 2 FT),"[203458, 1629057]",1610612764.0,WAS,shooting,,,Len,A. Len,,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Williams III,1629057.0,,
50,PT08M00.00S,2021-05-19T01:08:14.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629057,,,1610612738,9,7,2021-05-19T01:08:14Z,490000,,,0,,R. Williams III Free Throw 1 of 2 (1 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
51,PT08M00.00S,2021-05-19T01:08:29.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629057,,,1610612738,10,7,2021-05-19T01:08:29Z,500000,,,0,,R. Williams III Free Throw 2 of 2 (2 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
