actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,value,stealPlayerName,stealPersonId
92,PT04M46.00S,2021-02-24T01:02:52.7Z,1,REGULAR,rebound,defensive,[],1626246,,,1610612742,19,20,2021-02-24T01:02:52Z,920000,,,0,,B. Marjanovic REBOUND (Off:0 Def:1),[1626246],1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,91.0,1.0,1.0,0.0,,,,,,,,,,,,,,
93,PT04M39.00S,2021-02-24T01:03:00.2Z,1,REGULAR,2pt,Jump Shot,[],1628973,93.51182654402102,22.127757352941178,1610612742,19,20,2021-02-24T01:03:08Z,930000,-139.0,8.0,1,right,MISS J. Brunson 13' fadeaway Shot,[1628973],1610612742.0,DAL,fadeaway,,,Brunson,J. Brunson,,,,,13.97,Missed,,,,,,,,,,,,,,,,,,,
94,PT04M35.00S,2021-02-24T01:03:04.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,19,20,2021-02-24T01:03:08Z,940000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,93.0,2.0,1.0,1.0,,,,,,,,,,,,,,
95,PT04M23.00S,2021-02-24T01:03:16.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,15.982260183968464,50.06893382352941,1610612738,19,20,2021-02-24T01:03:20Z,950000,0.0,98.0,1,left,MISS J. Tatum 9' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,9.77,Missed,,,,,,,,,,,,,,,,,,,
96,PT04M21.00S,2021-02-24T01:03:18.1Z,1,REGULAR,rebound,defensive,[],1626246,,,1610612742,19,20,2021-02-24T01:03:20Z,960000,,,0,,B. Marjanovic REBOUND (Off:0 Def:2),[1626246],1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,95.0,2.0,2.0,0.0,,,,,,,,,,,,,,
97,PT04M15.00S,2021-02-24T01:03:25.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629029,89.70105124835742,53.74540441176471,1610612742,21,20,2021-02-24T01:03:29Z,970000,19.0,44.0,1,right,L. Doncic driving floating Jump Shot (7 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,4.81,Made,7.0,,,,,,,,,,,,,,,,,,
98,PT03M54.00S,2021-02-24T01:03:45.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,29.77989487516426,69.18658088235294,1610612738,21,20,2021-02-24T01:03:50Z,980000,-96.0,227.0,1,left,MISS J. Brown 24' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,24.68,Missed,,,,,,,,,,,,,,,,,,,
99,PT03M50.00S,2021-02-24T01:03:49.2Z,1,REGULAR,rebound,defensive,[],1626246,,,1610612742,21,20,2021-02-24T01:03:50Z,990000,,,0,,B. Marjanovic REBOUND (Off:0 Def:3),[1626246],1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,98.0,3.0,3.0,0.0,,,,,,,,,,,,,,
100,PT03M43.00S,2021-02-24T01:03:59.2Z,1,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612742,21,20,2021-02-24T01:04:06Z,1000000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Doncic 2 FT),"[1630202, 1629029]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,101284.0,1.0,0.0,Doncic,1629029.0,,,,,,
102,PT03M43.00S,2021-02-24T01:04:30.3Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,22,20,2021-02-24T01:04:30Z,1020000,,,0,,L. Doncic Free Throw 1 of 2 (8 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
103,PT03M43.00S,2021-02-24T01:04:31.0Z,1,REGULAR,substitution,out,[],201949,,,1610612742,22,20,2021-02-24T01:04:55Z,1030000,,,0,,SUB out: J. Johnson,[201949],1610612742.0,DAL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M43.00S,2021-02-24T01:04:31.0Z,1,REGULAR,substitution,out,[],1628369,,,1610612742,22,20,2021-02-24T01:04:55Z,1040000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M43.00S,2021-02-24T01:04:31.0Z,1,REGULAR,substitution,in,[],203501,,,1610612742,22,20,2021-02-24T01:04:55Z,1050000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M43.00S,2021-02-24T01:04:31.0Z,1,REGULAR,substitution,in,[],1630174,,,1610612742,22,20,2021-02-24T01:04:55Z,1060000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M43.00S,2021-02-24T01:05:01.8Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,23,20,2021-02-24T01:05:01Z,1070000,,,0,,L. Doncic Free Throw 2 of 2 (9 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
108,PT03M29.00S,2021-02-24T01:05:18.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,10.726018396846255,96.6375612745098,1610612738,23,20,2021-02-24T01:05:24Z,1080000,-233.0,48.0,1,left,MISS P. Pritchard 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,23.81,Missed,,,,,,,,,,,,,,,,,,,
109,PT03M27.00S,2021-02-24T01:05:20.0Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,23,20,2021-02-24T01:05:24Z,1090000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,108.0,1.0,0.0,1.0,,,,,,,,,,,,,,
110,PT03M25.00S,2021-02-24T01:05:22.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627759,16.507884362680684,41.24540441176471,1610612738,23,20,2021-02-24T01:05:27Z,1100000,44.0,103.0,1,left,MISS J. Brown 11' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,11.17,Missed,,,,,,,,,,,,,,,,,,,
111,PT03M23.00S,2021-02-24T01:05:24.2Z,1,REGULAR,rebound,defensive,[],1626246,,,1610612742,23,20,2021-02-24T01:05:27Z,1110000,,,0,,B. Marjanovic REBOUND (Off:0 Def:4),[1626246],1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,110.0,4.0,4.0,0.0,,,,,,,,,,,,,,
112,PT03M15.00S,2021-02-24T01:05:31.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,84.44480946123521,53.74540441176471,1610612742,23,20,2021-02-24T01:05:36Z,1120000,19.0,94.0,1,right,MISS L. Doncic 9' driving floating Shot,[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,9.55,Missed,,,,,,,,,,,,,,,,,,,
113,PT03M12.00S,2021-02-24T01:05:34.5Z,1,REGULAR,rebound,offensive,[],1626246,,,1610612742,23,20,2021-02-24T01:05:36Z,1130000,,,0,,B. Marjanovic REBOUND (Off:1 Def:4),[1626246],1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,112.0,5.0,4.0,1.0,,,,,,,,,,,,,,
114,PT03M12.00S,2021-02-24T01:05:35.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626246,94.40999984741211,50.0,1610612742,23,20,2021-02-24T01:05:35Z,1140000,0.0,0.0,1,right,MISS B. Marjanovic tip Layup,[1626246],1610612742.0,DAL,tip,,,Marjanovic,B. Marjanovic,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
115,PT03M11.00S,2021-02-24T01:05:35.8Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,23,20,2021-02-24T01:05:35Z,1150000,,,0,,S. Ojeleye REBOUND (Off:0 Def:2),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,114.0,2.0,2.0,0.0,,,,,,,,,,,,,,
116,PT03M02.00S,2021-02-24T01:05:44.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,12.302890932982917,59.872855392156865,1610612738,23,22,2021-02-24T01:05:49Z,1160000,-49.0,63.0,1,left,P. Pritchard 8' driving floating Jump Shot (2 PTS),[1630202],1610612738.0,BOS,driving floating,,,Pritchard,P. Pritchard,,,,,8.01,Made,2.0,,,,,,,,,,,,,,,,,,
117,PT02M43.00S,2021-02-24T01:06:03.2Z,1,REGULAR,3pt,Jump Shot,[],203501,73.66951379763469,16.00030637254902,1610612742,23,22,2021-02-24T01:06:07Z,1170000,-170.0,195.0,1,right,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
118,PT02M41.00S,2021-02-24T01:06:05.2Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,23,22,2021-02-24T01:06:07Z,1180000,,,0,,S. Ojeleye REBOUND (Off:0 Def:3),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,117.0,3.0,3.0,0.0,,,,,,,,,,,,,,
119,PT02M37.00S,2021-02-24T01:06:15.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,23,22,2021-02-24T01:06:15Z,1190000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M37.00S,2021-02-24T01:06:51.3Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,23,22,2021-02-24T01:09:28Z,1200000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M37.00S,2021-02-24T01:06:51.3Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,23,22,2021-02-24T01:09:28Z,1210000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M24.00S,2021-02-24T01:09:55.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,25.04927726675427,83.15716911764706,1610612738,23,25,2021-02-24T01:10:01Z,1220000,-166.0,183.0,1,left,J. Brown 24' 3PT  (7 PTS) (P. Pritchard 1 AST),"[1627759, 1630202]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.69,Made,7.0,,,,,P. Pritchard,1630202.0,1.0,,,,,,,,,,,
124,PT02M06.00S,2021-02-24T01:10:13.5Z,1,REGULAR,3pt,Jump Shot,[],203501,86.02168199737189,4.725796568627451,1610612742,23,25,2021-02-24T01:10:18Z,1240000,-226.0,79.0,1,right,MISS T. Hardaway Jr. 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,23.98,Missed,,,,,,,,,,,,,,,,,,,
125,PT02M03.00S,2021-02-24T01:10:16.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,23,25,2021-02-24T01:10:18Z,1250000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,124.0,2.0,1.0,1.0,,,,,,,,,,,,,,
126,PT01M55.00S,2021-02-24T01:10:24.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,14.011169513797633,48.353247549019606,1610612738,23,27,2021-02-24T01:10:29Z,1260000,8.0,79.0,1,left,J. Brown 7' driving floating Jump Shot (9 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,7.96,Made,9.0,,,,,,,,,,,,,,,,,,
127,PT01M42.00S,2021-02-24T01:10:38.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,85.3646517739816,47.372855392156865,1610612742,23,27,2021-02-24T01:10:42Z,1270000,-13.0,85.0,1,right,MISS L. Doncic 8' driving floating Shot,[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,8.61,Missed,,,,,,,,,,,,,,,,,,,
128,PT01M38.00S,2021-02-24T01:10:42.0Z,1,REGULAR,rebound,offensive,[],1626246,,,1610612742,23,27,2021-02-24T01:10:42Z,1280000,,,0,,B. Marjanovic REBOUND (Off:2 Def:4),[1626246],1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,127.0,6.0,4.0,2.0,,,,,,,,,,,,,,
129,PT01M38.00S,2021-02-24T01:10:41.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626246,94.40999984741211,50.0,1610612742,25,27,2021-02-24T01:10:41Z,1290000,0.0,0.0,1,right,B. Marjanovic tip Layup (4 PTS),[1626246],1610612742.0,DAL,tip,,,Marjanovic,B. Marjanovic,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
130,PT01M25.00S,2021-02-24T01:10:53.8Z,1,REGULAR,2pt,Jump Shot,[],1629057,25.18068331143233,53.74540441176471,1610612738,25,27,2021-02-24T01:10:59Z,1300000,-19.0,184.0,1,left,MISS R. Williams III 18' Jump Shot,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,18.51,Missed,,,,,,,,,,,,,,,,,,,
131,PT01M22.00S,2021-02-24T01:10:56.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,25,27,2021-02-24T01:10:59Z,1310000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,130.0,1.0,1.0,0.0,,,,,,,,,,,,,,
132,PT01M12.00S,2021-02-24T01:11:07.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,93.5611038107753,4.5036764705882355,1610612742,28,27,2021-02-24T01:16:06Z,1320000,-227.0,8.0,1,right,J. Brunson 3PT  (3 PTS) (T. Hardaway Jr. 1 AST),"[1628973, 203501]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,22.76,Made,3.0,,,,,T. Hardaway Jr.,203501.0,1.0,,,,,,,,,,,
148,PT01M12.00S,2021-02-24T01:11:15.3Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,28,27,2021-02-24T01:17:37Z,1345000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,,,101284.0,,,,,,,,Changed to 3-pt FG,,
136,PT00M59.50S,2021-02-24T01:11:23.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,5.590000152587891,50.0,1610612738,28,29,2021-02-24T01:12:43Z,1360000,0.0,0.0,1,left,R. Williams III alley-oop DUNK (2 PTS) (P. Pritchard 2 AST),"[1629057, 1630202]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,0.0,Made,2.0,,,,,P. Pritchard,1630202.0,2.0,,,,,,,,,,,
137,PT00M49.30S,2021-02-24T01:11:36.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,93.24901445466492,53.74540441176471,1610612742,30,29,2021-02-24T01:11:41Z,1370000,19.0,11.0,1,right,T. Hardaway Jr. driving Layup (2 PTS),[203501],1610612742.0,DAL,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,2.17,Made,2.0,,,,,,,,,,,,,,,,,,
138,PT00M34.30S,2021-02-24T01:11:54.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,15.719448094612352,48.353247549019606,1610612738,30,29,2021-02-24T01:12:06Z,1380000,8.0,95.0,1,left,MISS P. Pritchard 9' pullup Shot,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,9.57,Missed,,,,,,,,,,,,,,,,,,,
139,PT00M31.40S,2021-02-24T01:11:57.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,30,29,2021-02-24T01:12:06Z,1390000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,138.0,2.0,2.0,0.0,,,,,,,,,,,,,,
140,PT00M25.10S,2021-02-24T01:12:05.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626246,92.9862023653088,48.59834558823529,1610612742,32,29,2021-02-24T01:12:10Z,1400000,-7.0,13.0,1,right,B. Marjanovic cutting DUNK (6 PTS) (L. Doncic 3 AST),"[1626246, 1629029]",1610612742.0,DAL,cutting,,,Marjanovic,B. Marjanovic,,,,,1.51,Made,6.0,,,,,L. Doncic,1629029.0,3.0,,,,,,,,,,,
142,PT00M13.40S,2021-02-24T01:12:22.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628400,18.74178712220762,52.27481617647059,1610612738,32,31,2021-02-24T01:12:26Z,1420000,-11.0,124.0,1,left,S. Ojeleye 12' Jump Shot (2 PTS) (J. Brown 2 AST),"[1628400, 1627759]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,12.42,Made,2.0,,,,,J. Brown,1627759.0,2.0,,,,,,,,,,,
144,PT00M00.30S,2021-02-24T01:12:39.1Z,1,REGULAR,2pt,Jump Shot,[],1629029,83.39356110381078,19.921875,1610612742,34,31,2021-02-24T01:16:24Z,1440000,-150.0,104.0,1,right,L. Doncic 18' driving floating bank Jump Shot (11 PTS),[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,18.26,Made,11.0,,,,,,,,,,,,,,,,,,
146,PT00M00.00S,2021-02-24T01:12:50.0Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,34,31,2021-02-24T01:13:36Z,1450000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,101284.0,,,,,,,,End Period - Good Basket,,
147,PT00M00.00S,2021-02-24T01:13:39.5Z,1,REGULAR,period,end,[],0,,,1610612738,34,31,2021-02-24T01:13:39Z,1460000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-02-24T01:15:06.6Z,2,REGULAR,substitution,out,['startperiod'],1627827,,,1610612738,34,31,2021-02-24T01:16:18Z,1470000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-02-24T01:15:06.6Z,2,REGULAR,substitution,out,['startperiod'],1629029,,,1610612738,34,31,2021-02-24T01:16:18Z,1480000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-02-24T01:15:06.6Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612738,34,31,2021-02-24T01:16:18Z,1490000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-02-24T01:15:06.6Z,2,REGULAR,substitution,in,['startperiod'],203504,,,1610612738,34,31,2021-02-24T01:16:18Z,1500000,,,0,,SUB in: T. Burke,[203504],1610612742.0,DAL,,,,Burke,T. Burke,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2021-02-24T01:15:06.6Z,2,REGULAR,substitution,in,['startperiod'],1626196,,,1610612738,34,31,2021-02-24T01:16:18Z,1510000,,,0,,SUB in: J. Richardson,[1626196],1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2021-02-24T01:15:06.6Z,2,REGULAR,substitution,in,['startperiod'],202689,,,1610612738,34,31,2021-02-24T01:16:18Z,1520000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-02-24T01:16:17.7Z,2,REGULAR,period,start,[],0,,,1610612742,34,31,2021-02-24T01:16:18Z,1530000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT11M48.00S,2021-02-24T01:16:34.4Z,2,REGULAR,foul,personal,[],1630174,,,1610612742,34,31,2021-02-24T01:17:05Z,1540000,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 203501]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,101284.0,1.0,0.0,Hardaway Jr.,203501.0,,,,,,
158,PT11M42.00S,2021-02-24T01:16:59.5Z,2,REGULAR,turnover,out-of-bounds,[],203504,,,1610612742,34,31,2021-02-24T01:17:13Z,1560000,,,0,,T. Burke bad pass out-of-bounds TURNOVER (1 TO),[203504],1610612742.0,DAL,bad pass,,,Burke,T. Burke,,,,,,,,,,,,,,,1627964.0,,,,,1.0,,,,,
159,PT11M31.00S,2021-02-24T01:17:13.0Z,2,REGULAR,foul,personal,[],1626246,,,1610612738,34,31,2021-02-24T01:17:26Z,1570000,,,0,,B. Marjanovic personal FOUL (1 PF),"[1626246, 1629057]",1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,,,,,,,,2882.0,1.0,0.0,Williams III,1629057.0,,,,,,
161,PT11M31.00S,2021-02-24T01:17:23.8Z,2,REGULAR,substitution,out,[],1626246,,,1610612738,34,31,2021-02-24T01:17:28Z,1590000,,,0,,SUB out: B. Marjanovic,[1626246],1610612742.0,DAL,,,,Marjanovic,B. Marjanovic,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT11M31.00S,2021-02-24T01:17:23.8Z,2,REGULAR,substitution,in,[],1626161,,,1610612738,34,31,2021-02-24T01:17:28Z,1600000,,,0,,SUB in: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M16.00S,2021-02-24T01:17:50.1Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],202689,26.49474375821288,65.26501225490196,1610612738,34,33,2021-02-24T01:19:19Z,1610000,-76.0,197.0,1,left,K. Walker 21' floating Jump Shot (7 PTS),[202689],1610612738.0,BOS,floating,,,Walker,K. Walker,,,,,21.09,Made,7.0,,,,,,,,,,,,,,,,,,
164,PT11M01.00S,2021-02-24T01:18:04.6Z,2,REGULAR,2pt,Jump Shot,[],203501,85.3646517739816,22.127757352941178,1610612742,36,33,2021-02-24T01:20:59Z,1620000,-139.0,85.0,1,right,T. Hardaway Jr. 16' step back bank Jump Shot (4 PTS) (J. Brunson 1 AST),"[203501, 1628973]",1610612742.0,DAL,step back bank,,,Hardaway Jr.,T. Hardaway Jr.,,,,,16.33,Made,4.0,,,,,J. Brunson,1628973.0,1.0,,,,,,,,,,,
166,PT10M45.00S,2021-02-24T01:18:21.7Z,2,REGULAR,3pt,Jump Shot,[],1628400,5.469776609724048,95.41207107843137,1610612738,36,36,2021-02-24T01:18:27Z,1640000,-227.0,-1.0,1,left,S. Ojeleye 3PT  (5 PTS) (P. Pritchard 3 AST),"[1628400, 1630202]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,22.71,Made,5.0,,,,,P. Pritchard,1630202.0,3.0,,,,,,,,,,,
168,PT10M30.00S,2021-02-24T01:18:36.1Z,2,REGULAR,2pt,Jump Shot,[],203501,84.44480946123521,77.0297181372549,1610612742,36,36,2021-02-24T01:18:40Z,1660000,135.0,94.0,1,right,MISS T. Hardaway Jr. 16' pullup Shot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,16.44,Missed,,,,,,,,,,,,,,,,,,,
169,PT10M27.00S,2021-02-24T01:18:39.1Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,36,36,2021-02-24T01:18:40Z,1670000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,168.0,2.0,2.0,0.0,,,,,,,,,,,,,,
170,PT10M20.00S,2021-02-24T01:18:45.9Z,2,REGULAR,2pt,Jump Shot,[],202689,17.16491458607096,30.46109068627451,1610612738,36,36,2021-02-24T01:18:53Z,1680000,98.0,109.0,1,left,MISS K. Walker 14' step back Shot,[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,14.63,Missed,,,,,,,,,,,,,,,,,,,
171,PT10M18.00S,2021-02-24T01:18:47.9Z,2,REGULAR,rebound,defensive,[],203501,,,1610612742,36,36,2021-02-24T01:18:53Z,1690000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,170.0,1.0,1.0,0.0,,,,,,,,,,,,,,
172,PT10M09.00S,2021-02-24T01:18:56.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,91.98423127463863,36.33961397058824,1610612742,38,36,2021-02-24T01:19:04Z,1700000,-68.0,23.0,1,right,J. Richardson 7' step back Jump Shot (4 PTS) (T. Hardaway Jr. 2 AST),"[1626196, 203501]",1610612742.0,DAL,step back,,,Richardson,J. Richardson,,,,,7.2,Made,4.0,,,,,T. Hardaway Jr.,203501.0,2.0,,,,,,,,,,,
174,PT09M55.00S,2021-02-24T01:19:11.2Z,2,REGULAR,3pt,Jump Shot,[],202689,31.61957950065703,49.08854166666667,1610612738,38,36,2021-02-24T01:19:20Z,1720000,5.0,245.0,1,left,MISS K. Walker 24' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,24.47,Missed,,,,,,,,,,,,,,,,,,,
175,PT09M51.00S,2021-02-24T01:19:15.2Z,2,REGULAR,rebound,defensive,[],1628973,,,1610612742,38,36,2021-02-24T01:19:20Z,1730000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,174.0,1.0,1.0,0.0,,,,,,,,,,,,,,
176,PT09M40.00S,2021-02-24T01:19:26.2Z,2,REGULAR,3pt,Jump Shot,[],203501,69.85873850197109,20.412071078431374,1610612742,38,36,2021-02-24T01:19:30Z,1740000,-148.0,231.0,1,right,MISS T. Hardaway Jr. 27' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,27.41,Missed,,,,,,,,,,,,,,,,,,,
177,PT09M37.00S,2021-02-24T01:19:29.2Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,38,36,2021-02-24T01:19:30Z,1750000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,176.0,1.0,1.0,0.0,,,,,,,,,,,,,,
