actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
53,PT06M53.00S,2021-04-18T00:48:08.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,15,2021-04-18T00:48:13Z,530000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
54,PT06M41.00S,2021-04-18T00:48:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,91.01511169513797,64.77481617647058,1610612738,12,15,2021-04-18T00:48:24Z,540000,74.0,32.0,1,right,M. Smart 8' driving Layup (2 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,8.05,Made,,,,,2.0,,,,,,,,,,,,,,
55,PT06M28.00S,2021-04-18T00:48:32.4Z,1,REGULAR,3pt,Jump Shot,[],201939,23.73521681997372,86.09834558823529,1610612744,12,15,2021-04-18T00:48:38Z,550000,-180.0,171.0,1,left,MISS S. Curry 24' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,24.84,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M26.00S,2021-04-18T00:48:34.4Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,12,15,2021-04-18T00:48:38Z,560000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
57,PT06M14.00S,2021-04-18T00:48:47.8Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612738,12,15,2021-04-18T00:52:16Z,570000,,,0,,S. Curry shooting personal FOUL (2 PF) (Smart 2 FT),"[201939, 203935]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,,,,,,,,1198.0,2.0,0.0,Smart,203935.0,,,,,,,,,
59,PT06M14.00S,2021-04-18T00:49:01.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,15,2021-04-18T00:49:01Z,590000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M14.00S,2021-04-18T00:51:47.7Z,1,REGULAR,substitution,out,[],1626172,,,1610612738,12,15,2021-04-18T00:52:13Z,600000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M14.00S,2021-04-18T00:51:47.7Z,1,REGULAR,substitution,in,[],1629308,,,1610612738,12,15,2021-04-18T00:52:13Z,610000,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M14.00S,2021-04-18T00:52:25.1Z,1,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,13,15,2021-04-18T00:52:42Z,620000,,,0,,M. Smart Free Throw 1 of 2 (3 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
63,PT06M14.00S,2021-04-18T00:52:25.1Z,1,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,13,15,2021-04-18T00:52:42Z,630000,,,0,,MISS M. Smart Free Throw 2 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M14.00S,2021-04-18T00:52:25.1Z,1,REGULAR,rebound,defensive,[],203145,,,1610612744,13,15,2021-04-18T00:52:42Z,640000,,,0,,K. Bazemore REBOUND (Off:1 Def:2),[203145],1610612744.0,GSW,,,,Bazemore,K. Bazemore,,,,,,,63.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
65,PT06M01.00S,2021-04-18T00:52:48.8Z,1,REGULAR,2pt,Jump Shot,[],201939,27.808804204993432,41.490502450980394,1610612744,13,17,2021-04-18T00:52:53Z,650000,43.0,209.0,1,left,S. Curry 21' step back Jump Shot (5 PTS),[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,21.32,Made,,,,,5.0,,,,,,,,,,,,,,
66,PT05M54.00S,2021-04-18T00:53:00.2Z,1,REGULAR,foul,personal,[],1629308,,,1610612738,13,17,2021-04-18T00:53:22Z,660000,,,0,,J. Toscano-Anderson personal FOUL (1 PF),"[1629308, 203935]",1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,1198.0,1.0,0.0,Smart,203935.0,,,,,,,,,
68,PT05M54.00S,2021-04-18T00:53:05.4Z,1,REGULAR,substitution,out,[],1628400,,,1610612738,13,17,2021-04-18T00:53:10Z,680000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M54.00S,2021-04-18T00:53:05.4Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,13,17,2021-04-18T00:53:10Z,690000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M44.00S,2021-04-18T00:53:29.4Z,1,REGULAR,turnover,out-of-bounds,[],202689,,,1610612738,13,17,2021-04-18T00:53:34Z,700000,,,0,,K. Walker step out-of-bounds TURNOVER (1 TO),[202689],1610612738.0,BOS,step,,,Walker,K. Walker,,,,,,,,,,,,1148.0,,,,,,,,1.0,,,,,
71,PT05M29.00S,2021-04-18T00:53:50.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203145,32.276609724047304,57.91207107843137,1610612744,13,17,2021-04-18T00:53:58Z,710000,-40.0,251.0,1,left,MISS K. Bazemore 25' 3PT,[203145],1610612744.0,GSW,,,,Bazemore,K. Bazemore,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,,
