actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
95,PT04M49.00S,2020-12-16T00:46:05.8Z,1,REGULAR,2pt,Jump Shot,[],203954,23.176741130091983,50.17616421568628,1610612755,15,13,2020-12-16T00:46:10Z,950000,-1.0,165.0,1,left,MISS J. Embiid 16' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,16.54,Missed,,,,,,,,,,,,,,,
96,PT04M46.00S,2020-12-16T00:46:08.8Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,15,13,2020-12-16T00:46:10Z,960000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,,,
97,PT04M39.00S,2020-12-16T00:46:16.0Z,1,REGULAR,3pt,Jump Shot,[],203935,69.82588699080158,77.13694852941177,1610612738,15,13,2020-12-16T00:46:20Z,970000,136.0,231.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,26.8,Missed,,,,,,,,,,,,,,,
98,PT04M36.00S,2020-12-16T00:46:19.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,15,13,2020-12-16T00:46:20Z,980000,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,97.0,3.0,3.0,0.0,,,,,,,,,,,
99,PT04M28.00S,2020-12-16T00:46:27.2Z,1,REGULAR,3pt,Jump Shot,[],201980,32.11235216819975,62.43106617647059,1610612755,18,13,2020-12-16T00:46:31Z,990000,-62.0,249.0,1,left,D. Green 25' 3PT  (3 PTS) (T. Harris 2 AST),"[201980, 202699]",1610612755.0,PHI,,,,Green,D. Green,,,,,,,,25.7,Made,,,,,3.0,T. Harris,202699.0,2.0,,,,,,,
101,PT04M00.00S,2020-12-16T00:46:54.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.92838370565046,80.81341911764706,1610612738,18,13,2020-12-16T00:47:00Z,1010000,154.0,211.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,26.16,Missed,,,,,,,,,,,,,,,
102,PT03M58.00S,2020-12-16T00:46:56.6Z,1,REGULAR,rebound,defensive,[],203552,,,1610612755,18,13,2020-12-16T00:47:00Z,1020000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,,,
103,PT03M48.00S,2020-12-16T00:47:07.3Z,1,REGULAR,2pt,Jump Shot,[],203954,22.913929040735866,52.38204656862745,1610612755,20,13,2020-12-16T00:47:15Z,1030000,-12.0,163.0,1,left,J. Embiid 16' Jump Shot (8 PTS) (S. Curry 1 AST),"[203954, 203552]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,16.33,Made,,,,,8.0,S. Curry,203552.0,1.0,,,,,,,
105,PT03M30.00S,2020-12-16T00:47:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.55913272010513,55.078125,1610612738,20,13,2020-12-16T00:47:33Z,1050000,25.0,17.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,3.08,Missed,,,,,,,,,,,,,,,
106,PT03M26.00S,2020-12-16T00:47:28.3Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,20,13,2020-12-16T00:47:33Z,1060000,,,0,,J. Brown REBOUND (Off:2 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,105.0,4.0,2.0,2.0,,,,,,,,,,,
107,PT03M26.00S,2020-12-16T00:47:28.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,94.40999984741211,50.0,1610612738,20,13,2020-12-16T00:47:28Z,1070000,0.0,0.0,1,right,MISS J. Brown tip Layup,[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,
108,PT03M24.00S,2020-12-16T00:47:31.0Z,1,REGULAR,rebound,offensive,[],1629605,,,1610612738,20,13,2020-12-16T00:47:31Z,1080000,,,0,,T. Fall REBOUND (Off:1 Def:0),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,107.0,1.0,0.0,1.0,,,,,,,,,,,
109,PT03M24.00S,2020-12-16T00:47:31.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629605,94.40999984741211,50.0,1610612738,20,15,2020-12-16T00:47:31Z,1090000,0.0,0.0,1,right,T. Fall putback DUNK (2 PTS),[1629605],1610612738.0,BOS,putback,,,Fall,T. Fall,,,,,,,,0.0,Made,,,,,2.0,,,,,,,,,,
110,PT03M17.00S,2020-12-16T00:47:41.6Z,1,REGULAR,foul,technical,['1freethrow'],1629605,,,1610612755,20,15,2020-12-16T00:47:56Z,1100000,,,0,,T. Fall defensive-3-second technical FOUL (1 Tech),[1629605],1610612738.0,BOS,defensive-3-second,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,202007.0,0.0,1.0,,,,
111,PT03M17.00S,2020-12-16T00:48:01.8Z,1,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,21,15,2020-12-16T00:48:01Z,1110000,,,0,,J. Embiid technical Free Throw 1 of 1 (9 PTS),[203954],1610612755.0,PHI,technical,,,Embiid,J. Embiid,,,,,,,,,Made,,,,,9.0,,,,,,,,,,
112,PT03M17.00S,2020-12-16T00:48:04.2Z,1,REGULAR,substitution,out,[],201980,,,1610612755,21,15,2020-12-16T00:48:13Z,1120000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M17.00S,2020-12-16T00:48:04.2Z,1,REGULAR,substitution,out,[],203954,,,1610612755,21,15,2020-12-16T00:48:13Z,1130000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M17.00S,2020-12-16T00:48:04.2Z,1,REGULAR,substitution,out,[],203552,,,1610612755,21,15,2020-12-16T00:48:13Z,1140000,,,0,,SUB out: S. Curry,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M17.00S,2020-12-16T00:48:04.2Z,1,REGULAR,substitution,in,[],1629003,,,1610612755,21,15,2020-12-16T00:48:13Z,1150000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M17.00S,2020-12-16T00:48:04.2Z,1,REGULAR,substitution,in,[],1627788,,,1610612755,21,15,2020-12-16T00:48:13Z,1160000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M17.00S,2020-12-16T00:48:04.2Z,1,REGULAR,substitution,in,[],2730,,,1610612755,21,15,2020-12-16T00:48:13Z,1170000,,,0,,SUB in: D. Howard,[2730],1610612755.0,PHI,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M15.00S,2020-12-16T00:48:19.7Z,1,REGULAR,turnover,bad pass,[],202699,,,1610612755,21,15,2020-12-16T00:48:23Z,1180000,,,0,,T. Harris bad pass TURNOVER (2 TO),"[202699, 1629605]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,2.0,Fall,1629605.0,,,,,,,,,,,,,,,,,
119,PT03M15.00S,2020-12-16T00:48:19.7Z,1,REGULAR,steal,,[],1629605,,,1610612738,21,15,2020-12-16T00:48:22Z,1190000,,,0,,T. Fall STEAL (1 STL),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M11.00S,2020-12-16T00:48:23.7Z,1,REGULAR,turnover,lost ball,[],1629605,,,1610612738,21,15,2020-12-16T00:48:28Z,1200000,,,0,,T. Fall lost ball TURNOVER (1 TO),"[1629605, 202699]",1610612738.0,BOS,,,,Fall,T. Fall,,,,,1.0,Harris,202699.0,,,,,,,,,,,,,,,,,
121,PT03M11.00S,2020-12-16T00:48:23.7Z,1,REGULAR,steal,,[],202699,,,1610612755,21,15,2020-12-16T00:48:26Z,1210000,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M55.00S,2020-12-16T00:48:39.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202699,3.071616294349539,95.76439950980392,1610612755,21,15,2020-12-16T00:48:44Z,1220000,-229.0,-24.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,23.0,Missed,,,,,,,,,,,,,,,
123,PT02M52.00S,2020-12-16T00:48:42.7Z,1,REGULAR,rebound,offensive,[],2730,,,1610612755,21,15,2020-12-16T00:48:44Z,1230000,,,0,,D. Howard REBOUND (Off:1 Def:0),[2730],1610612755.0,PHI,,,,Howard,D. Howard,,,,,,,,,,122.0,1.0,0.0,1.0,,,,,,,,,,,
124,PT02M51.00S,2020-12-16T00:48:45.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",2730,6.356767411300922,42.823223039215684,1610612755,21,15,2020-12-16T00:48:59Z,1240000,36.0,7.0,1,left,MISS D. Howard Hook - blocked,"[2730, 1629605]",1610612755.0,PHI,,,,Howard,D. Howard,,,,,,,,3.66,Missed,,,,,,,,,,,,,,Fall,1629605.0
125,PT02M51.00S,2020-12-16T00:48:45.0Z,1,REGULAR,block,,[],1629605,,,1610612755,21,15,2020-12-16T00:48:47Z,1250000,,,0,,T. Fall BLOCK (1 BLK),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M51.00S,2020-12-16T00:48:45.0Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,21,15,2020-12-16T00:48:59Z,1260000,,,0,,T. Harris REBOUND (Off:1 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,124.0,4.0,3.0,1.0,,,,,,,,,,,
127,PT02M51.00S,2020-12-16T00:48:50.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",202699,7.145203679369246,51.40165441176471,1610612755,23,15,2020-12-16T00:49:03Z,1270000,-7.0,15.0,1,left,T. Harris DUNK (4 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,1.63,Made,,,,,4.0,,,,,,,,,,
128,PT02M51.00S,2020-12-16T00:49:06.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,23,15,2020-12-16T00:49:06Z,1280000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M51.00S,2020-12-16T00:50:35.6Z,1,REGULAR,substitution,out,[],202699,,,1610612738,23,15,2020-12-16T00:50:43Z,1290000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M51.00S,2020-12-16T00:50:35.6Z,1,REGULAR,substitution,in,[],203118,,,1610612738,23,15,2020-12-16T00:50:43Z,1300000,,,0,,SUB in: M. Scott,[203118],1610612755.0,PHI,,,,Scott,M. Scott,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M51.00S,2020-12-16T00:51:33.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,23,15,2020-12-16T00:51:49Z,1310000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M51.00S,2020-12-16T00:51:33.3Z,1,REGULAR,substitution,out,[],203935,,,1610612738,23,15,2020-12-16T00:51:49Z,1320000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M51.00S,2020-12-16T00:51:33.3Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,23,15,2020-12-16T00:51:49Z,1330000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M51.00S,2020-12-16T00:51:33.3Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,23,15,2020-12-16T00:51:49Z,1340000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M31.00S,2020-12-16T00:52:25.1Z,1,REGULAR,2pt,Jump Shot,[],1630202,89.79960578186596,73.46047794117646,1610612738,23,17,2020-12-16T00:52:29Z,1350000,117.0,43.0,1,right,P. Pritchard 12' pullup Jump Shot (2 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,,,,12.51,Made,,,,,2.0,,,,,,,,,,
136,PT02M13.00S,2020-12-16T00:52:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203118,5.962549277266746,47.72518382352941,1610612755,23,17,2020-12-16T00:52:45Z,1360000,11.0,4.0,1,left,MISS M. Scott Layup - blocked,"[203118, 1629684]",1610612755.0,PHI,,,,Scott,M. Scott,,,,,,,,1.19,Missed,,,,,,,,,,,,,,Williams,1629684.0
137,PT02M13.00S,2020-12-16T00:52:42.5Z,1,REGULAR,block,,[],1629684,,,1610612755,23,17,2020-12-16T00:52:44Z,1370000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M10.00S,2020-12-16T00:52:45.5Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,23,17,2020-12-16T00:52:45Z,1380000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,136.0,2.0,2.0,0.0,,,,,,,,,,,
139,PT02M03.00S,2020-12-16T00:52:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.2161629434954,54.09773284313725,1610612738,23,17,2020-12-16T00:52:56Z,1390000,20.0,11.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,2.34,Missed,,,,,,,,,,,,,,,
140,PT02M00.00S,2020-12-16T00:52:56.0Z,1,REGULAR,rebound,defensive,[],2730,,,1610612755,23,17,2020-12-16T00:52:56Z,1400000,,,0,,D. Howard REBOUND (Off:1 Def:1),[2730],1610612755.0,PHI,,,,Howard,D. Howard,,,,,,,,,,139.0,2.0,1.0,1.0,,,,,,,,,,,
141,PT01M49.00S,2020-12-16T00:53:06.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,6.4881734559789805,47.23498774509803,1610612755,25,17,2020-12-16T00:53:10Z,1410000,14.0,8.0,1,left,B. Simmons driving Hook (5 PTS),[1627732],1610612755.0,PHI,driving,,,Simmons,B. Simmons,,,,,,,,1.62,Made,,,,,5.0,,,,,,,,,,
142,PT01M32.00S,2020-12-16T00:53:24.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.27135348226018,17.578125,1610612738,25,17,2020-12-16T00:53:30Z,1420000,-162.0,218.0,1,right,MISS J. Tatum 27' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,27.13,Missed,,,,,,,,,,,,,,,
143,PT01M29.00S,2020-12-16T00:53:27.0Z,1,REGULAR,rebound,defensive,[],1629003,,,1610612755,25,17,2020-12-16T00:53:30Z,1430000,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,142.0,1.0,1.0,0.0,,,,,,,,,,,
144,PT01M27.00S,2020-12-16T00:53:29.6Z,1,REGULAR,3pt,Jump Shot,[],1627788,7.670827858081481,2.872242647058826,1610612755,25,17,2020-12-16T00:54:11Z,1440000,236.0,20.0,1,left,MISS F. Korkmaz 3PT,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,23.64,Missed,,,,,,,,,,,,,,,
145,PT01M27.00S,2020-12-16T00:53:29.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,25,17,2020-12-16T00:54:11Z,1450000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,144.0,,,,,,,,,,,,,,
146,PT01M27.00S,2020-12-16T00:53:38.4Z,1,REGULAR,foul,personal,[],1629684,,,1610612755,25,17,2020-12-16T00:53:49Z,1460000,,,0,,G. Williams loose ball personal FOUL (1 PF),"[1629684, 2730]",1610612738.0,BOS,loose ball,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Howard,2730.0,,
148,PT01M27.00S,2020-12-16T00:53:47.0Z,1,REGULAR,substitution,out,[],1627732,,,1610612755,25,17,2020-12-16T00:53:52Z,1480000,,,0,,SUB out: B. Simmons,[1627732],1610612755.0,PHI,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M27.00S,2020-12-16T00:53:47.0Z,1,REGULAR,substitution,out,[],1629605,,,1610612755,25,17,2020-12-16T00:53:52Z,1490000,,,0,,SUB out: T. Fall,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M27.00S,2020-12-16T00:53:47.0Z,1,REGULAR,substitution,in,[],1629680,,,1610612755,25,17,2020-12-16T00:53:52Z,1500000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M27.00S,2020-12-16T00:53:47.0Z,1,REGULAR,substitution,in,[],1628400,,,1610612755,25,17,2020-12-16T00:53:52Z,1510000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
152,PT01M14.00S,2020-12-16T00:54:10.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627788,6.093955321944804,52.13694852941176,1610612755,27,17,2020-12-16T00:54:15Z,1520000,-11.0,5.0,1,left,F. Korkmaz driving finger roll Layup (2 PTS) (S. Milton 1 AST),"[1627788, 1629003]",1610612755.0,PHI,driving finger roll,,,Korkmaz,F. Korkmaz,,,,,,,,1.17,Made,,,,,2.0,S. Milton,1629003.0,1.0,,,,,,,
154,PT01M04.00S,2020-12-16T00:54:18.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,76.39618922470433,10.470281862745097,1610612738,27,17,2020-12-16T00:54:22Z,1540000,-198.0,169.0,1,right,MISS P. Pritchard 26' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,26.03,Missed,,,,,,,,,,,,,,,
155,PT01M01.00S,2020-12-16T00:54:22.1Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,27,17,2020-12-16T00:54:22Z,1550000,,,0,,G. Williams REBOUND (Off:1 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,154.0,3.0,2.0,1.0,,,,,,,,,,,
156,PT00M48.30S,2020-12-16T00:54:37.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612738,27,17,2020-12-16T00:54:47Z,1560000,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,202007.0,,,,,,
157,PT00M41.30S,2020-12-16T00:54:55.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629003,6.8823915900131425,49.19577205882353,1610612755,27,17,2020-12-16T00:54:59Z,1570000,4.0,12.0,1,left,MISS S. Milton driving finger roll Layup,[1629003],1610612755.0,PHI,driving finger roll,,,Milton,S. Milton,,,,,,,,1.28,Missed,,,,,,,,,,,,,,,
158,PT00M39.10S,2020-12-16T00:54:57.9Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,27,17,2020-12-16T00:54:57Z,1580000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,157.0,1.0,1.0,0.0,,,,,,,,,,,
159,PT00M30.70S,2020-12-16T00:55:07.9Z,1,REGULAR,foul,personal,['2freethrow'],2730,,,1610612738,27,17,2020-12-16T00:55:15Z,1590000,,,0,,D. Howard shooting personal FOUL (1 PF) (Ojeleye 2 FT),"[2730, 1628400]",1610612755.0,PHI,shooting,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Ojeleye,1628400.0,,
161,PT00M30.70S,2020-12-16T00:55:41.3Z,1,REGULAR,freethrow,1 of 2,[],1628400,,,1610612738,27,18,2020-12-16T00:55:41Z,1610000,,,0,,S. Ojeleye Free Throw 1 of 2 (1 PTS),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
162,PT00M30.70S,2020-12-16T00:55:59.9Z,1,REGULAR,freethrow,2 of 2,[],1628400,,,1610612738,27,19,2020-12-16T00:55:59Z,1620000,,,0,,S. Ojeleye Free Throw 2 of 2 (2 PTS),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,Made,,,,,2.0,,,,,,,,,,
163,PT00M13.80S,2020-12-16T00:56:19.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2730,5.042706964520377,49.685968137254896,1610612755,29,19,2020-12-16T00:56:25Z,1630000,2.0,-5.0,1,left,D. Howard alley-oop DUNK (2 PTS) (S. Milton 2 AST),"[2730, 1629003]",1610612755.0,PHI,alley-oop,,,Howard,D. Howard,,,,,,,,0.53,Made,,,,,2.0,S. Milton,1629003.0,2.0,,,,,,,
165,PT00M01.70S,2020-12-16T00:56:36.6Z,1,REGULAR,foul,offensive,[],1629684,,,1610612738,29,19,2020-12-16T00:56:57Z,1650000,,,0,,G. Williams offensive FOUL (2 PF),"[1629684, 1629003]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,202007.0,2.0,0.0,Milton,1629003.0,,
167,PT00M01.70S,2020-12-16T00:56:36.6Z,1,REGULAR,turnover,offensive foul,[],1629684,,,1610612738,29,19,2020-12-16T00:56:36Z,1670000,,,0,,G. Williams offensive foul TURNOVER (1 TO),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,1.0,,,,,,,,,,,,,202007.0,,,,,,
168,PT00M00.00S,2020-12-16T00:57:02.0Z,1,REGULAR,period,end,[],0,,,1610612755,29,19,2020-12-16T00:57:02Z,1680000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2020-12-16T01:00:29.1Z,2,REGULAR,period,start,[],0,,,1610612755,29,19,2020-12-16T01:00:29Z,1690000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M46.00S,2020-12-16T01:00:41.5Z,2,REGULAR,2pt,Jump Shot,[],1629003,15.949408672798953,29.587928921568633,1610612755,31,19,2020-12-16T01:00:45Z,1700000,102.0,97.0,1,left,S. Milton 14' pullup Jump Shot (2 PTS),[1629003],1610612755.0,PHI,pullup,,,Milton,S. Milton,,,,,,,,14.11,Made,,,,,2.0,,,,,,,,,,
171,PT11M36.00S,2020-12-16T01:00:51.9Z,2,REGULAR,3pt,Jump Shot,[],1629684,71.27135348226018,24.440870098039213,1610612738,31,19,2020-12-16T01:00:55Z,1710000,-128.0,218.0,1,right,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,25.23,Missed,,,,,,,,,,,,,,,
172,PT11M33.00S,2020-12-16T01:00:54.9Z,2,REGULAR,rebound,defensive,[],1627788,,,1610612755,31,19,2020-12-16T01:00:55Z,1720000,,,0,,F. Korkmaz REBOUND (Off:0 Def:1),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,171.0,1.0,1.0,0.0,,,,,,,,,,,
173,PT11M31.00S,2020-12-16T01:01:00.6Z,2,REGULAR,foul,offensive,[],2730,,,1610612755,31,19,2020-12-16T01:01:09Z,1730000,,,0,,D. Howard offensive FOUL (2 PF),"[2730, 1629684]",1610612755.0,PHI,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,202007.0,2.0,0.0,Williams,1629684.0,,
175,PT11M31.00S,2020-12-16T01:01:00.6Z,2,REGULAR,turnover,offensive foul,[],2730,,,1610612755,31,19,2020-12-16T01:01:00Z,1750000,,,0,,D. Howard offensive foul TURNOVER (1 TO),[2730],1610612755.0,PHI,,,,Howard,D. Howard,,,,,1.0,,,,,,,,,,,,,202007.0,,,,,,
176,PT11M15.00S,2020-12-16T01:01:26.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],201952,69.03745072273324,27.627144607843135,1610612738,31,22,2020-12-16T01:01:31Z,1760000,-112.0,239.0,1,right,J. Teague 26' 3PT  (3 PTS) (P. Pritchard 1 AST),"[201952, 1630202]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,26.34,Made,,,,,3.0,P. Pritchard,1630202.0,1.0,,,,,,,
178,PT10M54.00S,2020-12-16T01:01:47.8Z,2,REGULAR,2pt,Jump Shot,[],203118,15.160972404730614,24.685968137254903,1610612755,31,22,2020-12-16T01:01:53Z,1780000,127.0,90.0,1,left,MISS M. Scott 15' step back Shot - blocked,"[203118, 1630202]",1610612755.0,PHI,step back,,,Scott,M. Scott,,,,,,,,15.53,Missed,,,,,,,,,,,,,,Pritchard,1630202.0
179,PT10M54.00S,2020-12-16T01:01:47.8Z,2,REGULAR,block,,[],1630202,,,1610612755,31,22,2020-12-16T01:01:50Z,1790000,,,0,,P. Pritchard BLOCK (1 BLK),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
180,PT10M53.00S,2020-12-16T01:01:48.8Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,31,22,2020-12-16T01:01:53Z,1800000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,178.0,1.0,1.0,0.0,,,,,,,,,,,
181,PT10M53.00S,2020-12-16T01:01:57.7Z,2,REGULAR,foul,personal,[],1627788,,,1610612738,31,22,2020-12-16T02:20:51Z,1810000,,,0,,F. Korkmaz take personal FOUL (1 PF),"[1627788, 1630202]",1610612755.0,PHI,take,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Pritchard,1630202.0,,
