actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
91,PT04M22.00S,2021-03-21T19:53:51.4Z,1,REGULAR,substitution,out,[],203487,,,1610612753,13,15,2021-03-21T19:54:03Z,910000,,,0,,SUB out: M. Carter-Williams,[203487],1610612753.0,ORL,,,,Carter-Williams,M. Carter-Williams,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M22.00S,2021-03-21T19:53:51.4Z,1,REGULAR,substitution,in,[],1630202,,,1610612753,13,15,2021-03-21T19:54:03Z,920000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M22.00S,2021-03-21T19:53:51.4Z,1,REGULAR,substitution,in,[],1629057,,,1610612753,13,15,2021-03-21T19:54:03Z,930000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M22.00S,2021-03-21T19:53:51.4Z,1,REGULAR,substitution,in,[],1628407,,,1610612753,13,15,2021-03-21T19:54:03Z,940000,,,0,,SUB in: D. Bacon,[1628407],1610612753.0,ORL,,,,Bacon,D. Bacon,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M22.00S,2021-03-21T19:53:51.4Z,1,REGULAR,substitution,in,[],1626184,,,1610612753,13,15,2021-03-21T19:54:03Z,950000,,,0,,SUB in: C. Randle,[1626184],1610612753.0,ORL,,,,Randle,C. Randle,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M22.00S,2021-03-21T19:53:50.7Z,1,REGULAR,freethrow,2 of 2,[],202329,,,1610612753,13,15,2021-03-21T19:54:28Z,960000,,,0,,MISS A. Aminu Free Throw 2 of 2,[202329],1610612753.0,ORL,,,,Aminu,A. Aminu,,,,,,Missed,,,,,,,,,,,,,,,,,,
97,PT04M22.00S,2021-03-21T19:53:50.7Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,13,15,2021-03-21T19:54:28Z,970000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,
98,PT04M03.00S,2021-03-21T19:54:35.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,23.73521681997372,84.62775735294117,1610612738,16,15,2021-03-21T19:54:40Z,980000,-173.0,171.0,1,left,J. Brown 24' 3PT  (6 PTS) (R. Williams III 1 AST),"[1627759, 1629057]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.3,Made,,,,,,,6.0,R. Williams III,1629057.0,1.0,,,,,,,,
100,PT03M42.00S,2021-03-21T19:54:56.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,88.64980289093299,59.3826593137255,1610612753,16,17,2021-03-21T19:55:02Z,1000000,47.0,54.0,1,right,N. Vucevic 7' turnaround Hook (7 PTS),[202696],1610612753.0,ORL,turnaround,,,Vucevic,N. Vucevic,,,,,7.17,Made,,,,,,,7.0,,,,,,,,,,,
101,PT03M28.00S,2021-03-21T19:55:10.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,21.50131406044678,7.666973039215687,1610612738,16,17,2021-03-21T19:55:17Z,1010000,212.0,150.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,
102,PT03M26.00S,2021-03-21T19:55:12.2Z,1,REGULAR,rebound,defensive,[],202329,,,1610612753,16,17,2021-03-21T19:55:17Z,1020000,,,0,,A. Aminu REBOUND (Off:0 Def:2),[202329],1610612753.0,ORL,,,,Aminu,A. Aminu,,,,,,,101.0,2.0,2.0,0.0,,,,,,,,,,,,,,
103,PT03M19.00S,2021-03-21T19:55:20.0Z,1,REGULAR,3pt,Jump Shot,[],1628407,86.41590013140605,3.7454044117647056,1610612753,16,17,2021-03-21T19:55:28Z,1030000,-231.0,75.0,1,right,MISS D. Bacon 24' 3PT,[1628407],1610612753.0,ORL,,,,Bacon,D. Bacon,,,,,24.32,Missed,,,,,,,,,,,,,,,,,,
104,PT03M17.00S,2021-03-21T19:55:22.0Z,1,REGULAR,rebound,offensive,[],202329,,,1610612753,16,17,2021-03-21T19:55:28Z,1040000,,,0,,A. Aminu REBOUND (Off:1 Def:2),[202329],1610612753.0,ORL,,,,Aminu,A. Aminu,,,,,,,103.0,3.0,2.0,1.0,,,,,,,,,,,,,,
105,PT03M13.00S,2021-03-21T19:55:24.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202696,68.80749014454665,72.86305147058823,1610612753,16,20,2021-03-21T19:55:31Z,1050000,114.0,241.0,1,right,N. Vucevic 26' 3PT  (10 PTS) (A. Aminu 1 AST),"[202696, 202329]",1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,26.65,Made,,,,,,,10.0,A. Aminu,202329.0,1.0,,,,,,,,
107,PT02M59.00S,2021-03-21T19:55:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.701708278580814,44.11381740196079,1610612738,18,20,2021-03-21T19:55:45Z,1070000,29.0,10.0,1,left,J. Brown cutting Layup (8 PTS) (M. Smart 3 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,3.12,Made,,,,,,,8.0,M. Smart,203935.0,3.0,,,,,,,,
109,PT02M48.00S,2021-03-21T19:55:54.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,18,20,2021-03-21T19:55:54Z,1090000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M48.00S,2021-03-21T19:56:00.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,18,20,2021-03-21T19:56:00Z,1100000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M48.00S,2021-03-21T19:58:27.0Z,1,REGULAR,substitution,out,[],1627759,,,1610612753,18,20,2021-03-21T19:58:46Z,1110000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M48.00S,2021-03-21T19:58:27.0Z,1,REGULAR,substitution,out,[],202329,,,1610612753,18,20,2021-03-21T19:58:46Z,1120000,,,0,,SUB out: A. Aminu,[202329],1610612753.0,ORL,,,,Aminu,A. Aminu,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M48.00S,2021-03-21T19:58:27.0Z,1,REGULAR,substitution,out,[],202696,,,1610612753,18,20,2021-03-21T19:58:46Z,1130000,,,0,,SUB out: N. Vucevic,[202696],1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M48.00S,2021-03-21T19:58:27.0Z,1,REGULAR,substitution,out,[],203095,,,1610612753,18,20,2021-03-21T19:58:46Z,1140000,,,0,,SUB out: E. Fournier,[203095],1610612753.0,ORL,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M48.00S,2021-03-21T19:58:27.0Z,1,REGULAR,substitution,in,[],1628369,,,1610612753,18,20,2021-03-21T19:58:46Z,1150000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M48.00S,2021-03-21T19:58:27.0Z,1,REGULAR,substitution,in,[],203920,,,1610612753,18,20,2021-03-21T19:58:46Z,1160000,,,0,,SUB in: K. Birch,[203920],1610612753.0,ORL,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M48.00S,2021-03-21T19:58:27.0Z,1,REGULAR,substitution,in,[],203516,,,1610612753,18,20,2021-03-21T19:58:46Z,1170000,,,0,,SUB in: J. Ennis III,[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M48.00S,2021-03-21T19:58:27.0Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,18,20,2021-03-21T19:58:46Z,1180000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M35.00S,2021-03-21T19:59:21.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,18,20,2021-03-21T19:59:21Z,1190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M32.00S,2021-03-21T19:59:40.4Z,1,REGULAR,3pt,Jump Shot,[],1628407,90.09526938239159,94.67677696078431,1610612753,18,23,2021-03-21T19:59:51Z,1200000,223.0,41.0,1,right,D. Bacon 3PT fadeaway (3 PTS) (J. Ennis III 1 AST),"[1628407, 203516]",1610612753.0,ORL,fadeaway,,,Bacon,D. Bacon,,,,,22.71,Made,,,,,,,3.0,J. Ennis III,203516.0,1.0,,,,,,,,
122,PT02M19.00S,2021-03-21T19:59:52.5Z,1,REGULAR,3pt,Jump Shot,[],203935,27.94021024967148,21.637561274509803,1610612738,21,23,2021-03-21T19:59:57Z,1220000,142.0,210.0,1,left,M. Smart 25' 3PT  (3 PTS) (R. Williams III 2 AST),"[203935, 1629057]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.35,Made,,,,,,,3.0,R. Williams III,1629057.0,2.0,,,,,,,,
124,PT02M04.00S,2021-03-21T20:00:08.9Z,1,REGULAR,2pt,Jump Shot,[],1628407,77.87450722733246,31.196384803921568,1610612753,21,23,2021-03-21T20:00:15Z,1240000,-94.0,155.0,1,right,MISS D. Bacon 18' Jump Shot,[1628407],1610612753.0,ORL,,,,Bacon,D. Bacon,,,,,18.17,Missed,,,,,,,,,,,,,,,,,,
125,PT02M00.00S,2021-03-21T20:00:12.9Z,1,REGULAR,rebound,offensive,[],203920,,,1610612753,21,23,2021-03-21T20:00:15Z,1250000,,,0,,K. Birch REBOUND (Off:1 Def:0),[203920],1610612753.0,ORL,,,,Birch,K. Birch,,,,,,,124.0,1.0,0.0,1.0,,,,,,,,,,,,,,
126,PT01M59.00S,2021-03-21T20:00:14.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203516,91.19579500657031,47.66390931372549,1610612753,21,25,2021-03-21T20:00:21Z,1260000,-12.0,30.0,1,right,J. Ennis III driving Layup (2 PTS) (K. Birch 1 AST),"[203516, 203920]",1610612753.0,ORL,driving,,,Ennis III,J. Ennis III,,,,,3.25,Made,,,,,,,2.0,K. Birch,203920.0,1.0,,,,,,,,
128,PT01M59.00S,2021-03-21T20:00:17.7Z,1,REGULAR,foul,personal,['1freethrow'],1630202,,,1610612753,21,25,2021-03-21T20:00:25Z,1280000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Ennis III 1 FT),"[1630202, 203516]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,1174.0,1.0,0.0,Ennis III,203516.0
130,PT01M59.00S,2021-03-21T20:00:36.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203516,,,1610612753,21,26,2021-03-21T20:00:36Z,1300000,,,0,,J. Ennis III Free Throw 1 of 1 (3 PTS),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
131,PT01M53.00S,2021-03-21T20:00:47.8Z,1,REGULAR,foul,personal,['3freethrow'],1628407,,,1610612738,21,26,2021-03-21T20:00:56Z,1310000,,,0,,D. Bacon shooting personal FOUL (1 PF) (Smart 3 FT),"[1628407, 203935]",1610612753.0,ORL,shooting,,,Bacon,D. Bacon,,,,,,,,,,,,,,,,,,,,1628480.0,1.0,0.0,Smart,203935.0
133,PT01M53.00S,2021-03-21T20:01:12.7Z,1,REGULAR,freethrow,1 of 3,[],203935,,,1610612738,22,26,2021-03-21T20:01:12Z,1330000,,,0,,M. Smart Free Throw 1 of 3 (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
134,PT01M53.00S,2021-03-21T20:01:25.5Z,1,REGULAR,freethrow,2 of 3,[],203935,,,1610612738,23,26,2021-03-21T20:01:25Z,1340000,,,0,,M. Smart Free Throw 2 of 3 (5 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
135,PT01M53.00S,2021-03-21T20:01:37.8Z,1,REGULAR,freethrow,3 of 3,[],203935,,,1610612738,24,26,2021-03-21T20:01:37Z,1350000,,,0,,M. Smart Free Throw 3 of 3 (6 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
136,PT01M31.00S,2021-03-21T20:02:07.3Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1629057,,,1610612753,24,26,2021-03-21T20:02:19Z,1360000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Ennis III 3 FT),"[1629057, 203516]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,1628480.0,1.0,0.0,Ennis III,203516.0
138,PT01M31.00S,2021-03-21T20:02:53.3Z,1,REGULAR,freethrow,1 of 3,[],203516,,,1610612753,24,26,2021-03-21T20:02:53Z,1380000,,,0,,MISS J. Ennis III Free Throw 1 of 3,[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,Missed,,,,,,,,,,,,,,,,,,
139,PT01M31.00S,2021-03-21T20:02:53.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,24,26,2021-03-21T20:02:53Z,1390000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,138.0,,,,,,,,,,,,,,,,,
140,PT01M31.00S,2021-03-21T20:03:07.6Z,1,REGULAR,freethrow,2 of 3,[],203516,,,1610612753,24,27,2021-03-21T20:03:07Z,1400000,,,0,,J. Ennis III Free Throw 2 of 3 (4 PTS),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
141,PT01M31.00S,2021-03-21T20:03:09.1Z,1,REGULAR,substitution,out,[],1626184,,,1610612753,24,27,2021-03-21T20:03:15Z,1410000,,,0,,SUB out: C. Randle,[1626184],1610612753.0,ORL,,,,Randle,C. Randle,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M31.00S,2021-03-21T20:03:09.1Z,1,REGULAR,substitution,in,[],203932,,,1610612753,24,27,2021-03-21T20:03:15Z,1420000,,,0,,SUB in: A. Gordon,[203932],1610612753.0,ORL,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M31.00S,2021-03-21T20:03:23.0Z,1,REGULAR,freethrow,3 of 3,[],203516,,,1610612753,24,28,2021-03-21T20:03:23Z,1430000,,,0,,J. Ennis III Free Throw 3 of 3 (5 PTS),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
144,PT01M21.00S,2021-03-21T20:03:33.8Z,1,REGULAR,3pt,Jump Shot,[],203935,27.94021024967148,78.01011029411765,1610612738,24,28,2021-03-21T20:03:40Z,1440000,-140.0,210.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,
145,PT01M19.00S,2021-03-21T20:03:36.7Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,24,28,2021-03-21T20:03:36Z,1450000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,144.0,2.0,1.0,1.0,,,,,,,,,,,,,,
146,PT01M14.00S,2021-03-21T20:03:41.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,17.95335085413929,5.951286764705882,1610612738,27,28,2021-03-21T20:03:51Z,1460000,220.0,116.0,1,left,J. Tatum 24' 3PT step back (11 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,24.9,Made,,,,,,,11.0,,,,,,,,,,,
147,PT00M56.80S,2021-03-21T20:03:59.1Z,1,REGULAR,3pt,Jump Shot,[],203516,89.70105124835742,95.90226715686273,1610612753,27,31,2021-03-21T20:04:04Z,1470000,230.0,44.0,1,right,J. Ennis III 3PT  (8 PTS) (C. Okeke 1 AST),"[203516, 1629643]",1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,23.37,Made,,,,,,,8.0,C. Okeke,1629643.0,1.0,,,,,,,,
149,PT00M46.80S,2021-03-21T20:04:11.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.440867279894875,53.74540441176471,1610612738,27,31,2021-03-21T20:04:17Z,1490000,-19.0,17.0,1,left,MISS J. Tatum cutting Layup,[1628369],1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,2.55,Missed,,,,,,,,,,,,,,,,,,
150,PT00M45.00S,2021-03-21T20:04:12.8Z,1,REGULAR,rebound,defensive,[],203516,,,1610612753,27,31,2021-03-21T20:04:12Z,1500000,,,0,,J. Ennis III REBOUND (Off:0 Def:1),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,,149.0,1.0,1.0,0.0,,,,,,,,,,,,,,
151,PT00M31.20S,2021-03-21T20:04:26.5Z,1,REGULAR,2pt,Jump Shot,[],1628407,76.2976346911958,36.833639705882355,1610612753,27,31,2021-03-21T20:04:32Z,1510000,-66.0,170.0,1,right,MISS D. Bacon 18' pullup Shot,[1628407],1610612753.0,ORL,pullup,,,Bacon,D. Bacon,,,,,18.26,Missed,,,,,,,,,,,,,,,,,,
152,PT00M28.50S,2021-03-21T20:04:29.2Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,27,31,2021-03-21T20:04:32Z,1520000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,151.0,1.0,1.0,0.0,,,,,,,,,,,,,,
153,PT00M11.90S,2021-03-21T20:04:46.0Z,1,REGULAR,turnover,bad pass,[],1630202,,,1610612738,27,31,2021-03-21T20:04:51Z,1530000,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 1629643]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,1.0,Okeke,1629643.0,,,,,
154,PT00M11.90S,2021-03-21T20:04:46.0Z,1,REGULAR,steal,,[],1629643,,,1610612753,27,31,2021-03-21T20:04:51Z,1540000,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M01.00S,2021-03-21T20:04:58.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203932,65.1281208935611,41.24540441176471,1610612753,27,31,2021-03-21T20:05:12Z,1550000,-44.0,275.0,1,right,MISS A. Gordon 27' pullup 3PT,[203932],1610612753.0,ORL,pullup,,,Gordon,A. Gordon,,,,,27.88,Missed,,,,,,,,,,,,,,,,,,
156,PT00M00.60S,2021-03-21T20:04:58.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,27,31,2021-03-21T20:05:12Z,1560000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,
157,PT00M00.00S,2021-03-21T20:05:03.6Z,1,REGULAR,period,end,[],0,,,1610612753,27,31,2021-03-21T20:05:03Z,1570000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-03-21T20:07:13.4Z,2,REGULAR,substitution,out,['startperiod'],1630202,,,1610612753,27,31,2021-03-21T20:07:34Z,1580000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2021-03-21T20:07:13.4Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612753,27,31,2021-03-21T20:07:34Z,1590000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-03-21T20:07:13.4Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612753,27,31,2021-03-21T20:07:34Z,1600000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-03-21T20:07:13.4Z,2,REGULAR,substitution,out,['startperiod'],1629643,,,1610612753,27,31,2021-03-21T20:07:34Z,1610000,,,0,,SUB out: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-03-21T20:07:13.4Z,2,REGULAR,substitution,out,['startperiod'],1628407,,,1610612753,27,31,2021-03-21T20:07:34Z,1620000,,,0,,SUB out: D. Bacon,[1628407],1610612753.0,ORL,,,,Bacon,D. Bacon,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-03-21T20:07:13.4Z,2,REGULAR,substitution,in,['startperiod'],1630174,,,1610612753,27,31,2021-03-21T20:07:34Z,1630000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-03-21T20:07:13.4Z,2,REGULAR,substitution,in,['startperiod'],1628400,,,1610612753,27,31,2021-03-21T20:07:34Z,1640000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-03-21T20:07:13.4Z,2,REGULAR,substitution,in,['startperiod'],202689,,,1610612753,27,31,2021-03-21T20:07:34Z,1650000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-03-21T20:07:13.4Z,2,REGULAR,substitution,in,['startperiod'],202329,,,1610612753,27,31,2021-03-21T20:07:34Z,1660000,,,0,,SUB in: A. Aminu,[202329],1610612753.0,ORL,,,,Aminu,A. Aminu,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-03-21T20:07:13.4Z,2,REGULAR,substitution,in,['startperiod'],203095,,,1610612753,27,31,2021-03-21T20:07:34Z,1670000,,,0,,SUB in: E. Fournier,[203095],1610612753.0,ORL,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-03-21T20:07:45.6Z,2,REGULAR,period,start,[],0,,,1610612753,27,31,2021-03-21T20:07:45Z,1680000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT11M48.00S,2021-03-21T20:07:57.6Z,2,REGULAR,3pt,Jump Shot,[],203095,68.54467805519053,33.892463235294116,1610612753,27,31,2021-03-21T20:08:05Z,1690000,-81.0,243.0,1,right,MISS E. Fournier 25' pullup 3PT,[203095],1610612753.0,ORL,pullup,,,Fournier,E. Fournier,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,
170,PT11M45.00S,2021-03-21T20:08:00.6Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,27,31,2021-03-21T20:08:05Z,1700000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,169.0,1.0,1.0,0.0,,,,,,,,,,,,,,
171,PT11M29.00S,2021-03-21T20:08:19.1Z,2,REGULAR,foul,personal,['2freethrow'],203920,,,1610612738,27,31,2021-03-21T20:08:26Z,1710000,,,0,,K. Birch shooting personal FOUL (1 PF) (Tatum 2 FT),"[203920, 1628369]",1610612753.0,ORL,shooting,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,1628480.0,1.0,0.0,Tatum,1628369.0
173,PT11M29.00S,2021-03-21T20:08:39.1Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,28,31,2021-03-21T20:08:39Z,1730000,,,0,,J. Tatum Free Throw 1 of 2 (12 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,12.0,,,,,,,,,,,
174,PT11M29.00S,2021-03-21T20:08:53.4Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,29,31,2021-03-21T20:08:53Z,1740000,,,0,,J. Tatum Free Throw 2 of 2 (13 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,13.0,,,,,,,,,,,
175,PT11M13.00S,2021-03-21T20:09:11.0Z,2,REGULAR,3pt,Jump Shot,[],203095,73.66951379763469,16.00030637254902,1610612753,29,31,2021-03-21T20:09:16Z,1750000,-170.0,195.0,1,right,MISS E. Fournier 25' 3PT,[203095],1610612753.0,ORL,,,,Fournier,E. Fournier,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,
176,PT11M10.00S,2021-03-21T20:09:14.0Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,29,31,2021-03-21T20:09:16Z,1760000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,175.0,3.0,2.0,1.0,,,,,,,,,,,,,,
177,PT10M48.00S,2021-03-21T20:09:36.4Z,2,REGULAR,3pt,Jump Shot,[],1628369,33.196452036793694,61.588541666666664,1610612738,29,31,2021-03-21T20:09:44Z,1770000,-58.0,260.0,1,left,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,26.59,Missed,,,,,,,,,,,,,,,,,,
178,PT10M46.00S,2021-03-21T20:09:38.4Z,2,REGULAR,rebound,defensive,[],203932,,,1610612753,29,31,2021-03-21T20:09:44Z,1780000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612753.0,ORL,,,,Gordon,A. Gordon,,,,,,,177.0,1.0,1.0,0.0,,,,,,,,,,,,,,
179,PT10M40.00S,2021-03-21T20:09:46.7Z,2,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612753,29,31,2021-03-21T20:09:56Z,1790000,,,0,,R. Williams III shooting personal FOUL (2 PF) (Gordon 2 FT),"[1629057, 203932]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,1628480.0,2.0,0.0,Gordon,203932.0
181,PT10M40.00S,2021-03-21T20:10:16.0Z,2,REGULAR,freethrow,1 of 2,[],203932,,,1610612753,29,32,2021-03-21T20:10:16Z,1810000,,,0,,A. Gordon Free Throw 1 of 2 (5 PTS),[203932],1610612753.0,ORL,,,,Gordon,A. Gordon,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
