actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
33,PT09M30.00S,2021-02-13T01:15:33.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,8,2,2021-02-13T01:15:39Z,330000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
34,PT09M21.00S,2021-02-13T01:15:43.1Z,1,REGULAR,2pt,Jump Shot,[],1628369,86.02168199737189,73.10814950980392,1610612738,10,2,2021-02-13T01:15:48Z,340000,116.0,79.0,1,right,J. Tatum 13' fadeaway Jump Shot (2 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,13.99,Made,2.0,,,,,,,,,,,,,,,,,
35,PT09M06.00S,2021-02-13T01:15:57.9Z,1,REGULAR,3pt,Jump Shot,[],201961,32.013797634691194,44.921875,1610612765,10,2,2021-02-13T01:16:05Z,350000,25.0,248.0,1,left,MISS W. Ellington 24' 3PT,[201961],1610612765.0,DET,,,,Ellington,W. Ellington,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,
36,PT09M04.00S,2021-02-13T01:15:59.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,10,2,2021-02-13T01:16:05Z,360000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
37,PT08M56.00S,2021-02-13T01:16:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,86.81011826544021,50.80422794117647,1610612738,10,2,2021-02-13T01:18:23Z,370000,4.0,71.0,1,right,MISS J. Brown 7' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,7.16,Missed,,,,,,,,,,,,,,,,,,
38,PT08M54.00S,2021-02-13T01:16:10.7Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,10,2,2021-02-13T01:16:19Z,380000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,
39,PT08M49.00S,2021-02-13T01:16:15.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628367,6.521024967148489,55.4610906862745,1610612765,10,2,2021-02-13T01:16:25Z,390000,-27.0,9.0,1,left,MISS J. Jackson running Layup,[1628367],1610612765.0,DET,running,,,Jackson,J. Jackson,,,,,2.87,Missed,,,,,,,,,,,,,,,,,,
40,PT08M47.00S,2021-02-13T01:16:17.3Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,10,2,2021-02-13T01:16:25Z,400000,,,0,,S. Ojeleye REBOUND (Off:0 Def:2),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT08M41.00S,2021-02-13T01:16:22.4Z,1,REGULAR,2pt,Jump Shot,[],1628400,89.96386333771353,67.71599264705883,1610612738,12,2,2021-02-13T01:16:34Z,410000,89.0,42.0,1,right,S. Ojeleye 9' driving floating bank Jump Shot (6 PTS),[1628400],1610612738.0,BOS,driving floating bank,,,Ojeleye,S. Ojeleye,,,,,9.8,Made,6.0,,,,,,,,,,,,,,,,,
42,PT08M35.00S,2021-02-13T01:16:35.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,12,2,2021-02-13T01:16:35Z,420000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M30.00S,2021-02-13T01:19:34.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,7.178055190538765,45.90226715686275,1610612765,12,4,2021-02-13T01:20:48Z,430000,20.0,15.0,1,left,J. Grant driving Layup (2 PTS) (B. Griffin 1 AST),"[203924, 201933]",1610612765.0,DET,driving,,,Grant,J. Grant,,,,,2.54,Made,2.0,B. Griffin,201933.0,1.0,,,,,,,,,,,,,,
45,PT08M11.00S,2021-02-13T01:19:54.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,77.66097240473061,10.14093137254902,1610612738,12,4,2021-02-13T01:20:03Z,450000,-199.0,157.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,
46,PT08M09.00S,2021-02-13T01:19:56.2Z,1,REGULAR,rebound,defensive,[],201961,,,1610612765,12,4,2021-02-13T01:20:03Z,460000,,,0,,W. Ellington REBOUND (Off:0 Def:1),[201961],1610612765.0,DET,,,,Ellington,W. Ellington,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,
47,PT07M59.00S,2021-02-13T01:20:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,17.47700394218134,55.44960171568627,1610612765,12,4,2021-02-13T01:20:12Z,470000,-27.0,112.0,1,left,MISS J. Grant 11' turnaround Shot,[203924],1610612765.0,DET,turnaround,,,Grant,J. Grant,,,,,11.51,Missed,,,,,,,,,,,,,,,,,,
48,PT07M57.00S,2021-02-13T01:20:08.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,12,4,2021-02-13T01:20:12Z,480000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,
49,PT07M48.00S,2021-02-13T01:20:17.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,77.21747700394218,66.00030637254902,1610612738,14,4,2021-02-13T01:20:25Z,490000,80.0,162.0,1,right,J. Brown 18' pullup Jump Shot (5 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,18.04,Made,5.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,
50,PT07M37.00S,2021-02-13T01:20:30.0Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612765,14,4,2021-02-13T01:20:39Z,500000,,,0,,D. Theis shooting personal FOUL (1 PF) (Jackson 2 FT),"[1628464, 1628367]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Jackson,1628367.0,,,,,
52,PT07M37.00S,2021-02-13T01:20:56.4Z,1,REGULAR,freethrow,1 of 2,[],1628367,,,1610612765,14,5,2021-02-13T01:21:16Z,520000,,,0,,J. Jackson Free Throw 1 of 2 (1 PTS),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
53,PT07M37.00S,2021-02-13T01:20:56.4Z,1,REGULAR,freethrow,2 of 2,[],1628367,,,1610612765,14,5,2021-02-13T01:21:16Z,530000,,,0,,MISS J. Jackson Free Throw 2 of 2,[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT07M37.00S,2021-02-13T01:20:56.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,5,2021-02-13T01:21:16Z,540000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,53.0,3.0,3.0,0.0,,,,,,,,,,
