actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
32,PT09M21.00S,2021-03-16T23:48:46.2Z,1,REGULAR,block,,[],203497,,,1610612738,4,5,2021-03-16T23:48:48Z,320000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M18.00S,2021-03-16T23:48:49.2Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,4,5,2021-03-16T23:48:59Z,330000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
34,PT09M17.00S,2021-03-16T23:48:53.3Z,1,REGULAR,foul,offensive,[],202711,,,1610612762,4,5,2021-03-16T23:49:05Z,340000,,,0,,B. Bogdanovic charge offensive FOUL (1 PF),"[202711, 202689]",1610612762.0,UTA,charge,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,1155.0,,,1.0,0.0,Walker,202689.0,
36,PT09M17.00S,2021-03-16T23:48:53.3Z,1,REGULAR,turnover,offensive foul,[],202711,,,1610612762,4,5,2021-03-16T23:48:53Z,360000,,,0,,B. Bogdanovic offensive foul TURNOVER (1 TO),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,1.0,,,1155.0,,,,,,,
37,PT09M05.00S,2021-03-16T23:49:18.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202689,10.85742444152431,42.470894607843135,1610612738,6,5,2021-03-16T23:49:25Z,370000,38.0,50.0,1,left,K. Walker 6' turnaround fadeaway bank Jump Shot (2 PTS),[202689],1610612738.0,BOS,turnaround fadeaway bank,,,Walker,K. Walker,,,,,6.22,Made,,,,,2.0,,,,,,,,,,,,,,
38,PT08M53.00S,2021-03-16T23:49:29.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,62.63140604467805,26.784620098039213,1610612762,6,5,2021-03-16T23:49:38Z,380000,-116.0,299.0,1,right,MISS D. Mitchell 32' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,32.06,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M50.00S,2021-03-16T23:49:32.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,5,2021-03-16T23:49:38Z,390000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
40,PT08M42.00S,2021-03-16T23:49:40.9Z,1,REGULAR,2pt,Jump Shot,[],1627759,19.793035479632064,31.686580882352942,1610612738,8,5,2021-03-16T23:49:48Z,400000,92.0,134.0,1,left,J. Brown 16' step back Jump Shot (4 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,16.2,Made,,,,,4.0,,,,,,,,,,,,,,
41,PT08M32.00S,2021-03-16T23:49:51.6Z,1,REGULAR,turnover,lost ball,[],202711,,,1610612762,8,5,2021-03-16T23:49:56Z,410000,,,0,,B. Bogdanovic lost ball TURNOVER (2 TO),"[202711, 202689]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,2.0,Walker,202689.0,,,,,,,,
42,PT08M32.00S,2021-03-16T23:49:51.6Z,1,REGULAR,steal,,[],202689,,,1610612738,8,5,2021-03-16T23:51:25Z,420000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
