actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
175,PT09M17.00S,2021-03-17T00:15:04.2Z,2,REGULAR,3pt,Jump Shot,[],203903,71.96123521681997,84.1375612745098,1610612762,31,30,2021-03-17T00:20:44Z,1730000,171.0,211.0,1,right,J. Clarkson 27' 3PT pullup (3 PTS),[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,27.15,Made,,,,,3.0,,,,,,,,,,,,,,
176,PT09M01.00S,2021-03-17T00:15:19.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,11.908672798948752,44.921875,1610612738,33,30,2021-03-17T00:15:24Z,1740000,25.0,59.0,1,left,J. Tatum 6' driving floating Jump Shot (4 PTS) (K. Walker 3 AST),"[1628369, 202689]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,6.46,Made,,,,,4.0,K. Walker,202689.0,3.0,,,,,,,,,,,
178,PT08M48.00S,2021-03-17T00:15:32.3Z,2,REGULAR,3pt,Jump Shot,[],203903,70.90998685939553,18.206188725490197,1610612762,33,33,2021-03-17T00:15:37Z,1760000,-159.0,221.0,1,right,J. Clarkson 27' 3PT pullup (6 PTS),[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,27.22,Made,,,,,6.0,,,,,,,,,,,,,,
179,PT08M33.00S,2021-03-17T00:15:47.7Z,2,REGULAR,3pt,Jump Shot,[],1628369,23.73521681997372,88.54932598039215,1610612738,33,33,2021-03-17T00:15:56Z,1770000,-193.0,171.0,1,left,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,,
180,PT08M30.00S,2021-03-17T00:15:50.7Z,2,REGULAR,rebound,defensive,[],204060,,,1610612762,33,33,2021-03-17T00:15:56Z,1780000,,,0,,J. Ingles REBOUND (Off:0 Def:3),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,179.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
181,PT08M20.00S,2021-03-17T00:16:01.4Z,2,REGULAR,3pt,Jump Shot,[],201144,89.17542706964521,3.010110294117647,1610612762,33,33,2021-03-17T00:16:07Z,1790000,-235.0,49.0,1,right,MISS M. Conley 24' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,24.0,Missed,,,,,,,,,,,,,,,,,,,
182,PT08M16.00S,2021-03-17T00:16:05.4Z,2,REGULAR,rebound,offensive,[],203903,,,1610612762,33,33,2021-03-17T00:16:07Z,1800000,,,0,,J. Clarkson REBOUND (Off:1 Def:0),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,181.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
183,PT08M12.00S,2021-03-17T00:16:10.0Z,2,REGULAR,turnover,lost ball,[],203903,,,1610612762,33,33,2021-03-17T00:16:15Z,1810000,,,0,,J. Clarkson lost ball TURNOVER (1 TO),"[203903, 202689]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,1.0,Walker,202689.0,,,,,,,,
184,PT08M12.00S,2021-03-17T00:16:10.0Z,2,REGULAR,steal,,[],202689,,,1610612738,33,33,2021-03-17T00:16:12Z,1820000,,,0,,K. Walker STEAL (2 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT08M07.00S,2021-03-17T00:16:16.5Z,2,REGULAR,turnover,out-of-bounds,[],202689,,,1610612738,33,33,2021-03-17T00:16:25Z,1830000,,,0,,K. Walker bad pass out-of-bounds TURNOVER (2 TO),[202689],1610612738.0,BOS,bad pass,,,Walker,K. Walker,,,,,,,,,,,,,,,2.0,,,201246.0,,,,,,,
186,PT07M58.00S,2021-03-17T00:16:43.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203903,67.09921156373193,27.029718137254903,1610612762,33,36,2021-03-17T00:16:48Z,1840000,-115.0,257.0,1,right,J. Clarkson 28' 3PT  (9 PTS) (M. Conley 3 AST),"[203903, 201144]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,28.13,Made,,,,,9.0,M. Conley,201144.0,3.0,,,,,,,,,,,
188,PT07M57.00S,2021-03-17T00:16:50.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,33,36,2021-03-17T00:16:50Z,1860000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT07M44.00S,2021-03-17T00:20:24.0Z,2,REGULAR,3pt,Jump Shot,[],202689,28.728646517739815,73.10814950980392,1610612738,36,36,2021-03-17T00:22:53Z,1870000,-116.0,218.0,1,left,K. Walker 24' 3PT pullup (7 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,24.63,Made,,,,,7.0,,,,,,,,,,,,,,
190,PT07M23.00S,2021-03-17T00:20:46.5Z,2,REGULAR,turnover,out-of-bounds,[],203903,,,1610612762,36,36,2021-03-17T00:20:53Z,1880000,,,0,,J. Clarkson bad pass out-of-bounds TURNOVER (2 TO),[203903],1610612762.0,UTA,bad pass,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,2.0,,,,,,,,,,
191,PT07M23.00S,2021-03-17T00:20:59.7Z,2,REGULAR,substitution,out,[],203497,,,1610612738,36,36,2021-03-17T00:21:15Z,1890000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT07M23.00S,2021-03-17T00:20:59.7Z,2,REGULAR,substitution,in,[],202324,,,1610612738,36,36,2021-03-17T00:21:15Z,1900000,,,0,,SUB in: D. Favors,[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT07M06.00S,2021-03-17T00:21:31.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,6.1268068331143235,53.990502450980394,1610612738,38,36,2021-03-17T00:21:36Z,1910000,-20.0,5.0,1,left,J. Tatum alley-oop Layup (6 PTS) (D. Theis 2 AST),"[1628369, 1628464]",1610612738.0,BOS,alley-oop,,,Tatum,J. Tatum,,,,,2.06,Made,,,,,6.0,D. Theis,1628464.0,2.0,,,,,,,,,,,
195,PT06M49.00S,2021-03-17T00:21:48.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,86.15308804204993,38.794424019607845,1610612762,38,36,2021-03-17T00:22:02Z,1930000,-56.0,78.0,1,right,MISS M. Conley 9' driving floating Shot - blocked,"[201144, 1629684]",1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,9.58,Missed,,,,,,,,,,,,,Williams,1629684.0,,,,,
196,PT06M49.00S,2021-03-17T00:21:48.6Z,2,REGULAR,block,,[],1629684,,,1610612762,38,36,2021-03-17T00:21:55Z,1940000,,,0,,G. Williams BLOCK (2 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT06M44.00S,2021-03-17T00:21:53.6Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,38,36,2021-03-17T00:22:02Z,1950000,,,0,,D. Theis REBOUND (Off:0 Def:6),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,195.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
198,PT06M40.00S,2021-03-17T00:21:57.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628464,18.74178712220762,92.9610906862745,1610612738,38,36,2021-03-17T00:24:39Z,1960000,-215.0,124.0,1,left,MISS D. Theis 24' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,24.79,Missed,,,,,,,,,,,,,,,,,,,
199,PT06M36.00S,2021-03-17T00:22:01.9Z,2,REGULAR,rebound,offensive,[],1629684,,,1610612738,38,36,2021-03-17T00:22:25Z,1970000,,,0,,G. Williams REBOUND (Off:1 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,198.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
200,PT06M32.00S,2021-03-17T00:22:05.4Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],202689,20.844283837056505,50.314031862745104,1610612738,40,36,2021-03-17T00:25:10Z,1980000,-2.0,143.0,1,left,K. Walker 14' pullup Jump Shot (9 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,14.34,Made,,,,,9.0,,,,,,,,,,,,,,
201,PT06M20.00S,2021-03-17T00:22:23.0Z,2,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612762,40,36,2021-03-17T00:22:33Z,1990000,,,0,,D. Theis shooting personal FOUL (1 PF) (Conley 2 FT),"[1628464, 201144]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,1155.0,,,1.0,0.0,Conley,201144.0,
203,PT06M20.00S,2021-03-17T00:22:54.2Z,2,REGULAR,freethrow,1 of 2,[],201144,,,1610612762,40,37,2021-03-17T00:22:54Z,2010000,,,0,,M. Conley Free Throw 1 of 2 (6 PTS),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
204,PT06M20.00S,2021-03-17T00:22:54.8Z,2,REGULAR,substitution,out,[],202689,,,1610612762,40,37,2021-03-17T00:23:08Z,2020000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT06M20.00S,2021-03-17T00:22:54.8Z,2,REGULAR,substitution,out,[],1628464,,,1610612762,40,37,2021-03-17T00:23:08Z,2030000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT06M20.00S,2021-03-17T00:22:54.8Z,2,REGULAR,substitution,out,[],204060,,,1610612762,40,37,2021-03-17T00:23:08Z,2040000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT06M20.00S,2021-03-17T00:22:54.8Z,2,REGULAR,substitution,out,[],1627777,,,1610612762,40,37,2021-03-17T00:23:08Z,2050000,,,0,,SUB out: G. Niang,[1627777],1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT06M20.00S,2021-03-17T00:22:54.8Z,2,REGULAR,substitution,in,[],1629057,,,1610612762,40,37,2021-03-17T00:23:08Z,2060000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT06M20.00S,2021-03-17T00:22:54.8Z,2,REGULAR,substitution,in,[],1627759,,,1610612762,40,37,2021-03-17T00:23:08Z,2070000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT06M20.00S,2021-03-17T00:22:54.8Z,2,REGULAR,substitution,in,[],202711,,,1610612762,40,37,2021-03-17T00:23:08Z,2080000,,,0,,SUB in: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT06M20.00S,2021-03-17T00:22:54.8Z,2,REGULAR,substitution,in,[],1628378,,,1610612762,40,37,2021-03-17T00:23:08Z,2090000,,,0,,SUB in: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT06M20.00S,2021-03-17T00:23:21.4Z,2,REGULAR,freethrow,2 of 2,[],201144,,,1610612762,40,38,2021-03-17T00:23:21Z,2100000,,,0,,M. Conley Free Throw 2 of 2 (7 PTS),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
213,PT06M04.00S,2021-03-17T00:23:40.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,5.206964520367937,50.06893382352941,1610612738,42,38,2021-03-17T00:25:04Z,2110000,0.0,-4.0,1,left,R. Williams III alley-oop DUNK (6 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,0.36,Made,,,,,6.0,J. Brown,1627759.0,1.0,,,,,,,,,,,
215,PT06M03.00S,2021-03-17T00:23:49.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,42,38,2021-03-17T00:23:49Z,2130000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT06M03.00S,2021-03-17T00:26:26.2Z,2,REGULAR,substitution,out,[],1630202,,,1610612762,42,38,2021-03-17T00:27:02Z,2140000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT06M03.00S,2021-03-17T00:26:26.2Z,2,REGULAR,substitution,out,[],1629684,,,1610612762,42,38,2021-03-17T00:27:02Z,2150000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M03.00S,2021-03-17T00:26:26.2Z,2,REGULAR,substitution,out,[],201144,,,1610612762,42,38,2021-03-17T00:27:02Z,2160000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M03.00S,2021-03-17T00:26:26.2Z,2,REGULAR,substitution,in,[],1628400,,,1610612762,42,38,2021-03-17T00:27:02Z,2170000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M03.00S,2021-03-17T00:26:26.2Z,2,REGULAR,substitution,in,[],203935,,,1610612762,42,38,2021-03-17T00:27:02Z,2180000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M03.00S,2021-03-17T00:26:26.2Z,2,REGULAR,substitution,in,[],1626220,,,1610612762,42,38,2021-03-17T00:27:02Z,2190000,,,0,,SUB in: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT05M51.00S,2021-03-17T00:27:22.7Z,2,REGULAR,3pt,Jump Shot,[],203903,72.88107752956637,16.00030637254902,1610612762,42,41,2021-03-17T00:27:39Z,2200000,-170.0,202.0,1,right,J. Clarkson 26' 3PT  (12 PTS) (R. O'Neale 1 AST),"[203903, 1626220]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,26.43,Made,,,,,12.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,
224,PT05M31.00S,2021-03-17T00:27:42.8Z,2,REGULAR,3pt,Jump Shot,[],1628369,12.040078843626807,96.39246323529412,1610612738,45,41,2021-03-17T00:27:49Z,2220000,-232.0,61.0,1,left,J. Tatum 3PT step back (9 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,23.98,Made,,,,,9.0,,,,,,,,,,,,,,
225,PT05M26.00S,2021-03-17T00:27:47.8Z,2,REGULAR,turnover,bad pass,[],1626220,,,1610612762,45,41,2021-03-17T00:29:05Z,2230000,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 1628369]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,,,
226,PT05M26.00S,2021-03-17T00:27:47.8Z,2,REGULAR,steal,,[],1628369,,,1610612738,45,41,2021-03-17T00:29:05Z,2240000,,,0,,J. Tatum STEAL (3 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT05M02.00S,2021-03-17T00:28:11.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628369,9.280551905387648,45.41207107843137,1610612738,47,41,2021-03-17T00:29:05Z,2250000,23.0,35.0,1,left,J. Tatum driving floating bank Jump Shot (11 PTS),[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,4.16,Made,,,,,11.0,,,,,,,,,,,,,,
228,PT04M45.00S,2021-03-17T00:28:28.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203903,90.09526938239159,53.74540441176471,1610612762,47,41,2021-03-17T00:28:37Z,2260000,19.0,41.0,1,right,MISS J. Clarkson driving finger roll Layup,[203903],1610612762.0,UTA,driving finger roll,,,Clarkson,J. Clarkson,,,,,4.47,Missed,,,,,,,,,,,,,,,,,,,
229,PT04M43.00S,2021-03-17T00:28:30.9Z,2,REGULAR,rebound,offensive,[],202324,,,1610612762,47,41,2021-03-17T00:28:30Z,2270000,,,0,,D. Favors REBOUND (Off:3 Def:0),[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,228.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
230,PT04M42.00S,2021-03-17T00:28:31.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202324,90.75229960578186,49.57873774509804,1610612762,47,43,2021-03-17T00:28:41Z,2280000,-2.0,34.0,1,right,D. Favors putback Layup (4 PTS),[202324],1610612762.0,UTA,putback,,,Favors,D. Favors,,,,,3.45,Made,,,,,4.0,,,,,,,,,,,,,,
231,PT04M18.00S,2021-03-17T00:28:56.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203935,4.418528252299605,54.72579656862745,1610612738,49,43,2021-03-17T00:29:49Z,2290000,-24.0,-11.0,1,left,M. Smart cutting Layup (2 PTS) (J. Brown 2 AST),"[203935, 1627759]",1610612738.0,BOS,cutting,,,Smart,M. Smart,,,,,2.6,Made,,,,,2.0,J. Brown,1627759.0,2.0,,,,,,,,,,,
233,PT04M07.00S,2021-03-17T00:29:06.8Z,2,REGULAR,turnover,bad pass,[],1628378,,,1610612762,49,43,2021-03-17T00:29:12Z,2310000,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 1627759]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,,,,,,,
234,PT04M07.00S,2021-03-17T00:29:06.8Z,2,REGULAR,steal,,[],1627759,,,1610612738,49,43,2021-03-17T00:29:08Z,2320000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT03M52.00S,2021-03-17T00:29:27.1Z,2,REGULAR,violation,kicked ball,[],202711,,,1610612738,49,43,2021-03-17T00:29:38Z,2330000,,,0,,B. Bogdanovic kicked ball VIOLATION,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,201246.0,,,,,,,
236,PT03M52.00S,2021-03-17T00:29:34.0Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,49,43,2021-03-17T00:29:40Z,2340000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT03M52.00S,2021-03-17T00:29:34.0Z,2,REGULAR,substitution,out,[],202324,,,1610612738,49,43,2021-03-17T00:29:40Z,2350000,,,0,,SUB out: D. Favors,[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT03M52.00S,2021-03-17T00:29:34.0Z,2,REGULAR,substitution,in,[],1628464,,,1610612738,49,43,2021-03-17T00:29:40Z,2360000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT03M52.00S,2021-03-17T00:29:34.0Z,2,REGULAR,substitution,in,[],203497,,,1610612738,49,43,2021-03-17T00:29:40Z,2370000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT03M46.00S,2021-03-17T00:29:53.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,12.828515111695138,50.314031862745104,1610612738,51,43,2021-03-17T00:29:58Z,2380000,-2.0,68.0,1,left,J. Brown 6' driving floating Jump Shot (12 PTS) (D. Theis 3 AST),"[1627759, 1628464]",1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,6.81,Made,,,,,12.0,D. Theis,1628464.0,3.0,,,,,,,,,,,
242,PT03M31.00S,2021-03-17T00:30:07.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,84.83902759526939,54.23560049019608,1610612762,51,45,2021-03-17T00:30:11Z,2400000,21.0,90.0,1,right,J. Clarkson 9' driving floating Jump Shot (14 PTS),[203903],1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,9.25,Made,,,,,14.0,,,,,,,,,,,,,,
243,PT03M15.00S,2021-03-17T00:30:26.5Z,2,REGULAR,turnover,out-of-bounds,[],1628400,,,1610612738,51,45,2021-03-17T00:30:38Z,2410000,,,0,,S. Ojeleye lost ball out-of-bounds TURNOVER (2 TO),[1628400],1610612738.0,BOS,lost ball,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,2.0,,,,,,,,,,
244,PT02M57.00S,2021-03-17T00:30:54.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,70.64717477003943,18.45128676470588,1610612762,51,48,2021-03-17T00:31:03Z,2420000,-158.0,223.0,1,right,D. Mitchell 27' 3PT pullup (3 PTS) (R. O'Neale 2 AST),"[1628378, 1626220]",1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,27.35,Made,,,,,3.0,R. O'Neale,1626220.0,2.0,,,,,,,,,,,
246,PT02M47.00S,2021-03-17T00:31:08.8Z,2,REGULAR,foul,personal,[],1626220,,,1610612738,51,48,2021-03-17T00:31:17Z,2440000,,,0,,R. O'Neale personal FOUL (2 PF),"[1626220, 1628369]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,202027.0,,,2.0,0.0,Tatum,1628369.0,
248,PT02M47.00S,2021-03-17T00:31:14.8Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,51,48,2021-03-17T00:31:25Z,2460000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT02M47.00S,2021-03-17T00:31:14.8Z,2,REGULAR,substitution,out,[],203903,,,1610612738,51,48,2021-03-17T00:31:25Z,2470000,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT02M47.00S,2021-03-17T00:31:14.8Z,2,REGULAR,substitution,in,[],202689,,,1610612738,51,48,2021-03-17T00:31:25Z,2480000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT02M47.00S,2021-03-17T00:31:14.8Z,2,REGULAR,substitution,in,[],201144,,,1610612738,51,48,2021-03-17T00:31:25Z,2490000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT02M37.00S,2021-03-17T00:31:44.7Z,2,REGULAR,turnover,bad pass,[],1627759,,,1610612738,51,48,2021-03-17T00:31:49Z,2500000,,,0,,J. Brown bad pass TURNOVER (2 TO),"[1627759, 1626220]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,2.0,O'Neale,1626220.0,,,,,,,,
253,PT02M37.00S,2021-03-17T00:31:44.7Z,2,REGULAR,steal,,[],1626220,,,1610612762,51,48,2021-03-17T00:31:46Z,2510000,,,0,,R. O'Neale STEAL (2 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT02M28.00S,2021-03-17T00:31:53.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626220,74.85216819973719,88.30422794117648,1610612762,51,48,2021-03-17T00:31:58Z,2520000,192.0,184.0,1,right,MISS R. O'Neale 26' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,26.55,Missed,,,,,,,,,,,,,,,,,,,
255,PT02M26.00S,2021-03-17T00:31:55.8Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,51,48,2021-03-17T00:32:03Z,2530000,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,254.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
256,PT02M17.00S,2021-03-17T00:32:04.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,15.456636005256241,56.196384803921575,1610612738,51,48,2021-03-17T00:32:10Z,2540000,-31.0,93.0,1,left,MISS J. Brown 9' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,9.78,Missed,,,,,,,,,,,,,,,,,,,
257,PT02M14.00S,2021-03-17T00:32:07.2Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,51,48,2021-03-17T00:32:10Z,2550000,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,256.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
258,PT02M07.00S,2021-03-17T00:32:14.2Z,2,REGULAR,3pt,Jump Shot,[],201144,71.69842312746385,83.89246323529412,1610612762,51,48,2021-03-17T00:32:21Z,2560000,169.0,214.0,1,right,MISS M. Conley 27' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,27.26,Missed,,,,,,,,,,,,,,,,,,,
259,PT02M04.00S,2021-03-17T00:32:18.0Z,2,REGULAR,rebound,offensive,[],202711,,,1610612762,51,48,2021-03-17T00:32:18Z,2570000,,,0,,B. Bogdanovic REBOUND (Off:1 Def:0),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,258.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
260,PT01M59.00S,2021-03-17T00:32:21.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628378,92.46057818659659,53.50030637254902,1610612762,51,50,2021-03-17T00:32:26Z,2580000,18.0,18.0,1,right,D. Mitchell driving finger roll Layup (5 PTS) (B. Bogdanovic 1 AST),"[1628378, 202711]",1610612762.0,UTA,driving finger roll,,,Mitchell,D. Mitchell,,,,,2.54,Made,,,,,5.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,
