actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
171,PT00M25.70S,2021-04-24T00:13:04.3Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,21,25,2021-04-24T00:13:10Z,1710000,,,0,,A. Nesmith REBOUND (Off:1 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,170.0,3.0,2.0,1.0,,,,,,,,
172,PT00M07.80S,2021-04-24T00:13:25.5Z,1,REGULAR,turnover,out-of-bounds,[],1629684,,,1610612738,21,25,2021-04-24T00:13:32Z,1720000,,,0,,G. Williams lost ball out-of-bounds TURNOVER (1 TO),[1629684],1610612738.0,BOS,lost ball,,,Williams,G. Williams,,,,,1.0,,,,,,,,,,,,,,,201640.0,,,,,
173,PT00M07.80S,2021-04-24T00:13:32.2Z,1,REGULAR,substitution,out,[],201145,,,1610612751,21,25,2021-04-24T00:13:50Z,1730000,,,0,,SUB out: J. Green,[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT00M07.80S,2021-04-24T00:13:32.2Z,1,REGULAR,substitution,out,[],1627789,,,1610612751,21,25,2021-04-24T00:13:50Z,1740000,,,0,,SUB out: T. Luwawu-Cabarrot,[1627789],1610612751.0,BKN,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT00M07.80S,2021-04-24T00:13:32.2Z,1,REGULAR,substitution,out,[],1630202,,,1610612751,21,25,2021-04-24T00:13:50Z,1750000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT00M07.80S,2021-04-24T00:13:32.2Z,1,REGULAR,substitution,in,[],202681,,,1610612751,21,25,2021-04-24T00:13:50Z,1760000,,,0,,SUB in: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT00M07.80S,2021-04-24T00:13:32.2Z,1,REGULAR,substitution,in,[],203925,,,1610612751,21,25,2021-04-24T00:13:50Z,1770000,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT00M07.80S,2021-04-24T00:13:32.2Z,1,REGULAR,substitution,in,[],203935,,,1610612751,21,25,2021-04-24T00:13:50Z,1780000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT00M01.00S,2021-04-24T00:14:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628455,6.915243101182654,51.049325980392155,1610612751,21,25,2021-04-24T00:14:10Z,1790000,-5.0,13.0,1,left,MISS M. James running Layup,[1628455],1610612751.0,BKN,running,,,James,M. James,,,,,,,,1.35,Missed,,,,,,,,,,,,,,,,
180,PT00M01.00S,2021-04-24T00:14:04.4Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,21,25,2021-04-24T00:14:10Z,1800000,,,0,,A. Nesmith REBOUND (Off:1 Def:3),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,179.0,4.0,3.0,1.0,,,,,,,,
181,PT00M00.00S,2021-04-24T00:14:09.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,21,25,2021-04-24T00:14:09Z,1810000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT00M00.00S,2021-04-24T00:14:10.3Z,1,REGULAR,period,end,[],0,,,1610612738,21,25,2021-04-24T00:14:10Z,1820000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2021-04-24T00:14:28.4Z,2,REGULAR,substitution,out,['startperiod'],1629013,,,1610612738,21,25,2021-04-24T00:17:45Z,1830000,,,0,,SUB out: L. Shamet,[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2021-04-24T00:14:28.4Z,2,REGULAR,substitution,out,['startperiod'],202681,,,1610612738,21,25,2021-04-24T00:17:45Z,1840000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2021-04-24T00:14:28.4Z,2,REGULAR,substitution,out,['startperiod'],203095,,,1610612738,21,25,2021-04-24T00:17:45Z,1850000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2021-04-24T00:14:28.4Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,21,25,2021-04-24T00:17:45Z,1860000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2021-04-24T00:14:28.4Z,2,REGULAR,substitution,in,['startperiod'],201145,,,1610612738,21,25,2021-04-24T00:17:45Z,1870000,,,0,,SUB in: J. Green,[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2021-04-24T00:14:28.4Z,2,REGULAR,substitution,in,['startperiod'],1628971,,,1610612738,21,25,2021-04-24T00:17:45Z,1880000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT12M00.00S,2021-04-24T00:14:28.4Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,21,25,2021-04-24T00:17:45Z,1890000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2021-04-24T00:14:28.4Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612738,21,25,2021-04-24T00:17:45Z,1900000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT12M00.00S,2021-04-24T00:17:51.2Z,2,REGULAR,period,start,[],0,,,1610612751,21,25,2021-04-24T00:17:51Z,1910000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT11M44.00S,2021-04-24T00:18:06.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201933,8.492115637319317,48.59834558823529,1610612751,21,25,2021-04-24T00:18:19Z,1920000,7.0,27.0,1,left,MISS B. Griffin driving Layup - blocked,"[201933, 203953]",1610612751.0,BKN,driving,,,Griffin,B. Griffin,,,,,,,,2.82,Missed,,,,,,,,,Parker,203953.0,,,,,,
196,PT11M44.00S,2021-04-24T00:18:06.9Z,2,REGULAR,block,,[],203953,,,1610612751,21,25,2021-04-24T00:18:09Z,1930000,,,0,,J. Parker BLOCK (1 BLK),[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT11M38.00S,2021-04-24T00:18:12.9Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,21,25,2021-04-24T00:18:19Z,1940000,,,0,,A. Nesmith REBOUND (Off:1 Def:4),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,195.0,5.0,4.0,1.0,,,,,,,,
198,PT11M33.00S,2021-04-24T00:18:17.3Z,2,REGULAR,3pt,Jump Shot,[],1630202,74.72076215505913,15.265012254901961,1610612738,21,28,2021-04-24T00:18:26Z,1950000,-174.0,185.0,1,right,P. Pritchard 25' 3PT  (3 PTS) (A. Nesmith 1 AST),"[1630202, 1630174]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,25.38,Made,3.0,A. Nesmith,1630174.0,1.0,,,,,,,,,,,,
200,PT11M19.00S,2021-04-24T00:18:30.8Z,2,REGULAR,3pt,Jump Shot,[],203925,25.706307490144546,82.66697303921569,1610612751,24,28,2021-04-24T00:18:35Z,1970000,-163.0,189.0,1,left,J. Harris 24' 3PT  (5 PTS) (B. Griffin 1 AST),"[203925, 201933]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,24.99,Made,5.0,B. Griffin,201933.0,1.0,,,,,,,,,,,,
202,PT10M57.00S,2021-04-24T00:18:52.8Z,2,REGULAR,2pt,Jump Shot,[],1628369,77.4802890932983,48.84344362745098,1610612738,24,28,2021-04-24T00:19:06Z,1990000,-6.0,159.0,1,right,MISS J. Tatum 15' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,,,,15.93,Missed,,,,,,,,,,,,,,,,
203,PT10M53.00S,2021-04-24T00:18:56.8Z,2,REGULAR,rebound,defensive,[],201933,,,1610612751,24,28,2021-04-24T00:19:06Z,2000000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,202.0,1.0,1.0,0.0,,,,,,,,
204,PT10M43.00S,2021-04-24T00:19:07.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],201933,10.85742444152431,46.63756127450981,1610612751,26,28,2021-04-24T00:19:18Z,2010000,17.0,50.0,1,left,B. Griffin turnaround Hook (2 PTS),[201933],1610612751.0,BKN,turnaround,,,Griffin,B. Griffin,,,,,,,,5.24,Made,2.0,,,,,,,,,,,,,,,
205,PT10M19.00S,2021-04-24T00:19:31.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,91.93495400788436,47.61795343137255,1610612738,26,28,2021-04-24T00:19:35Z,2020000,-12.0,23.0,1,right,MISS P. Pritchard driving Layup - blocked,"[1630202, 203925]",1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,,,,2.62,Missed,,,,,,,,,Harris,203925.0,,,,,,
206,PT10M19.00S,2021-04-24T00:19:31.2Z,2,REGULAR,block,,[],203925,,,1610612738,26,28,2021-04-24T00:19:33Z,2030000,,,0,,J. Harris BLOCK (1 BLK),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT10M17.00S,2021-04-24T00:19:33.2Z,2,REGULAR,rebound,defensive,[],1628971,,,1610612751,26,28,2021-04-24T00:19:35Z,2040000,,,0,,B. Brown REBOUND (Off:0 Def:2),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,205.0,2.0,2.0,0.0,,,,,,,,
208,PT10M14.00S,2021-04-24T00:19:36.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,5.338370565045992,49.08854166666667,1610612751,28,28,2021-04-24T00:19:47Z,2050000,5.0,-2.0,1,left,B. Brown running Layup (2 PTS) (J. Green 1 AST),"[1628971, 201145]",1610612751.0,BKN,running,,,Brown,B. Brown,,,,,,,,0.51,Made,2.0,J. Green,201145.0,1.0,,,,,,,,,,,,
210,PT10M01.00S,2021-04-24T00:20:03.4Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,28,28,2021-04-24T00:20:07Z,2070000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 201145]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1.0,Green,201145.0,,,,,,,,,,,,,,,,,,
211,PT10M01.00S,2021-04-24T00:20:03.4Z,2,REGULAR,steal,,[],201145,,,1610612751,28,28,2021-04-24T00:20:05Z,2080000,,,0,,J. Green STEAL (1 STL),[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT09M56.00S,2021-04-24T00:20:08.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628971,4.28712220762155,50.06893382352941,1610612751,30,28,2021-04-24T00:20:20Z,2090000,0.0,-12.0,1,left,B. Brown cutting Layup (4 PTS) (J. Green 2 AST),"[1628971, 201145]",1610612751.0,BKN,cutting,,,Brown,B. Brown,,,,,,,,1.22,Made,4.0,J. Green,201145.0,2.0,,,,,,,,,,,,
214,PT09M39.00S,2021-04-24T00:20:24.2Z,2,REGULAR,3pt,Jump Shot,[],1629684,67.23061760840999,49.08854166666667,1610612738,30,28,2021-04-24T00:20:29Z,2110000,-5.0,256.0,1,right,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,25.55,Missed,,,,,,,,,,,,,,,,
215,PT09M39.00S,2021-04-24T00:20:24.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612751,30,28,2021-04-24T00:20:29Z,2120000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,214.0,,,,,,,,,,,
216,PT09M39.00S,2021-04-24T00:20:28.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,30,28,2021-04-24T00:20:28Z,2130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT09M30.00S,2021-04-24T00:20:42.7Z,2,REGULAR,3pt,Jump Shot,[],1628971,28.728646517739815,73.10814950980392,1610612751,33,28,2021-04-24T00:20:47Z,2140000,-116.0,218.0,1,left,B. Brown 24' 3PT  (7 PTS) (J. Green 3 AST),"[1628971, 201145]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,24.63,Made,7.0,J. Green,201145.0,3.0,,,,,,,,,,,,
219,PT09M29.00S,2021-04-24T00:20:51.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,33,28,2021-04-24T00:20:51Z,2160000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT09M29.00S,2021-04-24T00:20:53.2Z,2,REGULAR,substitution,out,[],203953,,,1610612738,33,28,2021-04-24T00:23:55Z,2170000,,,0,,SUB out: J. Parker,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT09M29.00S,2021-04-24T00:20:53.2Z,2,REGULAR,substitution,out,[],1630174,,,1610612738,33,28,2021-04-24T00:23:55Z,2180000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT09M29.00S,2021-04-24T00:20:53.2Z,2,REGULAR,substitution,in,[],202684,,,1610612738,33,28,2021-04-24T00:23:55Z,2190000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT09M29.00S,2021-04-24T00:20:53.2Z,2,REGULAR,substitution,in,[],1629641,,,1610612738,33,28,2021-04-24T00:23:55Z,2200000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT09M15.00S,2021-04-24T00:24:26.9Z,2,REGULAR,turnover,out-of-bounds,[],1629684,,,1610612738,33,28,2021-04-24T00:24:36Z,2210000,,,0,,G. Williams bad pass out-of-bounds TURNOVER (2 TO),[1629684],1610612738.0,BOS,bad pass,,,Williams,G. Williams,,,,,2.0,,,,,,,,,,,,,,,201638.0,,,,,
225,PT09M00.00S,2021-04-24T00:24:49.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201145,6.389618922470433,51.294424019607845,1610612751,33,28,2021-04-24T00:24:54Z,2220000,-6.0,8.0,1,left,MISS J. Green driving Layup - blocked,"[201145, 1629684]",1610612751.0,BKN,driving,,,Green,J. Green,,,,,,,,1.0,Missed,,,,,,,,,Williams,1629684.0,,,,,,
226,PT09M00.00S,2021-04-24T00:24:49.0Z,2,REGULAR,block,,[],1629684,,,1610612751,33,28,2021-04-24T00:24:51Z,2230000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M59.00S,2021-04-24T00:24:50.0Z,2,REGULAR,rebound,offensive,[],201933,,,1610612751,33,28,2021-04-24T00:24:54Z,2240000,,,0,,B. Griffin REBOUND (Off:1 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,225.0,2.0,1.0,1.0,,,,,,,,
228,PT08M59.00S,2021-04-24T00:24:53.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201933,7.30946123521682,50.55912990196079,1610612751,33,28,2021-04-24T00:24:59Z,2250000,-3.0,16.0,1,left,MISS B. Griffin putback Layup - blocked,"[201933, 202684]",1610612751.0,BKN,putback,,,Griffin,B. Griffin,,,,,,,,1.64,Missed,,,,,,,,,Thompson,202684.0,,,,,,
229,PT08M59.00S,2021-04-24T00:24:53.7Z,2,REGULAR,block,,[],202684,,,1610612751,33,28,2021-04-24T00:24:57Z,2260000,,,0,,T. Thompson BLOCK (2 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT08M59.00S,2021-04-24T00:24:53.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,33,28,2021-04-24T00:24:59Z,2270000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,228.0,,,,,,,,,,,
231,PT08M59.00S,2021-04-24T00:24:59.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,33,28,2021-04-24T00:24:59Z,2280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT08M46.00S,2021-04-24T00:25:14.7Z,2,REGULAR,3pt,Jump Shot,[],1628369,69.72733245729303,73.35324754901961,1610612738,33,31,2021-04-24T00:25:23Z,2290000,117.0,232.0,1,right,J. Tatum 25' 3PT  (12 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,25.98,Made,12.0,,,,,,,,,,,,,,,
233,PT08M24.00S,2021-04-24T00:25:36.4Z,2,REGULAR,3pt,Jump Shot,[],201145,7.30946123521682,3.2552083333333335,1610612751,33,31,2021-04-24T00:25:42Z,2300000,234.0,16.0,1,left,MISS J. Green 3PT,[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,23.43,Missed,,,,,,,,,,,,,,,,
234,PT08M23.00S,2021-04-24T00:25:37.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612751,33,31,2021-04-24T00:25:42Z,2310000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,233.0,,,,,,,,,,,
235,PT08M23.00S,2021-04-24T00:25:42.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,33,31,2021-04-24T00:25:42Z,2320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT08M17.00S,2021-04-24T00:26:00.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203925,25.706307490144546,81.93167892156863,1610612751,33,31,2021-04-24T00:26:06Z,2330000,-160.0,189.0,1,left,MISS J. Harris 24' pullup 3PT,[203925],1610612751.0,BKN,pullup,,,Harris,J. Harris,,,,,,,,24.75,Missed,,,,,,,,,,,,,,,,
237,PT08M12.00S,2021-04-24T00:26:05.7Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,33,31,2021-04-24T00:26:06Z,2340000,,,0,,G. Williams REBOUND (Off:0 Def:3),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,236.0,3.0,3.0,0.0,,,,,,,,
238,PT08M05.00S,2021-04-24T00:26:15.6Z,2,REGULAR,foul,personal,[],201933,,,1610612738,33,31,2021-04-24T00:26:36Z,2350000,,,0,,B. Griffin personal FOUL (1 PF),"[201933, 1628369]",1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Tatum,1628369.0,
240,PT07M58.00S,2021-04-24T00:26:36.7Z,2,REGULAR,2pt,Jump Shot,[],1628369,79.58278580814718,75.06893382352942,1610612738,33,31,2021-04-24T00:26:54Z,2370000,125.0,139.0,1,right,MISS J. Tatum 18' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,18.74,Missed,,,,,,,,,,,,,,,,
241,PT07M55.00S,2021-04-24T00:26:39.7Z,2,REGULAR,rebound,defensive,[],1628971,,,1610612751,33,31,2021-04-24T00:26:54Z,2380000,,,0,,B. Brown REBOUND (Off:0 Def:3),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,240.0,3.0,3.0,0.0,,,,,,,,
242,PT07M45.00S,2021-04-24T00:26:50.0Z,2,REGULAR,3pt,Jump Shot,[],201145,5.863994743758213,4.235600490196079,1610612751,36,31,2021-04-24T00:26:56Z,2390000,229.0,3.0,1,left,J. Green 3PT  (5 PTS) (J. Harris 1 AST),"[201145, 203925]",1610612751.0,BKN,,,,Green,J. Green,,,,,,,,22.88,Made,5.0,J. Harris,203925.0,1.0,,,,,,,,,,,,
244,PT07M19.00S,2021-04-24T00:27:15.3Z,2,REGULAR,3pt,Jump Shot,[],1628369,93.77463863337714,4.235600490196079,1610612738,36,31,2021-04-24T00:27:20Z,2410000,-229.0,6.0,1,right,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,22.89,Missed,,,,,,,,,,,,,,,,
245,PT07M15.00S,2021-04-24T00:27:19.3Z,2,REGULAR,rebound,defensive,[],203925,,,1610612751,36,31,2021-04-24T00:27:20Z,2420000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,244.0,1.0,1.0,0.0,,,,,,,,
246,PT06M58.00S,2021-04-24T00:27:36.9Z,2,REGULAR,3pt,Jump Shot,[],201933,30.17411300919842,69.43167892156863,1610612751,39,31,2021-04-24T00:27:45Z,2430000,-97.0,231.0,1,left,B. Griffin 25' 3PT pullup (5 PTS) (M. James 1 AST),"[201933, 1628455]",1610612751.0,BKN,pullup,,,Griffin,B. Griffin,,,,,,,,25.07,Made,5.0,M. James,1628455.0,1.0,,,,,,,,,,,,
248,PT06M42.00S,2021-04-24T00:27:53.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202684,92.19776609724047,45.90226715686275,1610612738,39,33,2021-04-24T00:28:04Z,2450000,-20.0,21.0,1,right,T. Thompson driving Layup (8 PTS) (P. Pritchard 1 AST),"[202684, 1630202]",1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,,,,2.92,Made,8.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,,
250,PT06M32.00S,2021-04-24T00:28:02.1Z,2,REGULAR,3pt,Jump Shot,[],1628455,4.681340341655716,94.921875,1610612751,42,33,2021-04-24T00:28:13Z,2470000,-225.0,-8.0,1,left,M. James 3PT pullup (4 PTS),[1628455],1610612751.0,BKN,pullup,,,James,M. James,,,,,,,,22.48,Made,4.0,,,,,,,,,,,,,,,
251,PT06M17.00S,2021-04-24T00:28:17.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.03745072273325,50.314031862745104,1610612738,42,35,2021-04-24T00:28:21Z,2480000,2.0,4.0,1,right,J. Tatum driving Layup (14 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,0.38,Made,14.0,,,,,,,,,,,,,,,
252,PT06M05.00S,2021-04-24T00:28:29.2Z,2,REGULAR,3pt,Jump Shot,[],201145,6.1268068331143235,94.43167892156863,1610612751,45,35,2021-04-24T00:28:33Z,2490000,-222.0,5.0,1,left,J. Green 3PT  (8 PTS) (M. James 2 AST),"[201145, 1628455]",1610612751.0,BKN,,,,Green,J. Green,,,,,,,,22.23,Made,8.0,M. James,1628455.0,2.0,,,,,,,,,,,,
254,PT05M45.00S,2021-04-24T00:28:49.8Z,2,REGULAR,3pt,Jump Shot,[],1630202,71.96123521681997,21.147365196078432,1610612738,45,38,2021-04-24T00:28:57Z,2510000,-144.0,211.0,1,right,P. Pritchard 25' 3PT  (6 PTS) (G. Williams 1 AST),"[1630202, 1629684]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,25.57,Made,6.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,
256,PT05M32.00S,2021-04-24T00:29:03.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201933,5.863994743758213,49.82383578431372,1610612751,47,38,2021-04-24T00:29:08Z,2530000,1.0,3.0,1,left,B. Griffin cutting DUNK (7 PTS) (J. Harris 2 AST),"[201933, 203925]",1610612751.0,BKN,cutting,,,Griffin,B. Griffin,,,,,,,,0.28,Made,7.0,J. Harris,203925.0,2.0,,,,,,,,,,,,
258,PT05M08.00S,2021-04-24T00:29:26.4Z,2,REGULAR,3pt,Jump Shot,[],1628369,75.64060446780552,13.304227941176471,1610612738,47,41,2021-04-24T00:29:31Z,2550000,-183.0,176.0,1,right,J. Tatum 25' 3PT step back (17 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,25.46,Made,17.0,,,,,,,,,,,,,,,
259,PT04M46.00S,2021-04-24T00:29:50.3Z,2,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612751,47,41,2021-04-24T00:30:04Z,2560000,,,0,,G. Williams shooting personal FOUL (1 PF) (Green 2 FT),"[1629684, 201145]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Green,201145.0,
261,PT04M46.00S,2021-04-24T00:30:16.3Z,2,REGULAR,freethrow,1 of 2,[],201145,,,1610612751,48,41,2021-04-24T00:30:16Z,2580000,,,0,,J. Green Free Throw 1 of 2 (9 PTS),[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
262,PT04M46.00S,2021-04-24T00:30:16.9Z,2,REGULAR,substitution,out,[],203925,,,1610612751,48,41,2021-04-24T00:30:37Z,2590000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT04M46.00S,2021-04-24T00:30:16.9Z,2,REGULAR,substitution,out,[],1628455,,,1610612751,48,41,2021-04-24T00:30:37Z,2600000,,,0,,SUB out: M. James,[1628455],1610612751.0,BKN,,,,James,M. James,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT04M46.00S,2021-04-24T00:30:16.9Z,2,REGULAR,substitution,out,[],1630202,,,1610612751,48,41,2021-04-24T00:30:37Z,2610000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
