actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
53,PT07M25.00S,2021-04-23T23:52:30.9Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,8,12,2021-04-23T23:52:38Z,530000,,,0,,K. Irving REBOUND (Off:0 Def:2),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,
54,PT07M17.00S,2021-04-23T23:52:39.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,19.004599211563733,42.96109068627451,1610612751,8,12,2021-04-23T23:52:52Z,540000,35.0,126.0,1,left,MISS K. Irving 13' turnaround fadeaway Shot,[202681],1610612751.0,BKN,turnaround fadeaway,,,Irving,K. Irving,,,,,,,,13.09,Missed,,,,,,,,,,,,,,,,
55,PT07M14.00S,2021-04-23T23:52:42.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,8,12,2021-04-23T23:52:52Z,550000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,54.0,3.0,2.0,1.0,,,,,,,,
56,PT07M10.00S,2021-04-23T23:52:45.9Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,8,12,2021-04-23T23:52:54Z,560000,,,0,,M. Smart lost ball TURNOVER (1 TO),"[203935, 202681]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,1.0,Irving,202681.0,,,,,,,,,,,,,,,,,,
57,PT07M10.00S,2021-04-23T23:52:45.9Z,1,REGULAR,steal,,[],202681,,,1610612751,8,12,2021-04-23T23:52:48Z,570000,,,0,,K. Irving STEAL (2 STL),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M07.00S,2021-04-23T23:52:49.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202681,5.075558475689881,49.333639705882355,1610612751,10,12,2021-04-23T23:53:03Z,580000,3.0,-5.0,1,left,K. Irving running Layup (5 PTS),[202681],1610612751.0,BKN,running,,,Irving,K. Irving,,,,,,,,0.58,Made,5.0,,,,,,,,,,,,,,,
59,PT06M45.00S,2021-04-23T23:53:10.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,85.62746386333771,49.333639705882355,1610612738,10,12,2021-04-23T23:53:15Z,590000,-3.0,83.0,1,right,MISS T. Thompson 8' Hook,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,8.27,Missed,,,,,,,,,,,,,,,,
60,PT06M42.00S,2021-04-23T23:53:13.5Z,1,REGULAR,rebound,defensive,[],201599,,,1610612751,10,12,2021-04-23T23:53:15Z,600000,,,0,,D. Jordan REBOUND (Off:0 Def:3),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,59.0,3.0,3.0,0.0,,,,,,,,
61,PT06M32.00S,2021-04-23T23:53:24.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629013,5.469776609724048,48.59834558823529,1610612751,12,12,2021-04-23T23:53:39Z,610000,7.0,-1.0,1,left,L. Shamet cutting DUNK (5 PTS) (D. Jordan 1 AST),"[1629013, 201599]",1610612751.0,BKN,cutting,,,Shamet,L. Shamet,,,,,,,,0.71,Made,5.0,D. Jordan,201599.0,1.0,,,,,,,,,,,,
63,PT06M32.00S,2021-04-23T23:53:29.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,12,2021-04-23T23:53:29Z,630000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M32.00S,2021-04-23T23:53:42.1Z,1,REGULAR,substitution,out,[],1629013,,,1610612738,12,12,2021-04-23T23:56:26Z,640000,,,0,,SUB out: L. Shamet,[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
