actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
32,PT09M27.00S,2021-05-07T23:48:42.2Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,5,4,2021-05-07T23:48:45Z,320000,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M25.00S,2021-05-07T23:48:48.1Z,1,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,5,4,2021-05-07T23:51:56Z,330000,,,0,,C. White bad pass out-of-bounds TURNOVER (1 TO),[1629632],1610612741.0,CHI,bad pass,,,White,C. White,,,,,,,,,,,,,,,1193.0,,,,,1.0,,,,,
34,PT09M16.00S,2021-05-07T23:49:09.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,30.831143232588698,63.794424019607845,1610612738,5,7,2021-05-07T23:49:15Z,340000,-69.0,237.0,1,left,E. Fournier 24' 3PT  (5 PTS) (J. Tatum 2 AST),"[203095, 1628369]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,24.71,Made,,,,,5.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,
35,PT08M50.00S,2021-05-07T23:49:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.64323258869908,54.23560049019608,1610612741,5,7,2021-05-07T23:49:39Z,350000,21.0,7.0,1,right,MISS N. Vucevic Layup,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,2.24,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M49.00S,2021-05-07T23:49:36.4Z,1,REGULAR,rebound,offensive,[],1629632,,,1610612741,5,7,2021-05-07T23:49:39Z,360000,,,0,,C. White REBOUND (Off:1 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,35.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
38,PT08M49.00S,2021-05-07T23:49:57.4Z,1,REGULAR,stoppage,other,[],0,,,1610612741,5,7,2021-05-07T23:49:57Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M38.00S,2021-05-07T23:50:11.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203897,74.06373193166885,19.186580882352942,1610612741,5,7,2021-05-07T23:50:15Z,380000,-154.0,191.0,1,right,MISS Z. LaVine 24' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,24.56,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M36.00S,2021-05-07T23:50:13.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,5,7,2021-05-07T23:50:15Z,390000,,,0,,M. Smart REBOUND (Off:1 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,39.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
41,PT08M32.00S,2021-05-07T23:50:17.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202689,8.360709592641262,50.06893382352941,1610612738,5,9,2021-05-07T23:50:26Z,400000,0.0,26.0,1,left,K. Walker driving Layup (4 PTS) (M. Smart 1 AST),"[202689, 203935]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.61,Made,,,,,4.0,M. Smart,203935.0,1.0,,,,,,,,,,,
43,PT08M18.00S,2021-05-07T23:50:31.4Z,1,REGULAR,2pt,Jump Shot,[],1630172,77.7431011826544,48.353247549019606,1610612741,7,9,2021-05-07T23:50:42Z,420000,-8.0,157.0,1,right,P. Williams 15' pullup Jump Shot (2 PTS) (N. Vucevic 2 AST),"[1630172, 202696]",1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,15.69,Made,,,,,2.0,N. Vucevic,202696.0,2.0,,,,,,,,,,,
