actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
95,PT04M06.00S,2021-04-14T02:30:06.0Z,1,REGULAR,turnover,out-of-bounds,[],203081,,,1610612757,23,17,2021-04-14T02:30:09Z,950000,,,0,,D. Lillard bad pass out-of-bounds TURNOVER (2 TO),[203081],1610612757.0,POR,bad pass,,,Lillard,D. Lillard,,,,,,,,,,,1626300.0,,,,,2.0,,,,,,,,,
96,PT04M06.00S,2021-04-14T02:30:08.2Z,1,REGULAR,substitution,out,[],203496,,,1610612738,23,17,2021-04-14T02:30:13Z,960000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M06.00S,2021-04-14T02:30:08.2Z,1,REGULAR,substitution,in,[],2546,,,1610612738,23,17,2021-04-14T02:30:13Z,970000,,,0,,SUB in: C. Anthony,[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M56.00S,2021-04-14T02:30:32.7Z,1,REGULAR,foul,personal,['2freethrow'],1627884,,,1610612738,23,17,2021-04-14T02:30:40Z,980000,,,0,,D. Jones Jr. shooting personal FOUL (1 PF) (Brown 2 FT),"[1627884, 1627759]",1610612757.0,POR,shooting,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,2715.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
100,PT03M56.00S,2021-04-14T02:30:58.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627759,,,1610612738,23,17,2021-04-14T02:30:58Z,1000000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
101,PT03M56.00S,2021-04-14T02:30:58.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,23,17,2021-04-14T02:30:58Z,1010000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,
102,PT03M56.00S,2021-04-14T02:31:15.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627759,,,1610612738,23,18,2021-04-14T02:31:15Z,1020000,,,0,,J. Brown Free Throw 2 of 2 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
103,PT03M44.00S,2021-04-14T02:31:28.8Z,1,REGULAR,3pt,Jump Shot,[],203468,28.203022339027594,74.08854166666666,1610612757,23,18,2021-04-14T02:31:34Z,1030000,-120.0,213.0,1,left,MISS C. McCollum 24' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,24.43,Missed,,,,,,,,,,,,,,,,,,,
104,PT03M42.00S,2021-04-14T02:31:30.8Z,1,REGULAR,rebound,offensive,[],202683,,,1610612757,23,18,2021-04-14T02:31:44Z,1040000,,,0,,E. Kanter REBOUND (Off:1 Def:2),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,103.0,3.0,2.0,1.0,,,,,
105,PT03M42.00S,2021-04-14T02:31:33.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202683,5.590000152587891,50.0,1610612757,25,18,2021-04-14T02:31:38Z,1050000,0.0,0.0,1,left,E. Kanter putback Layup (2 PTS),[202683],1610612757.0,POR,putback,,,Kanter,E. Kanter,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
106,PT03M42.00S,2021-04-14T02:31:43.3Z,1,REGULAR,foul,personal,['1freethrow'],1629641,,,1610612757,25,18,2021-04-14T02:31:51Z,1060000,,,0,,R. Langford shooting personal FOUL (1 PF) (Kanter 1 FT),"[1629641, 202683]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,,,,,,,1626300.0,1.0,0.0,Kanter,202683.0,,,,,,,,,,
108,PT03M42.00S,2021-04-14T02:31:59.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],202683,,,1610612757,25,18,2021-04-14T02:31:59Z,1080000,,,0,,MISS E. Kanter Free Throw 1 of 1,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,Missed,,,,,,,,,,,,,,,,,,,
109,PT03M40.00S,2021-04-14T02:32:01.8Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,25,18,2021-04-14T02:32:01Z,1090000,,,0,,K. Walker REBOUND (Off:0 Def:4),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,108.0,4.0,4.0,0.0,,,,,
111,PT03M32.00S,2021-04-14T02:32:12.4Z,1,REGULAR,foul,personal,['2freethrow'],203081,,,1610612738,25,18,2021-04-14T02:32:23Z,1100000,,,0,,D. Lillard shooting personal FOUL (1 PF) (Smart 2 FT),"[203081, 203935]",1610612757.0,POR,shooting,,,Lillard,D. Lillard,,,,,,,,,,,1626300.0,1.0,0.0,Smart,203935.0,,,,,,,,,,
113,PT03M32.00S,2021-04-14T02:32:41.9Z,1,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,25,19,2021-04-14T02:32:41Z,1120000,,,0,,M. Smart Free Throw 1 of 2 (1 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
114,PT03M32.00S,2021-04-14T02:32:50.0Z,1,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,25,20,2021-04-14T02:32:50Z,1130000,,,0,,M. Smart Free Throw 2 of 2 (2 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
115,PT03M24.00S,2021-04-14T02:33:04.9Z,1,REGULAR,foul,personal,[],1629641,,,1610612757,25,20,2021-04-14T02:33:12Z,1140000,,,0,,R. Langford personal FOUL (2 PF),"[1629641, 2546]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,2002.0,2.0,0.0,Anthony,2546.0,,,,,,,,,,
117,PT03M15.00S,2021-04-14T02:33:24.8Z,1,REGULAR,2pt,Jump Shot,[],2546,7.178055190538765,33.15716911764706,1610612757,25,20,2021-04-14T02:33:29Z,1160000,84.0,15.0,1,left,MISS C. Anthony 8' fadeaway Shot,[2546],1610612757.0,POR,fadeaway,,,Anthony,C. Anthony,,,,,8.55,Missed,,,,,,,,,,,,,,,,,,,
118,PT03M11.00S,2021-04-14T02:33:28.8Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,25,20,2021-04-14T02:33:29Z,1170000,,,0,,K. Walker REBOUND (Off:0 Def:5),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,117.0,5.0,5.0,0.0,,,,,
119,PT03M01.00S,2021-04-14T02:33:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,94.03745072273325,47.127757352941174,1610612738,25,22,2021-04-14T02:33:43Z,1180000,-14.0,4.0,1,right,T. Thompson reverse Layup (2 PTS) (K. Walker 2 AST),"[202684, 202689]",1610612738.0,BOS,reverse,,,Thompson,T. Thompson,,,,,1.48,Made,2.0,K. Walker,202689.0,2.0,,,,,,,,,,,,,,,
121,PT03M01.00S,2021-04-14T02:33:43.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,25,22,2021-04-14T02:33:43Z,1200000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M01.00S,2021-04-14T02:36:33.2Z,1,REGULAR,substitution,out,[],203468,,,1610612757,25,22,2021-04-14T02:37:08Z,1210000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M01.00S,2021-04-14T02:36:33.2Z,1,REGULAR,substitution,out,[],1627759,,,1610612757,25,22,2021-04-14T02:37:08Z,1220000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M01.00S,2021-04-14T02:36:33.2Z,1,REGULAR,substitution,in,[],1626181,,,1610612757,25,22,2021-04-14T02:37:08Z,1230000,,,0,,SUB in: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M01.00S,2021-04-14T02:36:33.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612757,25,22,2021-04-14T02:37:08Z,1240000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M45.00S,2021-04-14T02:37:22.4Z,1,REGULAR,3pt,Jump Shot,[],1626181,15.193823915900131,95.65716911764706,1610612757,28,22,2021-04-14T02:37:26Z,1250000,-228.0,90.0,1,left,N. Powell 24' 3PT  (8 PTS) (D. Lillard 2 AST),"[1626181, 203081]",1610612757.0,POR,,,,Powell,N. Powell,,,,,24.55,Made,8.0,D. Lillard,203081.0,2.0,,,,,,,,,,,,,,,
128,PT02M26.00S,2021-04-14T02:37:40.9Z,1,REGULAR,3pt,Jump Shot,[],202689,76.82325886990802,87.8140318627451,1610612738,28,25,2021-04-14T02:37:47Z,1270000,189.0,165.0,1,right,K. Walker 25' 3PT pullup (9 PTS) (M. Smart 3 AST),"[202689, 203935]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.12,Made,9.0,M. Smart,203935.0,3.0,,,,,,,,,,,,,,,
130,PT02M15.00S,2021-04-14T02:37:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,5.732588699080158,50.55912990196079,1610612757,30,25,2021-04-14T02:37:57Z,1290000,-3.0,1.0,1,left,D. Lillard cutting Layup (8 PTS) (E. Kanter 1 AST),"[203081, 202683]",1610612757.0,POR,cutting,,,Lillard,D. Lillard,,,,,0.31,Made,8.0,E. Kanter,202683.0,1.0,,,,,,,,,,,,,,,
132,PT02M01.00S,2021-04-14T02:38:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,94.03745072273325,52.51991421568627,1610612738,30,25,2021-04-14T02:38:09Z,1310000,13.0,4.0,1,right,MISS K. Walker driving Layup,[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,1.31,Missed,,,,,,,,,,,,,,,,,,,
133,PT01M59.00S,2021-04-14T02:38:08.4Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,30,25,2021-04-14T02:38:09Z,1320000,,,0,,T. Thompson REBOUND (Off:2 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,132.0,3.0,1.0,2.0,,,,,
134,PT01M59.00S,2021-04-14T02:38:09.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,30,25,2021-04-14T02:38:09Z,1330000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
135,PT01M58.00S,2021-04-14T02:38:09.6Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612757,30,25,2021-04-14T02:38:09Z,1340000,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612757.0,POR,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,134.0,1.0,1.0,0.0,,,,,
136,PT01M53.00S,2021-04-14T02:38:15.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626181,32.276609724047304,23.598345588235293,1610612757,30,25,2021-04-14T02:38:26Z,1350000,132.0,251.0,1,left,MISS N. Powell 28' running 3PT,[1626181],1610612757.0,POR,running,,,Powell,N. Powell,,,,,28.35,Missed,,,,,,,,,,,,,,,,,,,
137,PT01M49.00S,2021-04-14T02:38:19.2Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612738,30,25,2021-04-14T02:38:26Z,1360000,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,136.0,1.0,1.0,0.0,,,,,
138,PT01M41.00S,2021-04-14T02:38:26.7Z,1,REGULAR,foul,personal,['3freethrow'],1627884,,,1610612738,30,25,2021-04-14T02:38:39Z,1370000,,,0,,D. Jones Jr. shooting personal FOUL (2 PF) (Walker 3 FT),"[1627884, 202689]",1610612757.0,POR,shooting,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,1626300.0,2.0,0.0,Walker,202689.0,,,,,,,,,,
140,PT01M41.00S,2021-04-14T02:38:59.4Z,1,REGULAR,freethrow,1 of 3,[],202689,,,1610612738,30,26,2021-04-14T02:38:59Z,1390000,,,0,,K. Walker Free Throw 1 of 3 (10 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
141,PT01M41.00S,2021-04-14T02:39:17.7Z,1,REGULAR,freethrow,2 of 3,[],202689,,,1610612738,30,27,2021-04-14T02:39:17Z,1400000,,,0,,K. Walker Free Throw 2 of 3 (11 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,11.0,,,,,,,,,,,,,,,,,,
142,PT01M41.00S,2021-04-14T02:39:18.5Z,1,REGULAR,substitution,out,[],202684,,,1610612738,30,27,2021-04-14T02:39:39Z,1410000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M41.00S,2021-04-14T02:39:18.5Z,1,REGULAR,substitution,out,[],203935,,,1610612738,30,27,2021-04-14T02:39:39Z,1420000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M41.00S,2021-04-14T02:39:18.5Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,30,27,2021-04-14T02:39:39Z,1430000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M41.00S,2021-04-14T02:39:18.5Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,30,27,2021-04-14T02:39:39Z,1440000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M41.00S,2021-04-14T02:39:42.2Z,1,REGULAR,freethrow,3 of 3,[],202689,,,1610612738,30,28,2021-04-14T02:39:42Z,1450000,,,0,,K. Walker Free Throw 3 of 3 (12 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,12.0,,,,,,,,,,,,,,,,,,
147,PT01M30.00S,2021-04-14T02:39:56.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612757,30,28,2021-04-14T02:40:05Z,1460000,,,0,,G. Williams shooting personal FOUL (1 PF) (Kanter 2 FT),"[1629684, 202683]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,2715.0,1.0,0.0,Kanter,202683.0,,,,,,,,,,
149,PT01M30.00S,2021-04-14T02:40:28.1Z,1,REGULAR,freethrow,1 of 2,[],202683,,,1610612757,31,28,2021-04-14T02:40:28Z,1480000,,,0,,E. Kanter Free Throw 1 of 2 (3 PTS),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
150,PT01M30.00S,2021-04-14T02:40:28.7Z,1,REGULAR,substitution,out,[],202689,,,1610612757,31,28,2021-04-14T02:40:31Z,1490000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M30.00S,2021-04-14T02:40:28.7Z,1,REGULAR,substitution,in,[],1630202,,,1610612757,31,28,2021-04-14T02:40:31Z,1500000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT01M30.00S,2021-04-14T02:40:48.4Z,1,REGULAR,freethrow,2 of 2,[],202683,,,1610612757,32,28,2021-04-14T02:40:48Z,1510000,,,0,,E. Kanter Free Throw 2 of 2 (4 PTS),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
153,PT01M14.00S,2021-04-14T02:41:08.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,93.24901445466492,18.45128676470588,1610612738,32,28,2021-04-14T02:41:12Z,1520000,-158.0,11.0,1,right,MISS J. Tatum 15' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,15.81,Missed,,,,,,,,,,,,,,,,,,,
154,PT01M12.00S,2021-04-14T02:41:10.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,32,28,2021-04-14T02:41:12Z,1530000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,153.0,1.0,0.0,1.0,,,,,
155,PT01M00.00S,2021-04-14T02:41:25.0Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,32,28,2021-04-14T02:41:29Z,1540000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,2715.0,,,,,1.0,,,,,,,,,
156,PT00M37.50S,2021-04-14T02:41:58.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],2546,10.33180026281209,78.99050245098039,1610612757,34,28,2021-04-14T02:42:01Z,1550000,-145.0,45.0,1,left,C. Anthony 15' Jump Shot (2 PTS),[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,15.17,Made,2.0,,,,,,,,,,,,,,,,,,
157,PT00M27.60S,2021-04-14T02:42:11.3Z,1,REGULAR,turnover,bad pass,[],1630202,,,1610612738,34,28,2021-04-14T02:42:14Z,1560000,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 202683]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,1.0,,,,,Kanter,202683.0,,,
158,PT00M27.60S,2021-04-14T02:42:11.3Z,1,REGULAR,steal,,[],202683,,,1610612757,34,28,2021-04-14T02:43:38Z,1570000,,,0,,E. Kanter STEAL (1 STL),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M23.70S,2021-04-14T02:42:15.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",2546,18.478975032851512,92.71599264705883,1610612757,37,28,2021-04-14T02:42:22Z,1580000,-214.0,121.0,1,left,C. Anthony 24' 3PT running pullup (5 PTS),[2546],1610612757.0,POR,running pullup,,,Anthony,C. Anthony,,,,,24.56,Made,5.0,,,,,,,,,,,,,,,,,,
160,PT00M04.40S,2021-04-14T02:42:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,94.56307490144546,46.63756127450981,1610612738,37,30,2021-04-14T02:42:59Z,1590000,-17.0,-1.0,1,right,R. Williams III Layup (8 PTS) (J. Tatum 2 AST),"[1629057, 1628369]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1.69,Made,8.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,,
162,PT00M04.40S,2021-04-14T02:42:46.3Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1626181,,,1610612738,37,30,2021-04-14T02:42:56Z,1610000,,,0,,N. Powell shooting personal FOUL (1 PF) (Williams III 1 FT),"[1626181, 1629057]",1610612757.0,POR,shooting,,,Powell,N. Powell,,,,,,,,,,,2715.0,1.0,0.0,Williams III,1629057.0,,,,,,,,,,
164,PT00M04.40S,2021-04-14T02:43:01.2Z,1,REGULAR,substitution,out,[],1627884,,,1610612738,37,30,2021-04-14T02:43:05Z,1630000,,,0,,SUB out: D. Jones Jr.,[1627884],1610612757.0,POR,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M04.40S,2021-04-14T02:43:01.2Z,1,REGULAR,substitution,in,[],203468,,,1610612738,37,30,2021-04-14T02:43:05Z,1640000,,,0,,SUB in: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M04.40S,2021-04-14T02:43:11.4Z,1,REGULAR,substitution,out,[],1630202,,,1610612738,37,30,2021-04-14T02:43:18Z,1650000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M04.40S,2021-04-14T02:43:11.4Z,1,REGULAR,substitution,in,[],203935,,,1610612738,37,30,2021-04-14T02:43:18Z,1660000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M04.40S,2021-04-14T02:43:33.2Z,1,REGULAR,freethrow,1 of 1,[],1629057,,,1610612738,37,30,2021-04-14T02:43:33Z,1670000,,,0,,MISS R. Williams III Free Throw 1 of 1,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Missed,,,,,,,,,,,,,,,,,,,
169,PT00M02.70S,2021-04-14T02:43:34.9Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,37,30,2021-04-14T02:43:37Z,1680000,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,168.0,2.0,2.0,0.0,,,,,
170,PT00M02.40S,2021-04-14T02:43:38.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612757,37,30,2021-04-14T02:44:08Z,1690000,,,0,,G. Williams personal FOUL (2 PF) (Lillard 2 FT),"[1629684, 203081]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,2002.0,2.0,0.0,Lillard,203081.0,,,,,,,,,,
172,PT00M02.40S,2021-04-14T02:44:12.5Z,1,REGULAR,freethrow,1 of 2,[],203081,,,1610612757,38,30,2021-04-14T02:44:12Z,1710000,,,0,,D. Lillard Free Throw 1 of 2 (9 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
173,PT00M02.40S,2021-04-14T02:44:12.5Z,1,REGULAR,freethrow,2 of 2,[],203081,,,1610612757,38,30,2021-04-14T02:44:30Z,1720000,,,0,,MISS D. Lillard Free Throw 2 of 2,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,Missed,,,,,,,,,,,,,,,,,,,
174,PT00M00.50S,2021-04-14T02:44:14.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,38,30,2021-04-14T02:44:30Z,1730000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,173.0,2.0,1.0,1.0,,,,,
175,PT00M00.00S,2021-04-14T02:44:32.0Z,1,REGULAR,3pt,Jump Shot,[],1629057,12.565703022339028,54.970894607843135,1610612738,38,30,2021-04-14T02:44:59Z,1740000,25.0,769.0,1,right,MISS R. Williams III 76' pullup 3PT,[1629057],1610612738.0,BOS,pullup,,,Williams III,R. Williams III,,,,,76.98,Missed,,,,,,,,,,,,,,,,,,,
176,PT00M00.00S,2021-04-14T02:44:32.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,38,30,2021-04-14T02:44:59Z,1750000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,175.0,,,,,,,,
177,PT00M00.00S,2021-04-14T02:44:34.9Z,1,REGULAR,period,end,[],0,,,1610612738,38,30,2021-04-14T02:44:34Z,1760000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2021-04-14T02:47:04.5Z,2,REGULAR,substitution,out,['startperiod'],203081,,,1610612738,38,30,2021-04-14T02:48:01Z,1770000,,,0,,SUB out: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2021-04-14T02:47:04.5Z,2,REGULAR,substitution,out,['startperiod'],202683,,,1610612738,38,30,2021-04-14T02:48:01Z,1780000,,,0,,SUB out: E. Kanter,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2021-04-14T02:47:04.5Z,2,REGULAR,substitution,out,['startperiod'],1629641,,,1610612738,38,30,2021-04-14T02:48:01Z,1790000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2021-04-14T02:47:04.5Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,38,30,2021-04-14T02:48:01Z,1800000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2021-04-14T02:47:04.5Z,2,REGULAR,substitution,in,['startperiod'],203994,,,1610612738,38,30,2021-04-14T02:48:01Z,1810000,,,0,,SUB in: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2021-04-14T02:47:04.5Z,2,REGULAR,substitution,in,['startperiod'],1627884,,,1610612738,38,30,2021-04-14T02:48:01Z,1820000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612757.0,POR,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2021-04-14T02:47:04.5Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612738,38,30,2021-04-14T02:48:01Z,1830000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2021-04-14T02:47:04.5Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,38,30,2021-04-14T02:48:01Z,1840000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2021-04-14T02:48:09.8Z,2,REGULAR,period,start,[],0,,,1610612757,38,30,2021-04-14T02:48:09Z,1850000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
