actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
138,PT02M20.00S,2021-03-27T00:07:48.5Z,1,REGULAR,rebound,offensive,[],203648,,,1610612749,21,23,2021-03-27T00:07:48Z,1370000,,,0,,T. Antetokounmpo REBOUND (Off:1 Def:1),[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,137.0,2.0,1.0,1.0,,
139,PT02M20.00S,2021-03-27T00:07:48.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203648,94.40999984741211,50.0,1610612749,21,23,2021-03-27T00:08:10Z,1380000,0.0,0.0,1,right,MISS T. Antetokounmpo tip Layup,[203648],1610612749.0,MIL,tip,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,Missed,,,,,0.0,,,,,,,,,
140,PT02M18.00S,2021-03-27T00:07:50.5Z,1,REGULAR,rebound,defensive,[],1629605,,,1610612738,21,23,2021-03-27T00:08:10Z,1390000,,,0,,T. Fall REBOUND (Off:0 Def:1),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,139.0,1.0,1.0,0.0,,
141,PT02M17.00S,2021-03-27T00:07:51.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,29.911300919842315,72.12775735294117,1610612738,21,23,2021-03-27T00:08:49Z,1400000,-111.0,229.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,25.4,,,,,,,,,
142,PT02M14.00S,2021-03-27T00:07:54.5Z,1,REGULAR,rebound,defensive,[],1627854,,,1610612749,21,23,2021-03-27T00:07:59Z,1410000,,,0,,B. Forbes REBOUND (Off:0 Def:1),[1627854],1610612749.0,MIL,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,141.0,1.0,1.0,0.0,,
143,PT02M08.00S,2021-03-27T00:08:01.3Z,1,REGULAR,foul,personal,['3freethrow'],1630202,,,1610612749,21,23,2021-03-27T00:08:15Z,1420000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Connaughton 3 FT),"[1630202, 1626192]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,1198.0,1.0,0.0,Connaughton,1626192.0,,,,,,,,,,,,,,,
145,PT02M08.00S,2021-03-27T00:08:31.0Z,1,REGULAR,freethrow,1 of 3,[],1626192,,,1610612749,22,23,2021-03-27T00:08:31Z,1440000,,,0,,P. Connaughton Free Throw 1 of 3 (1 PTS),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
146,PT02M08.00S,2021-03-27T00:08:44.4Z,1,REGULAR,freethrow,2 of 3,[],1626192,,,1610612749,23,23,2021-03-27T00:08:44Z,1450000,,,0,,P. Connaughton Free Throw 2 of 3 (2 PTS),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
147,PT02M08.00S,2021-03-27T00:08:46.0Z,1,REGULAR,substitution,out,[],201572,,,1610612749,23,23,2021-03-27T00:09:00Z,1460000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,
148,PT02M08.00S,2021-03-27T00:08:46.0Z,1,REGULAR,substitution,out,[],1627759,,,1610612749,23,23,2021-03-27T00:09:00Z,1470000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
149,PT02M08.00S,2021-03-27T00:08:46.0Z,1,REGULAR,substitution,out,[],1629605,,,1610612749,23,23,2021-03-27T00:09:00Z,1480000,,,0,,SUB out: T. Fall,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,
150,PT02M08.00S,2021-03-27T00:08:46.0Z,1,REGULAR,substitution,in,[],203114,,,1610612749,23,23,2021-03-27T00:09:00Z,1490000,,,0,,SUB in: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,
151,PT02M08.00S,2021-03-27T00:08:46.0Z,1,REGULAR,substitution,in,[],1630174,,,1610612749,23,23,2021-03-27T00:09:00Z,1500000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
152,PT02M08.00S,2021-03-27T00:08:46.0Z,1,REGULAR,substitution,in,[],1629057,,,1610612749,23,23,2021-03-27T00:09:00Z,1510000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
153,PT02M08.00S,2021-03-27T00:09:11.6Z,1,REGULAR,freethrow,3 of 3,[],1626192,,,1610612749,24,23,2021-03-27T00:09:11Z,1520000,,,0,,P. Connaughton Free Throw 3 of 3 (3 PTS),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
154,PT02M00.00S,2021-03-27T00:09:24.5Z,1,REGULAR,3pt,Jump Shot,[],1630202,18.347568988173457,6.441482843137254,1610612738,24,26,2021-03-27T00:09:29Z,1530000,218.0,120.0,1,left,P. Pritchard 24' 3PT  (3 PTS) (R. Williams III 3 AST),"[1630202, 1629057]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,Made,3.0,,,,24.87,R. Williams III,1629057.0,3.0,,,,,,
156,PT01M49.00S,2021-03-27T00:09:34.6Z,1,REGULAR,3pt,Jump Shot,[],1626192,67.62483574244416,54.72579656862745,1610612749,24,26,2021-03-27T00:09:40Z,1550000,24.0,252.0,1,right,MISS P. Connaughton 25' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,Missed,,,,,25.29,,,,,,,,,
157,PT01M45.00S,2021-03-27T00:09:38.6Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,24,26,2021-03-27T00:09:40Z,1560000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,156.0,1.0,1.0,0.0,,
158,PT01M39.00S,2021-03-27T00:09:45.1Z,1,REGULAR,3pt,Jump Shot,[],1630174,2.1846254927726676,5.215992647058823,1610612738,24,26,2021-03-27T00:09:53Z,1570000,224.0,-32.0,1,left,MISS A. Nesmith 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,Missed,,,,,22.62,,,,,,,,,
159,PT01M38.00S,2021-03-27T00:09:52.3Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,24,26,2021-03-27T00:09:52Z,1580000,,,0,,G. Williams REBOUND (Off:2 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,158.0,2.0,0.0,2.0,,
160,PT01M38.00S,2021-03-27T00:09:52.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629684,5.590000152587891,50.0,1610612738,24,28,2021-03-27T00:10:09Z,1590000,0.0,0.0,1,left,G. Williams putback Layup (2 PTS),[1629684],1610612738.0,BOS,putback,,,Williams,G. Williams,,,,,,,,,,Made,2.0,,,,0.0,,,,,,,,,
161,PT01M38.00S,2021-03-27T00:09:54.3Z,1,REGULAR,foul,personal,['1freethrow'],203648,,,1610612738,24,28,2021-03-27T00:10:07Z,1600000,,,0,,T. Antetokounmpo shooting personal FOUL (1 PF) (Williams 1 FT),"[203648, 1629684]",1610612749.0,MIL,shooting,,,Antetokounmpo,T. Antetokounmpo,,,,,1198.0,1.0,0.0,Williams,1629684.0,,,,,,,,,,,,,,,
163,PT01M38.00S,2021-03-27T00:10:16.9Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629684,,,1610612738,24,28,2021-03-27T00:10:16Z,1620000,,,0,,MISS G. Williams Free Throw 1 of 1,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,Missed,,,,,,,,,,,,,,
164,PT01M36.00S,2021-03-27T00:10:18.9Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,24,28,2021-03-27T00:10:19Z,1630000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,163.0,1.0,1.0,0.0,,
165,PT01M23.00S,2021-03-27T00:10:31.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,93.11760840998686,51.049325980392155,1610612749,26,28,2021-03-27T00:10:36Z,1640000,5.0,12.0,1,right,J. Holiday cutting Layup (7 PTS) (K. Middleton 1 AST),"[201950, 203114]",1610612749.0,MIL,cutting,,,Holiday,J. Holiday,,,,,,,,,,Made,7.0,,,,1.33,K. Middleton,203114.0,1.0,,,,,,
167,PT01M09.00S,2021-03-27T00:10:45.0Z,1,REGULAR,2pt,Jump Shot,[],1628369,8.09789750328515,33.64736519607843,1610612738,26,30,2021-03-27T00:10:50Z,1660000,82.0,24.0,1,left,J. Tatum 8' driving floating bank Jump Shot (6 PTS),[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,,,,,,Made,6.0,,,,8.51,,,,,,,,,
168,PT00M53.10S,2021-03-27T00:11:02.0Z,1,REGULAR,turnover,bad pass,[],203648,,,1610612749,26,30,2021-03-27T00:11:07Z,1670000,,,0,,T. Antetokounmpo bad pass TURNOVER (1 TO),"[203648, 1629057]",1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,1.0,Williams III,1629057.0,,,,,,,,,,
169,PT00M53.10S,2021-03-27T00:11:02.0Z,1,REGULAR,steal,,[],1629057,,,1610612738,26,30,2021-03-27T00:15:04Z,1680000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
170,PT00M37.10S,2021-03-27T00:11:18.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201950,,,1610612738,26,30,2021-03-27T00:11:31Z,1690000,,,0,,J. Holiday shooting personal FOUL (1 PF) (Tatum 2 FT),"[201950, 1628369]",1610612749.0,MIL,shooting,,,Holiday,J. Holiday,,,,,201246.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
172,PT00M37.10S,2021-03-27T00:11:51.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,26,31,2021-03-27T00:11:51Z,1710000,,,0,,J. Tatum Free Throw 1 of 2 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
173,PT00M37.10S,2021-03-27T00:12:04.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,26,32,2021-03-27T00:12:04Z,1720000,,,0,,J. Tatum Free Throw 2 of 2 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Made,8.0,,,,,,,,,,,,,
174,PT00M27.70S,2021-03-27T00:12:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,91.14651773981603,37.07873774509804,1610612749,26,32,2021-03-27T00:12:25Z,1730000,-65.0,31.0,1,right,MISS J. Holiday 7' driving floating Shot - blocked,"[201950, 1629057]",1610612749.0,MIL,driving floating,,,Holiday,J. Holiday,,,,,,,,,,Missed,,,,,7.15,,,,,,,,Williams III,1629057.0
175,PT00M27.70S,2021-03-27T00:12:16.5Z,1,REGULAR,block,,[],1629057,,,1610612749,26,32,2021-03-27T00:12:22Z,1740000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
176,PT00M27.40S,2021-03-27T00:12:16.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,26,32,2021-03-27T00:12:25Z,1750000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,,,
177,PT00M27.40S,2021-03-27T00:12:27.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,26,32,2021-03-27T00:12:27Z,1760000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT00M21.90S,2021-03-27T00:12:32.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203114,95.48291721419186,18.696384803921568,1610612749,26,32,2021-03-27T00:12:39Z,1770000,-157.0,-10.0,1,right,MISS K. Middleton 15' Jump Shot,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,Missed,,,,,15.68,,,,,,,,,
179,PT00M17.80S,2021-03-27T00:12:37.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,26,32,2021-03-27T00:12:37Z,1780000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,178.0,1.0,1.0,0.0,,
180,PT00M06.40S,2021-03-27T00:12:48.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.14520367936925,59.62775735294118,1610612738,26,32,2021-03-27T00:12:59Z,1790000,-48.0,250.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,25.43,,,,,,,,,
181,PT00M02.10S,2021-03-27T00:12:52.6Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,26,32,2021-03-27T00:12:52Z,1800000,,,0,,J. Holiday REBOUND (Off:1 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,180.0,2.0,1.0,1.0,,
182,PT00M00.00S,2021-03-27T00:12:55.5Z,1,REGULAR,3pt,Jump Shot,[],203648,37.66425755584757,47.372855392156865,1610612749,26,32,2021-03-27T00:13:03Z,1810000,-13.0,533.0,1,right,MISS T. Antetokounmpo 53' 3PT,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,Missed,,,,,53.37,,,,,,,,,
183,PT00M00.00S,2021-03-27T00:12:55.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,26,32,2021-03-27T00:13:03Z,1820000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,,,
184,PT00M00.00S,2021-03-27T00:13:07.5Z,1,REGULAR,period,end,[],0,,,1610612749,26,32,2021-03-27T00:13:07Z,1830000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2021-03-27T00:16:02.3Z,2,REGULAR,substitution,out,['startperiod'],1626192,,,1610612749,26,32,2021-03-27T00:16:35Z,1840000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2021-03-27T00:16:02.3Z,2,REGULAR,substitution,out,['startperiod'],203648,,,1610612749,26,32,2021-03-27T00:16:35Z,1850000,,,0,,SUB out: T. Antetokounmpo,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2021-03-27T00:16:02.3Z,2,REGULAR,substitution,in,['startperiod'],1628978,,,1610612749,26,32,2021-03-27T00:16:35Z,1860000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2021-03-27T00:16:02.3Z,2,REGULAR,substitution,in,['startperiod'],203507,,,1610612749,26,32,2021-03-27T00:16:35Z,1870000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2021-03-27T00:16:39.4Z,2,REGULAR,period,start,[],0,,,1610612749,26,32,2021-03-27T00:16:39Z,1880000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT11M46.00S,2021-03-27T00:16:52.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628978,94.43166885676742,49.82383578431372,1610612749,26,32,2021-03-27T00:16:58Z,1890000,-1.0,0.0,1,right,MISS D. DiVincenzo cutting Layup,[1628978],1610612749.0,MIL,cutting,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,Missed,,,,,0.09,,,,,,,,,
191,PT11M43.00S,2021-03-27T00:16:55.5Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,26,32,2021-03-27T00:16:58Z,1900000,,,0,,R. Williams III REBOUND (Off:0 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,190.0,3.0,3.0,0.0,,
192,PT11M31.00S,2021-03-27T00:17:08.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,4.5499342969776615,49.333639705882355,1610612738,26,34,2021-03-27T00:23:31Z,1910000,3.0,-10.0,1,left,J. Tatum DUNK (10 PTS) (G. Williams 2 AST),"[1628369, 1629684]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Made,10.0,,,,1.02,G. Williams,1629684.0,2.0,,,,,,
196,PT11M22.00S,2021-03-27T00:17:45.4Z,2,REGULAR,jumpball,recovered,[],1627854,,,1610612749,26,34,2021-03-27T00:19:28Z,1950000,,,0,,Jump Ball D. DiVincenzo vs. P. Pritchard: Tip to B. Forbes,"[1627854, 1628978, 1630202]",1610612749.0,MIL,heldball,B. Forbes,1627854.0,Forbes,B. Forbes,DiVincenzo,1628978.0,Pritchard,1630202.0,,,,,,,,,,,,,,,,,,,,
201,PT11M11.00S,2021-03-27T00:17:55.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628978,92.72339027595268,44.676776960784316,1610612749,26,34,2021-03-27T00:25:05Z,2000000,-27.0,16.0,1,right,MISS D. DiVincenzo cutting Layup - blocked,"[1628978, 1629057]",1610612749.0,MIL,cutting,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,Missed,,,,,3.1,,,,,,,,Williams III,1629057.0
202,PT11M11.00S,2021-03-27T00:17:55.4Z,2,REGULAR,block,,[],1629057,,,1610612749,26,34,2021-03-27T00:17:59Z,2010000,,,0,,R. Williams III BLOCK (3 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
203,PT11M06.00S,2021-03-27T00:18:00.4Z,2,REGULAR,rebound,offensive,[],1628978,,,1610612749,26,34,2021-03-27T00:18:07Z,2020000,,,0,,D. DiVincenzo REBOUND (Off:1 Def:1),[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,201.0,2.0,1.0,1.0,,
204,PT11M02.00S,2021-03-27T00:18:04.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203114,71.30420499342969,21.637561274509803,1610612749,29,34,2021-03-27T00:25:05Z,2030000,-142.0,217.0,1,right,K. Middleton 25' 3PT step back (9 PTS) (B. Forbes 1 AST),"[203114, 1627854]",1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,,,,,,Made,9.0,,,,25.94,B. Forbes,1627854.0,1.0,,,,,,
206,PT10M41.00S,2021-03-27T00:18:25.5Z,2,REGULAR,3pt,Jump Shot,[],1630174,11.12023653088042,96.14736519607843,1610612738,29,34,2021-03-27T00:18:30Z,2050000,-231.0,52.0,1,left,MISS A. Nesmith 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,Missed,,,,,23.65,,,,,,,,,
207,PT10M38.00S,2021-03-27T00:18:28.5Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,29,34,2021-03-27T00:18:30Z,2060000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,206.0,4.0,3.0,1.0,,
208,PT10M28.00S,2021-03-27T00:18:38.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,85.89027595269383,50.314031862745104,1610612749,31,34,2021-03-27T00:18:44Z,2070000,2.0,80.0,1,right,K. Middleton 8' driving floating Jump Shot (11 PTS) (G. Antetokounmpo 4 AST),"[203114, 203507]",1610612749.0,MIL,driving floating,,,Middleton,K. Middleton,,,,,,,,,,Made,11.0,,,,8.01,G. Antetokounmpo,203507.0,4.0,,,,,,
210,PT10M19.00S,2021-03-27T00:18:47.4Z,2,REGULAR,3pt,Jump Shot,[],1630202,22.683968462549277,88.79442401960785,1610612738,31,34,2021-03-27T00:18:54Z,2090000,-194.0,161.0,1,left,MISS P. Pritchard 25' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,,,,,,Missed,,,,,25.19,,,,,,,,,
211,PT10M16.00S,2021-03-27T00:18:50.4Z,2,REGULAR,rebound,defensive,[],1627854,,,1610612749,31,34,2021-03-27T00:18:54Z,2100000,,,0,,B. Forbes REBOUND (Off:0 Def:2),[1627854],1610612749.0,MIL,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,210.0,2.0,2.0,0.0,,
212,PT10M13.00S,2021-03-27T00:18:56.7Z,2,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612749,31,34,2021-03-27T00:19:18Z,2110000,,,0,,G. Williams shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629684, 203507]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,1198.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,
214,PT10M13.00S,2021-03-27T00:19:50.9Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,32,34,2021-03-27T00:19:50Z,2130000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
215,PT10M13.00S,2021-03-27T00:19:52.7Z,2,REGULAR,substitution,out,[],201950,,,1610612749,32,34,2021-03-27T00:19:57Z,2140000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
216,PT10M13.00S,2021-03-27T00:19:52.7Z,2,REGULAR,substitution,in,[],1630241,,,1610612749,32,34,2021-03-27T00:19:57Z,2150000,,,0,,SUB in: S. Merrill,[1630241],1610612749.0,MIL,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,
217,PT10M13.00S,2021-03-27T00:20:02.0Z,2,REGULAR,substitution,out,[],1630174,,,1610612749,32,34,2021-03-27T00:20:08Z,2160000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
218,PT10M13.00S,2021-03-27T00:20:02.0Z,2,REGULAR,substitution,in,[],203935,,,1610612749,32,34,2021-03-27T00:20:08Z,2170000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
219,PT10M13.00S,2021-03-27T00:20:26.9Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,33,34,2021-03-27T00:20:26Z,2180000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
220,PT09M55.00S,2021-03-27T00:20:46.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,5.863994743758213,49.333639705882355,1610612738,33,36,2021-03-27T00:20:53Z,2190000,3.0,3.0,1,left,J. Tatum driving reverse Layup (12 PTS) (R. Williams III 4 AST),"[1628369, 1629057]",1610612738.0,BOS,driving reverse,,,Tatum,J. Tatum,,,,,,,,,,Made,12.0,,,,0.42,R. Williams III,1629057.0,4.0,,,,,,
222,PT09M45.00S,2021-03-27T00:20:55.6Z,2,REGULAR,3pt,Jump Shot,[],1627854,86.81011826544021,3.2552083333333335,1610612749,33,36,2021-03-27T00:21:01Z,2210000,-234.0,71.0,1,right,MISS B. Forbes 24' pullup 3PT,[1627854],1610612749.0,MIL,pullup,,,Forbes,B. Forbes,,,,,,,,,,Missed,,,,,24.44,,,,,,,,,
223,PT09M42.00S,2021-03-27T00:20:58.6Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,33,36,2021-03-27T00:21:01Z,2220000,,,0,,P. Pritchard REBOUND (Off:0 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,222.0,2.0,2.0,0.0,,
224,PT09M28.00S,2021-03-27T00:21:13.6Z,2,REGULAR,turnover,bad pass,[],1630202,,,1610612738,33,36,2021-03-27T00:21:25Z,2230000,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 1628978]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,1.0,DiVincenzo,1628978.0,,,,,,,,,,
225,PT09M28.00S,2021-03-27T00:21:13.6Z,2,REGULAR,steal,,[],1628978,,,1610612749,33,36,2021-03-27T00:21:17Z,2240000,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,
226,PT09M23.00S,2021-03-27T00:21:22.2Z,2,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612749,33,36,2021-03-27T00:21:30Z,2250000,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612749.0,MIL,bad pass,,,DiVincenzo,D. DiVincenzo,,,,,2530.0,,,,,,,1.0,,,,,,,,,,,,
227,PT09M08.00S,2021-03-27T00:21:44.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203935,5.732588699080158,45.41207107843137,1610612738,33,36,2021-03-27T00:21:51Z,2260000,23.0,1.0,1,left,MISS M. Smart driving reverse Layup,[203935],1610612738.0,BOS,driving reverse,,,Smart,M. Smart,,,,,,,,,,Missed,,,,,2.29,,,,,,,,,
228,PT09M02.00S,2021-03-27T00:21:50.9Z,2,REGULAR,rebound,offensive,[],1629684,,,1610612738,33,36,2021-03-27T00:21:51Z,2270000,,,0,,G. Williams REBOUND (Off:3 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,227.0,3.0,0.0,3.0,,
