actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
18,PT10M58.00S,2021-03-26T23:47:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,5.995400788436268,44.43167892156863,1610612738,3,7,2021-03-26T23:47:46Z,180000,28.0,4.0,1,left,K. Walker cutting Layup (5 PTS) (R. Williams III 2 AST),"[202689, 1629057]",1610612738.0,BOS,cutting,,,Walker,K. Walker,,,,,,,,,,Made,5.0,,,,2.81,R. Williams III,1629057.0,2.0,,,,,,
20,PT10M48.00S,2021-03-26T23:47:50.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,93.51182654402102,49.82383578431372,1610612749,3,7,2021-03-26T23:47:55Z,200000,-1.0,8.0,1,right,MISS B. Lopez alley-oop Layup,[201572],1610612749.0,MIL,alley-oop,,,Lopez,B. Lopez,,,,,,,,,,Missed,,,,,0.85,,,,,,,,,
21,PT10M45.00S,2021-03-26T23:47:53.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,3,7,2021-03-26T23:47:55Z,210000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,
22,PT10M41.00S,2021-03-26T23:47:57.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,32.40801576872536,43.69638480392157,1610612738,3,7,2021-03-26T23:48:08Z,220000,32.0,252.0,1,left,MISS J. Brown 25' running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,25.41,,,,,,,,,
23,PT10M36.00S,2021-03-26T23:48:02.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,7,2021-03-26T23:48:08Z,230000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,
24,PT10M27.00S,2021-03-26T23:48:10.7Z,1,REGULAR,3pt,Jump Shot,[],201572,96.66557161629436,96.6375612745098,1610612749,6,7,2021-03-26T23:48:16Z,240000,233.0,-21.0,1,right,B. Lopez 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,Made,3.0,,,,23.42,G. Antetokounmpo,203507.0,2.0,,,,,,
26,PT10M08.00S,2021-03-26T23:48:29.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,7.30946123521682,48.10814950980392,1610612738,6,9,2021-03-26T23:48:34Z,260000,9.0,16.0,1,left,J. Tatum driving DUNK (4 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,Made,4.0,,,,1.88,,,,,,,,,
27,PT09M53.00S,2021-03-26T23:48:44.3Z,1,REGULAR,turnover,lost ball,[],201950,,,1610612749,6,9,2021-03-26T23:48:52Z,270000,,,0,,J. Holiday lost ball TURNOVER (2 TO),"[201950, 1627759]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,2.0,Brown,1627759.0,,,,,,,,,,
28,PT09M53.00S,2021-03-26T23:48:44.3Z,1,REGULAR,steal,,[],1627759,,,1610612738,6,9,2021-03-26T23:48:48Z,280000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M50.00S,2021-03-26T23:48:53.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,6,9,2021-03-26T23:48:53Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
