actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
177,PT10M45.00S,2021-05-12T00:19:07.4Z,2,REGULAR,turnover,bad pass,[],1629639,,,1610612748,33,30,2021-05-12T00:19:12Z,1760000,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 203095]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,1.0,,,,,Fournier,203095.0,
178,PT10M45.00S,2021-05-12T00:19:07.4Z,2,REGULAR,steal,,[],203095,,,1610612738,33,30,2021-05-12T00:19:09Z,1770000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT10M40.00S,2021-05-12T00:19:12.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203095,89.04402102496715,48.84344362745098,1610612738,33,30,2021-05-12T00:19:25Z,1780000,-6.0,50.0,1,right,MISS E. Fournier running Layup,[203095],1610612738.0,BOS,running,,,Fournier,E. Fournier,,,,,5.08,Missed,,,,,,,,,,,,,,,,,,,
180,PT10M39.00S,2021-05-12T00:19:13.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,33,30,2021-05-12T00:19:33Z,1790000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,
181,PT10M39.00S,2021-05-12T00:19:27.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,33,30,2021-05-12T00:19:33Z,1800000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT10M31.00S,2021-05-12T00:19:39.3Z,2,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",203935,74.19513797634691,49.82383578431372,1610612738,35,30,2021-05-12T00:19:44Z,1810000,-1.0,190.0,1,right,M. Smart 19' pullup Jump Shot (7 PTS) (E. Fournier 2 AST),"[203935, 203095]",1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,19.01,Made,,,,,7.0,E. Fournier,203095.0,2.0,,,,,,,,,,,
184,PT10M21.00S,2021-05-12T00:19:49.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201609,8.492115637319317,53.01011029411765,1610612748,35,30,2021-05-12T00:19:59Z,1830000,-15.0,27.0,1,left,MISS G. Dragic driving Layup,[201609],1610612748.0,MIA,driving,,,Dragic,G. Dragic,,,,,3.12,Missed,,,,,,,,,,,,,,,,,,,
185,PT10M18.00S,2021-05-12T00:19:52.5Z,2,REGULAR,rebound,defensive,[],203095,,,1610612738,35,30,2021-05-12T00:19:59Z,1840000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,184.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
186,PT10M12.00S,2021-05-12T00:19:58.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,90.22667542706965,47.127757352941174,1610612738,35,30,2021-05-12T00:20:04Z,1850000,-14.0,39.0,1,right,MISS G. Williams driving finger roll Layup,[1629684],1610612738.0,BOS,driving finger roll,,,Williams,G. Williams,,,,,4.19,Missed,,,,,,,,,,,,,,,,,,,
187,PT10M10.00S,2021-05-12T00:20:00.8Z,2,REGULAR,rebound,defensive,[],1629134,,,1610612748,35,30,2021-05-12T00:20:04Z,1860000,,,0,,K. Nunn REBOUND (Off:0 Def:3),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,186.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
188,PT10M06.00S,2021-05-12T00:20:05.3Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629639,8.623521681997373,46.88265931372549,1610612748,35,32,2021-05-12T00:22:58Z,1870000,16.0,29.0,1,left,T. Herro running pullup Jump Shot (6 PTS) (K. Nunn 1 AST),"[1629639, 1629134]",1610612748.0,MIA,running pullup,,,Herro,T. Herro,,,,,3.26,Made,,,,,6.0,K. Nunn,1629134.0,1.0,,,,,,,,,,,
190,PT09M54.00S,2021-05-12T00:20:16.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,80.3712220762155,53.01011029411765,1610612738,35,32,2021-05-12T00:20:23Z,1890000,15.0,132.0,1,right,MISS M. Smart 13' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,13.29,Missed,,,,,,,,,,,,,,,,,,,
191,PT09M50.00S,2021-05-12T00:20:20.9Z,2,REGULAR,rebound,defensive,[],203473,,,1610612748,35,32,2021-05-12T00:20:23Z,1900000,,,0,,D. Dedmon REBOUND (Off:0 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,190.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
192,PT09M36.00S,2021-05-12T00:20:36.5Z,2,REGULAR,3pt,Jump Shot,[],1629639,20.71287779237845,7.666973039215687,1610612748,35,32,2021-05-12T00:20:45Z,1910000,212.0,142.0,1,left,MISS T. Herro 25' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,,
193,PT09M34.00S,2021-05-12T00:20:38.5Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,35,32,2021-05-12T00:20:45Z,1920000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,192.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
194,PT09M21.00S,2021-05-12T00:20:50.6Z,2,REGULAR,foul,personal,['2freethrow'],2738,,,1610612738,35,32,2021-05-12T00:21:06Z,1930000,,,0,,A. Iguodala shooting personal FOUL (1 PF) (Fournier 2 FT),"[2738, 203095]",1610612748.0,MIA,shooting,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,2714.0,,1.0,0.0,Fournier,203095.0,,,
196,PT09M21.00S,2021-05-12T00:21:20.7Z,2,REGULAR,freethrow,1 of 2,[],203095,,,1610612738,36,32,2021-05-12T00:21:49Z,1950000,,,0,,E. Fournier Free Throw 1 of 2 (12 PTS),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,Made,,,,,12.0,,,,,,,,,,,,,,
197,PT09M21.00S,2021-05-12T00:21:21.5Z,2,REGULAR,substitution,out,[],203473,,,1610612738,36,32,2021-05-12T00:21:29Z,1960000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT09M21.00S,2021-05-12T00:21:21.5Z,2,REGULAR,substitution,in,[],1628389,,,1610612738,36,32,2021-05-12T00:21:29Z,1970000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT09M21.00S,2021-05-12T00:21:20.7Z,2,REGULAR,freethrow,2 of 2,[],203095,,,1610612738,36,32,2021-05-12T00:21:49Z,1980000,,,0,,MISS E. Fournier Free Throw 2 of 2,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,Missed,,,,,,,,,,,,,,,,,,,
200,PT09M19.00S,2021-05-12T00:21:22.7Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,36,32,2021-05-12T00:21:49Z,1990000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,199.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
201,PT09M05.00S,2021-05-12T00:22:05.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,7.046649145860711,40.01991421568628,1610612748,36,34,2021-05-12T00:22:10Z,2000000,50.0,14.0,1,left,B. Adebayo driving Layup (8 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,5.17,Made,,,,,8.0,,,,,,,,,,,,,,
202,PT09M05.00S,2021-05-12T00:22:07.3Z,2,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612748,36,34,2021-05-12T00:22:14Z,2010000,,,0,,G. Williams shooting personal FOUL (2 PF) (Adebayo 1 FT),"[1629684, 1628389]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,201245.0,,2.0,0.0,Adebayo,1628389.0,,,
204,PT09M05.00S,2021-05-12T00:22:22.2Z,2,REGULAR,foul,technical,['1freethrow'],203535,,,1610612748,36,34,2021-05-12T00:22:58Z,2030000,,,0,,TEAM foul technical,[203535],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,201245.0,,,,,,,,
205,PT09M05.00S,2021-05-12T00:22:40.8Z,2,REGULAR,freethrow,1 of 1,[],1629134,,,1610612748,36,35,2021-05-12T00:22:58Z,2040000,,,0,,K. Nunn technical Free Throw 1 of 1 (3 PTS),[1629134],1610612748.0,MIA,technical,,,Nunn,K. Nunn,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
206,PT09M05.00S,2021-05-12T00:23:08.9Z,2,REGULAR,freethrow,1 of 1,[],1628389,,,1610612748,36,36,2021-05-12T00:23:08Z,2050000,,,0,,B. Adebayo Free Throw 1 of 1 (9 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,9.0,,,,,,,,,,,,,,
207,PT08M53.00S,2021-05-12T00:23:22.6Z,2,REGULAR,2pt,Jump Shot,[],203935,77.4802890932983,44.676776960784316,1610612738,36,36,2021-05-12T00:23:34Z,2060000,-27.0,159.0,1,right,MISS M. Smart 16' driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,16.14,Missed,,,,,,,,,,,,,,,,,,,
208,PT08M49.00S,2021-05-12T00:23:26.6Z,2,REGULAR,rebound,defensive,[],2738,,,1610612748,36,36,2021-05-12T00:28:54Z,2070000,,,0,,A. Iguodala REBOUND (Off:0 Def:2),[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,207.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
209,PT08M31.00S,2021-05-12T00:23:43.9Z,2,REGULAR,turnover,bad pass,[],1628389,,,1610612748,36,36,2021-05-12T00:23:52Z,2080000,,,0,,B. Adebayo bad pass TURNOVER (3 TO),"[1628389, 203935]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,3.0,,,,,Smart,203935.0,
210,PT08M31.00S,2021-05-12T00:23:43.9Z,2,REGULAR,steal,,[],203935,,,1610612738,36,36,2021-05-12T00:23:47Z,2090000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M28.00S,2021-05-12T00:23:48.8Z,2,REGULAR,foul,personal,[],201609,,,1610612738,36,36,2021-05-12T00:24:17Z,2100000,,,0,,G. Dragic personal FOUL (1 PF),"[201609, 1630174]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,2714.0,,1.0,0.0,Nesmith,1630174.0,,,
214,PT08M28.00S,2021-05-12T00:23:58.5Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,36,36,2021-05-12T00:24:13Z,2130000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M28.00S,2021-05-12T00:23:58.5Z,2,REGULAR,substitution,out,[],1630174,,,1610612738,36,36,2021-05-12T00:24:13Z,2140000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT08M28.00S,2021-05-12T00:23:58.5Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,36,36,2021-05-12T00:24:13Z,2150000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT08M28.00S,2021-05-12T00:23:58.5Z,2,REGULAR,substitution,in,[],202689,,,1610612738,36,36,2021-05-12T00:24:13Z,2160000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M28.00S,2021-05-12T00:23:58.5Z,2,REGULAR,substitution,in,[],202684,,,1610612738,36,36,2021-05-12T00:24:13Z,2170000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M28.00S,2021-05-12T00:23:58.5Z,2,REGULAR,substitution,out,[],203935,,,1610612738,36,36,2021-05-12T00:24:44Z,2180000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT08M14.00S,2021-05-12T00:24:28.5Z,2,REGULAR,stoppage,other,[],0,,,1610612738,36,36,2021-05-12T00:35:55Z,2185000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M14.00S,2021-05-12T00:24:58.5Z,2,REGULAR,instantreplay,request,[],0,,,1610612738,36,36,2021-05-12T00:36:05Z,2190000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,2714.0,,,,,,,,
221,PT08M06.00S,2021-05-12T00:26:30.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202689,91.67214191852825,45.90226715686275,1610612738,38,36,2021-05-12T00:26:49Z,2200000,-20.0,26.0,1,right,K. Walker driving Layup (7 PTS) (E. Fournier 3 AST),"[202689, 203095]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,3.3,Made,,,,,7.0,E. Fournier,203095.0,3.0,,,,,,,,,,,
222,PT07M57.00S,2021-05-12T00:26:39.2Z,2,REGULAR,3pt,Jump Shot,[],1629134,26.363337713534822,17.96109068627451,1610612748,38,39,2021-05-12T00:26:52Z,2210000,160.0,195.0,1,left,K. Nunn 25' 3PT  (6 PTS) (G. Dragic 2 AST),"[1629134, 201609]",1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,25.26,Made,,,,,6.0,G. Dragic,201609.0,2.0,,,,,,,,,,,
225,PT07M44.00S,2021-05-12T00:26:53.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203095,89.56964520367937,46.14736519607843,1610612738,38,39,2021-05-12T00:26:59Z,2230000,-19.0,46.0,1,right,MISS E. Fournier driving Layup,[203095],1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,4.94,Missed,,,,,,,,,,,,,,,,,,,
226,PT07M41.00S,2021-05-12T00:26:56.0Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,38,39,2021-05-12T00:30:53Z,2240000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,225.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
227,PT07M33.00S,2021-05-12T00:27:03.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,13.748357424441524,36.34344362745098,1610612748,38,41,2021-05-12T00:27:09Z,2250000,68.0,77.0,1,left,T. Herro 10' driving floating Jump Shot (8 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,10.27,Made,,,,,8.0,,,,,,,,,,,,,,
228,PT07M07.00S,2021-05-12T00:27:29.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202689,91.67214191852825,52.029718137254896,1610612738,40,41,2021-05-12T00:28:09Z,2260000,10.0,26.0,1,right,K. Walker driving Layup (9 PTS) (E. Fournier 4 AST),"[202689, 203095]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.77,Made,,,,,9.0,E. Fournier,203095.0,4.0,,,,,,,,,,,
230,PT06M46.00S,2021-05-12T00:27:50.6Z,2,REGULAR,turnover,lost ball,[],201609,,,1610612748,40,41,2021-05-12T00:28:16Z,2280000,,,0,,G. Dragic lost ball TURNOVER (1 TO),"[201609, 202684]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,1.0,,,,,Thompson,202684.0,
231,PT06M46.00S,2021-05-12T00:27:50.6Z,2,REGULAR,steal,,[],202684,,,1610612738,40,41,2021-05-12T00:33:49Z,2290000,,,0,,T. Thompson STEAL (2 STL),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M28.00S,2021-05-12T00:28:08.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202689,66.44218134034165,62.07873774509803,1610612738,43,41,2021-05-12T00:28:19Z,2300000,60.0,263.0,1,right,K. Walker 26' 3PT  (12 PTS) (E. Fournier 5 AST),"[202689, 203095]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.97,Made,,,,,12.0,E. Fournier,203095.0,5.0,,,,,,,,,,,
234,PT06M26.00S,2021-05-12T00:28:16.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,43,41,2021-05-12T00:28:16Z,2320000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M26.00S,2021-05-12T00:29:41.3Z,2,REGULAR,substitution,out,[],201609,,,1610612748,43,41,2021-05-12T00:31:46Z,2330000,,,0,,SUB out: G. Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M26.00S,2021-05-12T00:29:41.3Z,2,REGULAR,substitution,out,[],1629134,,,1610612748,43,41,2021-05-12T00:31:46Z,2340000,,,0,,SUB out: K. Nunn,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M26.00S,2021-05-12T00:29:41.3Z,2,REGULAR,substitution,in,[],1629130,,,1610612748,43,41,2021-05-12T00:31:46Z,2350000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M26.00S,2021-05-12T00:29:41.3Z,2,REGULAR,substitution,in,[],202710,,,1610612748,43,41,2021-05-12T00:31:46Z,2360000,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M10.00S,2021-05-12T00:32:11.1Z,2,REGULAR,3pt,Jump Shot,[],1629130,33.065045992115635,50.314031862745104,1610612748,43,44,2021-05-12T00:32:16Z,2370000,-2.0,258.0,1,left,D. Robinson 25' 3PT  (6 PTS) (T. Herro 1 AST),"[1629130, 1629639]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.83,Made,,,,,6.0,T. Herro,1629639.0,1.0,,,,,,,,,,,
241,PT05M49.00S,2021-05-12T00:32:31.4Z,2,REGULAR,2pt,Jump Shot,[],1628369,90.09526938239159,78.01011029411765,1610612738,43,44,2021-05-12T00:32:38Z,2390000,140.0,41.0,1,right,MISS J. Tatum 14' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,14.59,Missed,,,,,,,,,,,,,,,,,,,
242,PT05M46.00S,2021-05-12T00:32:34.4Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,43,44,2021-05-12T00:32:38Z,2400000,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,241.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
243,PT05M41.00S,2021-05-12T00:32:40.0Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],1629639,27.151773981603156,53.74540441176471,1610612748,43,46,2021-05-12T00:32:49Z,2410000,-19.0,203.0,1,left,T. Herro 20' pullup Jump Shot (10 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,20.36,Made,,,,,10.0,,,,,,,,,,,,,,
244,PT05M24.00S,2021-05-12T00:32:56.7Z,2,REGULAR,2pt,Jump Shot,[],202689,78.79434954007884,60.36305147058824,1610612738,45,46,2021-05-12T00:33:02Z,2420000,52.0,147.0,1,right,K. Walker 15' step back Jump Shot (14 PTS),[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,15.57,Made,,,,,14.0,,,,,,,,,,,,,,
245,PT05M16.00S,2021-05-12T00:33:04.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,7.966491458607096,46.14736519607843,1610612748,45,46,2021-05-12T00:33:12Z,2430000,19.0,22.0,1,left,MISS B. Adebayo driving Layup,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,2.96,Missed,,,,,,,,,,,,,,,,,,,
246,PT05M10.00S,2021-05-12T00:33:09.9Z,2,REGULAR,rebound,offensive,[],1628389,,,1610612748,45,46,2021-05-12T00:33:09Z,2440000,,,0,,B. Adebayo REBOUND (Off:1 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,245.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
247,PT05M10.00S,2021-05-12T00:33:09.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628389,5.590000152587891,50.0,1610612748,45,48,2021-05-12T00:33:09Z,2450000,0.0,0.0,1,left,B. Adebayo tip Layup (11 PTS),[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,0.0,Made,,,,,11.0,,,,,,,,,,,,,,
248,PT04M56.00S,2021-05-12T00:33:24.3Z,2,REGULAR,3pt,Jump Shot,[],203095,76.42904073587385,9.872855392156863,1610612738,48,48,2021-05-12T00:37:10Z,2460000,-201.0,169.0,1,right,E. Fournier 26' 3PT bank (15 PTS) (T. Thompson 1 AST),"[203095, 202684]",1610612738.0,BOS,bank,,,Fournier,E. Fournier,,,,,26.24,Made,,,,,15.0,T. Thompson,202684.0,1.0,,,,,,,,,,,
250,PT04M37.00S,2021-05-12T00:33:43.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.14257555847569,39.28462009803921,1610612748,48,50,2021-05-12T00:33:52Z,2480000,54.0,80.0,1,left,B. Adebayo 9' Jump Shot (13 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,9.66,Made,,,,,13.0,,,,,,,,,,,,,,
251,PT04M20.00S,2021-05-12T00:34:00.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,74.72076215505913,13.549325980392158,1610612738,51,50,2021-05-12T00:34:06Z,2490000,-182.0,185.0,1,right,J. Tatum 25' 3PT  (11 PTS) (K. Walker 1 AST),"[1628369, 202689]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.98,Made,,,,,11.0,K. Walker,202689.0,1.0,,,,,,,,,,,
253,PT03M53.00S,2021-05-12T00:34:27.0Z,2,REGULAR,2pt,Jump Shot,[],202710,7.835085413929041,78.99050245098039,1610612748,51,52,2021-05-12T00:34:33Z,2510000,-145.0,21.0,1,left,J. Butler 14' step back Jump Shot (13 PTS),[202710],1610612748.0,MIA,step back,,,Butler,J. Butler,,,,,14.65,Made,,,,,13.0,,,,,,,,,,,,,,
254,PT03M41.00S,2021-05-12T00:34:39.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,84.05059132720105,46.392463235294116,1610612738,53,52,2021-05-12T00:34:54Z,2520000,-18.0,97.0,1,right,E. Fournier 9' driving floating bank Jump Shot (17 PTS) (J. Tatum 2 AST),"[203095, 1628369]",1610612738.0,BOS,driving floating bank,,,Fournier,E. Fournier,,,,,9.9,Made,,,,,17.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,
255,PT03M23.00S,2021-05-12T00:34:57.3Z,2,REGULAR,2pt,Jump Shot,[],1629639,21.107095926412615,40.01991421568628,1610612748,53,54,2021-05-12T00:35:05Z,2530000,50.0,146.0,1,left,T. Herro 15' Jump Shot (12 PTS) (J. Butler 3 AST),"[1629639, 202710]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,15.42,Made,,,,,12.0,J. Butler,202710.0,3.0,,,,,,,,,,,
257,PT03M03.00S,2021-05-12T00:35:16.8Z,2,REGULAR,3pt,Jump Shot,[],202689,90.75229960578186,95.90226715686273,1610612738,56,54,2021-05-12T00:35:21Z,2550000,230.0,34.0,1,right,K. Walker 3PT  (17 PTS) (E. Fournier 6 AST),"[202689, 203095]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,23.21,Made,,,,,17.0,E. Fournier,203095.0,6.0,,,,,,,,,,,
259,PT02M41.00S,2021-05-12T00:35:39.8Z,2,REGULAR,3pt,Jump Shot,[],1629639,22.946780551905388,9.627757352941178,1610612748,56,57,2021-05-12T00:35:49Z,2570000,202.0,163.0,1,left,T. Herro 25' 3PT  (15 PTS) (A. Iguodala 2 AST),"[1629639, 2738]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,25.96,Made,,,,,15.0,A. Iguodala,2738.0,2.0,,,,,,,,,,,
261,PT02M31.00S,2021-05-12T00:35:49.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202689,88.51839684625493,41.73560049019608,1610612738,56,57,2021-05-12T00:35:57Z,2590000,-41.0,55.0,1,right,MISS K. Walker 6' driving Layup - blocked,"[202689, 2738]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,6.91,Missed,,,,,,,,,Iguodala,2738.0,,,,,,,,,
262,PT02M31.00S,2021-05-12T00:35:49.3Z,2,REGULAR,block,,[],2738,,,1610612738,56,57,2021-05-12T00:35:51Z,2600000,,,0,,A. Iguodala BLOCK (1 BLK),[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT02M29.00S,2021-05-12T00:35:51.3Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,56,57,2021-05-12T00:35:57Z,2610000,,,0,,B. Adebayo REBOUND (Off:1 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,261.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
265,PT02M29.00S,2021-05-12T00:35:54.7Z,2,REGULAR,foul,personal,[],1628369,,,1610612748,56,57,2021-05-12T00:36:07Z,2620000,,,0,,J. Tatum personal FOUL (3 PF),"[1628369, 2738]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,2714.0,,3.0,0.0,Iguodala,2738.0,,,
267,PT02M29.00S,2021-05-12T00:36:07.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,56,57,2021-05-12T00:36:07Z,2640000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
