actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
30,PT09M53.00S,2021-05-11T23:52:16.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,5,2,2021-05-11T23:52:16Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M36.00S,2021-05-11T23:52:33.9Z,1,REGULAR,3pt,Jump Shot,[],203095,92.59198423127464,3.2552083333333335,1610612738,8,2,2021-05-11T23:52:38Z,300000,-234.0,17.0,1,right,E. Fournier 3PT  (3 PTS) (M. Smart 1 AST),"[203095, 203935]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,23.43,Made,,,,,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,
33,PT09M19.00S,2021-05-11T23:52:53.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,8,2,2021-05-11T23:52:53Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M14.00S,2021-05-11T23:53:13.3Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612748,8,2,2021-05-11T23:53:26Z,330000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Butler 2 FT),"[1628369, 202710]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,201638.0,,1.0,0.0,Butler,202710.0,,,
36,PT09M14.00S,2021-05-11T23:53:42.0Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,8,3,2021-05-11T23:54:05Z,350000,,,0,,J. Butler Free Throw 1 of 2 (1 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
37,PT09M14.00S,2021-05-11T23:53:42.0Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,8,3,2021-05-11T23:54:05Z,360000,,,0,,MISS J. Butler Free Throw 2 of 2,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M12.00S,2021-05-11T23:53:44.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,8,3,2021-05-11T23:54:05Z,370000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT09M05.00S,2021-05-11T23:54:07.2Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,8,3,2021-05-11T23:54:14Z,380000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1629134]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,1.0,,,,,Nunn,1629134.0,
40,PT09M05.00S,2021-05-11T23:54:07.2Z,1,REGULAR,steal,,[],1629134,,,1610612748,8,3,2021-05-11T23:54:09Z,390000,,,0,,K. Nunn STEAL (1 STL),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M01.00S,2021-05-11T23:54:10.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629134,6.258212877792378,49.57873774509804,1610612748,8,5,2021-05-11T23:54:24Z,400000,2.0,6.0,1,left,K. Nunn running DUNK (2 PTS),[1629134],1610612748.0,MIA,running,,,Nunn,K. Nunn,,,,,0.66,Made,,,,,2.0,,,,,,,,,,,,,,
42,PT08M48.00S,2021-05-11T23:54:25.6Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,8,5,2021-05-11T23:54:31Z,410000,,,0,,J. Tatum step out-of-bounds TURNOVER (2 TO),[1628369],1610612738.0,BOS,step,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,2714.0,2.0,,,,,,,
43,PT08M37.00S,2021-05-11T23:54:47.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,27.54599211563732,20.412071078431374,1610612748,8,8,2021-05-11T23:54:52Z,420000,148.0,206.0,1,left,D. Robinson 25' 3PT  (3 PTS) (T. Ariza 1 AST),"[1629130, 2772]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.39,Made,,,,,3.0,T. Ariza,2772.0,1.0,,,,,,,,,,,
45,PT08M27.00S,2021-05-11T23:54:58.5Z,1,REGULAR,2pt,Jump Shot,[],203095,84.83902759526939,29.480698529411764,1610612738,10,8,2021-05-11T23:55:07Z,440000,-103.0,90.0,1,right,E. Fournier 13' driving floating bank Jump Shot (5 PTS) (M. Smart 2 AST),"[203095, 203935]",1610612738.0,BOS,driving floating bank,,,Fournier,E. Fournier,,,,,13.65,Made,,,,,5.0,M. Smart,203935.0,2.0,,,,,,,,,,,
47,PT08M27.00S,2021-05-11T23:55:01.6Z,1,REGULAR,foul,personal,['1freethrow'],1629130,,,1610612738,10,8,2021-05-11T23:55:14Z,460000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Fournier 1 FT),"[1629130, 203095]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,201638.0,,1.0,0.0,Fournier,203095.0,,,
49,PT08M27.00S,2021-05-11T23:55:22.8Z,1,REGULAR,freethrow,1 of 1,[],203095,,,1610612738,11,8,2021-05-11T23:55:22Z,480000,,,0,,E. Fournier Free Throw 1 of 1 (6 PTS),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
50,PT08M12.00S,2021-05-11T23:55:39.2Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,11,8,2021-05-11T23:55:43Z,490000,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 202684]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,1.0,,,,,Thompson,202684.0,
51,PT08M12.00S,2021-05-11T23:55:39.2Z,1,REGULAR,steal,,[],202684,,,1610612738,11,8,2021-05-11T23:55:41Z,500000,,,0,,T. Thompson STEAL (1 STL),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M04.00S,2021-05-11T23:55:46.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203095,81.02825229960578,45.41207107843137,1610612738,11,8,2021-05-11T23:55:52Z,510000,-23.0,126.0,1,right,MISS E. Fournier 12' driving floating Shot,[203095],1610612738.0,BOS,driving floating,,,Fournier,E. Fournier,,,,,12.79,Missed,,,,,,,,,,,,,,,,,,,
53,PT08M02.00S,2021-05-11T23:55:48.8Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,11,8,2021-05-11T23:55:52Z,520000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
54,PT07M50.00S,2021-05-11T23:56:00.8Z,1,REGULAR,2pt,Jump Shot,[],1628389,8.886333771353483,20.166973039215684,1610612748,11,10,2021-05-11T23:56:05Z,530000,149.0,31.0,1,left,B. Adebayo 15' Jump Shot (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,15.24,Made,,,,,4.0,,,,,,,,,,,,,,
55,PT07M38.00S,2021-05-11T23:56:13.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,90.75229960578186,82.17677696078431,1610612738,11,10,2021-05-11T23:56:22Z,540000,161.0,34.0,1,right,MISS J. Tatum 16' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,16.45,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M37.00S,2021-05-11T23:56:14.2Z,1,REGULAR,rebound,defensive,[],1629134,,,1610612748,11,10,2021-05-11T23:56:22Z,550000,,,0,,K. Nunn REBOUND (Off:0 Def:1),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
57,PT07M31.00S,2021-05-11T23:56:27.7Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612748,11,10,2021-05-11T23:57:06Z,560000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M25.00S,2021-05-11T23:57:11.8Z,1,REGULAR,2pt,Jump Shot,[],1629134,21.50131406044678,33.64736519607843,1610612748,11,10,2021-05-11T23:57:17Z,570000,82.0,150.0,1,left,MISS K. Nunn 17' turnaround Shot,[1629134],1610612748.0,MIA,turnaround,,,Nunn,K. Nunn,,,,,17.05,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M21.00S,2021-05-11T23:57:15.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,10,2021-05-11T23:57:17Z,580000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
60,PT07M11.00S,2021-05-11T23:57:26.4Z,1,REGULAR,foul,personal,[],1629134,,,1610612738,11,10,2021-05-11T23:57:34Z,590000,,,0,,K. Nunn personal FOUL (1 PF),"[1629134, 203095]",1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,2714.0,,1.0,0.0,Fournier,203095.0,,,
62,PT07M00.00S,2021-05-11T23:57:53.9Z,1,REGULAR,2pt,Jump Shot,[],1628369,74.45795006570303,63.05912990196079,1610612738,11,10,2021-05-11T23:58:02Z,610000,65.0,188.0,1,right,MISS J. Tatum 19' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,19.86,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2021-05-11T23:57:55.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,11,10,2021-05-11T23:58:02Z,620000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,
64,PT06M58.00S,2021-05-11T23:57:58.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,11,10,2021-05-11T23:57:58Z,630000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M50.00S,2021-05-11T23:58:14.9Z,1,REGULAR,2pt,Jump Shot,[],1628389,17.16491458607096,18.941482843137255,1610612748,11,12,2021-05-11T23:58:20Z,640000,155.0,109.0,1,left,B. Adebayo 18' bank Jump Shot (6 PTS),[1628389],1610612748.0,MIA,bank,,,Adebayo,B. Adebayo,,,,,18.97,Made,,,,,6.0,,,,,,,,,,,,,,
66,PT06M31.00S,2021-05-11T23:58:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,92.32917214191852,42.22579656862745,1610612738,11,12,2021-05-11T23:58:38Z,650000,-39.0,20.0,1,right,MISS T. Thompson driving Layup,[202684],1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,4.36,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M29.00S,2021-05-11T23:58:34.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,11,12,2021-05-11T23:58:38Z,660000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
68,PT06M25.00S,2021-05-11T23:58:40.5Z,1,REGULAR,foul,offensive,[],1628389,,,1610612748,11,12,2021-05-11T23:58:53Z,670000,,,0,,B. Adebayo charge offensive FOUL (1 PF),"[1628389, 203935]",1610612748.0,MIA,charge,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,2714.0,,1.0,0.0,Smart,203935.0,,,
70,PT06M25.00S,2021-05-11T23:58:40.5Z,1,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,11,12,2021-05-11T23:58:40Z,690000,,,0,,B. Adebayo offensive foul TURNOVER (2 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,2714.0,2.0,,,,,,,
71,PT06M25.00S,2021-05-11T23:58:49.1Z,1,REGULAR,substitution,out,[],203935,,,1610612738,11,12,2021-05-11T23:58:56Z,700000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M25.00S,2021-05-11T23:58:49.1Z,1,REGULAR,substitution,in,[],202689,,,1610612738,11,12,2021-05-11T23:58:56Z,710000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M13.00S,2021-05-11T23:59:18.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,72.35545335085413,81.19638480392157,1610612738,11,12,2021-05-11T23:59:22Z,720000,156.0,207.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,,
