actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
33,PT08M51.00S,2021-05-09T17:19:48.5Z,1,REGULAR,3pt,Jump Shot,[],2772,20.45006570302234,7.421875,1610612748,4,9,2021-05-09T17:19:54Z,330000,213.0,140.0,1,left,MISS T. Ariza 25' 3PT,[2772],1610612748.0,MIA,,,,Ariza,T. Ariza,,,,,25.46,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M50.00S,2021-05-09T17:19:49.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,4,9,2021-05-09T17:19:54Z,340000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,
35,PT08M50.00S,2021-05-09T17:19:54.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,4,9,2021-05-09T17:19:54Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M38.00S,2021-05-09T17:20:18.3Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,4,9,2021-05-09T17:20:25Z,360000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,1.0,,,1155.0,,,,,,,,,,,
37,PT08M25.00S,2021-05-09T17:20:39.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629134,21.895532194480946,49.57873774509804,1610612748,4,9,2021-05-09T17:20:48Z,370000,2.0,153.0,1,left,MISS K. Nunn 15' pullup Shot,[1629134],1610612748.0,MIA,pullup,,,Nunn,K. Nunn,,,,,15.33,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M23.00S,2021-05-09T17:20:41.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,4,9,2021-05-09T17:21:05Z,380000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT08M16.00S,2021-05-09T17:20:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203935,88.91261498028909,48.353247549019606,1610612738,6,9,2021-05-09T17:20:55Z,390000,-8.0,52.0,1,right,M. Smart running Layup (2 PTS),[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,5.23,Made,,,,,,,,,,,,,2.0,,,,,,
40,PT07M53.00S,2021-05-09T17:21:14.4Z,1,REGULAR,turnover,out-of-bounds,[],202710,,,1610612748,6,9,2021-05-09T17:21:21Z,400000,,,0,,J. Butler step out-of-bounds TURNOVER (1 TO),[202710],1610612748.0,MIA,step,,,Butler,J. Butler,,,,,,,,,,,1.0,,,1162.0,,,,,,,,,,,
41,PT07M40.00S,2021-05-09T17:21:34.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,78.40013140604468,66.00030637254902,1610612738,8,9,2021-05-09T17:21:39Z,410000,80.0,151.0,1,right,J. Tatum 17' pullup Jump Shot (2 PTS) (E. Fournier 2 AST),"[1628369, 203095]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,17.04,Made,,,,,,,,,,,,,2.0,E. Fournier,203095.0,2.0,,,
43,PT07M32.00S,2021-05-09T17:21:46.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,8,9,2021-05-09T17:21:46Z,430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
