actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
33,PT08M48.00S,2021-04-25T17:23:19.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627759,89.17542706964521,50.314031862745104,1610612738,15,5,2021-04-25T17:24:55Z,320000,2.0,49.0,1,right,MISS J. Brown turnaround Hook,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,4.93,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M45.00S,2021-04-25T17:23:22.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,15,5,2021-04-25T17:24:55Z,330000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,33.0,1.0,0.0,1.0,,,,,,,,,
35,PT08M45.00S,2021-04-25T17:23:24.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627759,94.40999984741211,50.0,1610612738,15,5,2021-04-25T17:25:08Z,340000,0.0,0.0,1,right,MISS J. Brown tip Layup,[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M45.00S,2021-04-25T17:23:24.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,15,5,2021-04-25T17:25:08Z,350000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,
37,PT08M45.00S,2021-04-25T17:23:26.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,15,5,2021-04-25T17:23:26Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M23.00S,2021-04-25T17:23:51.8Z,1,REGULAR,2pt,Jump Shot,[],1628998,20.581471747700395,76.53952205882352,1610612766,15,5,2021-04-25T17:23:56Z,370000,-133.0,141.0,1,left,MISS C. Martin 19' pullup Shot,[1628998],1610612766.0,CHA,pullup,,,Martin,C. Martin,,,,,19.36,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M20.00S,2021-04-25T17:23:54.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,5,2021-04-25T17:23:56Z,380000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,
40,PT08M11.00S,2021-04-25T17:24:03.3Z,1,REGULAR,3pt,Jump Shot,[],203935,69.59592641261499,26.294424019607842,1610612738,15,8,2021-04-25T17:24:08Z,390000,-119.0,233.0,1,right,M. Smart 26' 3PT  (3 PTS) (K. Walker 1 AST),"[203935, 202689]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.17,Made,3.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
42,PT07M51.00S,2021-04-25T17:24:23.8Z,1,REGULAR,3pt,Jump Shot,[],1629023,10.988830486202366,3.5003063725490198,1610612766,18,8,2021-04-25T17:24:27Z,410000,232.0,51.0,1,left,P. Washington 3PT  (3 PTS) (T. Rozier 5 AST),"[1629023, 1626179]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,23.8,Made,3.0,T. Rozier,1626179.0,5.0,,,,,,,,,,,,,,,
44,PT07M32.00S,2021-04-25T17:24:47.4Z,1,REGULAR,turnover,3-second-violation,[],202684,,,1610612738,18,8,2021-04-25T17:25:03Z,430000,,,0,,T. Thompson 3-second-violation TURNOVER (1 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,200833.0,,,,,1.0,,,
