actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
44,PT08M01.00S,2021-05-16T17:20:46.4Z,1,REGULAR,steal,,[],203493,,,1610612752,11,8,2021-05-16T17:23:38Z,440000,,,0,,R. Bullock STEAL (1 STL),[203493],1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M45.00S,2021-05-16T17:21:01.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203901,6.783837056504599,46.63756127450981,1610612752,11,8,2021-05-16T17:21:06Z,450000,17.0,11.0,1,left,MISS E. Payton driving Layup - blocked,"[203901, 1628436]",1610612752.0,NYK,driving,,,Payton,E. Payton,,,,,2.02,Missed,,,,,Kornet,1628436.0,,,,,,,,,,,,,
46,PT07M45.00S,2021-05-16T17:21:01.6Z,1,REGULAR,block,,[],1628436,,,1610612752,11,8,2021-05-16T17:21:03Z,460000,,,0,,L. Kornet BLOCK (2 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M43.00S,2021-05-16T17:21:03.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,11,8,2021-05-16T17:21:06Z,470000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
48,PT07M24.00S,2021-05-16T17:21:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,92.72339027595268,53.255208333333336,1610612738,11,8,2021-05-16T17:25:18Z,480000,16.0,16.0,1,right,MISS R. Langford cutting Layup,[1629641],1610612738.0,BOS,cutting,,,Langford,R. Langford,,,,,2.28,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M22.00S,2021-05-16T17:21:24.9Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,11,8,2021-05-16T17:21:27Z,490000,,,0,,N. Noel REBOUND (Off:0 Def:2),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
50,PT07M07.00S,2021-05-16T17:21:39.2Z,1,REGULAR,2pt,Jump Shot,[],203944,27.677398160315374,43.69638480392157,1610612752,13,8,2021-05-16T17:24:54Z,500000,32.0,208.0,1,left,J. Randle 21' pullup Jump Shot (10 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,21.01,Made,,,,,,,10.0,,,,,,,,,,,,
51,PT06M52.00S,2021-05-16T17:21:54.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,65.65374507227332,60.36305147058824,1610612738,13,8,2021-05-16T17:25:44Z,510000,52.0,270.0,1,right,MISS P. Pritchard 27' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,27.53,Missed,,,,,,,,,,,,,,,,,,,
52,PT06M50.00S,2021-05-16T17:21:56.4Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,13,8,2021-05-16T17:22:00Z,520000,,,0,,N. Noel REBOUND (Off:0 Def:3),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,51.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
53,PT06M31.00S,2021-05-16T17:22:15.7Z,1,REGULAR,2pt,Jump Shot,[],203944,8.623521681997373,21.637561274509803,1610612752,13,8,2021-05-16T17:26:31Z,530000,142.0,29.0,1,left,MISS J. Randle 14' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,14.47,Missed,,,,,,,,,,,,,,,,,,,
54,PT06M29.00S,2021-05-16T17:22:17.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,13,8,2021-05-16T17:22:23Z,540000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,
55,PT06M29.00S,2021-05-16T17:22:22.0Z,1,REGULAR,foul,personal,[],1629628,,,1610612738,13,8,2021-05-16T17:22:31Z,550000,,,0,,R. Barrett loose ball personal FOUL (1 PF),"[1629628, 1628436]",1610612752.0,NYK,loose ball,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Kornet,1628436.0,
57,PT06M29.00S,2021-05-16T17:22:34.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,8,2021-05-16T17:22:34Z,570000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M29.00S,2021-05-16T17:22:34.6Z,1,REGULAR,substitution,out,[],1628400,,,1610612738,13,8,2021-05-16T17:25:43Z,580000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M29.00S,2021-05-16T17:22:34.6Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,13,8,2021-05-16T17:25:43Z,590000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M16.00S,2021-05-16T17:25:58.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629684,94.03745072273325,49.333639705882355,1610612738,13,10,2021-05-16T17:26:03Z,600000,-3.0,4.0,1,right,G. Williams DUNK (5 PTS) (R. Langford 1 AST),"[1629684, 1629641]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,0.48,Made,,,,,,,5.0,R. Langford,1629641.0,1.0,,,,,,,,,
62,PT05M54.00S,2021-05-16T17:26:23.3Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,13,10,2021-05-16T17:26:31Z,620000,,,0,,J. Randle bad pass out-of-bounds TURNOVER (1 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,,,,,,,,,,,,,1.0,,,101283.0,,,,,
