actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
639,PT03M06.00S,2021-05-26T01:40:32.5Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629617,,,1610612738,124,99,2021-05-26T01:40:48Z,6140000,,,0,,R. Perry shooting personal FOUL (1 PF) (Kornet 2 FT),"[1629617, 1628436]",1610612751.0,BKN,shooting,,,Perry,R. Perry,,,,,1174.0,1.0,0.0,Kornet,1628436.0,,,,,,,,,,,,,,,
641,PT03M06.00S,2021-05-26T01:40:56.7Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,124,99,2021-05-26T01:40:56Z,6160000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,PT03M06.00S,2021-05-26T01:44:35.9Z,4,REGULAR,freethrow,1 of 2,['fastbreak'],1628436,,,1610612738,124,99,2021-05-26T01:44:35Z,6170000,,,0,,MISS L. Kornet Free Throw 1 of 2,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,Missed,,,,,,,,,,,,,,
643,PT03M06.00S,2021-05-26T01:44:35.9Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,124,99,2021-05-26T01:44:35Z,6180000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,642.0,,,,,,,,
644,PT03M06.00S,2021-05-26T01:44:46.5Z,4,REGULAR,freethrow,2 of 2,['fastbreak'],1628436,,,1610612738,124,100,2021-05-26T01:44:46Z,6190000,,,0,,L. Kornet Free Throw 2 of 2 (3 PTS),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
645,PT02M54.00S,2021-05-26T01:45:01.0Z,4,REGULAR,3pt,Jump Shot,[],1629617,72.88107752956637,83.40226715686273,1610612751,124,100,2021-05-26T01:45:09Z,6200000,167.0,202.0,1,right,MISS R. Perry 26' 3PT,[1629617],1610612751.0,BKN,,,,Perry,R. Perry,,,,,,,,,,Missed,,26.24,,,,,,,,,,,,
646,PT02M46.00S,2021-05-26T01:45:09.0Z,4,REGULAR,rebound,defensive,[],1629035,,,1610612738,124,100,2021-05-26T01:45:09Z,6210000,,,0,,C. Edwards REBOUND (Off:0 Def:1),[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,645.0,1.0,1.0,0.0,,,,,
647,PT02M43.00S,2021-05-26T01:45:11.1Z,4,REGULAR,3pt,Jump Shot,[],1629682,4.28712220762155,96.6375612745098,1610612738,124,100,2021-05-26T01:45:21Z,6220000,-233.0,-12.0,1,left,MISS T. Waters 3PT,[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,Missed,,23.35,,,,,,,,,,,,
648,PT02M39.00S,2021-05-26T01:45:15.1Z,4,REGULAR,rebound,defensive,[],1627789,,,1610612751,124,100,2021-05-26T01:45:21Z,6230000,,,0,,T. Luwawu-Cabarrot REBOUND (Off:0 Def:1),[1627789],1610612751.0,BKN,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,647.0,1.0,1.0,0.0,,,,,
649,PT02M31.00S,2021-05-26T01:45:24.1Z,4,REGULAR,turnover,lost ball,[],1627789,,,1610612751,124,100,2021-05-26T01:45:30Z,6240000,,,0,,T. Luwawu-Cabarrot lost ball TURNOVER (1 TO),"[1627789, 1629682]",1610612751.0,BKN,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,1.0,Waters,1629682.0,,
