actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
16,PT10M52.00S,2021-04-11T19:11:58.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2021-04-11T19:12:01Z,160000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
17,PT10M49.00S,2021-04-11T19:12:00.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,32.40801576872536,42.470894607843135,1610612743,3,0,2021-04-11T19:12:08Z,170000,38.0,252.0,1,left,M. Porter Jr. 25' 3PT pullup (3 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,25.49,Made,,,,,,,,,,3.0,N. Jokic,203999.0,1.0,,,,,,
19,PT10M29.00S,2021-04-11T19:12:20.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,82.86793692509855,94.18658088235294,1610612738,3,0,2021-04-11T19:12:24Z,190000,221.0,109.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M27.00S,2021-04-11T19:12:22.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,0,2021-04-11T19:12:24Z,200000,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,19.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
21,PT10M08.00S,2021-04-11T19:12:42.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,5.469776609724048,51.53952205882353,1610612743,5,0,2021-04-11T19:12:47Z,210000,-8.0,-1.0,1,left,M. Porter Jr. cutting DUNK (5 PTS) (N. Jokic 2 AST),"[1629008, 203999]",1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,0.78,Made,,,,,,,,,,5.0,N. Jokic,203999.0,2.0,,,,,,
23,PT09M50.00S,2021-04-11T19:12:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,94.03745072273325,54.23560049019608,1610612738,5,2,2021-04-11T19:13:18Z,230000,21.0,4.0,1,right,K. Walker driving Layup (2 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.15,Made,,,,,,,,,,2.0,,,,,,,,,
24,PT09M50.00S,2021-04-11T19:13:06.4Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612743,5,2,2021-04-11T19:13:24Z,240000,,,0,,TEAM delay-of-game VIOLATION,[],1610612738.0,BOS,,,,,,,,,,,,,,,,201245.0,,,,,,,,,,,,,,
25,PT09M33.00S,2021-04-11T19:13:36.1Z,1,REGULAR,3pt,Jump Shot,[],1629008,33.065045992115635,45.65716911764706,1610612743,5,2,2021-04-11T19:13:40Z,250000,22.0,258.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M29.00S,2021-04-11T19:13:40.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,5,2,2021-04-11T19:13:40Z,260000,,,0,,R. Williams III REBOUND (Off:0 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,25.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
27,PT09M19.00S,2021-04-11T19:13:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,82.60512483574244,38.05912990196079,1610612738,5,2,2021-04-11T19:14:01Z,270000,-60.0,111.0,1,right,MISS J. Tatum 12' driving Layup - blocked,"[1628369, 203932]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,12.6,Missed,,,,,,,,,,,,,,Gordon,203932.0,,,,
28,PT09M19.00S,2021-04-11T19:13:49.8Z,1,REGULAR,block,,[],203932,,,1610612738,5,2,2021-04-11T19:13:51Z,280000,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M19.00S,2021-04-11T19:13:49.8Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,5,2,2021-04-11T19:15:20Z,290000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,27.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
30,PT09M14.00S,2021-04-11T19:13:54.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,86.67871222076215,3.7454044117647056,1610612738,5,5,2021-04-11T19:14:03Z,300000,-231.0,73.0,1,right,M. Smart 24' 3PT  (3 PTS) (K. Walker 1 AST),"[203935, 202689]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.25,Made,,,,,,,,,,3.0,K. Walker,202689.0,1.0,,,,,,
32,PT08M53.00S,2021-04-11T19:14:16.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,6.521024967148489,47.127757352941174,1610612743,7,5,2021-04-11T19:14:28Z,320000,14.0,9.0,1,left,W. Barton Layup (2 PTS) (N. Jokic 3 AST),"[203115, 203999]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,1.69,Made,,,,,,,,,,2.0,N. Jokic,203999.0,3.0,,,,,,
34,PT08M40.00S,2021-04-11T19:14:28.6Z,1,REGULAR,3pt,Jump Shot,[],203935,68.80749014454665,74.33363970588235,1610612738,7,5,2021-04-11T19:14:33Z,340000,122.0,241.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.97,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M37.00S,2021-04-11T19:14:31.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,7,5,2021-04-11T19:14:33Z,350000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
36,PT08M29.00S,2021-04-11T19:14:41.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,7,5,2021-04-11T19:14:41Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M25.00S,2021-04-11T19:14:58.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,7.5722733245729295,51.294424019607845,1610612743,9,5,2021-04-11T19:15:03Z,370000,-6.0,19.0,1,left,M. Porter Jr. cutting DUNK (7 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,1.98,Made,,,,,,,,,,7.0,A. Gordon,203932.0,1.0,,,,,,
39,PT07M57.00S,2021-04-11T19:15:26.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,85.10183968462549,53.255208333333336,1610612738,9,5,2021-04-11T19:15:34Z,390000,16.0,88.0,1,right,MISS J. Tatum 8' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,8.9,Missed,,,,,,,,,,,,,,,,,,,
40,PT07M53.00S,2021-04-11T19:15:30.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,9,5,2021-04-11T19:15:34Z,400000,,,0,,N. Jokic REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,39.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
41,PT07M50.00S,2021-04-11T19:15:33.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203115,24.26084099868594,13.549325980392158,1610612743,12,5,2021-04-11T19:18:48Z,410000,182.0,176.0,1,left,W. Barton 25' 3PT running (5 PTS) (F. Campazzo 1 AST),"[203115, 1630267]",1610612743.0,DEN,running,,,Barton,W. Barton,,,,,25.31,Made,,,,,,,,,,5.0,F. Campazzo,1630267.0,1.0,,,,,,
43,PT07M49.00S,2021-04-11T19:15:38.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,5,2021-04-11T19:15:38Z,430000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M37.00S,2021-04-11T19:18:47.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,73.80091984231275,16.245404411764707,1610612738,12,5,2021-04-11T19:18:52Z,440000,-169.0,194.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M34.00S,2021-04-11T19:18:50.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,12,5,2021-04-11T19:18:52Z,450000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
46,PT07M17.00S,2021-04-11T19:19:06.8Z,1,REGULAR,3pt,Jump Shot,[],203115,6.915243101182654,4.970894607843137,1610612743,12,5,2021-04-11T19:19:12Z,460000,225.0,13.0,1,left,MISS W. Barton 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,22.54,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M14.00S,2021-04-11T19:19:09.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,5,2021-04-11T19:19:12Z,470000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
48,PT07M08.00S,2021-04-11T19:19:16.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.07030223390277,21.88265931372549,1610612738,12,5,2021-04-11T19:19:22Z,480000,-141.0,238.0,1,right,MISS J. Brown 27' step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,27.66,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M05.00S,2021-04-11T19:19:19.1Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,12,5,2021-04-11T19:19:22Z,490000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
50,PT06M53.00S,2021-04-11T19:19:31.4Z,1,REGULAR,turnover,lost ball,[],203115,,,1610612743,12,5,2021-04-11T19:19:36Z,500000,,,0,,W. Barton lost ball TURNOVER (1 TO),"[203115, 1629057]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,1.0,Williams III,1629057.0,
51,PT06M53.00S,2021-04-11T19:19:31.4Z,1,REGULAR,steal,,[],1629057,,,1610612738,12,5,2021-04-11T19:19:32Z,510000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M49.00S,2021-04-11T19:19:35.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,94.30026281208936,55.4610906862745,1610612738,12,5,2021-04-11T19:19:42Z,520000,27.0,1.0,1,right,MISS J. Tatum running finger roll Layup,[1628369],1610612738.0,BOS,running finger roll,,,Tatum,J. Tatum,,,,,2.73,Missed,,,,,,,,,,,,,,,,,,,
53,PT06M46.00S,2021-04-11T19:19:38.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,12,5,2021-04-11T19:19:42Z,530000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,52.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
54,PT06M38.00S,2021-04-11T19:19:46.0Z,1,REGULAR,3pt,Jump Shot,[],203932,25.18068331143233,14.529718137254902,1610612743,12,5,2021-04-11T19:19:54Z,540000,177.0,184.0,1,left,MISS A. Gordon 25' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,25.57,Missed,,,,,,,,,,,,,,,,,,,
55,PT06M31.00S,2021-04-11T19:19:53.0Z,1,REGULAR,rebound,offensive,[],203115,,,1610612743,12,5,2021-04-11T19:19:54Z,550000,,,0,,W. Barton REBOUND (Off:1 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
56,PT06M31.00S,2021-04-11T19:19:52.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203115,5.590000152587891,50.0,1610612743,14,5,2021-04-11T19:19:52Z,560000,0.0,0.0,1,left,W. Barton putback Layup (7 PTS),[203115],1610612743.0,DEN,putback,,,Barton,W. Barton,,,,,0.0,Made,,,,,,,,,,7.0,,,,,,,,,
57,PT06M15.00S,2021-04-11T19:20:09.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.06636005256242,48.59834558823529,1610612738,14,5,2021-04-11T19:20:16Z,570000,-7.0,22.0,1,right,MISS R. Williams III cutting DUNK,[1629057],1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,2.32,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M13.00S,2021-04-11T19:20:11.1Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,14,5,2021-04-11T19:20:16Z,580000,,,0,,W. Barton REBOUND (Off:1 Def:2),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,57.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
59,PT06M12.00S,2021-04-11T19:20:12.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629008,5.995400788436268,50.80422794117647,1610612743,16,5,2021-04-11T19:20:24Z,590000,-4.0,4.0,1,left,M. Porter Jr. running DUNK (9 PTS) (W. Barton 1 AST),"[1629008, 203115]",1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,0.56,Made,,,,,,,,,,9.0,W. Barton,203115.0,1.0,,,,,,
61,PT05M53.00S,2021-04-11T19:20:30.0Z,1,REGULAR,2pt,Jump Shot,[],202689,88.12417871222075,73.84344362745098,1610612738,16,7,2021-04-11T19:20:43Z,610000,119.0,59.0,1,right,K. Walker 13' fadeaway Jump Shot (4 PTS),[202689],1610612738.0,BOS,fadeaway,,,Walker,K. Walker,,,,,13.3,Made,,,,,,,,,,4.0,,,,,,,,,
62,PT05M38.00S,2021-04-11T19:20:48.4Z,1,REGULAR,foul,personal,[],1629057,,,1610612743,16,7,2021-04-11T19:21:11Z,620000,,,0,,R. Williams III personal FOUL (1 PF),"[1629057, 203932]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,2715.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,
64,PT05M38.00S,2021-04-11T19:21:05.5Z,1,REGULAR,substitution,out,[],1627759,,,1610612743,16,7,2021-04-11T19:21:22Z,640000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M38.00S,2021-04-11T19:21:05.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612743,16,7,2021-04-11T19:21:22Z,650000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M38.00S,2021-04-11T19:21:05.5Z,1,REGULAR,substitution,out,[],1629057,,,1610612743,16,7,2021-04-11T19:21:22Z,660000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M38.00S,2021-04-11T19:21:05.5Z,1,REGULAR,substitution,in,[],1629641,,,1610612743,16,7,2021-04-11T19:21:22Z,670000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M38.00S,2021-04-11T19:21:05.5Z,1,REGULAR,substitution,in,[],1629684,,,1610612743,16,7,2021-04-11T19:21:22Z,680000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M38.00S,2021-04-11T19:21:05.5Z,1,REGULAR,substitution,in,[],202684,,,1610612743,16,7,2021-04-11T19:21:22Z,690000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M31.00S,2021-04-11T19:21:23.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,12.959921156373195,50.314031862745104,1610612743,16,7,2021-04-11T19:21:31Z,700000,-2.0,69.0,1,left,MISS N. Jokic 6' Hook,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,6.93,Missed,,,,,,,,,,,,,,,,,,,
71,PT05M30.00S,2021-04-11T19:21:24.9Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,16,7,2021-04-11T19:21:31Z,710000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
72,PT05M23.00S,2021-04-11T19:21:32.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202684,93.11760840998686,50.80422794117647,1610612738,16,9,2021-04-11T19:23:43Z,720000,4.0,12.0,1,right,T. Thompson DUNK (2 PTS) (M. Smart 1 AST),"[202684, 203935]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,1.28,Made,,,,,,,,,,2.0,M. Smart,203935.0,1.0,,,,,,
74,PT05M01.00S,2021-04-11T19:21:53.3Z,1,REGULAR,3pt,Jump Shot,[],1630267,6.652431011826544,96.8826593137255,1610612743,19,9,2021-04-11T19:21:58Z,740000,-234.0,10.0,1,left,F. Campazzo 3PT  (3 PTS) (N. Jokic 4 AST),"[1630267, 203999]",1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,23.46,Made,,,,,,,,,,3.0,N. Jokic,203999.0,4.0,,,,,,
76,PT04M45.00S,2021-04-11T19:22:09.2Z,1,REGULAR,3pt,Jump Shot,[],202689,72.22404730617609,83.15716911764706,1610612738,19,9,2021-04-11T19:23:40Z,760000,166.0,209.0,1,right,MISS K. Walker 26' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.65,Missed,,,,,,,,,,,,,,,,,,,
77,PT04M42.00S,2021-04-11T19:22:12.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,19,9,2021-04-11T19:22:15Z,770000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:4),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,76.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
78,PT04M38.00S,2021-04-11T19:22:16.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,33.459264126149804,44.676776960784316,1610612743,19,9,2021-04-11T19:22:24Z,780000,27.0,262.0,1,left,MISS M. Porter Jr. 26' pullup 3PT,[1629008],1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,,
79,PT04M35.00S,2021-04-11T19:22:19.8Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,19,9,2021-04-11T19:22:24Z,790000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
80,PT04M28.00S,2021-04-11T19:22:27.4Z,1,REGULAR,3pt,Jump Shot,[],202689,67.7562417871222,36.09834558823529,1610612738,19,9,2021-04-11T19:24:08Z,800000,-70.0,251.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.01,Missed,,,,,,,,,,,,,,,,,,,
81,PT04M24.00S,2021-04-11T19:22:31.4Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612738,19,9,2021-04-11T19:23:54Z,810000,,,0,,R. Langford REBOUND (Off:1 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,80.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
82,PT04M22.00S,2021-04-11T19:22:32.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629641,94.30026281208936,95.41207107843137,1610612738,19,9,2021-04-11T19:22:40Z,820000,227.0,1.0,1,right,MISS R. Langford step back 3PT,[1629641],1610612738.0,BOS,step back,,,Langford,R. Langford,,,,,22.71,Missed,,,,,,,,,,,,,,,,,,,
83,PT04M19.00S,2021-04-11T19:22:35.5Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,19,9,2021-04-11T19:22:40Z,830000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
84,PT04M15.00S,2021-04-11T19:22:42.4Z,1,REGULAR,turnover,discontinued dribble,[],203115,,,1610612743,19,9,2021-04-11T19:22:57Z,840000,,,0,,W. Barton discontinued dribble TURNOVER (2 TO),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,201245.0,,,,,,,,,,,2.0,,,
85,PT04M15.00S,2021-04-11T19:22:45.1Z,1,REGULAR,substitution,out,[],203115,,,1610612738,19,9,2021-04-11T19:22:59Z,850000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M15.00S,2021-04-11T19:22:45.1Z,1,REGULAR,substitution,out,[],1630267,,,1610612738,19,9,2021-04-11T19:22:59Z,860000,,,0,,SUB out: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M15.00S,2021-04-11T19:22:45.1Z,1,REGULAR,substitution,in,[],1628420,,,1610612738,19,9,2021-04-11T19:22:59Z,870000,,,0,,SUB in: M. Morris,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
