actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
33,PT08M34.00S,2021-03-03T00:55:57.1Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612746,12,7,2021-03-03T00:56:07Z,330000,,,0,,J. Brown shooting personal FOUL (1 PF) (Beverley 2 FT),"[1627759, 201976]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,1155.0,1.0,0.0,Beverley,201976.0,,,,,,,,,,,,,,,,
35,PT08M34.00S,2021-03-03T00:56:27.2Z,1,REGULAR,freethrow,1 of 2,[],201976,,,1610612746,12,8,2021-03-03T00:56:27Z,350000,,,0,,P. Beverley Free Throw 1 of 2 (1 PTS),[201976],1610612746.0,LAC,,,,Beverley,P. Beverley,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
36,PT08M34.00S,2021-03-03T00:56:42.2Z,1,REGULAR,freethrow,2 of 2,[],201976,,,1610612746,12,9,2021-03-03T00:56:42Z,360000,,,0,,P. Beverley Free Throw 2 of 2 (2 PTS),[201976],1610612746.0,LAC,,,,Beverley,P. Beverley,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
37,PT08M19.00S,2021-03-03T00:57:00.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,90.3580814717477,56.93167892156863,1610612738,14,9,2021-03-03T00:57:11Z,370000,35.0,38.0,1,right,J. Tatum driving floating bank Jump Shot (2 PTS),[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,,,,,,5.15,Made,2.0,,,,,,,,,,,,,
38,PT08M04.00S,2021-03-03T00:57:15.1Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612746,14,9,2021-03-03T00:57:20Z,380000,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 1628464]",1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,1.0,Theis,1628464.0,,,,,,,
39,PT08M04.00S,2021-03-03T00:57:15.1Z,1,REGULAR,steal,,[],1628464,,,1610612738,14,9,2021-03-03T00:57:17Z,390000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT07M58.00S,2021-03-03T00:57:21.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202684,91.27792378449409,53.990502450980394,1610612738,16,9,2021-03-03T00:57:30Z,400000,20.0,29.0,1,right,T. Thompson Layup (7 PTS) (J. Brown 1 AST),"[202684, 1627759]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,3.56,Made,7.0,J. Brown,1627759.0,1.0,,,,,,,,,,
42,PT07M57.00S,2021-03-03T00:57:28.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,16,9,2021-03-03T00:57:28Z,420000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M33.00S,2021-03-03T01:01:11.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",201976,6.1268068331143235,53.01011029411765,1610612746,16,11,2021-03-03T01:01:28Z,430000,-15.0,5.0,1,left,P. Beverley driving Layup (4 PTS) (P. George 1 AST),"[201976, 202331]",1610612746.0,LAC,driving,,,Beverley,P. Beverley,,,,,,,,,,1.59,Made,4.0,P. George,202331.0,1.0,,,,,,,,,,
46,PT07M33.00S,2021-03-03T01:01:21.4Z,1,REGULAR,violation,defensive goaltending,[],1628464,,,1610612746,16,11,2021-03-03T01:01:43Z,460000,,,0,,D. Theis defensive goaltending VIOLATION,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,1162.0,,,,,,,,,,,,,,,,,,,,
