actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
42,PT09M30.00S,2021-03-29T23:46:00.0Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612740,8,7,2021-03-29T23:46:00Z,420000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M18.00S,2021-03-29T23:46:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,5.338370565045992,59.62775735294118,1610612740,8,7,2021-03-29T23:46:50Z,430000,-48.0,-2.0,1,left,MISS Z. Williamson driving Layup - blocked,"[1629627, 1629057]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,4.82,Missed,,,,,,,,,,,,,,Williams III,1629057.0,,,,
44,PT09M18.00S,2021-03-29T23:46:42.6Z,1,REGULAR,block,,[],1629057,,,1610612740,8,7,2021-03-29T23:46:45Z,440000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M17.00S,2021-03-29T23:46:43.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,8,7,2021-03-29T23:46:50Z,450000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,43.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
46,PT09M07.00S,2021-03-29T23:46:53.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,93.64323258869908,3.7454044117647056,1610612738,8,7,2021-03-29T23:47:00Z,460000,-231.0,7.0,1,right,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.14,Missed,,,,,,,,,,,,,,,,,,,
47,PT09M06.00S,2021-03-29T23:46:54.5Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612740,8,7,2021-03-29T23:47:00Z,470000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:2),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,46.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
48,PT08M50.00S,2021-03-29T23:47:11.1Z,1,REGULAR,3pt,Jump Shot,[],1627742,27.808804204993432,77.27481617647058,1610612740,8,10,2021-03-29T23:47:18Z,480000,-136.0,209.0,1,left,B. Ingram 24' 3PT  (7 PTS) (Z. Williamson 1 AST),"[1627742, 1629627]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,24.95,Made,,7.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,,,,,
50,PT08M33.00S,2021-03-29T23:47:27.3Z,1,REGULAR,2pt,Jump Shot,[],1628369,83.13074901445466,74.57873774509804,1610612738,10,10,2021-03-29T23:47:33Z,500000,123.0,106.0,1,right,J. Tatum 16' turnaround fadeaway Jump Shot (8 PTS) (K. Walker 1 AST),"[1628369, 202689]",1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,16.24,Made,,8.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,
52,PT08M20.00S,2021-03-29T23:47:42.7Z,1,REGULAR,foul,personal,[],1629057,,,1610612740,10,10,2021-03-29T23:47:56Z,520000,,,0,,R. Williams III personal FOUL (1 PF),"[1629057, 1629627]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,201639.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,
54,PT08M07.00S,2021-03-29T23:48:22.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,27.020367936925098,75.06893382352942,1610612740,10,10,2021-03-29T23:48:29Z,540000,-125.0,201.0,1,left,MISS B. Ingram 23' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,23.73,Missed,,,,,,,,,,,,,,,,,,,
