actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
174,PT12M00.00S,2021-03-30T00:11:11.7Z,2,REGULAR,substitution,in,['startperiod'],1628411,,,1610612738,27,32,2021-03-30T00:11:50Z,1730000,,,0,,SUB in: W. Iwundu,[1628411],1610612740.0,NOP,,,,Iwundu,W. Iwundu,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2021-03-30T00:11:56.5Z,2,REGULAR,period,start,[],0,,,1610612738,27,32,2021-03-30T00:11:56Z,1740000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT11M45.00S,2021-03-30T00:12:09.8Z,2,REGULAR,2pt,Jump Shot,[],203095,73.80091984231275,76.04932598039215,1610612738,27,32,2021-03-30T00:12:15Z,1750000,130.0,194.0,1,right,MISS E. Fournier 23' pullup Shot,[203095],1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,23.35,Missed,,,,,,,,,,,,,,,,,,,
177,PT11M42.00S,2021-03-30T00:12:12.8Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,27,32,2021-03-30T00:12:15Z,1760000,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,176.0,,,,,,,,,,3.0,3.0,0.0,,,,,,
178,PT11M37.00S,2021-03-30T00:12:22.1Z,2,REGULAR,foul,personal,[],1630202,,,1610612740,27,32,2021-03-30T00:12:30Z,1770000,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 1629627]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,201639.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,
180,PT11M37.00S,2021-03-30T00:12:33.8Z,2,REGULAR,substitution,out,[],1630174,,,1610612740,27,32,2021-03-30T00:12:40Z,1790000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT11M37.00S,2021-03-30T00:12:33.8Z,2,REGULAR,substitution,in,[],1629684,,,1610612740,27,32,2021-03-30T00:12:40Z,1800000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT11M30.00S,2021-03-30T00:12:53.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,7.046649145860711,45.65716911764706,1610612740,27,34,2021-03-30T00:12:57Z,1810000,22.0,14.0,1,left,Z. Williamson driving finger roll Layup (7 PTS),[1629627],1610612740.0,NOP,driving finger roll,,,Williamson,Z. Williamson,,,,,2.57,Made,,7.0,,,,,,,,,,,,,,,,,
183,PT11M13.00S,2021-03-30T00:13:10.6Z,2,REGULAR,3pt,Jump Shot,[],1630202,78.40013140604468,6.686580882352941,1610612738,30,34,2021-03-30T00:13:15Z,1820000,-217.0,151.0,1,right,P. Pritchard 26' 3PT pullup (3 PTS) (L. Kornet 1 AST),"[1630202, 1628436]",1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,26.38,Made,,3.0,L. Kornet,1628436.0,1.0,,,,,,,,,,,,,,
185,PT11M00.00S,2021-03-30T00:13:23.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,6.1268068331143235,54.48069852941176,1610612740,30,34,2021-03-30T00:13:29Z,1840000,-22.0,5.0,1,left,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,2.3,Missed,,,,,,,,,,,,,,,,,,,
186,PT10M58.00S,2021-03-30T00:13:25.4Z,2,REGULAR,rebound,defensive,[],1628436,,,1610612738,30,34,2021-03-30T00:13:29Z,1850000,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,185.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
187,PT10M54.00S,2021-03-30T00:13:29.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629684,71.43561103810775,84.3826593137255,1610612738,30,34,2021-03-30T00:13:36Z,1860000,172.0,216.0,1,right,MISS G. Williams 27' running pullup 3PT,[1629684],1610612738.0,BOS,running pullup,,,Williams,G. Williams,,,,,27.61,Missed,,,,,,,,,,,,,,,,,,,
188,PT10M51.00S,2021-03-30T00:13:32.6Z,2,REGULAR,rebound,defensive,[],1629637,,,1610612740,30,34,2021-03-30T00:13:36Z,1870000,,,0,,J. Hayes REBOUND (Off:0 Def:2),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,187.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
189,PT10M38.00S,2021-03-30T00:13:45.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628411,9.85545335085414,41.907935049019606,1610612740,30,34,2021-03-30T00:13:54Z,1880000,40.0,40.0,1,left,MISS W. Iwundu driving Layup - blocked,"[1628411, 203935]",1610612740.0,NOP,driving,,,Iwundu,W. Iwundu,,,,,5.7,Missed,,,,,,,,,,,,,,Smart,203935.0,,,,
190,PT10M38.00S,2021-03-30T00:13:45.4Z,2,REGULAR,block,,[],203935,,,1610612740,30,34,2021-03-30T00:13:48Z,1890000,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT10M36.00S,2021-03-30T00:13:47.4Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,30,34,2021-03-30T00:13:54Z,1900000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,189.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
192,PT10M27.00S,2021-03-30T00:13:57.5Z,2,REGULAR,3pt,Jump Shot,[],1628436,90.48948751642575,96.39246323529412,1610612738,30,34,2021-03-30T00:14:04Z,1910000,232.0,37.0,1,right,MISS L. Kornet 3PT,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,23.49,Missed,,,,,,,,,,,,,,,,,,,
193,PT10M25.00S,2021-03-30T00:13:59.5Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,30,34,2021-03-30T00:14:04Z,1920000,,,0,,J. Hart REBOUND (Off:0 Def:4),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,192.0,,,,,,,,,,4.0,4.0,0.0,,,,,,
194,PT10M08.00S,2021-03-30T00:14:16.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,6.258212877792378,50.314031862745104,1610612740,30,34,2021-03-30T00:14:24Z,1930000,-2.0,6.0,1,left,MISS Z. Williamson driving Layup - blocked,"[1629627, 1628436]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,0.65,Missed,,,,,,,,,,,,,,Kornet,1628436.0,,,,
195,PT10M08.00S,2021-03-30T00:14:16.5Z,2,REGULAR,block,,[],1628436,,,1610612740,30,34,2021-03-30T00:14:19Z,1940000,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT10M06.00S,2021-03-30T00:14:18.5Z,2,REGULAR,rebound,defensive,[],203095,,,1610612738,30,34,2021-03-30T00:14:24Z,1950000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,194.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
197,PT09M56.00S,2021-03-30T00:14:28.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,91.19579500657031,58.643535539215684,1610612738,30,34,2021-03-30T00:14:40Z,1960000,43.0,30.0,1,right,MISS M. Smart driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,5.28,Missed,,,,,,,,,,,,,,,,,,,
198,PT09M54.00S,2021-03-30T00:14:30.2Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,30,34,2021-03-30T00:14:40Z,1970000,,,0,,J. Hart REBOUND (Off:0 Def:5),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,197.0,,,,,,,,,,5.0,5.0,0.0,,,,,,
199,PT09M48.00S,2021-03-30T00:14:35.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,6.915243101182654,47.372855392156865,1610612740,30,36,2021-03-30T00:14:46Z,1980000,13.0,13.0,1,left,J. Hart running Layup (12 PTS),[1628404],1610612740.0,NOP,running,,,Hart,J. Hart,,,,,1.81,Made,,12.0,,,,,,,,,,,,,,,,,
200,PT09M33.00S,2021-03-30T00:14:53.9Z,2,REGULAR,turnover,out-of-bounds,[],203095,,,1610612738,30,36,2021-03-30T00:15:00Z,1990000,,,0,,E. Fournier lost ball out-of-bounds TURNOVER (1 TO),[203095],1610612738.0,BOS,lost ball,,,Fournier,E. Fournier,,,,,,,,,,,,201639.0,,,,,,,,,,1.0,,,
201,PT09M22.00S,2021-03-30T00:15:16.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630184,33.065045992115635,40.510110294117645,1610612740,30,39,2021-03-30T00:15:21Z,2000000,47.0,258.0,1,left,K. Lewis Jr. 26' 3PT  (3 PTS),[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,26.26,Made,,3.0,,,,,,,,,,,,,,,,,
202,PT09M08.00S,2021-03-30T00:15:30.3Z,2,REGULAR,3pt,Jump Shot,[],203935,66.96780551905388,38.30422794117647,1610612738,30,39,2021-03-30T00:15:36Z,2010000,-58.0,258.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.45,Missed,,,,,,,,,,,,,,,,,,,
203,PT09M06.00S,2021-03-30T00:15:32.3Z,2,REGULAR,rebound,defensive,[],1628411,,,1610612740,30,39,2021-03-30T00:15:36Z,2020000,,,0,,W. Iwundu REBOUND (Off:0 Def:1),[1628411],1610612740.0,NOP,,,,Iwundu,W. Iwundu,,,,,,,202.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
204,PT09M01.00S,2021-03-30T00:15:36.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628404,29.25427069645204,23.598345588235293,1610612740,30,39,2021-03-30T00:15:43Z,2030000,132.0,222.0,1,left,MISS J. Hart 25' 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
205,PT08M58.00S,2021-03-30T00:15:39.9Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,30,39,2021-03-30T00:15:43Z,2040000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,204.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
206,PT08M49.00S,2021-03-30T00:15:49.6Z,2,REGULAR,3pt,Jump Shot,[],1630202,65.39093298291722,49.57873774509804,1610612738,30,39,2021-03-30T00:16:05Z,2050000,-2.0,273.0,1,right,MISS P. Pritchard 27' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,27.28,Missed,,,,,,,,,,,,,,,,,,,
207,PT08M47.00S,2021-03-30T00:15:51.6Z,2,REGULAR,rebound,offensive,[],1628436,,,1610612738,30,39,2021-03-30T00:16:05Z,2060000,,,0,,L. Kornet REBOUND (Off:1 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,206.0,,,,,,,,,,2.0,1.0,1.0,,,,,,
208,PT08M46.00S,2021-03-30T00:15:54.0Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628436,94.40999984741211,50.0,1610612738,32,39,2021-03-30T00:16:27Z,2070000,0.0,0.0,1,right,L. Kornet tip Layup (5 PTS),[1628436],1610612738.0,BOS,tip,,,Kornet,L. Kornet,,,,,0.0,Made,,5.0,,,,,,,,,,,,,,,,,
209,PT08M20.00S,2021-03-30T00:16:17.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,5.469776609724048,55.21599264705882,1610612740,32,39,2021-03-30T00:16:22Z,2080000,-26.0,-1.0,1,left,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,2.61,Missed,,,,,,,,,,,,,,,,,,,
210,PT08M18.00S,2021-03-30T00:16:19.6Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,32,39,2021-03-30T00:16:22Z,2090000,,,0,,G. Williams REBOUND (Off:0 Def:3),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,209.0,,,,,,,,,,3.0,3.0,0.0,,,,,,
211,PT08M09.00S,2021-03-30T00:16:28.9Z,2,REGULAR,3pt,Jump Shot,[],1630202,67.49342969776609,17.715992647058822,1610612738,35,39,2021-03-30T00:16:34Z,2100000,-161.0,253.0,1,right,P. Pritchard 30' 3PT  (6 PTS) (G. Williams 1 AST),"[1630202, 1629684]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,30.02,Made,,6.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,
213,PT07M57.00S,2021-03-30T00:16:48.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,35,39,2021-03-30T00:16:48Z,2120000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M57.00S,2021-03-30T00:18:31.7Z,2,REGULAR,substitution,out,[],203935,,,1610612740,35,39,2021-03-30T00:19:29Z,2130000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M57.00S,2021-03-30T00:18:31.7Z,2,REGULAR,substitution,out,[],1629627,,,1610612740,35,39,2021-03-30T00:19:29Z,2140000,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M57.00S,2021-03-30T00:18:31.7Z,2,REGULAR,substitution,in,[],202689,,,1610612740,35,39,2021-03-30T00:19:29Z,2150000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M57.00S,2021-03-30T00:18:31.7Z,2,REGULAR,substitution,in,[],1627742,,,1610612740,35,39,2021-03-30T00:19:29Z,2160000,,,0,,SUB in: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M53.00S,2021-03-30T00:20:04.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,35,39,2021-03-30T00:20:04Z,2170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M45.00S,2021-03-30T00:20:27.4Z,2,REGULAR,3pt,Jump Shot,[],1630184,17.16491458607096,94.921875,1610612740,35,42,2021-03-30T00:20:32Z,2180000,-225.0,109.0,1,left,K. Lewis Jr. 24' 3PT  (6 PTS) (J. Hayes 1 AST),"[1630184, 1629637]",1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,24.96,Made,,6.0,J. Hayes,1629637.0,1.0,,,,,,,,,,,,,,
221,PT07M27.00S,2021-03-30T00:20:46.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628436,92.19776609724047,50.314031862745104,1610612738,37,42,2021-03-30T00:20:51Z,2200000,2.0,21.0,1,right,L. Kornet cutting DUNK (7 PTS) (K. Walker 2 AST),"[1628436, 202689]",1610612738.0,BOS,cutting,,,Kornet,L. Kornet,,,,,2.09,Made,,7.0,K. Walker,202689.0,2.0,,,,,,,,,,,,,,
223,PT07M27.00S,2021-03-30T00:20:53.6Z,2,REGULAR,foul,personal,['1freethrow'],1627742,,,1610612738,37,42,2021-03-30T00:21:00Z,2220000,,,0,,B. Ingram shooting personal FOUL (2 PF) (Kornet 1 FT),"[1627742, 1628436]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,,,,,,,,202056.0,2.0,0.0,Kornet,1628436.0,,,,,,,,,
225,PT07M27.00S,2021-03-30T00:21:06.8Z,2,REGULAR,substitution,out,[],1628411,,,1610612738,37,42,2021-03-30T00:21:25Z,2240000,,,0,,SUB out: W. Iwundu,[1628411],1610612740.0,NOP,,,,Iwundu,W. Iwundu,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M27.00S,2021-03-30T00:21:06.8Z,2,REGULAR,substitution,in,[],202339,,,1610612738,37,42,2021-03-30T00:21:25Z,2250000,,,0,,SUB in: E. Bledsoe,[202339],1610612740.0,NOP,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M27.00S,2021-03-30T00:21:24.4Z,2,REGULAR,freethrow,1 of 1,[],1628436,,,1610612738,37,42,2021-03-30T00:21:24Z,2260000,,,0,,MISS L. Kornet Free Throw 1 of 1,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,Missed,,,,,,,,,,,,,,,,,,,
228,PT07M24.00S,2021-03-30T00:21:25.9Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,37,42,2021-03-30T00:21:25Z,2270000,,,0,,J. Hart REBOUND (Off:0 Def:6),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,227.0,,,,,,,,,,6.0,6.0,0.0,,,,,,
229,PT07M16.00S,2021-03-30T00:21:37.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,13.485545335085414,65.51011029411765,1610612740,37,42,2021-03-30T00:21:48Z,2280000,-78.0,74.0,1,left,MISS B. Ingram 10' driving floating Shot,[1627742],1610612740.0,NOP,driving floating,,,Ingram,B. Ingram,,,,,10.74,Missed,,,,,,,,,,,,,,,,,,,
230,PT07M15.00S,2021-03-30T00:21:38.3Z,2,REGULAR,rebound,offensive,[],1629637,,,1610612740,37,42,2021-03-30T00:21:48Z,2290000,,,0,,J. Hayes REBOUND (Off:1 Def:2),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,229.0,,,,,,,,,,3.0,2.0,1.0,,,,,,
231,PT07M14.00S,2021-03-30T00:21:45.8Z,2,REGULAR,foul,personal,[],1630202,,,1610612740,37,42,2021-03-30T00:22:00Z,2300000,,,0,,P. Pritchard personal FOUL (2 PF),"[1630202, 1629637]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,202056.0,2.0,0.0,Hayes,1629637.0,,,,,,,,,
233,PT07M14.00S,2021-03-30T00:21:52.4Z,2,REGULAR,substitution,out,[],203095,,,1610612740,37,42,2021-03-30T00:21:56Z,2320000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT07M14.00S,2021-03-30T00:21:52.4Z,2,REGULAR,substitution,in,[],1628369,,,1610612740,37,42,2021-03-30T00:21:56Z,2330000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT07M07.00S,2021-03-30T00:22:17.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630184,16.90210249671485,51.049325980392155,1610612740,37,42,2021-03-30T00:22:23Z,2340000,-5.0,106.0,1,left,MISS K. Lewis Jr. 10' driving floating Shot,[1630184],1610612740.0,NOP,driving floating,,,Lewis Jr.,K. Lewis Jr.,,,,,10.65,Missed,,,,,,,,,,,,,,,,,,,
236,PT07M05.00S,2021-03-30T00:22:19.1Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,37,42,2021-03-30T00:22:23Z,2350000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,235.0,,,,,,,,,,2.0,2.0,0.0,,,,,,
237,PT06M47.00S,2021-03-30T00:22:36.6Z,2,REGULAR,3pt,Jump Shot,[],1628436,63.288436268068324,48.10814950980392,1610612738,40,42,2021-03-30T00:22:42Z,2360000,-9.0,293.0,1,right,L. Kornet 29' 3PT  (10 PTS) (J. Tatum 3 AST),"[1628436, 1628369]",1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,29.28,Made,,10.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,,,
239,PT06M30.00S,2021-03-30T00:22:54.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,5.469776609724048,54.72579656862745,1610612740,40,44,2021-03-30T00:22:59Z,2380000,-24.0,-1.0,1,left,J. Hayes cutting Layup (2 PTS) (K. Lewis Jr. 3 AST),"[1629637, 1630184]",1610612740.0,NOP,cutting,,,Hayes,J. Hayes,,,,,2.36,Made,,2.0,K. Lewis Jr.,1630184.0,3.0,,,,,,,,,,,,,,
241,PT06M18.00S,2021-03-30T00:23:06.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202689,91.40932982917214,44.921875,1610612738,42,44,2021-03-30T00:23:11Z,2400000,-25.0,28.0,1,right,K. Walker driving reverse Layup (7 PTS),[202689],1610612738.0,BOS,driving reverse,,,Walker,K. Walker,,,,,3.8,Made,,7.0,,,,,,,,,,,,,,,,,
242,PT06M04.00S,2021-03-30T00:23:20.2Z,2,REGULAR,3pt,Jump Shot,[],1628404,21.76412614980289,87.32383578431373,1610612740,42,47,2021-03-30T00:23:26Z,2410000,-187.0,152.0,1,left,J. Hart 24' 3PT  (15 PTS) (K. Lewis Jr. 4 AST),"[1628404, 1630184]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,24.07,Made,,15.0,K. Lewis Jr.,1630184.0,4.0,,,,,,,,,,,,,,
244,PT05M44.00S,2021-03-30T00:23:42.9Z,2,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612738,42,47,2021-03-30T00:23:55Z,2430000,,,0,,J. Hart shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628404, 1628369]",1610612740.0,NOP,shooting,,,Hart,J. Hart,,,,,,,,,,,,201639.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,
246,PT05M44.00S,2021-03-30T00:24:11.0Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,43,47,2021-03-30T00:24:11Z,2450000,,,0,,J. Tatum Free Throw 1 of 2 (17 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,17.0,,,,,,,,,,,,,,,,,
247,PT05M44.00S,2021-03-30T00:24:11.8Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,43,47,2021-03-30T00:24:26Z,2460000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT05M44.00S,2021-03-30T00:24:11.8Z,2,REGULAR,substitution,out,[],1628436,,,1610612738,43,47,2021-03-30T00:24:26Z,2470000,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT05M44.00S,2021-03-30T00:24:11.8Z,2,REGULAR,substitution,out,[],1629637,,,1610612738,43,47,2021-03-30T00:24:26Z,2480000,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M44.00S,2021-03-30T00:24:11.8Z,2,REGULAR,substitution,in,[],1629057,,,1610612738,43,47,2021-03-30T00:24:26Z,2490000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M44.00S,2021-03-30T00:24:11.8Z,2,REGULAR,substitution,in,[],203935,,,1610612738,43,47,2021-03-30T00:24:26Z,2500000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M44.00S,2021-03-30T00:24:11.8Z,2,REGULAR,substitution,in,[],203500,,,1610612738,43,47,2021-03-30T00:24:26Z,2510000,,,0,,SUB in: S. Adams,[203500],1610612740.0,NOP,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT05M44.00S,2021-03-30T00:24:31.3Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,44,47,2021-03-30T00:24:31Z,2520000,,,0,,J. Tatum Free Throw 2 of 2 (18 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,18.0,,,,,,,,,,,,,,,,,
254,PT05M32.00S,2021-03-30T00:24:48.5Z,2,REGULAR,foul,personal,[],1629684,,,1610612740,44,47,2021-03-30T00:25:18Z,2530000,,,0,,G. Williams personal FOUL (3 PF),"[1629684, 1627742]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,203591.0,3.0,0.0,Ingram,1627742.0,,,,,,,,,
256,PT05M32.00S,2021-03-30T00:25:00.1Z,2,REGULAR,substitution,out,[],1629684,,,1610612740,44,47,2021-03-30T00:25:04Z,2550000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT05M32.00S,2021-03-30T00:25:00.1Z,2,REGULAR,substitution,in,[],203095,,,1610612740,44,47,2021-03-30T00:25:04Z,2560000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT05M22.00S,2021-03-30T00:25:27.0Z,2,REGULAR,turnover,lost ball,[],1627742,,,1610612740,44,47,2021-03-30T00:25:33Z,2570000,,,0,,B. Ingram lost ball TURNOVER (2 TO),"[1627742, 1628369]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,2.0,Tatum,1628369.0,
259,PT05M22.00S,2021-03-30T00:25:27.0Z,2,REGULAR,steal,,[],1628369,,,1610612738,44,47,2021-03-30T00:25:29Z,2580000,,,0,,J. Tatum STEAL (2 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT05M17.00S,2021-03-30T00:25:32.6Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202689,65.91655716162943,55.21599264705882,1610612738,44,47,2021-03-30T00:25:38Z,2590000,26.0,268.0,1,right,MISS K. Walker 26' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.92,Missed,,,,,,,,,,,,,,,,,,,
261,PT05M16.00S,2021-03-30T00:25:33.6Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,44,47,2021-03-30T00:25:59Z,2600000,,,0,,J. Hart REBOUND (Off:0 Def:7),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,260.0,,,,,,,,,,7.0,7.0,0.0,,,,,,
