actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
164,PT00M06.70S,2021-02-18T01:06:47.3Z,1,REGULAR,block,,[],1629057,,,1610612737,35,33,2021-02-18T01:06:49Z,1610000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M03.50S,2021-02-18T01:06:50.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,35,33,2021-02-18T01:06:56Z,1620000,,,0,,P. Pritchard REBOUND (Off:1 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,163.0,2.0,1.0,1.0,,,,,,,,,,,,,,
166,PT00M01.00S,2021-02-18T01:06:54.3Z,1,REGULAR,2pt,Jump Shot,[],1630202,71.96123521681997,32.176776960784316,1610612738,35,33,2021-02-18T01:07:25Z,1630000,-89.0,211.0,1,right,MISS P. Pritchard 22' pullup Shot,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,22.91,Missed,,,,,,,,,,,,,,,,,,
167,PT00M00.10S,2021-02-18T01:06:55.2Z,1,REGULAR,rebound,defensive,[],1630219,,,1610612737,35,33,2021-02-18T01:07:25Z,1640000,,,0,,S. Mays REBOUND (Off:0 Def:1),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,166.0,1.0,1.0,0.0,,,,,,,,,,,,,,
168,PT00M00.00S,2021-02-18T01:07:01.4Z,1,REGULAR,period,end,[],0,,,1610612737,35,33,2021-02-18T01:07:25Z,1650000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-02-18T01:09:07.5Z,2,REGULAR,substitution,out,['startperiod'],1628981,,,1610612737,35,33,2021-02-18T01:09:32Z,1660000,,,0,,SUB out: B. Fernando,[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-02-18T01:09:07.5Z,2,REGULAR,substitution,in,['startperiod'],203991,,,1610612737,35,33,2021-02-18T01:09:32Z,1670000,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2021-02-18T01:09:41.3Z,2,REGULAR,period,start,[],0,,,1610612738,35,33,2021-02-18T01:09:41Z,1680000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT11M51.00S,2021-02-18T01:09:49.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,83.78777923784494,50.06893382352941,1610612738,37,33,2021-02-18T01:09:58Z,1690000,0.0,100.0,1,right,J. Tatum 9' driving floating Jump Shot (9 PTS) (A. Nesmith 1 AST),"[1628369, 1630174]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,9.99,Made,,,,,9.0,A. Nesmith,1630174.0,1.0,,,,,,,,,,
173,PT11M26.00S,2021-02-18T01:10:13.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201568,13.87976346911958,41.00030637254902,1610612737,37,33,2021-02-18T01:10:20Z,1700000,45.0,78.0,1,left,MISS D. Gallinari 9' turnaround Shot,[201568],1610612737.0,ATL,turnaround,,,Gallinari,D. Gallinari,,,,,9.0,Missed,,,,,,,,,,,,,,,,,,
174,PT11M23.00S,2021-02-18T01:10:16.4Z,2,REGULAR,rebound,offensive,[],203991,,,1610612737,37,33,2021-02-18T01:10:20Z,1710000,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,173.0,3.0,2.0,1.0,,,,,,,,,,,,,,
175,PT11M23.00S,2021-02-18T01:10:16.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,5.590000152587891,50.0,1610612737,37,35,2021-02-18T01:10:16Z,1720000,0.0,0.0,1,left,C. Capela tip Layup (6 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,0.0,Made,,,,,6.0,,,,,,,,,,,,,
176,PT11M10.00S,2021-02-18T01:10:30.1Z,2,REGULAR,3pt,Jump Shot,[],1628369,67.7562417871222,30.215992647058826,1610612738,37,35,2021-02-18T01:10:36Z,1730000,-99.0,251.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.94,Missed,,,,,,,,,,,,,,,,,,
177,PT11M08.00S,2021-02-18T01:10:32.1Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,37,35,2021-02-18T01:10:36Z,1740000,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,176.0,4.0,3.0,1.0,,,,,,,,,,,,,,
178,PT10M53.00S,2021-02-18T01:10:48.9Z,2,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612737,37,35,2021-02-18T01:10:59Z,1750000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Mays 2 FT),"[1629057, 1630219]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Mays,1630219.0,,
180,PT10M53.00S,2021-02-18T01:11:13.4Z,2,REGULAR,freethrow,1 of 2,[],1630219,,,1610612737,37,35,2021-02-18T01:11:13Z,1770000,,,0,,MISS S. Mays Free Throw 1 of 2,[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,Missed,,,,,,,,,,,,,,,,,,
181,PT10M53.00S,2021-02-18T01:11:13.4Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,37,35,2021-02-18T01:11:13Z,1780000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,
182,PT10M53.00S,2021-02-18T01:11:25.1Z,2,REGULAR,freethrow,2 of 2,[],1630219,,,1610612737,37,36,2021-02-18T01:11:25Z,1790000,,,0,,S. Mays Free Throw 2 of 2 (1 PTS),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
183,PT10M37.00S,2021-02-18T01:11:44.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,91.93495400788436,50.06893382352941,1610612738,39,36,2021-02-18T01:11:49Z,1800000,0.0,23.0,1,right,P. Pritchard driving finger roll Layup (6 PTS),[1630202],1610612738.0,BOS,driving finger roll,,,Pritchard,P. Pritchard,,,,,2.33,Made,,,,,6.0,,,,,,,,,,,,,
184,PT10M24.00S,2021-02-18T01:11:56.1Z,2,REGULAR,3pt,Jump Shot,[],203524,6.258212877792378,94.921875,1610612737,39,36,2021-02-18T01:12:01Z,1810000,-225.0,6.0,1,left,MISS S. Hill 3PT,[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,22.47,Missed,,,,,,,,,,,,,,,,,,
185,PT10M22.00S,2021-02-18T01:11:58.1Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,39,36,2021-02-18T01:12:01Z,1820000,,,0,,A. Nesmith REBOUND (Off:0 Def:3),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,184.0,3.0,3.0,0.0,,,,,,,,,,,,,,
186,PT10M13.00S,2021-02-18T01:12:07.3Z,2,REGULAR,3pt,Jump Shot,[],1629684,70.64717477003943,21.637561274509803,1610612738,39,36,2021-02-18T01:12:13Z,1830000,-142.0,223.0,1,right,MISS G. Williams 26' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,
187,PT10M10.00S,2021-02-18T01:12:10.3Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,39,36,2021-02-18T01:12:13Z,1840000,,,0,,C. Capela REBOUND (Off:1 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,186.0,5.0,4.0,1.0,,,,,,,,,,,,,,
188,PT09M56.00S,2021-02-18T01:12:24.3Z,2,REGULAR,3pt,Jump Shot,[],203503,31.35676741130092,52.27481617647059,1610612737,39,36,2021-02-18T01:12:30Z,1850000,-11.0,242.0,1,left,MISS T. Snell 24' 3PT,[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,24.26,Missed,,,,,,,,,,,,,,,,,,
189,PT09M53.00S,2021-02-18T01:12:27.3Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,39,36,2021-02-18T01:12:30Z,1860000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,188.0,1.0,1.0,0.0,,,,,,,,,,,,,,
190,PT09M35.00S,2021-02-18T01:12:45.1Z,2,REGULAR,3pt,Jump Shot,[],1630202,62.69916228646518,25.084252450980394,1610612738,39,36,2021-02-18T01:12:55Z,1870000,-125.0,298.0,1,right,MISS P. Pritchard 32' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,32.31,Missed,,,,,,,,,,,,,,,,,,
191,PT09M33.00S,2021-02-18T01:12:47.1Z,2,REGULAR,rebound,offensive,[],1630174,,,1610612738,39,36,2021-02-18T01:12:55Z,1880000,,,0,,A. Nesmith REBOUND (Off:1 Def:3),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,190.0,4.0,3.0,1.0,,,,,,,,,,,,,,
192,PT09M18.00S,2021-02-18T01:13:02.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629684,82.86793692509855,45.41207107843137,1610612738,39,36,2021-02-18T01:13:10Z,1890000,-23.0,109.0,1,right,MISS G. Williams 11' driving floating Shot,[1629684],1610612738.0,BOS,driving floating,,,Williams,G. Williams,,,,,11.09,Missed,,,,,,,,,,,,,,,,,,
193,PT09M17.00S,2021-02-18T01:13:04.3Z,2,REGULAR,rebound,offensive,[],1630174,,,1610612738,39,36,2021-02-18T01:13:04Z,1900000,,,0,,A. Nesmith REBOUND (Off:2 Def:3),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,192.0,5.0,3.0,2.0,,,,,,,,,,,,,,
194,PT09M17.00S,2021-02-18T01:13:09.0Z,2,REGULAR,turnover,out-of-bounds,[],1630174,,,1610612738,39,36,2021-02-18T01:18:56Z,1910000,,,0,,A. Nesmith lost ball out-of-bounds TURNOVER (1 TO),[1630174],1610612738.0,BOS,lost ball,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,1.0,,,,,,,,,
195,PT09M17.00S,2021-02-18T01:13:12.6Z,2,REGULAR,substitution,out,[],1629684,,,1610612737,39,36,2021-02-18T01:13:19Z,1920000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
196,PT09M17.00S,2021-02-18T01:13:12.6Z,2,REGULAR,substitution,out,[],203524,,,1610612737,39,36,2021-02-18T01:13:19Z,1930000,,,0,,SUB out: S. Hill,[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,
197,PT09M17.00S,2021-02-18T01:13:12.6Z,2,REGULAR,substitution,in,[],1628400,,,1610612737,39,36,2021-02-18T01:13:19Z,1940000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
198,PT09M17.00S,2021-02-18T01:13:12.6Z,2,REGULAR,substitution,in,[],1628989,,,1610612737,39,36,2021-02-18T01:13:19Z,1950000,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
199,PT09M03.00S,2021-02-18T01:13:44.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203991,6.1268068331143235,46.63756127450981,1610612737,39,38,2021-02-18T01:13:49Z,1960000,17.0,5.0,1,left,C. Capela driving Layup (8 PTS) (D. Gallinari 1 AST),"[203991, 201568]",1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,1.76,Made,,,,,8.0,D. Gallinari,201568.0,1.0,,,,,,,,,,
201,PT08M49.00S,2021-02-18T01:14:01.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,39,38,2021-02-18T01:14:01Z,1980000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M49.00S,2021-02-18T01:14:02.4Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,39,38,2021-02-18T01:14:11Z,1990000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M49.00S,2021-02-18T01:14:02.4Z,2,REGULAR,substitution,in,[],1629750,,,1610612738,39,38,2021-02-18T01:14:11Z,2000000,,,0,,SUB in: J. Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M49.00S,2021-02-18T01:14:25.1Z,2,REGULAR,substitution,out,[],203503,,,1610612738,39,38,2021-02-18T01:14:28Z,2010000,,,0,,SUB out: T. Snell,[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M49.00S,2021-02-18T01:14:25.1Z,2,REGULAR,substitution,in,[],1629629,,,1610612738,39,38,2021-02-18T01:14:28Z,2020000,,,0,,SUB in: C. Reddish,[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M44.00S,2021-02-18T01:14:38.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,81.94809461235218,55.21599264705882,1610612738,41,38,2021-02-18T01:14:45Z,2030000,26.0,117.0,1,right,J. Tatum 12' turnaround fadeaway Jump Shot (11 PTS) (S. Ojeleye 1 AST),"[1628369, 1628400]",1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,12.01,Made,,,,,11.0,S. Ojeleye,1628400.0,1.0,,,,,,,,,,
208,PT08M21.00S,2021-02-18T01:15:00.8Z,2,REGULAR,3pt,Jump Shot,[],1629629,11.251642575558476,3.5003063725490198,1610612737,41,41,2021-02-18T01:15:07Z,2050000,232.0,53.0,1,left,C. Reddish 3PT  (9 PTS) (K. Huerter 1 AST),"[1629629, 1628989]",1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,23.85,Made,,,,,9.0,K. Huerter,1628989.0,1.0,,,,,,,,,,
211,PT08M00.00S,2021-02-18T01:15:21.7Z,2,REGULAR,3pt,Jump Shot,[],1628369,69.85873850197109,75.06893382352942,1610612738,44,41,2021-02-18T01:15:27Z,2070000,125.0,231.0,1,right,J. Tatum 26' 3PT step back (14 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,26.26,Made,,,,,14.0,,,,,,,,,,,,,
212,PT07M34.00S,2021-02-18T01:15:47.5Z,2,REGULAR,3pt,Jump Shot,[],201568,25.443495400788436,80.21599264705883,1610612737,44,41,2021-02-18T01:15:57Z,2080000,-151.0,187.0,1,left,MISS D. Gallinari 24' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,24.02,Missed,,,,,,,,,,,,,,,,,,
213,PT07M29.00S,2021-02-18T01:15:52.5Z,2,REGULAR,rebound,offensive,[],1630219,,,1610612737,44,41,2021-02-18T01:22:18Z,2090000,,,0,,S. Mays REBOUND (Off:1 Def:1),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,212.0,2.0,1.0,1.0,,,,,,,,,,,,,,
216,PT07M26.00S,2021-02-18T01:15:56.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630219,6.1268068331143235,47.86305147058824,1610612737,44,43,2021-02-18T01:22:22Z,2120000,11.0,5.0,1,left,S. Mays Layup (3 PTS),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,1.19,Made,,,,,3.0,,,,,,,,,,,,,
217,PT07M13.00S,2021-02-18T01:16:08.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,67.23061760840999,68.94148284313727,1610612738,44,43,2021-02-18T01:16:13Z,2130000,95.0,256.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.25,Missed,,,,,,,,,,,,,,,,,,
218,PT07M11.00S,2021-02-18T01:16:10.5Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,44,43,2021-02-18T01:16:13Z,2140000,,,0,,C. Capela REBOUND (Off:1 Def:5),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,217.0,6.0,5.0,1.0,,,,,,,,,,,,,,
219,PT06M53.00S,2021-02-18T01:16:28.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,14.536793692509855,58.892463235294116,1610612737,44,45,2021-02-18T01:16:36Z,2150000,-44.0,84.0,1,left,K. Huerter 9' turnaround fadeaway Jump Shot (2 PTS),[1628989],1610612737.0,ATL,turnaround fadeaway,,,Huerter,K. Huerter,,,,,9.51,Made,,,,,2.0,,,,,,,,,,,,,
220,PT06M43.00S,2021-02-18T01:16:43.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,44,45,2021-02-18T01:16:43Z,2160000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M43.00S,2021-02-18T01:19:03.5Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,44,45,2021-02-18T01:19:23Z,2170000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M43.00S,2021-02-18T01:19:03.5Z,2,REGULAR,substitution,out,[],1630174,,,1610612738,44,45,2021-02-18T01:19:23Z,2180000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M43.00S,2021-02-18T01:19:03.5Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,44,45,2021-02-18T01:19:23Z,2190000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M43.00S,2021-02-18T01:19:03.5Z,2,REGULAR,substitution,out,[],1630219,,,1610612738,44,45,2021-02-18T01:19:23Z,2200000,,,0,,SUB out: S. Mays,[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M43.00S,2021-02-18T01:19:03.5Z,2,REGULAR,substitution,out,[],201568,,,1610612738,44,45,2021-02-18T01:19:23Z,2210000,,,0,,SUB out: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M43.00S,2021-02-18T01:19:03.5Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,44,45,2021-02-18T01:19:23Z,2220000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M43.00S,2021-02-18T01:19:03.5Z,2,REGULAR,substitution,in,[],1630202,,,1610612738,44,45,2021-02-18T01:19:23Z,2230000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M43.00S,2021-02-18T01:19:03.5Z,2,REGULAR,substitution,in,[],202684,,,1610612738,44,45,2021-02-18T01:19:23Z,2240000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M43.00S,2021-02-18T01:19:03.5Z,2,REGULAR,substitution,in,[],1629027,,,1610612738,44,45,2021-02-18T01:19:23Z,2250000,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M43.00S,2021-02-18T01:19:03.5Z,2,REGULAR,substitution,in,[],1628381,,,1610612738,44,45,2021-02-18T01:19:23Z,2260000,,,0,,SUB in: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M31.00S,2021-02-18T01:19:47.2Z,2,REGULAR,turnover,bad pass,[],1630202,,,1610612738,44,45,2021-02-18T01:19:52Z,2270000,,,0,,P. Pritchard bad pass TURNOVER (2 TO),"[1630202, 1628989]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,2.0,Huerter,1628989.0,,,,,,,
232,PT06M31.00S,2021-02-18T01:19:47.2Z,2,REGULAR,steal,,[],1628989,,,1610612737,44,45,2021-02-18T01:19:49Z,2280000,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M27.00S,2021-02-18T01:19:51.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203991,5.732588699080158,50.55912990196079,1610612737,44,47,2021-02-18T01:20:01Z,2290000,-3.0,1.0,1,left,C. Capela running DUNK (10 PTS) (J. Collins 1 AST),"[203991, 1628381]",1610612737.0,ATL,running,,,Capela,C. Capela,,,,,0.31,Made,,,,,10.0,J. Collins,1628381.0,1.0,,,,,,,,,,
235,PT06M03.00S,2021-02-18T01:20:18.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,87.46714848883047,49.57873774509804,1610612738,44,47,2021-02-18T01:20:40Z,2310000,-2.0,65.0,1,right,MISS J. Green 6' cutting Layup,[1629750],1610612738.0,BOS,cutting,,,Green,J. Green,,,,,6.53,Missed,,,,,,,,,,,,,,,,,,
237,PT06M02.00S,2021-02-18T01:20:19.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,44,47,2021-02-18T01:20:40Z,2330000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,235.0,,,,,,,,,,,,,,,,,
238,PT06M02.00S,2021-02-18T01:20:24.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,44,47,2021-02-18T01:20:24Z,2340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M01.00S,2021-02-18T01:20:45.2Z,2,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,44,47,2021-02-18T01:21:22Z,2350000,,,0,,J. Brown lost ball out-of-bounds TURNOVER (2 TO),[1627759],1610612738.0,BOS,lost ball,,,Brown,J. Brown,,,,,,,,,,,,,,,2.0,,,,,,,,,
240,PT05M46.00S,2021-02-18T01:21:04.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,30.436925098554536,68.94148284313727,1610612737,44,47,2021-02-18T01:21:24Z,2360000,-95.0,234.0,1,left,MISS T. Young 25' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,
241,PT05M42.00S,2021-02-18T01:21:08.6Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,44,47,2021-02-18T01:21:08Z,2370000,,,0,,S. Ojeleye REBOUND (Off:0 Def:2),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,240.0,2.0,2.0,0.0,,,,,,,,,,,,,,
242,PT05M30.00S,2021-02-18T01:21:22.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628400,84.83902759526939,49.08854166666667,1610612738,44,47,2021-02-18T01:30:59Z,2380000,-5.0,90.0,1,right,MISS S. Ojeleye 9' turnaround Shot,[1628400],1610612738.0,BOS,turnaround,,,Ojeleye,S. Ojeleye,,,,,9.01,Missed,,,,,,,,,,,,,,,,,,
243,PT05M29.00S,2021-02-18T01:21:23.3Z,2,REGULAR,rebound,defensive,[],1629027,,,1610612737,44,47,2021-02-18T01:21:35Z,2390000,,,0,,T. Young REBOUND (Off:0 Def:2),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,242.0,2.0,2.0,0.0,,,,,,,,,,,,,,
244,PT05M05.00S,2021-02-18T01:21:46.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,11.12023653088042,46.88265931372549,1610612737,44,49,2021-02-18T01:21:53Z,2400000,16.0,52.0,1,left,T. Young driving floating Jump Shot (11 PTS) (J. Collins 2 AST),"[1629027, 1628381]",1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,5.43,Made,,,,,11.0,J. Collins,1628381.0,2.0,,,,,,,,,,
246,PT04M37.00S,2021-02-18T01:22:13.6Z,2,REGULAR,2pt,Jump Shot,[],1627759,78.9257555847569,44.921875,1610612738,44,49,2021-02-18T01:22:26Z,2420000,-25.0,146.0,1,right,MISS J. Brown 14' Jump Shot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,14.78,Missed,,,,,,,,,,,,,,,,,,
247,PT04M35.00S,2021-02-18T01:22:16.3Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,44,49,2021-02-18T01:22:16Z,2430000,,,0,,C. Capela REBOUND (Off:1 Def:6),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,246.0,7.0,6.0,1.0,,,,,,,,,,,,,,
248,PT04M25.00S,2021-02-18T01:22:26.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,7.440867279894875,55.951286764705884,1610612737,44,49,2021-02-18T01:22:33Z,2440000,-30.0,17.0,1,left,MISS J. Collins Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,3.45,Missed,,,,,,,,,,,,,,,,,,
249,PT04M22.00S,2021-02-18T01:22:29.5Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,44,49,2021-02-18T01:22:33Z,2450000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,248.0,2.0,2.0,0.0,,,,,,,,,,,,,,
250,PT04M18.00S,2021-02-18T01:22:35.8Z,2,REGULAR,foul,personal,['2freethrow'],1629629,,,1610612738,44,49,2021-02-18T01:22:43Z,2460000,,,0,,C. Reddish shooting personal FOUL (2 PF) (Brown 2 FT),"[1629629, 1627759]",1610612737.0,ATL,shooting,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,1204.0,2.0,0.0,Brown,1627759.0,,
252,PT04M18.00S,2021-02-18T01:22:59.4Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1627759,,,1610612738,45,49,2021-02-18T01:22:59Z,2480000,,,0,,J. Brown Free Throw 1 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
