actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
24,PT10M09.00S,2021-04-04T22:13:30.7Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,3,6,2021-04-04T22:13:36Z,240000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT10M05.00S,2021-04-04T22:13:37.8Z,1,REGULAR,turnover,out-of-bounds,[],1628970,,,1610612766,3,6,2021-04-04T22:13:44Z,250000,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (1 TO),[1628970],1610612766.0,CHA,bad pass,,,Bridges,M. Bridges,,,,,,,,,,,202049.0,,,,,,,,,1.0,,,,,
26,PT09M55.00S,2021-04-04T22:13:51.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629057,87.99277266754271,39.28462009803921,1610612738,5,6,2021-04-04T22:13:57Z,260000,-54.0,60.0,1,right,R. Williams III 8' cutting Layup (2 PTS) (K. Walker 1 AST),"[1629057, 202689]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,8.08,Made,,,,,,,,,,2.0,K. Walker,202689.0,1.0,,,,,,
28,PT09M48.00S,2021-04-04T22:13:58.3Z,1,REGULAR,3pt,Jump Shot,[],1626179,26.363337713534822,82.91207107843137,1610612766,5,9,2021-04-04T22:14:04Z,280000,-165.0,195.0,1,left,T. Rozier 25' 3PT  (6 PTS) (D. Graham 1 AST),"[1626179, 1628984]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,25.54,Made,,,,,,,,,,6.0,D. Graham,1628984.0,1.0,,,,,,
30,PT09M25.00S,2021-04-04T22:14:21.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,89.04402102496715,96.6375612745098,1610612738,5,9,2021-04-04T22:15:51Z,300000,233.0,50.0,1,right,MISS J. Tatum step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,23.86,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M23.00S,2021-04-04T22:14:23.2Z,1,REGULAR,rebound,defensive,[],202687,,,1610612766,5,9,2021-04-04T22:14:26Z,310000,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
32,PT09M06.00S,2021-04-04T22:14:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,15.982260183968464,57.666973039215684,1610612766,5,9,2021-04-04T22:14:58Z,320000,-38.0,98.0,1,left,MISS T. Rozier 10' floating Shot,[1626179],1610612766.0,CHA,floating,,,Rozier,T. Rozier,,,,,10.49,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M03.00S,2021-04-04T22:14:43.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,5,9,2021-04-04T22:14:58Z,330000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,
34,PT09M03.00S,2021-04-04T22:14:47.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,5,9,2021-04-04T22:14:47Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M57.00S,2021-04-04T22:15:06.9Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,5,9,2021-04-04T22:15:11Z,350000,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1629057]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,1.0,Williams III,1629057.0,,,
36,PT08M57.00S,2021-04-04T22:15:06.9Z,1,REGULAR,steal,,[],1629057,,,1610612738,5,9,2021-04-04T22:15:08Z,360000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M51.00S,2021-04-04T22:15:12.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629057,91.01511169513797,44.921875,1610612738,7,9,2021-04-04T22:15:21Z,370000,-25.0,32.0,1,right,R. Williams III running DUNK (4 PTS) (K. Walker 2 AST),"[1629057, 202689]",1610612738.0,BOS,running,,,Williams III,R. Williams III,,,,,4.09,Made,,,,,,,,,,4.0,K. Walker,202689.0,2.0,,,,,,
39,PT08M27.00S,2021-04-04T22:15:36.7Z,1,REGULAR,turnover,lost ball,[],1629023,,,1610612766,7,9,2021-04-04T22:15:43Z,390000,,,0,,P. Washington lost ball TURNOVER (1 TO),"[1629023, 202689]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,1.0,Walker,202689.0,,,
40,PT08M27.00S,2021-04-04T22:15:36.7Z,1,REGULAR,steal,,[],202689,,,1610612738,7,9,2021-04-04T22:15:38Z,400000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M23.00S,2021-04-04T22:15:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,90.22667542706965,48.84344362745098,1610612738,7,9,2021-04-04T22:15:53Z,410000,-6.0,39.0,1,right,MISS J. Brown running finger roll Layup,[1627759],1610612738.0,BOS,running finger roll,,,Brown,J. Brown,,,,,3.98,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M21.00S,2021-04-04T22:15:43.2Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,7,9,2021-04-04T22:15:43Z,420000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,41.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
43,PT08M12.00S,2021-04-04T22:15:52.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1627759,67.62483574244416,66.24540441176471,1610612738,7,9,2021-04-04T22:16:05Z,430000,81.0,252.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M09.00S,2021-04-04T22:15:55.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,7,9,2021-04-04T22:16:05Z,440000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,
45,PT08M09.00S,2021-04-04T22:15:59.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612766,7,9,2021-04-04T22:16:04Z,450000,,,0,,J. Tatum loose ball personal FOUL (1 PF),"[1628369, 1626179]",1610612738.0,BOS,loose ball,,,Tatum,J. Tatum,,,,,,,,,,,2005.0,1.0,0.0,Rozier,1626179.0,,,,,,,,,,
48,PT07M57.00S,2021-04-04T22:16:23.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628970,7.966491458607096,48.84344362745098,1610612766,7,11,2021-04-04T22:16:28Z,470000,6.0,22.0,1,left,M. Bridges cutting DUNK (5 PTS) (B. Biyombo 2 AST),"[1628970, 202687]",1610612766.0,CHA,cutting,,,Bridges,M. Bridges,,,,,2.31,Made,,,,,,,,,,5.0,B. Biyombo,202687.0,2.0,,,,,,
50,PT07M37.00S,2021-04-04T22:16:43.3Z,1,REGULAR,3pt,Jump Shot,[],202689,74.72076215505913,12.568933823529413,1610612738,7,11,2021-04-04T22:16:53Z,490000,-187.0,185.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M33.00S,2021-04-04T22:16:47.3Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,7,11,2021-04-04T22:16:53Z,500000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
52,PT07M27.00S,2021-04-04T22:16:55.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,7,11,2021-04-04T22:16:55Z,510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M25.00S,2021-04-04T22:17:14.5Z,1,REGULAR,2pt,Jump Shot,[],1628984,17.95335085413929,81.68658088235294,1610612766,7,13,2021-04-04T22:17:23Z,520000,-158.0,116.0,1,left,D. Graham 19' Jump Shot (2 PTS) (M. Bridges 2 AST),"[1628984, 1628970]",1610612766.0,CHA,,,,Graham,D. Graham,,,,,19.65,Made,,,,,,,,,,2.0,M. Bridges,1628970.0,2.0,,,,,,
55,PT07M07.00S,2021-04-04T22:17:35.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,7,13,2021-04-04T22:17:35Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M07.00S,2021-04-04T22:17:38.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,7,13,2021-04-04T22:17:38Z,550000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M58.00S,2021-04-04T22:20:39.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,86.28449408672799,95.90226715686273,1610612738,7,13,2021-04-04T22:20:51Z,560000,230.0,76.0,1,right,MISS J. Tatum 24' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,24.19,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M55.00S,2021-04-04T22:20:42.5Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612766,7,13,2021-04-04T22:20:51Z,570000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
59,PT06M52.00S,2021-04-04T22:20:44.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628984,26.62614980289093,20.412071078431374,1610612766,7,16,2021-04-04T22:22:05Z,580000,148.0,198.0,1,left,D. Graham 24' 3PT running pullup (5 PTS),[1628984],1610612766.0,CHA,running pullup,,,Graham,D. Graham,,,,,24.7,Made,,,,,,,,,,5.0,,,,,,,,,
60,PT06M33.00S,2021-04-04T22:21:05.6Z,1,REGULAR,foul,personal,['2freethrow'],202687,,,1610612738,7,16,2021-04-04T22:21:20Z,590000,,,0,,B. Biyombo shooting personal FOUL (1 PF) (Williams III 2 FT),"[202687, 1629057]",1610612766.0,CHA,shooting,,,Biyombo,B. Biyombo,,,,,,,,,,,1627524.0,1.0,0.0,Williams III,1629057.0,,,,,,,,,,
62,PT06M33.00S,2021-04-04T22:21:27.3Z,1,REGULAR,freethrow,1 of 2,[],1629057,,,1610612738,8,16,2021-04-04T22:21:27Z,610000,,,0,,R. Williams III Free Throw 1 of 2 (5 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,,,,,,,,,,5.0,,,,,,,,,
63,PT06M33.00S,2021-04-04T22:21:27.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,8,16,2021-04-04T22:21:31Z,620000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M33.00S,2021-04-04T22:21:27.9Z,1,REGULAR,substitution,in,[],203095,,,1610612738,8,16,2021-04-04T22:21:31Z,630000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M33.00S,2021-04-04T22:21:45.1Z,1,REGULAR,freethrow,2 of 2,[],1629057,,,1610612738,9,16,2021-04-04T22:21:45Z,640000,,,0,,R. Williams III Free Throw 2 of 2 (6 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,,,,,,,,,,6.0,,,,,,,,,
66,PT06M13.00S,2021-04-04T22:22:05.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,15.193823915900131,38.05912990196079,1610612766,9,18,2021-04-04T22:22:12Z,650000,60.0,90.0,1,left,T. Rozier 10' pullup Jump Shot (8 PTS),[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,10.83,Made,,,,,,,,,,8.0,,,,,,,,,
67,PT05M51.00S,2021-04-04T22:22:30.6Z,1,REGULAR,foul,personal,[],1629023,,,1610612738,9,18,2021-04-04T22:22:46Z,660000,,,0,,P. Washington personal FOUL (1 PF),"[1629023, 1627759]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,1627524.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
69,PT05M51.00S,2021-04-04T22:22:42.6Z,1,REGULAR,substitution,out,[],1628970,,,1610612738,9,18,2021-04-04T22:22:48Z,680000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M51.00S,2021-04-04T22:22:42.6Z,1,REGULAR,substitution,out,[],1628984,,,1610612738,9,18,2021-04-04T22:22:48Z,690000,,,0,,SUB out: D. Graham,[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M51.00S,2021-04-04T22:22:42.6Z,1,REGULAR,substitution,in,[],202954,,,1610612738,9,18,2021-04-04T22:22:48Z,700000,,,0,,SUB in: B. Wanamaker,[202954],1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M51.00S,2021-04-04T22:22:42.6Z,1,REGULAR,substitution,in,[],1628998,,,1610612738,9,18,2021-04-04T22:22:48Z,710000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M46.00S,2021-04-04T22:23:04.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,78.13731931668858,6.686580882352941,1610612738,12,18,2021-04-04T22:23:14Z,720000,-217.0,153.0,1,right,J. Brown 26' 3PT  (6 PTS) (R. Williams III 2 AST),"[1627759, 1629057]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.52,Made,,,,,,,,,,6.0,R. Williams III,1629057.0,2.0,,,,,,
75,PT05M25.00S,2021-04-04T22:23:24.3Z,1,REGULAR,2pt,Jump Shot,[],1629023,11.383048620236531,30.215992647058826,1610612766,12,18,2021-04-04T22:23:44Z,740000,99.0,55.0,1,left,MISS P. Washington 11' fadeaway Shot,[1629023],1610612766.0,CHA,fadeaway,,,Washington,P. Washington,,,,,11.29,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M24.00S,2021-04-04T22:23:25.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,12,18,2021-04-04T22:23:44Z,750000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,
77,PT05M24.00S,2021-04-04T22:23:31.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,12,18,2021-04-04T22:23:31Z,760000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M03.00S,2021-04-04T22:24:03.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.17936925098554,41.490502450980394,1610612738,15,18,2021-04-04T22:24:09Z,770000,-43.0,265.0,1,right,J. Brown 26' 3PT  (9 PTS) (E. Fournier 1 AST),"[1627759, 203095]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.88,Made,,,,,,,,,,9.0,E. Fournier,203095.0,1.0,,,,,,
80,PT04M36.00S,2021-04-04T22:24:29.5Z,1,REGULAR,3pt,Jump Shot,[],1626179,21.369908015768726,7.666973039215687,1610612766,15,18,2021-04-04T22:24:37Z,790000,212.0,148.0,1,left,MISS T. Rozier 25' step back 3PT,[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
81,PT04M33.00S,2021-04-04T22:24:32.5Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,15,18,2021-04-04T22:24:37Z,800000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,80.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
82,PT04M29.00S,2021-04-04T22:24:36.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,69.20170827858082,76.29442401960785,1610612738,15,18,2021-04-04T22:24:44Z,810000,131.0,237.0,1,right,MISS J. Brown 27' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,27.1,Missed,,,,,,,,,,,,,,,,,,,
83,PT04M26.00S,2021-04-04T22:24:39.6Z,1,REGULAR,rebound,defensive,[],202954,,,1610612766,15,18,2021-04-04T22:24:44Z,820000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612766.0,CHA,,,,Wanamaker,B. Wanamaker,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
84,PT04M23.00S,2021-04-04T22:24:48.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,15,18,2021-04-04T22:24:48Z,830000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M23.00S,2021-04-04T22:24:52.5Z,1,REGULAR,substitution,out,[],203935,,,1610612766,15,18,2021-04-04T22:27:29Z,840000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M23.00S,2021-04-04T22:24:52.5Z,1,REGULAR,substitution,out,[],1629057,,,1610612766,15,18,2021-04-04T22:27:29Z,850000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M23.00S,2021-04-04T22:24:52.5Z,1,REGULAR,substitution,out,[],202687,,,1610612766,15,18,2021-04-04T22:27:29Z,860000,,,0,,SUB out: B. Biyombo,[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M23.00S,2021-04-04T22:24:52.5Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,15,18,2021-04-04T22:27:29Z,870000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M23.00S,2021-04-04T22:24:52.5Z,1,REGULAR,substitution,in,[],1630202,,,1610612766,15,18,2021-04-04T22:27:29Z,880000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M23.00S,2021-04-04T22:24:52.5Z,1,REGULAR,substitution,in,[],1628436,,,1610612766,15,18,2021-04-04T22:27:29Z,890000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M23.00S,2021-04-04T22:24:52.5Z,1,REGULAR,substitution,in,[],1628970,,,1610612766,15,18,2021-04-04T22:27:29Z,900000,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M23.00S,2021-04-04T22:24:52.5Z,1,REGULAR,substitution,in,[],203469,,,1610612766,15,18,2021-04-04T22:27:29Z,910000,,,0,,SUB in: C. Zeller,[203469],1610612766.0,CHA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M10.00S,2021-04-04T22:27:57.6Z,1,REGULAR,2pt,Jump Shot,[],1626179,21.369908015768726,46.88265931372549,1610612766,15,20,2021-04-04T22:28:03Z,920000,16.0,148.0,1,left,T. Rozier 14' pullup Jump Shot (10 PTS),[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,14.92,Made,,,,,,,,,,10.0,,,,,,,,,
94,PT03M53.00S,2021-04-04T22:28:13.4Z,1,REGULAR,3pt,Jump Shot,[],202689,81.02825229960578,4.725796568627451,1610612738,15,20,2021-04-04T22:28:18Z,930000,-226.0,126.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
