actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,stealPlayerName,stealPersonId
97,PT05M00.00S,2021-02-27T01:03:02.3Z,1,REGULAR,substitution,out,[],202684,,,1610612738,15,20,2021-02-27T01:03:06Z,910000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M00.00S,2021-02-27T01:03:02.3Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,15,20,2021-02-27T01:03:06Z,920000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT05M00.00S,2021-02-27T01:03:22.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202689,,,1610612738,16,20,2021-02-27T01:03:22Z,930000,,,0,,K. Walker Free Throw 2 of 2 (10 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,,,,10.0,,,,,,,,,,,
100,PT04M46.00S,2021-02-27T01:03:37.9Z,1,REGULAR,3pt,Jump Shot,[],1627763,30.305519053876477,65.75520833333334,1610612754,16,20,2021-02-27T01:03:42Z,940000,-79.0,232.0,1,left,MISS M. Brogdon 24' 3PT,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,24.54,Missed,,,,,,,,,,,,,,,,,,,
101,PT04M44.00S,2021-02-27T01:03:39.9Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,16,20,2021-02-27T01:03:42Z,950000,,,0,,M. Turner REBOUND (Off:1 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,100.0,3.0,2.0,1.0,,,,,,,,,,,,,
102,PT04M42.00S,2021-02-27T01:03:41.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627734,31.61957950065703,38.549325980392155,1610612754,16,20,2021-02-27T01:03:45Z,960000,57.0,245.0,1,left,MISS D. Sabonis 25' 3PT,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,,
103,PT04M38.00S,2021-02-27T01:03:45.7Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,16,20,2021-02-27T01:03:45Z,970000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,102.0,1.0,1.0,0.0,,,,,,,,,,,,,
104,PT04M24.00S,2021-02-27T01:03:58.8Z,1,REGULAR,3pt,Jump Shot,[],1630202,87.07293035479631,95.90226715686273,1610612738,19,20,2021-02-27T01:04:03Z,980000,230.0,69.0,1,right,P. Pritchard 3PT  (3 PTS) (K. Walker 2 AST),"[1630202, 202689]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,23.96,Made,,,,,,,,3.0,K. Walker,202689.0,2.0,,,,,,,,
106,PT04M19.00S,2021-02-27T01:04:09.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,19,20,2021-02-27T01:04:09Z,1000000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M19.00S,2021-02-27T01:07:13.7Z,1,REGULAR,substitution,out,[],1627734,,,1610612754,19,20,2021-02-27T01:07:22Z,1010000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M19.00S,2021-02-27T01:07:13.7Z,1,REGULAR,substitution,in,[],203087,,,1610612754,19,20,2021-02-27T01:07:22Z,1020000,,,0,,SUB in: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M11.00S,2021-02-27T01:07:38.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,14.931011826544022,35.60814950980392,1610612754,19,22,2021-02-27T01:07:44Z,1030000,72.0,88.0,1,left,T. McConnell 11' fadeaway Jump Shot (4 PTS) (J. Holiday 2 AST),"[204456, 203200]",1610612754.0,IND,fadeaway,,,McConnell,T. McConnell,,,,,11.36,Made,,,,,,,,4.0,J. Holiday,203200.0,2.0,,,,,,,,
110,PT03M56.00S,2021-02-27T01:07:53.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.9862023653088,49.82383578431372,1610612738,21,22,2021-02-27T01:07:58Z,1040000,-1.0,13.0,1,right,R. Williams III cutting DUNK (2 PTS) (D. Theis 1 AST),"[1629057, 1628464]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,1.34,Made,,,,,,,,2.0,D. Theis,1628464.0,1.0,,,,,,,,
112,PT03M33.00S,2021-02-27T01:08:16.1Z,1,REGULAR,3pt,Jump Shot,[],203200,17.16491458607096,2.7650122549019605,1610612754,21,25,2021-02-27T01:08:20Z,1060000,236.0,109.0,1,left,J. Holiday 26' 3PT  (6 PTS) (M. Brogdon 3 AST),"[203200, 1627763]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.01,Made,,,,,,,,6.0,M. Brogdon,1627763.0,3.0,,,,,,,,
114,PT03M20.00S,2021-02-27T01:08:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,81.553876478318,40.26501225490196,1610612738,23,25,2021-02-27T01:08:33Z,1080000,-49.0,121.0,1,right,D. Theis 13' Jump Shot (5 PTS) (J. Brown 1 AST),"[1628464, 1627759]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,13.03,Made,,,,,,,,5.0,J. Brown,1627759.0,1.0,,,,,,,,
116,PT03M10.00S,2021-02-27T01:08:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,6.915243101182654,44.676776960784316,1610612754,23,25,2021-02-27T01:08:44Z,1100000,27.0,13.0,1,left,MISS T. McConnell driving reverse Layup,[204456],1610612754.0,IND,driving reverse,,,McConnell,T. McConnell,,,,,2.94,Missed,,,,,,,,,,,,,,,,,,,
117,PT03M09.00S,2021-02-27T01:08:40.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,23,25,2021-02-27T01:08:44Z,1110000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,116.0,2.0,2.0,0.0,,,,,,,,,,,,,
118,PT03M05.00S,2021-02-27T01:08:48.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627763,,,1610612738,23,25,2021-02-27T01:08:58Z,1120000,,,0,,M. Brogdon shooting personal FOUL (2 PF) (Brown 2 FT),"[1627763, 1627759]",1610612754.0,IND,shooting,,,Brogdon,M. Brogdon,,,,,,,,,,,,,2715.0,,,,,,2.0,0.0,Brown,1627759.0,,,
120,PT03M05.00S,2021-02-27T01:09:18.1Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,24,25,2021-02-27T01:09:18Z,1140000,,,0,,J. Brown Free Throw 1 of 2 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,,4.0,,,,,,,,,,,
121,PT03M05.00S,2021-02-27T01:09:18.7Z,1,REGULAR,substitution,out,[],202689,,,1610612738,24,25,2021-02-27T01:09:28Z,1150000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M05.00S,2021-02-27T01:09:18.7Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,24,25,2021-02-27T01:09:28Z,1160000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M05.00S,2021-02-27T01:09:18.7Z,1,REGULAR,substitution,in,[],201952,,,1610612738,24,25,2021-02-27T01:09:28Z,1170000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M05.00S,2021-02-27T01:09:18.7Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,24,25,2021-02-27T01:09:28Z,1180000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M05.00S,2021-02-27T01:09:43.7Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,25,25,2021-02-27T01:09:43Z,1190000,,,0,,J. Brown Free Throw 2 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,,5.0,,,,,,,,,,,
127,PT02M44.00S,2021-02-27T01:10:09.9Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612754,25,25,2021-02-27T01:10:32Z,1200000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Turner 2 FT),"[1629057, 1626167]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,200834.0,,,,,,1.0,0.0,Turner,1626167.0,,,
129,PT02M44.00S,2021-02-27T01:10:39.6Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,25,26,2021-02-27T01:10:39Z,1220000,,,0,,M. Turner Free Throw 1 of 2 (10 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,,,,,,,,10.0,,,,,,,,,,,
130,PT02M44.00S,2021-02-27T01:10:40.2Z,1,REGULAR,substitution,out,[],1627763,,,1610612754,25,26,2021-02-27T01:10:42Z,1230000,,,0,,SUB out: M. Brogdon,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M44.00S,2021-02-27T01:10:40.2Z,1,REGULAR,substitution,in,[],1628988,,,1610612754,25,26,2021-02-27T01:10:42Z,1240000,,,0,,SUB in: A. Holiday,[1628988],1610612754.0,IND,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M44.00S,2021-02-27T01:10:56.6Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,25,27,2021-02-27T01:10:56Z,1250000,,,0,,M. Turner Free Throw 2 of 2 (11 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,,,,,,,,11.0,,,,,,,,,,,
133,PT02M34.00S,2021-02-27T01:11:08.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,88.25558475689881,3.5003063725490198,1610612738,25,27,2021-02-27T01:11:13Z,1260000,-232.0,58.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.96,Missed,,,,,,,,,,,,,,,,,,,
134,PT02M31.00S,2021-02-27T01:11:11.4Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,25,27,2021-02-27T01:11:13Z,1270000,,,0,,T. McConnell REBOUND (Off:0 Def:1),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,133.0,1.0,1.0,0.0,,,,,,,,,,,,,
135,PT02M24.00S,2021-02-27T01:11:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,6.258212877792378,51.53952205882353,1610612754,25,27,2021-02-27T01:24:46Z,1280000,-8.0,6.0,1,left,MISS M. Turner Layup - blocked,"[1626167, 1629057]",1610612754.0,IND,,,,Turner,M. Turner,,,,,0.99,Missed,Williams III,1629057.0,,,,,,,,,,,,,,,,,
136,PT02M24.00S,2021-02-27T01:11:19.1Z,1,REGULAR,block,,[],1629057,,,1610612754,25,27,2021-02-27T01:11:21Z,1290000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M23.00S,2021-02-27T01:11:20.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,25,27,2021-02-27T01:24:46Z,1300000,,,0,,R. Williams III REBOUND (Off:0 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,135.0,3.0,3.0,0.0,,,,,,,,,,,,,
184,PT02M22.00S,2021-02-27T01:11:23.0Z,1,REGULAR,turnover,lost ball,[],1629057,,,1610612738,25,27,2021-02-27T01:23:07Z,1305000,,,0,,R. Williams III lost ball TURNOVER (1 TO),"[1629057, 204456]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,1.0,,,,,,McConnell,204456.0
185,PT02M22.00S,2021-02-27T01:11:23.0Z,1,REGULAR,steal,,[],204456,,,1610612754,25,27,2021-02-27T01:22:43Z,1307500,,,0,,T. McConnell STEAL (1 STL),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M19.00S,2021-02-27T01:11:27.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,25,27,2021-02-27T01:22:43Z,1310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M04.00S,2021-02-27T01:11:54.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203087,30.305519053876477,64.03952205882352,1610612754,25,27,2021-02-27T01:22:43Z,1320000,-70.0,232.0,1,left,MISS J. Lamb 24' 3PT,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,24.28,Missed,,,,,,,,,,,,,,,,,,,
140,PT02M02.00S,2021-02-27T01:11:56.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,25,27,2021-02-27T01:11:58Z,1330000,,,0,,R. Williams III REBOUND (Off:0 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,139.0,4.0,4.0,0.0,,,,,,,,,,,,,
141,PT01M56.00S,2021-02-27T01:12:02.2Z,1,REGULAR,2pt,Jump Shot,[],201952,91.67214191852825,70.41207107843137,1610612738,25,27,2021-02-27T01:59:38Z,1340000,102.0,26.0,1,right,MISS J. Teague 10' driving floating Shot,[201952],1610612738.0,BOS,driving floating,,,Teague,J. Teague,,,,,10.53,Missed,,,,,,,,,,,,,,,,,,,
142,PT01M54.00S,2021-02-27T01:12:04.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,25,27,2021-02-27T01:12:08Z,1350000,,,0,,M. Turner REBOUND (Off:1 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,141.0,4.0,3.0,1.0,,,,,,,,,,,,,
143,PT01M51.00S,2021-02-27T01:12:09.5Z,1,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612754,25,27,2021-02-27T01:12:19Z,1360000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (McConnell 2 FT),"[1630202, 204456]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,1626302.0,,,,,,1.0,0.0,McConnell,204456.0,,,
145,PT01M51.00S,2021-02-27T01:12:31.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],204456,,,1610612754,25,28,2021-02-27T01:12:31Z,1380000,,,0,,T. McConnell Free Throw 1 of 2 (5 PTS),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,Made,,,,,,,,5.0,,,,,,,,,,,
146,PT01M51.00S,2021-02-27T01:12:36.8Z,1,REGULAR,substitution,out,[],1627759,,,1610612754,25,28,2021-02-27T01:12:44Z,1390000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M51.00S,2021-02-27T01:12:36.8Z,1,REGULAR,substitution,in,[],1630174,,,1610612754,25,28,2021-02-27T01:12:44Z,1400000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M51.00S,2021-02-27T01:12:59.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],204456,,,1610612754,25,29,2021-02-27T01:12:59Z,1410000,,,0,,T. McConnell Free Throw 2 of 2 (6 PTS),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,Made,,,,,,,,6.0,,,,,,,,,,,
149,PT01M41.00S,2021-02-27T01:13:13.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628988,,,1610612738,25,29,2021-02-27T01:13:21Z,1420000,,,0,,A. Holiday personal FOUL (1 PF) (Teague 2 FT),"[1628988, 201952]",1610612754.0,IND,,,,Holiday,A. Holiday,,,,,,,,,,,,,200834.0,,,,,,1.0,0.0,Teague,201952.0,,,
151,PT01M41.00S,2021-02-27T01:13:32.7Z,1,REGULAR,freethrow,1 of 2,[],201952,,,1610612738,25,29,2021-02-27T01:13:32Z,1440000,,,0,,MISS J. Teague Free Throw 1 of 2,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,Missed,,,,,,,,,,,,,,,,,,,
152,PT01M41.00S,2021-02-27T01:13:32.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,25,29,2021-02-27T01:13:32Z,1450000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,,
153,PT01M41.00S,2021-02-27T01:13:44.5Z,1,REGULAR,freethrow,2 of 2,[],201952,,,1610612738,26,29,2021-02-27T01:13:44Z,1460000,,,0,,J. Teague Free Throw 2 of 2 (1 PTS),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,Made,,,,,,,,1.0,,,,,,,,,,,
154,PT01M30.00S,2021-02-27T01:13:56.4Z,1,REGULAR,turnover,bad pass,[],204456,,,1610612754,26,29,2021-02-27T01:14:01Z,1470000,,,0,,T. McConnell bad pass TURNOVER (2 TO),"[204456, 1629057]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,2.0,,,,,,Williams III,1629057.0
155,PT01M30.00S,2021-02-27T01:13:56.4Z,1,REGULAR,steal,,[],1629057,,,1610612738,26,29,2021-02-27T01:13:58Z,1480000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT01M27.00S,2021-02-27T01:13:59.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629057,92.9862023653088,48.10814950980392,1610612738,28,29,2021-02-27T01:14:10Z,1490000,-9.0,13.0,1,right,R. Williams III running Layup (4 PTS),[1629057],1610612738.0,BOS,running,,,Williams III,R. Williams III,,,,,1.64,Made,,,,,,,,4.0,,,,,,,,,,,
160,PT01M12.00S,2021-02-27T01:14:50.1Z,1,REGULAR,timeout,challenge,['team'],0,,,1610612754,28,29,2021-02-27T01:19:45Z,1530000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT01M12.00S,2021-02-27T01:14:54.0Z,1,REGULAR,instantreplay,challenge,[],0,,,1610612754,28,29,2021-02-27T01:20:54Z,1540000,,,0,,,[],1610612754.0,IND,overturned,,,,,,,,,,,,,,,,,2715.0,,,,,,,,,,Corrected to Personal Foul on J. Teague,,
162,PT01M12.00S,2021-02-27T01:16:32.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201952,,,1610612754,28,29,2021-02-27T01:17:00Z,1550000,,,0,,J. Teague personal FOUL (1 PF) (Turner 2 FT),"[201952, 1626167]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,200834.0,,,,,,1.0,0.0,Turner,1626167.0,,,
165,PT01M12.00S,2021-02-27T01:16:48.5Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,28,30,2021-02-27T01:16:48Z,1580000,,,0,,M. Turner Free Throw 1 of 2 (12 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,,,,,,,,12.0,,,,,,,,,,,
166,PT01M12.00S,2021-02-27T01:17:01.8Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,28,31,2021-02-27T01:17:01Z,1590000,,,0,,M. Turner Free Throw 2 of 2 (13 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,,,,,,,,13.0,,,,,,,,,,,
167,PT00M51.80S,2021-02-27T01:17:24.1Z,1,REGULAR,2pt,Jump Shot,[],1628369,79.05716162943496,72.61795343137256,1610612738,30,31,2021-02-27T01:17:36Z,1600000,113.0,144.0,1,right,J. Tatum 18' turnaround Jump Shot (2 PTS),[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,18.34,Made,,,,,,,,2.0,,,,,,,,,,,
168,PT00M37.90S,2021-02-27T01:17:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203087,16.245072273324574,64.03952205882352,1610612754,30,31,2021-02-27T01:17:47Z,1610000,-70.0,100.0,1,left,MISS J. Lamb 12' fadeaway Shot - blocked,"[203087, 1629057]",1610612754.0,IND,fadeaway,,,Lamb,J. Lamb,,,,,12.23,Missed,Williams III,1629057.0,,,,,,,,,,,,,,,,,
169,PT00M37.90S,2021-02-27T01:17:40.1Z,1,REGULAR,block,,[],1629057,,,1610612754,30,31,2021-02-27T01:17:42Z,1620000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT00M35.40S,2021-02-27T01:17:42.6Z,1,REGULAR,rebound,defensive,[],201952,,,1610612738,30,31,2021-02-27T01:17:47Z,1630000,,,0,,J. Teague REBOUND (Off:0 Def:1),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,168.0,1.0,1.0,0.0,,,,,,,,,,,,,
171,PT00M29.90S,2021-02-27T01:17:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201952,80.1084099868594,35.853247549019606,1610612738,32,31,2021-02-27T01:22:36Z,1640000,-71.0,134.0,1,right,J. Teague 15' driving floating Jump Shot (3 PTS),[201952],1610612738.0,BOS,driving floating,,,Teague,J. Teague,,,,,15.19,Made,,,,,,,,3.0,,,,,,,,,,,
172,PT00M04.40S,2021-02-27T01:18:15.9Z,1,REGULAR,2pt,Jump Shot,[],203087,20.318659658344284,32.421875,1610612754,32,31,2021-02-27T01:18:22Z,1650000,88.0,138.0,1,left,MISS J. Lamb 16' Jump Shot,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,16.4,Missed,,,,,,,,,,,,,,,,,,,
173,PT00M02.90S,2021-02-27T01:18:17.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,32,31,2021-02-27T01:18:17Z,1660000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,,,,,
174,PT00M00.00S,2021-02-27T01:18:21.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,77.21747700394218,63.794424019607845,1610612738,32,31,2021-02-27T01:18:26Z,1670000,69.0,162.0,1,right,MISS J. Tatum 17' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,17.58,Missed,,,,,,,,,,,,,,,,,,,
175,PT00M00.00S,2021-02-27T01:18:24.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,32,31,2021-02-27T01:18:24Z,1680000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,174.0,,,,,,,,,,,,,,,,
176,PT00M00.00S,2021-02-27T01:18:25.2Z,1,REGULAR,period,end,[],0,,,1610612738,32,31,2021-02-27T01:18:25Z,1690000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2021-02-27T01:21:02.8Z,2,REGULAR,substitution,out,['startperiod'],203200,,,1610612738,32,31,2021-02-27T01:21:48Z,1700000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2021-02-27T01:21:02.8Z,2,REGULAR,substitution,out,['startperiod'],1626167,,,1610612738,32,31,2021-02-27T01:21:48Z,1710000,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2021-02-27T01:21:02.8Z,2,REGULAR,substitution,in,['startperiod'],1627734,,,1610612738,32,31,2021-02-27T01:21:48Z,1720000,,,0,,SUB in: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2021-02-27T01:21:02.8Z,2,REGULAR,substitution,in,['startperiod'],203926,,,1610612738,32,31,2021-02-27T01:21:48Z,1730000,,,0,,SUB in: D. McDermott,[203926],1610612754.0,IND,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2021-02-27T01:22:17.0Z,2,REGULAR,period,start,[],0,,,1610612754,32,31,2021-02-27T01:22:17Z,1740000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT11M40.00S,2021-02-27T01:22:36.1Z,2,REGULAR,3pt,Jump Shot,[],1628988,28.991458607095925,24.088541666666664,1610612754,32,34,2021-02-27T01:23:14Z,1750000,130.0,220.0,1,left,A. Holiday 25' 3PT  (3 PTS) (D. Sabonis 4 AST),"[1628988, 1627734]",1610612754.0,IND,,,,Holiday,A. Holiday,,,,,25.53,Made,,,,,,,,3.0,D. Sabonis,1627734.0,4.0,,,,,,,,
186,PT11M20.00S,2021-02-27T01:22:55.8Z,2,REGULAR,turnover,lost ball,[],201952,,,1610612738,32,34,2021-02-27T01:23:24Z,1770000,,,0,,J. Teague lost ball TURNOVER (1 TO),"[201952, 1628988]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,1.0,,,,,,Holiday,1628988.0
187,PT11M20.00S,2021-02-27T01:22:55.8Z,2,REGULAR,steal,,[],1628988,,,1610612754,32,34,2021-02-27T01:22:57Z,1780000,,,0,,A. Holiday STEAL (1 STL),[1628988],1610612754.0,IND,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT11M18.00S,2021-02-27T01:23:02.2Z,2,REGULAR,foul,personal,[],201952,,,1610612754,32,34,2021-02-27T01:23:06Z,1790000,,,0,,J. Teague personal FOUL (2 PF),"[201952, 1628988]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,200834.0,,,,,,2.0,0.0,Holiday,1628988.0,,,
190,PT11M10.00S,2021-02-27T01:23:25.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203087,28.597240473061763,19.676776960784316,1610612754,32,34,2021-02-27T01:23:29Z,1810000,152.0,216.0,1,left,MISS J. Lamb 26' 3PT,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,26.41,Missed,,,,,,,,,,,,,,,,,,,
