actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
34,PT09M50.00S,2020-12-19T01:13:34.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203925,22.552562417871222,87.32383578431373,1610612751,5,4,2020-12-19T01:13:38Z,330000,-187.0,159.0,1,left,J. Harris 24' 3PT  (3 PTS) (K. Irving 1 AST),"[203925, 202681]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,24.55,Made,,,,,3.0,,,,,,K. Irving,202681.0,1.0,,,
36,PT09M36.00S,2020-12-19T01:13:48.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,65.65374507227332,61.83363970588235,1610612738,5,4,2020-12-19T03:23:29Z,350000,59.0,270.0,1,right,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,27.68,Missed,,,,,,,,,,,,,,,,
37,PT09M32.00S,2020-12-19T01:13:52.5Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,5,4,2020-12-19T01:13:54Z,360000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,
38,PT09M27.00S,2020-12-19T01:13:57.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203915,28.203022339027594,24.823835784313726,1610612751,5,4,2020-12-19T01:14:05Z,370000,126.0,213.0,1,left,MISS S. Dinwiddie 24' 3PT,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,,,,24.71,Missed,,,,,,,,,,,,,,,,
39,PT09M24.00S,2020-12-19T01:14:00.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,4,2020-12-19T01:14:05Z,380000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,
40,PT09M17.00S,2020-12-19T01:14:07.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,68.28186596583443,28.010110294117645,1610612738,5,4,2020-12-19T01:14:14Z,390000,-110.0,246.0,1,right,MISS J. Tatum 26' running pullup 3PT,[1628369],1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,,,,26.92,Missed,,,,,,,,,,,,,,,,
41,PT09M15.00S,2020-12-19T01:14:09.9Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,5,4,2020-12-19T01:14:14Z,400000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,
42,PT09M11.00S,2020-12-19T01:14:13.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201142,20.97568988173456,73.59834558823529,1610612751,5,6,2020-12-19T01:16:49Z,410000,-118.0,145.0,1,left,K. Durant 18' Jump Shot (2 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,18.67,Made,,,,,2.0,,,,,,,,,,,
45,PT08M55.00S,2020-12-19T01:14:30.5Z,1,REGULAR,3pt,Jump Shot,[],203935,65.25952693823915,28.255208333333332,1610612738,5,6,2020-12-19T01:14:38Z,440000,-109.0,274.0,1,right,MISS M. Smart 29' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,29.49,Missed,,,,,,,,,,,,,,,,
46,PT08M55.00S,2020-12-19T01:14:30.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,5,6,2020-12-19T01:14:38Z,450000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,
