actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
17,PT10M53.00S,2021-04-27T23:12:00.8Z,1,REGULAR,foul,personal,['2freethrow'],202684,,,1610612760,2,3,2021-04-27T23:12:16Z,170000,,,0,,T. Thompson shooting personal FOUL (1 PF) (Brown 2 FT),"[202684, 1629650]",1610612738.0,BOS,shooting,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Brown,1629650.0,,,
19,PT10M53.00S,2021-04-27T23:12:22.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629650,,,1610612760,2,4,2021-04-27T23:12:22Z,190000,,,0,,M. Brown Free Throw 1 of 2 (1 PTS),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
20,PT10M53.00S,2021-04-27T23:12:36.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629650,,,1610612760,2,5,2021-04-27T23:12:36Z,200000,,,0,,M. Brown Free Throw 2 of 2 (2 PTS),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
21,PT10M38.00S,2021-04-27T23:12:52.7Z,1,REGULAR,3pt,Jump Shot,[],203095,71.74770039421814,79.74877450980392,1610612738,2,5,2021-04-27T23:13:04Z,210000,149.0,213.0,1,right,MISS E. Fournier 25' pullup 3PT,[203095],1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,25.99,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M37.00S,2021-04-27T23:12:53.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,2,5,2021-04-27T23:13:04Z,220000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,
23,PT10M37.00S,2021-04-27T23:12:58.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,2,5,2021-04-27T23:12:58Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M26.00S,2021-04-27T23:13:13.8Z,1,REGULAR,turnover,bad pass,[],1629647,,,1610612760,2,5,2021-04-27T23:13:19Z,240000,,,0,,D. Bazley bad pass TURNOVER (1 TO),"[1629647, 203095]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,1.0,Fournier,203095.0,,,,,,,,,,,,
25,PT10M26.00S,2021-04-27T23:13:13.8Z,1,REGULAR,steal,,[],203095,,,1610612738,2,5,2021-04-27T23:13:15Z,250000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M23.00S,2021-04-27T23:13:17.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203095,92.46057818659659,51.78462009803921,1610612738,2,5,2021-04-27T23:13:25Z,260000,9.0,18.0,1,right,MISS E. Fournier running DUNK,[203095],1610612738.0,BOS,running,,,Fournier,E. Fournier,,,,,2.04,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M21.00S,2021-04-27T23:13:19.2Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,2,5,2021-04-27T23:13:19Z,270000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
28,PT10M17.00S,2021-04-27T23:13:23.6Z,1,REGULAR,turnover,lost ball,[],1629647,,,1610612760,2,5,2021-04-27T23:13:28Z,280000,,,0,,D. Bazley lost ball TURNOVER (2 TO),"[1629647, 203935]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,2.0,Smart,203935.0,,,,,,,,,,,,
29,PT10M17.00S,2021-04-27T23:13:23.6Z,1,REGULAR,steal,,[],203935,,,1610612738,2,5,2021-04-27T23:14:56Z,290000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M12.00S,2021-04-27T23:13:28.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628400,91.80354796320631,56.93167892156863,1610612738,2,5,2021-04-27T23:13:44Z,300000,35.0,25.0,1,right,MISS S. Ojeleye Layup - blocked,"[1628400, 1629647]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,4.25,Missed,,,,,,,,,,,,,,,,,Bazley,1629647.0,
31,PT10M12.00S,2021-04-27T23:13:28.2Z,1,REGULAR,block,,[],1629647,,,1610612738,2,5,2021-04-27T23:13:30Z,310000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT10M10.00S,2021-04-27T23:13:30.2Z,1,REGULAR,rebound,offensive,[],1628400,,,1610612738,2,5,2021-04-27T23:13:44Z,320000,,,0,,S. Ojeleye REBOUND (Off:1 Def:0),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,30.0,1.0,0.0,1.0,,,,,,,,
33,PT10M10.00S,2021-04-27T23:13:31.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628400,91.93495400788436,52.029718137254896,1610612738,4,5,2021-04-27T23:13:48Z,330000,10.0,23.0,1,right,S. Ojeleye Layup (2 PTS),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,2.54,Made,2.0,,,,,,,,,,,,,,,,,,
34,PT09M57.00S,2021-04-27T23:13:44.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630197,5.338370565045992,63.549325980392155,1610612760,4,5,2021-04-27T23:13:51Z,340000,-68.0,-2.0,1,left,MISS A. Pokusevski 6' Jump Shot,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,6.77,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M57.00S,2021-04-27T23:13:44.4Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,4,5,2021-04-27T23:13:51Z,350000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,
36,PT09M50.00S,2021-04-27T23:13:50.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628400,93.38042049934296,3.7454044117647056,1610612738,4,5,2021-04-27T23:13:56Z,360000,-231.0,10.0,1,right,MISS S. Ojeleye 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,23.15,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M47.00S,2021-04-27T23:13:53.9Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,4,5,2021-04-27T23:18:41Z,370000,,,0,,A. Pokusevski REBOUND (Off:0 Def:2),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,
38,PT09M38.00S,2021-04-27T23:14:02.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629650,6.1268068331143235,49.333639705882355,1610612760,4,7,2021-04-27T23:14:07Z,380000,3.0,5.0,1,left,M. Brown cutting DUNK (4 PTS) (A. Pokusevski 1 AST),"[1629650, 1630197]",1610612760.0,OKC,cutting,,,Brown,M. Brown,,,,,0.61,Made,4.0,A. Pokusevski,1630197.0,1.0,,,,,,,,,,,,,,,
40,PT09M24.00S,2021-04-27T23:14:16.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,79.58278580814718,42.96109068627451,1610612738,6,7,2021-04-27T23:14:31Z,400000,-35.0,139.0,1,right,J. Brown 14' pullup Jump Shot (4 PTS) (T. Thompson 1 AST),"[1627759, 202684]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,14.38,Made,4.0,T. Thompson,202684.0,1.0,,,,,,,,,,,,,,,
41,PT09M12.00S,2021-04-27T23:14:33.0Z,1,REGULAR,foul,personal,[],1627759,,,1610612760,6,7,2021-04-27T23:14:43Z,410000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1629652]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Dort,1629652.0,,,
44,PT09M11.00S,2021-04-27T23:15:07.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,6,7,2021-04-27T23:15:07Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M58.00S,2021-04-27T23:15:23.9Z,1,REGULAR,2pt,Jump Shot,[],1629652,23.99802890932983,36.58854166666667,1610612760,6,7,2021-04-27T23:15:30Z,450000,67.0,173.0,1,left,MISS L. Dort 18' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,18.57,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M55.00S,2021-04-27T23:15:26.9Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,6,7,2021-04-27T23:15:30Z,460000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,
47,PT08M46.00S,2021-04-27T23:15:37.3Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612738,6,7,2021-04-27T23:15:53Z,470000,,,0,,L. Dort shooting personal FOUL (1 PF) (Brown 2 FT),"[1629652, 1627759]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Brown,1627759.0,,,
49,PT08M46.00S,2021-04-27T23:16:02.2Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,7,7,2021-04-27T23:16:02Z,490000,,,0,,J. Brown Free Throw 1 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
51,PT08M46.00S,2021-04-27T23:16:15.8Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,8,7,2021-04-27T23:16:15Z,500000,,,0,,J. Brown Free Throw 2 of 2 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
52,PT08M36.00S,2021-04-27T23:16:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630197,11.514454664914586,63.794424019607845,1610612760,8,9,2021-04-27T23:16:33Z,510000,-69.0,56.0,1,left,A. Pokusevski 8' pullup Jump Shot (2 PTS) (T. Maledon 1 AST),"[1630197, 1630177]",1610612760.0,OKC,pullup,,,Pokusevski,A. Pokusevski,,,,,8.87,Made,2.0,T. Maledon,1630177.0,1.0,,,,,,,,,,,,,,,
54,PT08M24.00S,2021-04-27T23:16:38.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.90801576872536,74.35661764705883,1610612738,8,9,2021-04-27T23:16:46Z,530000,122.0,230.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.06,Missed,,,,,,,,,,,,,,,,,,,
55,PT08M22.00S,2021-04-27T23:16:40.4Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,8,9,2021-04-27T23:16:46Z,540000,,,0,,A. Pokusevski REBOUND (Off:0 Def:3),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,54.0,3.0,3.0,0.0,,,,,,,,
56,PT08M14.00S,2021-04-27T23:16:49.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629650,11.826544021024969,39.59482230392157,1610612760,8,11,2021-04-27T23:16:56Z,550000,52.0,59.0,1,left,M. Brown 7' Hook (6 PTS) (A. Pokusevski 2 AST),"[1629650, 1630197]",1610612760.0,OKC,,,,Brown,M. Brown,,,,,7.84,Made,6.0,A. Pokusevski,1630197.0,2.0,,,,,,,,,,,,,,,
58,PT08M04.00S,2021-04-27T23:16:58.2Z,1,REGULAR,3pt,Jump Shot,[],203935,64.73390275952694,62.07873774509803,1610612738,8,11,2021-04-27T23:17:04Z,570000,60.0,279.0,1,right,MISS M. Smart 28' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,28.55,Missed,,,,,,,,,,,,,,,,,,,
59,PT08M01.00S,2021-04-27T23:17:01.2Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612760,8,11,2021-04-27T23:17:04Z,580000,,,0,,M. Brown REBOUND (Off:1 Def:1),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,,
60,PT07M52.00S,2021-04-27T23:17:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630177,5.338370565045992,55.70618872549019,1610612760,8,13,2021-04-27T23:17:16Z,590000,-29.0,-2.0,1,left,T. Maledon driving Layup (2 PTS),[1630177],1610612760.0,OKC,driving,,,Maledon,T. Maledon,,,,,2.86,Made,2.0,,,,,,,,,,,,,,,,,,
61,PT07M44.00S,2021-04-27T23:17:18.7Z,1,REGULAR,3pt,Jump Shot,[],203935,71.96123521681997,83.40226715686273,1610612738,8,13,2021-04-27T23:17:25Z,600000,167.0,211.0,1,right,MISS M. Smart 26' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,26.92,Missed,,,,,,,,,,,,,,,,,,,
62,PT07M42.00S,2021-04-27T23:17:20.7Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,8,13,2021-04-27T23:17:25Z,610000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,
63,PT07M34.00S,2021-04-27T23:17:28.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,29.6484888304862,70.90226715686273,1610612760,8,13,2021-04-27T23:17:34Z,620000,-105.0,226.0,1,left,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,24.92,Missed,,,,,,,,,,,,,,,,,,,
64,PT07M31.00S,2021-04-27T23:17:31.7Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,8,13,2021-04-27T23:17:34Z,630000,,,0,,S. Ojeleye REBOUND (Off:1 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,63.0,2.0,1.0,1.0,,,,,,,,
65,PT07M22.00S,2021-04-27T23:17:40.9Z,1,REGULAR,3pt,Jump Shot,[],1628400,72.22404730617609,87.07873774509804,1610612738,8,13,2021-04-27T23:17:52Z,640000,185.0,209.0,1,right,MISS S. Ojeleye 27' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,27.91,Missed,,,,,,,,,,,,,,,,,,,
66,PT07M20.00S,2021-04-27T23:17:42.9Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,8,13,2021-04-27T23:17:52Z,650000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,65.0,1.0,0.0,1.0,,,,,,,,
67,PT07M20.00S,2021-04-27T23:17:52.2Z,1,REGULAR,foul,personal,[],1629650,,,1610612738,8,13,2021-04-27T23:18:09Z,660000,,,0,,M. Brown personal FOUL (1 PF),"[1629650, 202684]",1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Thompson,202684.0,,,
69,PT07M20.00S,2021-04-27T23:17:57.5Z,1,REGULAR,substitution,out,[],1629650,,,1610612738,8,13,2021-04-27T23:18:00Z,680000,,,0,,SUB out: M. Brown,[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M20.00S,2021-04-27T23:17:57.5Z,1,REGULAR,substitution,in,[],1629676,,,1610612738,8,13,2021-04-27T23:18:00Z,690000,,,0,,SUB in: I. Roby,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M14.00S,2021-04-27T23:18:11.0Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,8,13,2021-04-27T23:18:16Z,700000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1630177]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,1.0,Maledon,1630177.0,,,,,,,,,,,,
72,PT07M14.00S,2021-04-27T23:18:11.0Z,1,REGULAR,steal,,[],1630177,,,1610612760,8,13,2021-04-27T23:18:12Z,710000,,,0,,T. Maledon STEAL (1 STL),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M11.00S,2021-04-27T23:18:15.9Z,1,REGULAR,foul,personal,['2freethrow'],203095,,,1610612760,8,13,2021-04-27T23:18:30Z,720000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Dort 2 FT),"[203095, 1629652]",1610612738.0,BOS,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Dort,1629652.0,,,
75,PT07M11.00S,2021-04-27T23:18:45.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629652,,,1610612760,8,14,2021-04-27T23:18:45Z,740000,,,0,,L. Dort Free Throw 1 of 2 (4 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
76,PT07M11.00S,2021-04-27T23:19:06.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629652,,,1610612760,8,15,2021-04-27T23:19:06Z,750000,,,0,,L. Dort Free Throw 2 of 2 (5 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
77,PT07M08.00S,2021-04-27T23:19:14.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,8,15,2021-04-27T23:19:14Z,760000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M56.00S,2021-04-27T23:22:18.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,75.90341655716163,21.637561274509803,1610612738,8,15,2021-04-27T23:22:29Z,770000,-142.0,174.0,1,right,MISS J. Brown 22' Jump Shot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.45,Missed,,,,,,,,,,,,,,,,,,,
79,PT06M53.00S,2021-04-27T23:22:21.3Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,8,15,2021-04-27T23:22:29Z,780000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,
80,PT06M48.00S,2021-04-27T23:22:26.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630177,30.436925098554536,63.549325980392155,1610612760,8,15,2021-04-27T23:22:36Z,790000,-68.0,234.0,1,left,MISS T. Maledon 24' pullup 3PT,[1630177],1610612760.0,OKC,pullup,,,Maledon,T. Maledon,,,,,24.32,Missed,,,,,,,,,,,,,,,,,,,
81,PT06M44.00S,2021-04-27T23:22:30.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,8,15,2021-04-27T23:22:36Z,800000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,
82,PT06M38.00S,2021-04-27T23:22:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.06636005256242,56.44148284313726,1610612738,10,15,2021-04-27T23:22:39Z,810000,32.0,22.0,1,right,J. Brown driving Layup (8 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,3.91,Made,8.0,,,,,,,,,,,,,,,,,,
83,PT06M29.00S,2021-04-27T23:22:48.5Z,1,REGULAR,violation,kicked ball,[],203935,,,1610612760,10,15,2021-04-27T23:23:02Z,820000,,,0,,M. Smart kicked ball VIOLATION,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,202058.0,,,,,,,
84,PT06M29.00S,2021-04-27T23:22:54.4Z,1,REGULAR,substitution,out,[],1628400,,,1610612760,10,15,2021-04-27T23:23:01Z,830000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M29.00S,2021-04-27T23:22:54.4Z,1,REGULAR,substitution,out,[],203095,,,1610612760,10,15,2021-04-27T23:23:01Z,840000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M29.00S,2021-04-27T23:22:54.4Z,1,REGULAR,substitution,in,[],1630202,,,1610612760,10,15,2021-04-27T23:23:01Z,850000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M29.00S,2021-04-27T23:22:54.4Z,1,REGULAR,substitution,in,[],203953,,,1610612760,10,15,2021-04-27T23:23:01Z,860000,,,0,,SUB in: J. Parker,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M19.00S,2021-04-27T23:23:20.0Z,1,REGULAR,foul,personal,['2freethrow'],202684,,,1610612760,10,15,2021-04-27T23:23:29Z,870000,,,0,,T. Thompson shooting personal FOUL (2 PF) (Bazley 2 FT),"[202684, 1629647]",1610612738.0,BOS,shooting,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,1627963.0,2.0,0.0,Bazley,1629647.0,,,
90,PT06M19.00S,2021-04-27T23:23:41.2Z,1,REGULAR,freethrow,1 of 2,[],1629647,,,1610612760,10,16,2021-04-27T23:23:41Z,890000,,,0,,D. Bazley Free Throw 1 of 2 (1 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
