actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
42,PT08M48.00S,2021-05-15T18:14:17.6Z,1,REGULAR,3pt,Jump Shot,[],1628400,8.09789750328515,95.65716911764706,1610612738,9,2,2021-05-15T18:14:21Z,420000,-228.0,24.0,1,left,MISS S. Ojeleye 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,22.95,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M46.00S,2021-05-15T18:14:19.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,9,2,2021-05-15T18:14:21Z,430000,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,42.0,4.0,4.0,0.0,,,,,,,,,,,,,
44,PT08M35.00S,2021-05-15T18:14:33.8Z,1,REGULAR,foul,offensive,[],1626157,,,1610612750,9,2,2021-05-15T18:14:42Z,440000,,,0,,K. Towns offensive FOUL (1 PF),"[1626157, 1628436]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Kornet,1628436.0,,,,
46,PT08M35.00S,2021-05-15T18:14:33.8Z,1,REGULAR,turnover,offensive foul,[],1626157,,,1610612750,9,2,2021-05-15T18:14:33Z,460000,,,0,,K. Towns offensive foul TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,202007.0,,,,,1.0,,,
47,PT08M17.00S,2021-05-15T18:15:05.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,28.597240473061763,19.186580882352942,1610612738,9,5,2021-05-15T18:15:09Z,470000,154.0,216.0,1,left,P. Pritchard 26' 3PT  (3 PTS) (E. Fournier 1 AST),"[1630202, 203095]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.56,Made,,,,,,,3.0,E. Fournier,203095.0,1.0,,,,,,,,,
49,PT08M04.00S,2021-05-15T18:15:19.5Z,1,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612750,9,5,2021-05-15T18:15:32Z,490000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Russell 2 FT),"[1630202, 1626156]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Russell,1626156.0,,,,
51,PT08M04.00S,2021-05-15T18:15:41.2Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612750,10,5,2021-05-15T18:15:41Z,510000,,,0,,D. Russell Free Throw 1 of 2 (1 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
52,PT08M04.00S,2021-05-15T18:15:56.3Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612750,11,5,2021-05-15T18:15:56Z,520000,,,0,,D. Russell Free Throw 2 of 2 (2 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
53,PT07M54.00S,2021-05-15T18:16:07.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.61957950065703,36.34344362745098,1610612738,11,8,2021-05-15T18:16:21Z,530000,68.0,245.0,1,left,J. Tatum 25' 3PT step back (3 PTS) (L. Kornet 1 AST),"[1628369, 1628436]",1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.41,Made,,,,,,,3.0,L. Kornet,1628436.0,1.0,,,,,,,,,
55,PT07M39.00S,2021-05-15T18:16:22.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,91.27792378449409,37.56893382352941,1610612750,11,8,2021-05-15T18:16:28Z,550000,-62.0,29.0,1,right,MISS K. Towns 6' turnaround Hook - blocked,"[1626157, 1628436]",1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,6.88,Missed,Kornet,1628436.0,,,,,,,,,,,,,,,,,
56,PT07M39.00S,2021-05-15T18:16:22.2Z,1,REGULAR,block,,[],1628436,,,1610612750,11,8,2021-05-15T18:16:24Z,560000,,,0,,L. Kornet BLOCK (2 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M37.00S,2021-05-15T18:16:24.2Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,11,8,2021-05-15T18:16:28Z,570000,,,0,,K. Towns REBOUND (Off:1 Def:4),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,55.0,5.0,4.0,1.0,,,,,,,,,,,,,
58,PT07M34.00S,2021-05-15T18:16:26.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,92.85479632063075,49.82383578431372,1610612750,13,8,2021-05-15T18:16:33Z,580000,-1.0,15.0,1,right,K. Towns putback Layup (9 PTS),[1626157],1610612750.0,MIN,putback,,,Towns,K. Towns,,,,,1.47,Made,,,,,,,9.0,,,,,,,,,,,,
59,PT07M27.00S,2021-05-15T18:16:35.7Z,1,REGULAR,foul,personal,['3freethrow'],1630183,,,1610612738,13,8,2021-05-15T18:16:59Z,590000,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Tatum 3 FT),"[1630183, 1628369]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Tatum,1628369.0,,,,
61,PT07M27.00S,2021-05-15T18:17:00.7Z,1,REGULAR,freethrow,1 of 3,[],1628369,,,1610612738,13,9,2021-05-15T18:17:00Z,610000,,,0,,J. Tatum Free Throw 1 of 3 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
62,PT07M27.00S,2021-05-15T18:17:16.4Z,1,REGULAR,freethrow,2 of 3,[],1628369,,,1610612738,13,10,2021-05-15T18:17:16Z,620000,,,0,,J. Tatum Free Throw 2 of 3 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
63,PT07M27.00S,2021-05-15T18:17:17.9Z,1,REGULAR,substitution,out,[],1628436,,,1610612738,13,10,2021-05-15T18:17:23Z,630000,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M27.00S,2021-05-15T18:17:17.9Z,1,REGULAR,substitution,in,[],1629605,,,1610612738,13,10,2021-05-15T18:17:23Z,640000,,,0,,SUB in: T. Fall,[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M27.00S,2021-05-15T18:17:35.6Z,1,REGULAR,freethrow,3 of 3,[],1628369,,,1610612738,13,11,2021-05-15T18:17:35Z,650000,,,0,,J. Tatum Free Throw 3 of 3 (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,6.0,,,,,,,,,,,,
66,PT07M16.00S,2021-05-15T18:17:47.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,67.36202365308804,47.127757352941174,1610612750,13,11,2021-05-15T18:17:53Z,660000,-14.0,254.0,1,right,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,,
67,PT07M12.00S,2021-05-15T18:17:51.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,13,11,2021-05-15T18:17:53Z,670000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,
68,PT07M06.00S,2021-05-15T18:17:56.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,27.151773981603156,77.51991421568627,1610612738,13,14,2021-05-15T18:18:01Z,680000,-138.0,203.0,1,left,J. Tatum 24' 3PT  (9 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.5,Made,,,,,,,9.0,,,,,,,,,,,,
69,PT06M55.00S,2021-05-15T18:18:06.9Z,1,REGULAR,3pt,Jump Shot,[],1626156,82.47371879106439,4.4806985294117645,1610612750,13,14,2021-05-15T18:18:11Z,690000,-228.0,112.0,1,right,MISS D. Russell 25' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,25.38,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M53.00S,2021-05-15T18:18:08.9Z,1,REGULAR,rebound,defensive,[],1629605,,,1610612738,13,14,2021-05-15T18:18:11Z,700000,,,0,,T. Fall REBOUND (Off:0 Def:1),[1629605],1610612738.0,BOS,,,,Fall,T. Fall,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,
71,PT06M47.00S,2021-05-15T18:18:16.7Z,1,REGULAR,3pt,Jump Shot,[],203095,31.882391590013142,46.392463235294116,1610612738,13,17,2021-05-15T18:20:42Z,710000,18.0,247.0,1,left,E. Fournier 24' 3PT pullup (3 PTS) (P. Pritchard 1 AST),"[203095, 1630202]",1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,24.79,Made,,,,,,,3.0,P. Pritchard,1630202.0,1.0,,,,,,,,,
73,PT06M44.00S,2021-05-15T18:18:23.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,13,17,2021-05-15T18:18:23Z,730000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M33.00S,2021-05-15T18:21:27.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,93.9060446780552,50.55912990196079,1610612750,15,17,2021-05-15T18:21:30Z,740000,3.0,5.0,1,right,K. Towns cutting DUNK (11 PTS) (A. Edwards 2 AST),"[1626157, 1630162]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,0.56,Made,,,,,,,11.0,A. Edwards,1630162.0,2.0,,,,,,,,,
76,PT06M13.00S,2021-05-15T18:21:47.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,29.25427069645204,74.57873774509804,1610612738,15,17,2021-05-15T18:21:52Z,760000,-123.0,222.0,1,left,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,,
77,PT06M09.00S,2021-05-15T18:21:51.2Z,1,REGULAR,rebound,offensive,[],1628400,,,1610612738,15,17,2021-05-15T18:21:52Z,770000,,,0,,S. Ojeleye REBOUND (Off:1 Def:2),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,76.0,3.0,2.0,1.0,,,,,,,,,,,,,
78,PT06M08.00S,2021-05-15T18:21:52.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628400,5.863994743758213,50.314031862745104,1610612738,15,19,2021-05-15T18:21:58Z,780000,-2.0,3.0,1,left,S. Ojeleye putback DUNK (2 PTS),[1628400],1610612738.0,BOS,putback,,,Ojeleye,S. Ojeleye,,,,,0.31,Made,,,,,,,2.0,,,,,,,,,,,,
79,PT05M57.00S,2021-05-15T18:22:03.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,87.72996057818659,39.5297181372549,1610612750,17,19,2021-05-15T18:22:10Z,790000,-52.0,63.0,1,right,D. Russell 8' turnaround Jump Shot (4 PTS),[1626156],1610612750.0,MIN,turnaround,,,Russell,D. Russell,,,,,8.18,Made,,,,,,,4.0,,,,,,,,,,,,
80,PT05M37.00S,2021-05-15T18:22:23.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,34.247700394218136,38.794424019607845,1610612738,17,22,2021-05-15T18:22:28Z,800000,56.0,269.0,1,left,P. Pritchard 27' 3PT step back (6 PTS),[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,27.52,Made,,,,,,,6.0,,,,,,,,,,,,
81,PT05M24.00S,2021-05-15T18:22:36.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630162,93.64323258869908,50.06893382352941,1610612750,19,22,2021-05-15T18:22:42Z,810000,0.0,7.0,1,right,A. Edwards cutting DUNK (4 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,cutting,,,Edwards,A. Edwards,,,,,0.73,Made,,,,,,,4.0,K. Towns,1626157.0,1.0,,,,,,,,,
83,PT05M24.00S,2021-05-15T18:22:40.7Z,1,REGULAR,foul,personal,['1freethrow'],1629605,,,1610612750,19,22,2021-05-15T18:22:47Z,830000,,,0,,T. Fall shooting personal FOUL (1 PF) (Edwards 1 FT),"[1629605, 1630162]",1610612738.0,BOS,shooting,,,Fall,T. Fall,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Edwards,1630162.0,,,,
85,PT05M24.00S,2021-05-15T18:22:48.3Z,1,REGULAR,substitution,out,[],1626156,,,1610612750,19,22,2021-05-15T18:23:28Z,850000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M24.00S,2021-05-15T18:22:48.3Z,1,REGULAR,substitution,in,[],1629006,,,1610612750,19,22,2021-05-15T18:23:28Z,860000,,,0,,SUB in: J. Okogie,[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M24.00S,2021-05-15T18:23:03.1Z,1,REGULAR,freethrow,1 of 1,[],1630162,,,1610612750,20,22,2021-05-15T18:23:03Z,870000,,,0,,A. Edwards Free Throw 1 of 1 (5 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
