actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
52,PT07M38.00S,2021-04-16T02:25:26.3Z,1,REGULAR,turnover,out-of-bounds,[],202689,,,1610612738,2,14,2021-04-16T02:25:30Z,510000,,,0,,K. Walker bad pass out-of-bounds TURNOVER (1 TO),[202689],1610612738.0,BOS,bad pass,,,Walker,K. Walker,,,,,1162.0,,,,,,,,,,,,,,,1.0,,,,
53,PT07M25.00S,2021-04-16T02:25:49.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629659,6.915243101182654,49.08854166666667,1610612747,4,14,2021-04-16T02:28:33Z,520000,5.0,13.0,1,left,T. Horton-Tucker driving finger roll Layup (2 PTS) (M. Gasol 1 AST),"[1629659, 201188]",1610612747.0,LAL,driving finger roll,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,1.33,Made,2.0,M. Gasol,201188.0,1.0,,,,,,,,,
55,PT07M04.00S,2021-04-16T02:26:14.5Z,1,REGULAR,foul,personal,[],202083,,,1610612738,4,14,2021-04-16T02:26:19Z,540000,,,0,,W. Matthews personal FOUL (1 PF),"[202083, 1628369]",1610612747.0,LAL,,,,Matthews,W. Matthews,,,,,1162.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
57,PT06M57.00S,2021-04-16T02:26:37.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,88.64980289093299,44.18658088235294,1610612738,4,16,2021-04-16T02:26:40Z,560000,-29.0,54.0,1,right,T. Thompson 6' floating Jump Shot (2 PTS) (K. Walker 3 AST),"[202684, 202689]",1610612738.0,BOS,floating,,,Thompson,T. Thompson,,,,,,,,,,6.15,Made,2.0,K. Walker,202689.0,3.0,,,,,,,,,
59,PT06M46.00S,2021-04-16T02:26:48.2Z,1,REGULAR,3pt,Jump Shot,[],201188,27.94021024967148,27.27481617647059,1610612747,4,16,2021-04-16T02:26:52Z,580000,114.0,210.0,1,left,MISS M. Gasol 3PT,[201188],1610612747.0,LAL,,,,Gasol,M. Gasol,,,,,,,,,,23.88,Missed,,,,,,,,,,,,,
60,PT06M44.00S,2021-04-16T02:26:50.2Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,4,16,2021-04-16T02:26:52Z,590000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,59.0,2.0,2.0,0.0,,,,,
61,PT06M37.00S,2021-04-16T02:26:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,92.32917214191852,50.80422794117647,1610612738,4,18,2021-04-16T02:27:00Z,600000,4.0,20.0,1,right,T. Thompson Layup (4 PTS) (J. Brown 1 AST),"[202684, 1627759]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,2.0,Made,4.0,J. Brown,1627759.0,1.0,,,,,,,,,
63,PT06M25.00S,2021-04-16T02:27:09.3Z,1,REGULAR,3pt,Jump Shot,[],202083,20.45006570302234,7.666973039215687,1610612747,7,18,2021-04-16T02:27:15Z,620000,212.0,140.0,1,left,W. Matthews 25' 3PT  (3 PTS) (T. Horton-Tucker 1 AST),"[202083, 1629659]",1610612747.0,LAL,,,,Matthews,W. Matthews,,,,,,,,,,25.36,Made,3.0,T. Horton-Tucker,1629659.0,1.0,,,,,,,,,
65,PT06M16.00S,2021-04-16T02:27:18.0Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,7,18,2021-04-16T02:27:23Z,640000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 202083]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,1.0,Matthews,202083.0,,
66,PT06M16.00S,2021-04-16T02:27:18.0Z,1,REGULAR,steal,,[],202083,,,1610612747,7,18,2021-04-16T02:27:19Z,650000,,,0,,W. Matthews STEAL (1 STL),[202083],1610612747.0,LAL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,
