actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
38,PT09M10.00S,2021-05-02T23:44:19.7Z,1,REGULAR,foul,personal,[],1627759,,,1610612757,4,9,2021-05-02T23:44:36Z,380000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 203994]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Nurkic,203994.0,
40,PT09M04.00S,2021-05-02T23:44:43.0Z,1,REGULAR,3pt,Jump Shot,[],203081,28.86005256241787,74.57873774509804,1610612757,4,12,2021-05-02T23:44:56Z,400000,-123.0,219.0,1,left,D. Lillard 25' 3PT pullup (5 PTS),[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,25.1,Made,5.0,,,,,,,,,,,,,,,,,,
41,PT08M42.00S,2021-05-02T23:45:06.0Z,1,REGULAR,3pt,Jump Shot,[],203095,66.70499342969777,38.05912990196079,1610612738,7,12,2021-05-02T23:45:12Z,410000,-60.0,260.0,1,right,E. Fournier 26' 3PT  (5 PTS) (T. Thompson 1 AST),"[203095, 202684]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,26.73,Made,5.0,T. Thompson,202684.0,1.0,,,,,,,,,,,,,,,
43,PT08M26.00S,2021-05-02T23:45:21.2Z,1,REGULAR,3pt,Jump Shot,[],203081,29.38567674113009,70.41207107843137,1610612757,7,12,2021-05-02T23:50:09Z,430000,-102.0,224.0,1,left,MISS D. Lillard 24' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,24.59,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M23.00S,2021-05-02T23:45:24.2Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,7,12,2021-05-02T23:45:28Z,440000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,
45,PT08M12.00S,2021-05-02T23:45:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.06636005256242,64.03952205882352,1610612738,7,12,2021-05-02T23:45:47Z,450000,70.0,22.0,1,right,MISS J. Tatum 7' driving finger roll Layup - blocked,"[1628369, 203496]",1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,7.36,Missed,,,,,,,,,,,,Covington,203496.0,,,,,,
46,PT08M12.00S,2021-05-02T23:45:35.4Z,1,REGULAR,block,,[],203496,,,1610612738,7,12,2021-05-02T23:45:38Z,460000,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M09.00S,2021-05-02T23:45:38.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,7,12,2021-05-02T23:45:47Z,470000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,
48,PT08M03.00S,2021-05-02T23:45:43.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203081,6.258212877792378,55.70618872549019,1610612757,7,14,2021-05-02T23:45:54Z,480000,-29.0,6.0,1,left,D. Lillard running reverse Layup (7 PTS),[203081],1610612757.0,POR,running reverse,,,Lillard,D. Lillard,,,,,2.92,Made,7.0,,,,,,,,,,,,,,,,,,
49,PT07M45.00S,2021-05-02T23:46:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,90.62089356110381,56.93167892156863,1610612738,7,14,2021-05-02T23:46:12Z,490000,35.0,36.0,1,right,MISS T. Thompson Layup - blocked,"[202684, 203496]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,4.98,Missed,,,,,,,,,,,,Covington,203496.0,,,,,,
