actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
174,PT11M00.00S,2021-05-03T00:09:19.2Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],2546,9.149145860709593,73.84344362745098,1610612757,35,37,2021-05-03T00:09:26Z,1710000,-119.0,34.0,1,left,MISS C. Anthony 12' Jump Shot,[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,12.38,Missed,,,,,,,,,,,,,,,,,,,
175,PT10M56.00S,2021-05-03T00:09:23.2Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,35,37,2021-05-03T00:09:26Z,1720000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,174.0,2.0,2.0,0.0,,,,,,,,
176,PT10M47.00S,2021-05-03T00:09:31.5Z,2,REGULAR,3pt,Jump Shot,[],1630202,67.36202365308804,25.314031862745097,1610612738,38,37,2021-05-03T00:09:37Z,1730000,-123.0,254.0,1,right,P. Pritchard 28' 3PT  (3 PTS) (R. Williams III 1 AST),"[1630202, 1629057]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,28.27,Made,3.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,,
178,PT10M26.00S,2021-05-03T00:09:52.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,6.258212877792378,55.4610906862745,1610612757,38,39,2021-05-03T00:10:01Z,1750000,-27.0,6.0,1,left,N. Powell driving finger roll Layup (7 PTS) (A. Simons 1 AST),"[1626181, 1629014]",1610612757.0,POR,driving finger roll,,,Powell,N. Powell,,,,,2.8,Made,7.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,,
180,PT10M10.00S,2021-05-03T00:10:09.1Z,2,REGULAR,3pt,Jump Shot,[],1628369,66.44218134034165,58.40226715686274,1610612738,41,39,2021-05-03T00:10:21Z,1770000,42.0,263.0,1,right,J. Tatum 26' 3PT pullup (11 PTS) (R. Williams III 2 AST),"[1628369, 1629057]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.62,Made,11.0,R. Williams III,1629057.0,2.0,,,,,,,,,,,,,,,
182,PT09M51.00S,2021-05-03T00:10:27.4Z,2,REGULAR,2pt,Jump Shot,[],203468,22.421156373193167,69.43167892156863,1610612757,41,41,2021-05-03T00:10:34Z,1790000,-97.0,158.0,1,left,C. McCollum 18' step back Jump Shot (12 PTS),[203468],1610612757.0,POR,step back,,,McCollum,C. McCollum,,,,,18.58,Made,12.0,,,,,,,,,,,,,,,,,,
183,PT09M35.00S,2021-05-03T00:10:45.0Z,2,REGULAR,foul,personal,['2freethrow'],202683,,,1610612738,41,41,2021-05-03T00:10:53Z,1800000,,,0,,E. Kanter shooting personal FOUL (1 PF) (Tatum 2 FT),"[202683, 1628369]",1610612757.0,POR,shooting,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Tatum,1628369.0,
185,PT09M35.00S,2021-05-03T00:11:10.4Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,42,41,2021-05-03T00:11:10Z,1820000,,,0,,J. Tatum Free Throw 1 of 2 (12 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,12.0,,,,,,,,,,,,,,,,,,
186,PT09M35.00S,2021-05-03T00:11:11.0Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,42,41,2021-05-03T00:11:18Z,1830000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT09M35.00S,2021-05-03T00:11:11.0Z,2,REGULAR,substitution,out,[],202683,,,1610612738,42,41,2021-05-03T00:11:18Z,1840000,,,0,,SUB out: E. Kanter,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT09M35.00S,2021-05-03T00:11:11.0Z,2,REGULAR,substitution,in,[],202684,,,1610612738,42,41,2021-05-03T00:11:18Z,1850000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT09M35.00S,2021-05-03T00:11:11.0Z,2,REGULAR,substitution,in,[],203994,,,1610612738,42,41,2021-05-03T00:11:18Z,1860000,,,0,,SUB in: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT09M35.00S,2021-05-03T00:11:37.4Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,43,41,2021-05-03T00:11:37Z,1870000,,,0,,J. Tatum Free Throw 2 of 2 (13 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,13.0,,,,,,,,,,,,,,,,,,
191,PT09M22.00S,2021-05-03T00:11:54.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203994,13.87976346911958,37.56893382352941,1610612757,43,43,2021-05-03T00:12:07Z,1880000,62.0,78.0,1,left,J. Nurkic 9' driving Hook (4 PTS) (C. McCollum 2 AST),"[203994, 203468]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,9.98,Made,4.0,C. McCollum,203468.0,2.0,,,,,,,,,,,,,,,
193,PT09M22.00S,2021-05-03T00:11:56.8Z,2,REGULAR,foul,personal,['1freethrow'],1630174,,,1610612757,43,43,2021-05-03T00:12:09Z,1900000,,,0,,A. Nesmith shooting personal FOUL (2 PF) (Nurkic 1 FT),"[1630174, 203994]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,1627534.0,2.0,0.0,Nurkic,203994.0,
195,PT09M22.00S,2021-05-03T00:12:23.9Z,2,REGULAR,freethrow,1 of 1,[],203994,,,1610612757,43,44,2021-05-03T00:12:23Z,1920000,,,0,,J. Nurkic Free Throw 1 of 1 (5 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
196,PT09M01.00S,2021-05-03T00:12:46.2Z,2,REGULAR,2pt,Jump Shot,[],1630202,92.72339027595268,15.265012254901961,1610612738,45,44,2021-05-03T00:13:54Z,1930000,-174.0,16.0,1,right,P. Pritchard 17' pullup Jump Shot (5 PTS) (J. Tatum 2 AST),"[1630202, 1628369]",1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,17.44,Made,5.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,,
198,PT08M48.00S,2021-05-03T00:13:01.4Z,2,REGULAR,foul,offensive,[],2546,,,1610612757,45,44,2021-05-03T00:13:13Z,1950000,,,0,,C. Anthony offensive FOUL (1 PF),"[2546, 1629641]",1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Langford,1629641.0,
200,PT08M48.00S,2021-05-03T00:13:01.4Z,2,REGULAR,turnover,offensive foul,[],2546,,,1610612757,45,44,2021-05-03T00:13:01Z,1970000,,,0,,C. Anthony offensive foul TURNOVER (1 TO),[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,,,,,,1.0,,,,,,,,,2882.0,,,,,
201,PT08M39.00S,2021-05-03T00:13:24.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630174,83.78777923784494,3.990502450980392,1610612738,48,44,2021-05-03T00:13:31Z,1980000,-230.0,100.0,1,right,A. Nesmith 25' 3PT  (9 PTS) (J. Tatum 3 AST),"[1630174, 1628369]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,25.08,Made,9.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,,,,
202,PT08M26.00S,2021-05-03T00:13:35.9Z,2,REGULAR,3pt,Jump Shot,[],1626181,20.18725361366623,91.98069852941177,1610612757,48,47,2021-05-03T00:13:42Z,1990000,-210.0,137.0,1,left,N. Powell 25' 3PT pullup (10 PTS),[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,25.08,Made,10.0,,,,,,,,,,,,,,,,,,
203,PT08M12.00S,2021-05-03T00:13:52.7Z,2,REGULAR,foul,personal,['2freethrow'],203994,,,1610612738,48,47,2021-05-03T00:14:00Z,2000000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Tatum 2 FT),"[203994, 1628369]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Tatum,1628369.0,
205,PT08M12.00S,2021-05-03T00:14:16.8Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,49,47,2021-05-03T00:14:16Z,2020000,,,0,,J. Tatum Free Throw 1 of 2 (14 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,14.0,,,,,,,,,,,,,,,,,,
206,PT08M12.00S,2021-05-03T00:14:32.6Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,50,47,2021-05-03T00:14:32Z,2030000,,,0,,J. Tatum Free Throw 2 of 2 (15 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,15.0,,,,,,,,,,,,,,,,,,
207,PT07M59.00S,2021-05-03T00:14:47.1Z,2,REGULAR,foul,personal,['3freethrow'],1630174,,,1610612757,50,47,2021-05-03T00:18:28Z,2032500,,,0,,A. Nesmith shooting personal FOUL (3 PF) (McCollum 3 FT),"[1630174, 203468]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,204058.0,3.0,0.0,McCollum,203468.0,
209,PT07M59.00S,2021-05-03T00:15:22.6Z,2,REGULAR,freethrow,1 of 3,[],203468,,,1610612757,50,47,2021-05-03T00:18:46Z,2034375,,,0,,MISS C. McCollum Free Throw 1 of 3,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
210,PT07M59.00S,2021-05-03T00:15:22.6Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612757,50,47,2021-05-03T00:18:46Z,2034687,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,209.0,,,,,,,,,,,
212,PT07M59.00S,2021-05-03T00:15:22.6Z,2,REGULAR,freethrow,2 of 3,[],203468,,,1610612757,50,48,2021-05-03T00:18:46Z,2034843,,,0,,C. McCollum Free Throw 2 of 3 (13 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,Made,13.0,,,,,,,,,,,,,,,,,,
215,PT07M59.00S,2021-05-03T00:15:22.6Z,2,REGULAR,freethrow,3 of 3,[],203468,,,1610612757,50,49,2021-05-03T00:18:46Z,2034921,,,0,,C. McCollum Free Throw 3 of 3 (14 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,Made,14.0,,,,,,,,,,,,,,,,,,
213,PT07M59.00S,2021-05-03T00:15:38.7Z,2,REGULAR,substitution,out,[],1630174,,,1610612738,50,49,2021-05-03T00:18:46Z,2035000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M59.00S,2021-05-03T00:15:38.7Z,2,REGULAR,substitution,in,[],203095,,,1610612738,50,49,2021-05-03T00:18:46Z,2037500,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M46.00S,2021-05-03T00:16:14.1Z,2,REGULAR,2pt,Jump Shot,[],1628369,83.39356110381078,83.15716911764706,1610612738,52,49,2021-05-03T00:16:23Z,2120000,166.0,104.0,1,right,J. Tatum 19' step back Jump Shot (17 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,19.55,Made,17.0,,,,,,,,,,,,,,,,,,
217,PT07M36.00S,2021-05-03T00:16:24.0Z,2,REGULAR,2pt,Jump Shot,[],203468,21.895532194480946,59.13756127450981,1610612757,52,51,2021-05-03T00:19:32Z,2130000,-46.0,153.0,1,left,C. McCollum 16' pullup Jump Shot (16 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,16.0,Made,16.0,,,,,,,,,,,,,,,,,,
218,PT07M24.00S,2021-05-03T00:16:35.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.46057818659659,40.75520833333333,1610612738,54,51,2021-05-03T00:16:49Z,2140000,-46.0,18.0,1,right,J. Tatum driving Layup (19 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,4.97,Made,19.0,,,,,,,,,,,,,,,,,,
219,PT07M15.00S,2021-05-03T00:16:49.0Z,2,REGULAR,foul,personal,['2freethrow'],203095,,,1610612757,54,51,2021-05-03T00:16:58Z,2150000,,,0,,E. Fournier shooting personal FOUL (2 PF) (McCollum 2 FT),"[203095, 203468]",1610612738.0,BOS,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,1627534.0,2.0,0.0,McCollum,203468.0,
221,PT07M15.00S,2021-05-03T00:17:15.5Z,2,REGULAR,freethrow,1 of 2,[],203468,,,1610612757,54,52,2021-05-03T00:17:15Z,2170000,,,0,,C. McCollum Free Throw 1 of 2 (17 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,Made,17.0,,,,,,,,,,,,,,,,,,
222,PT07M15.00S,2021-05-03T00:17:16.0Z,2,REGULAR,substitution,out,[],1629641,,,1610612757,54,52,2021-05-03T00:17:21Z,2180000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M15.00S,2021-05-03T00:17:16.0Z,2,REGULAR,substitution,out,[],1629014,,,1610612757,54,52,2021-05-03T00:17:21Z,2190000,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M15.00S,2021-05-03T00:17:16.0Z,2,REGULAR,substitution,in,[],1627759,,,1610612757,54,52,2021-05-03T00:17:21Z,2200000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M15.00S,2021-05-03T00:17:16.0Z,2,REGULAR,substitution,in,[],203081,,,1610612757,54,52,2021-05-03T00:17:21Z,2210000,,,0,,SUB in: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M15.00S,2021-05-03T00:17:35.9Z,2,REGULAR,freethrow,2 of 2,[],203468,,,1610612757,54,53,2021-05-03T00:17:36Z,2220000,,,0,,C. McCollum Free Throw 2 of 2 (18 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,Made,18.0,,,,,,,,,,,,,,,,,,
227,PT06M58.00S,2021-05-03T00:17:54.7Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202684,85.49605781865965,50.314031862745104,1610612738,54,53,2021-05-03T00:18:02Z,2230000,2.0,84.0,1,right,MISS T. Thompson 8' Hook,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,8.38,Missed,,,,,,,,,,,,,,,,,,,
228,PT06M55.00S,2021-05-03T00:17:57.7Z,2,REGULAR,rebound,defensive,[],2546,,,1610612757,54,53,2021-05-03T00:18:02Z,2240000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,,,,,,,,,227.0,1.0,1.0,0.0,,,,,,,,
229,PT06M43.00S,2021-05-03T00:18:09.1Z,2,REGULAR,2pt,Jump Shot,[],2546,18.2161629434954,70.16697303921569,1610612757,54,53,2021-05-03T00:18:16Z,2250000,-101.0,119.0,1,left,MISS C. Anthony 15' turnaround Shot,[2546],1610612757.0,POR,turnaround,,,Anthony,C. Anthony,,,,,15.57,Missed,,,,,,,,,,,,,,,,,,,
230,PT06M39.00S,2021-05-03T00:18:13.1Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,54,53,2021-05-03T00:18:16Z,2260000,,,0,,J. Brown REBOUND (Off:2 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,229.0,7.0,5.0,2.0,,,,,,,,
231,PT06M32.00S,2021-05-03T00:18:20.3Z,2,REGULAR,3pt,Jump Shot,[],1628369,62.5,53.990502450980394,1610612738,57,53,2021-05-03T00:21:25Z,2270000,20.0,300.0,1,right,J. Tatum 30' 3PT pullup (22 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,30.07,Made,22.0,,,,,,,,,,,,,,,,,,
232,PT06M16.00S,2021-05-03T00:18:35.7Z,2,REGULAR,3pt,Jump Shot,[],203081,30.305519053876477,72.12775735294117,1610612757,57,56,2021-05-03T00:18:42Z,2280000,-111.0,232.0,1,left,D. Lillard 25' 3PT pullup (14 PTS),[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,25.74,Made,14.0,,,,,,,,,,,,,,,,,,
233,PT05M54.00S,2021-05-03T00:19:12.7Z,2,REGULAR,2pt,Jump Shot,[],1628369,91.93495400788436,89.28462009803921,1610612738,57,56,2021-05-03T00:19:19Z,2290000,196.0,23.0,1,right,MISS J. Tatum 19' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,19.78,Missed,,,,,,,,,,,,,,,,,,,
234,PT05M51.00S,2021-05-03T00:19:15.7Z,2,REGULAR,rebound,defensive,[],1626181,,,1610612757,57,56,2021-05-03T00:19:19Z,2300000,,,0,,N. Powell REBOUND (Off:0 Def:2),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,233.0,2.0,2.0,0.0,,,,,,,,
235,PT05M47.00S,2021-05-03T00:19:19.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626181,8.229303547963205,47.127757352941174,1610612757,57,56,2021-05-03T00:19:27Z,2310000,14.0,25.0,1,left,MISS N. Powell running finger roll Layup,[1626181],1610612757.0,POR,running finger roll,,,Powell,N. Powell,,,,,2.88,Missed,,,,,,,,,,,,,,,,,,,
236,PT05M44.00S,2021-05-03T00:19:22.7Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,57,56,2021-05-03T00:19:27Z,2320000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,235.0,2.0,2.0,0.0,,,,,,,,
237,PT05M39.00S,2021-05-03T00:19:32.9Z,2,REGULAR,foul,personal,['2freethrow'],2546,,,1610612738,57,56,2021-05-03T00:22:18Z,2330000,,,0,,C. Anthony shooting personal FOUL (2 PF) (Brown 2 FT),"[2546, 1627759]",1610612757.0,POR,shooting,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,2882.0,2.0,0.0,Brown,1627759.0,
239,PT05M39.00S,2021-05-03T00:20:00.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,57,56,2021-05-03T00:20:00Z,2350000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT05M39.00S,2021-05-03T00:21:57.7Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,57,56,2021-05-03T00:22:16Z,2360000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT05M39.00S,2021-05-03T00:21:57.7Z,2,REGULAR,substitution,out,[],2546,,,1610612738,57,56,2021-05-03T00:22:16Z,2370000,,,0,,SUB out: C. Anthony,[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT05M39.00S,2021-05-03T00:21:57.7Z,2,REGULAR,substitution,out,[],203468,,,1610612738,57,56,2021-05-03T00:22:16Z,2380000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT05M39.00S,2021-05-03T00:21:57.7Z,2,REGULAR,substitution,in,[],203935,,,1610612738,57,56,2021-05-03T00:22:16Z,2390000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M39.00S,2021-05-03T00:21:57.7Z,2,REGULAR,substitution,in,[],203496,,,1610612738,57,56,2021-05-03T00:22:16Z,2400000,,,0,,SUB in: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT05M39.00S,2021-05-03T00:21:57.7Z,2,REGULAR,substitution,in,[],1629014,,,1610612738,57,56,2021-05-03T00:22:16Z,2410000,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT05M39.00S,2021-05-03T00:22:43.5Z,2,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,58,56,2021-05-03T00:22:43Z,2420000,,,0,,J. Brown Free Throw 1 of 2 (9 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
247,PT05M39.00S,2021-05-03T00:23:00.0Z,2,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,59,56,2021-05-03T00:23:00Z,2430000,,,0,,J. Brown Free Throw 2 of 2 (10 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
248,PT05M23.00S,2021-05-03T00:23:17.4Z,2,REGULAR,3pt,Jump Shot,[],203496,32.670827858081466,67.9610906862745,1610612757,59,59,2021-05-03T00:23:23Z,2440000,-90.0,255.0,1,left,R. Covington 27' 3PT  (4 PTS) (D. Lillard 4 AST),"[203496, 203081]",1610612757.0,POR,,,,Covington,R. Covington,,,,,27.0,Made,4.0,D. Lillard,203081.0,4.0,,,,,,,,,,,,,,,
250,PT05M05.00S,2021-05-03T00:23:34.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.5407358738502,64.03952205882352,1610612738,59,59,2021-05-03T00:23:49Z,2460000,70.0,27.0,1,right,MISS J. Brown 7' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,7.52,Missed,,,,,,,,,,,,,,,,,,,
251,PT05M02.00S,2021-05-03T00:23:37.1Z,2,REGULAR,rebound,defensive,[],203994,,,1610612757,59,59,2021-05-03T00:23:49Z,2470000,,,0,,J. Nurkic REBOUND (Off:0 Def:4),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,250.0,4.0,4.0,0.0,,,,,,,,
252,PT04M57.00S,2021-05-03T00:23:42.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629014,12.697109067017081,2.7650122549019605,1610612757,59,59,2021-05-03T00:23:53Z,2480000,236.0,67.0,1,left,MISS A. Simons 24' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,24.55,Missed,,,,,,,,,,,,,,,,,,,
253,PT04M55.00S,2021-05-03T00:23:44.2Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,59,59,2021-05-03T00:23:53Z,2490000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,252.0,1.0,1.0,0.0,,,,,,,,
254,PT04M43.00S,2021-05-03T00:23:56.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202684,79.97700394218134,39.5297181372549,1610612738,59,59,2021-05-03T00:24:03Z,2500000,-52.0,136.0,1,right,MISS T. Thompson 14' Hook,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,14.55,Missed,,,,,,,,,,,,,,,,,,,
255,PT04M41.00S,2021-05-03T00:23:58.3Z,2,REGULAR,rebound,defensive,[],203496,,,1610612757,59,59,2021-05-03T00:24:03Z,2510000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,254.0,1.0,1.0,0.0,,,,,,,,
256,PT04M35.00S,2021-05-03T00:24:05.1Z,2,REGULAR,3pt,Jump Shot,[],203081,33.590670170827856,37.07873774509804,1610612757,59,59,2021-05-03T00:24:11Z,2520000,65.0,263.0,1,left,MISS D. Lillard 27' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,27.11,Missed,,,,,,,,,,,,,,,,,,,
257,PT04M32.00S,2021-05-03T00:24:08.1Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,59,59,2021-05-03T00:24:11Z,2530000,,,0,,P. Pritchard REBOUND (Off:0 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,256.0,2.0,2.0,0.0,,,,,,,,
258,PT04M21.00S,2021-05-03T00:24:18.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.72339027595268,54.48069852941176,1610612738,59,59,2021-05-03T00:27:06Z,2540000,22.0,16.0,1,right,MISS J. Brown driving reverse Layup,[1627759],1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,2.75,Missed,,,,,,,,,,,,,,,,,,,
259,PT04M18.00S,2021-05-03T00:24:21.2Z,2,REGULAR,rebound,offensive,[],202684,,,1610612738,59,59,2021-05-03T00:24:25Z,2550000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,258.0,3.0,2.0,1.0,,,,,,,,
260,PT04M18.00S,2021-05-03T00:24:21.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,59,59,2021-05-03T00:24:21Z,2560000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
261,PT04M17.00S,2021-05-03T00:24:22.4Z,2,REGULAR,rebound,offensive,[],1630202,,,1610612738,59,59,2021-05-03T00:24:22Z,2570000,,,0,,P. Pritchard REBOUND (Off:1 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,260.0,3.0,2.0,1.0,,,,,,,,
262,PT04M07.00S,2021-05-03T00:24:32.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,91.93495400788436,46.14736519607843,1610612738,61,59,2021-05-03T00:24:40Z,2580000,-19.0,23.0,1,right,J. Brown cutting Layup (12 PTS) (E. Fournier 1 AST),"[1627759, 203095]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,3.03,Made,12.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,,,,
