actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
31,PT08M47.00S,2021-06-01T23:49:03.0Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,4,8,2021-06-01T23:49:13Z,310000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
32,PT08M41.00S,2021-06-01T23:49:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,5.338370565045992,50.314031862745104,1610612751,6,8,2021-06-01T23:49:17Z,320000,-2.0,-2.0,1,left,J. Harden driving Layup (6 PTS) (K. Durant 1 AST),"[201935, 201142]",1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,0.28,Made,,,,,,,6.0,K. Durant,201142.0,1.0,,,,,,,,,
34,PT08M21.00S,2021-06-01T23:49:28.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.15045992115637,29.725796568627448,1610612738,6,8,2021-06-01T23:49:36Z,340000,-101.0,247.0,1,right,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,26.69,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M20.00S,2021-06-01T23:49:29.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,6,8,2021-06-01T23:49:36Z,350000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,
36,PT08M20.00S,2021-06-01T23:49:37.2Z,1,REGULAR,foul,personal,[],201935,,,1610612738,6,8,2021-06-01T23:49:52Z,360000,,,0,,J. Harden loose ball personal FOUL (1 PF),"[201935, 202684]",1610612751.0,BKN,loose ball,,,Harden,J. Harden,,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Thompson,202684.0,,,,
38,PT08M12.00S,2021-06-01T23:49:57.8Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612738,6,8,2021-06-01T23:50:04Z,380000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 201935]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,1.0,Harden,201935.0,
39,PT08M12.00S,2021-06-01T23:49:57.8Z,1,REGULAR,steal,,[],201935,,,1610612751,6,8,2021-06-01T23:50:01Z,390000,,,0,,J. Harden STEAL (1 STL),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT07M58.00S,2021-06-01T23:50:12.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201142,16.770696452036795,53.990502450980394,1610612751,6,8,2021-06-01T23:50:18Z,400000,-20.0,105.0,1,left,MISS K. Durant 10' fadeaway Shot,[201142],1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,10.7,Missed,,,,,,,,,,,,,,,,,,,
41,PT07M53.00S,2021-06-01T23:50:17.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,8,2021-06-01T23:50:18Z,410000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,40.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
42,PT07M47.00S,2021-06-01T23:50:22.8Z,1,REGULAR,3pt,Jump Shot,[],203935,69.33311432325887,72.12775735294117,1610612738,6,8,2021-06-01T23:50:28Z,420000,111.0,236.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.04,Missed,,,,,,,,,,,,,,,,,,,
