actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
32,PT08M22.00S,2021-02-17T00:15:56.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202689,92.06636005256242,43.94148284313725,1610612738,4,7,2021-02-17T00:16:09Z,320000,-30.0,22.0,1,right,K. Walker Layup (2 PTS) (J. Tatum 1 AST),"[202689, 1628369]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,3.75,Made,,,,,,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,
34,PT08M22.00S,2021-02-17T00:16:00.0Z,1,REGULAR,foul,personal,['1freethrow'],203210,,,1610612738,4,7,2021-02-17T00:16:09Z,340000,,,0,,J. Green shooting personal FOUL (1 PF) (Walker 1 FT),"[203210, 202689]",1610612743.0,DEN,shooting,,,Green,J. Green,,,,,,,,,,,204058.0,1.0,0.0,Walker,202689.0,,,,,,,,,
36,PT08M22.00S,2021-02-17T00:16:23.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],202689,,,1610612738,5,7,2021-02-17T00:16:23Z,360000,,,0,,K. Walker Free Throw 1 of 1 (3 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
37,PT08M05.00S,2021-02-17T00:16:39.9Z,1,REGULAR,2pt,Jump Shot,[],203999,7.440867279894875,28.745404411764707,1610612743,5,9,2021-02-17T00:16:46Z,370000,106.0,17.0,1,left,N. Jokic 10' turnaround fadeaway Jump Shot (6 PTS),[203999],1610612743.0,DEN,turnaround fadeaway,,,Jokic,N. Jokic,,,,,10.77,Made,,,,,,,,,,6.0,,,,,,,,
38,PT07M48.00S,2021-02-17T00:16:56.9Z,1,REGULAR,3pt,Jump Shot,[],202689,70.90998685939553,77.76501225490196,1610612738,5,9,2021-02-17T00:17:02Z,380000,139.0,221.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.09,Missed,,,,,,,,,,,,,,,,,,
39,PT07M44.00S,2021-02-17T00:17:00.9Z,1,REGULAR,rebound,defensive,[],203210,,,1610612743,5,9,2021-02-17T00:17:02Z,390000,,,0,,J. Green REBOUND (Off:0 Def:1),[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT07M32.00S,2021-02-17T00:17:13.7Z,1,REGULAR,turnover,out-of-bounds,[],1627750,,,1610612743,5,9,2021-02-17T00:17:19Z,400000,,,0,,J. Murray bad pass out-of-bounds TURNOVER (2 TO),[1627750],1610612743.0,DEN,bad pass,,,Murray,J. Murray,,,,,,,,,,,204058.0,,,,,,,,,2.0,,,,
41,PT07M19.00S,2021-02-17T00:17:34.4Z,1,REGULAR,turnover,lost ball,[],202684,,,1610612738,5,9,2021-02-17T00:17:38Z,410000,,,0,,T. Thompson lost ball TURNOVER (2 TO),"[202684, 203999]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,2.0,Jokic,203999.0,,
42,PT07M19.00S,2021-02-17T00:17:34.4Z,1,REGULAR,steal,,[],203999,,,1610612743,5,9,2021-02-17T00:17:36Z,420000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M15.00S,2021-02-17T00:17:38.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203210,6.783837056504599,53.50030637254902,1610612743,5,9,2021-02-17T00:17:52Z,430000,-18.0,11.0,1,left,MISS J. Green running Layup,[203210],1610612743.0,DEN,running,,,Green,J. Green,,,,,2.08,Missed,,,,,,,,,,,,,,,,,,
44,PT07M11.00S,2021-02-17T00:17:42.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,9,2021-02-17T00:17:52Z,440000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT07M09.00S,2021-02-17T00:17:46.5Z,1,REGULAR,foul,personal,[],1630267,,,1610612738,5,9,2021-02-17T00:17:56Z,450000,,,0,,F. Campazzo personal FOUL (1 PF),"[1630267, 1627759]",1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,2530.0,1.0,0.0,Brown,1627759.0,,,,,,,,,
47,PT07M09.00S,2021-02-17T00:17:58.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,5,9,2021-02-17T00:17:58Z,470000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M02.00S,2021-02-17T00:20:57.8Z,1,REGULAR,foul,personal,[],1629008,,,1610612738,5,9,2021-02-17T00:21:11Z,480000,,,0,,M. Porter Jr. personal FOUL (1 PF),"[1629008, 1628369]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,204058.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,
50,PT06M53.00S,2021-02-17T00:21:23.2Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,5,9,2021-02-17T00:21:36Z,500000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,,,,,,,1204.0,,,,,,,,,1.0,,,,
51,PT06M36.00S,2021-02-17T00:21:47.5Z,1,REGULAR,foul,personal,[],202684,,,1610612743,5,9,2021-02-17T00:21:56Z,510000,,,0,,T. Thompson personal FOUL (1 PF),"[202684, 203999]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,204058.0,1.0,0.0,Jokic,203999.0,,,,,,,,,
53,PT06M36.00S,2021-02-17T00:21:57.3Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,5,9,2021-02-17T00:22:02Z,530000,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M36.00S,2021-02-17T00:21:57.3Z,1,REGULAR,substitution,in,[],1630181,,,1610612743,5,9,2021-02-17T00:22:02Z,540000,,,0,,SUB in: R. Hampton,[1630181],1610612743.0,DEN,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M30.00S,2021-02-17T00:22:17.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203999,10.726018396846255,35.36305147058824,1610612743,5,11,2021-02-17T00:22:23Z,550000,73.0,48.0,1,left,N. Jokic 8' Hook (8 PTS) (M. Porter Jr. 1 AST),"[203999, 1629008]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,8.77,Made,,,,,,,,,,8.0,M. Porter Jr.,1629008.0,1.0,,,,,
57,PT06M18.00S,2021-02-17T00:22:30.0Z,1,REGULAR,3pt,Jump Shot,[],1628400,65.91655716162943,50.314031862745104,1610612738,5,11,2021-02-17T00:22:35Z,570000,2.0,268.0,1,right,MISS S. Ojeleye 26' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,
58,PT06M14.00S,2021-02-17T00:22:34.0Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,5,11,2021-02-17T00:22:35Z,580000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:4),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,57.0,4.0,4.0,0.0,,,,,,,,,,,,,,
59,PT06M04.00S,2021-02-17T00:22:43.6Z,1,REGULAR,3pt,Jump Shot,[],1630181,15.062417871222076,3.010110294117647,1610612743,5,11,2021-02-17T00:22:48Z,590000,235.0,89.0,1,left,MISS R. Hampton 25' 3PT,[1630181],1610612743.0,DEN,,,,Hampton,R. Hampton,,,,,25.12,Missed,,,,,,,,,,,,,,,,,,
60,PT06M01.00S,2021-02-17T00:22:46.6Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,5,11,2021-02-17T00:22:48Z,600000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT05M54.00S,2021-02-17T00:22:54.0Z,1,REGULAR,foul,personal,['2freethrow'],1630181,,,1610612738,5,11,2021-02-17T00:23:06Z,610000,,,0,,R. Hampton shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630181, 1628369]",1610612743.0,DEN,shooting,,,Hampton,R. Hampton,,,,,,,,,,,1204.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,
63,PT05M54.00S,2021-02-17T00:23:18.5Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,6,11,2021-02-17T00:23:18Z,630000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
64,PT05M54.00S,2021-02-17T00:23:37.5Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,7,11,2021-02-17T00:23:37Z,640000,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
65,PT05M40.00S,2021-02-17T00:23:53.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,10.463206307490145,54.970894607843135,1610612743,7,13,2021-02-17T00:23:58Z,650000,-25.0,46.0,1,left,N. Jokic driving Hook (10 PTS) (M. Porter Jr. 2 AST),"[203999, 1629008]",1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,5.22,Made,,,,,,,,,,10.0,M. Porter Jr.,1629008.0,2.0,,,,,
67,PT05M26.00S,2021-02-17T00:24:08.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202684,90.62089356110381,49.08854166666667,1610612738,9,13,2021-02-17T00:24:12Z,670000,-5.0,36.0,1,right,T. Thompson cutting DUNK (4 PTS) (K. Walker 2 AST),"[202684, 202689]",1610612738.0,BOS,cutting,,,Thompson,T. Thompson,,,,,3.6,Made,,,,,,,,,,4.0,K. Walker,202689.0,2.0,,,,,
69,PT05M10.00S,2021-02-17T00:24:22.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630267,20.05584756898817,34.872855392156865,1610612743,9,13,2021-02-17T00:24:28Z,690000,76.0,136.0,1,left,MISS F. Campazzo 15' pullup Shot,[1630267],1610612743.0,DEN,pullup,,,Campazzo,F. Campazzo,,,,,15.56,Missed,,,,,,,,,,,,,,,,,,
70,PT05M07.00S,2021-02-17T00:24:25.7Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,9,13,2021-02-17T00:24:28Z,700000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,69.0,3.0,2.0,1.0,,,,,,,,,,,,,,
71,PT05M01.00S,2021-02-17T00:24:32.3Z,1,REGULAR,3pt,Jump Shot,[],202689,68.28186596583443,27.27481617647059,1610612738,12,13,2021-02-17T00:24:37Z,710000,-114.0,246.0,1,right,K. Walker 27' 3PT  (6 PTS) (J. Brown 1 AST),"[202689, 1627759]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.07,Made,,,,,,,,,,6.0,J. Brown,1627759.0,1.0,,,,,
73,PT05M00.00S,2021-02-17T00:24:38.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,12,13,2021-02-17T00:24:39Z,730000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M00.00S,2021-02-17T00:26:13.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612743,12,13,2021-02-17T00:27:07Z,740000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M00.00S,2021-02-17T00:26:13.2Z,1,REGULAR,substitution,in,[],1630174,,,1610612743,12,13,2021-02-17T00:27:07Z,750000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M48.00S,2021-02-17T00:27:43.6Z,1,REGULAR,3pt,Jump Shot,[],1629008,28.991458607095925,25.314031862745097,1610612743,12,13,2021-02-17T00:27:49Z,760000,123.0,220.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,
77,PT04M44.00S,2021-02-17T00:27:47.6Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,12,13,2021-02-17T00:27:49Z,770000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT04M36.00S,2021-02-17T00:27:54.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,91.27792378449409,9.872855392156863,1610612738,14,13,2021-02-17T00:28:00Z,780000,-201.0,29.0,1,right,J. Brown 20' pullup Jump Shot (2 PTS) (K. Walker 3 AST),"[1627759, 202689]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,20.28,Made,,,,,,,,,,2.0,K. Walker,202689.0,3.0,,,,,
80,PT04M26.00S,2021-02-17T00:28:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,9.280551905387648,49.57873774509804,1610612743,14,13,2021-02-17T00:28:12Z,800000,2.0,35.0,1,left,MISS M. Porter Jr. Layup,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,3.48,Missed,,,,,,,,,,,,,,,,,,
81,PT04M24.00S,2021-02-17T00:28:06.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,14,13,2021-02-17T00:28:47Z,810000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,
82,PT04M24.00S,2021-02-17T00:28:10.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629008,,,1610612738,14,13,2021-02-17T00:28:47Z,820000,,,0,,M. Porter Jr. loose ball personal FOUL (2 PF) (Nesmith 2 FT),"[1629008, 1630174]",1610612743.0,DEN,loose ball,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,1204.0,2.0,0.0,Nesmith,1630174.0,,,,,,,,,
85,PT04M24.00S,2021-02-17T00:28:46.8Z,1,REGULAR,freethrow,1 of 2,[],1630174,,,1610612738,14,13,2021-02-17T00:28:46Z,850000,,,0,,MISS A. Nesmith Free Throw 1 of 2,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,Missed,,,,,,,,,,,,,,,,,,
86,PT04M24.00S,2021-02-17T00:28:46.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,14,13,2021-02-17T00:28:46Z,860000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,
87,PT04M24.00S,2021-02-17T00:28:47.5Z,1,REGULAR,substitution,out,[],1629008,,,1610612738,14,13,2021-02-17T00:28:56Z,870000,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M24.00S,2021-02-17T00:28:47.5Z,1,REGULAR,substitution,in,[],1630192,,,1610612738,14,13,2021-02-17T00:28:56Z,880000,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M24.00S,2021-02-17T00:28:46.8Z,1,REGULAR,freethrow,2 of 2,[],1630174,,,1610612738,15,13,2021-02-17T00:31:40Z,890000,,,0,,A. Nesmith Free Throw 2 of 2 (1 PTS),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
90,PT04M05.00S,2021-02-17T00:29:31.7Z,1,REGULAR,turnover,out-of-bounds,[],203210,,,1610612743,15,13,2021-02-17T00:29:37Z,900000,,,0,,J. Green step out-of-bounds TURNOVER (1 TO),[203210],1610612743.0,DEN,step,,,Green,J. Green,,,,,,,,,,,2530.0,,,,,,,,,1.0,,,,
91,PT03M57.00S,2021-02-17T00:29:46.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,75.64060446780552,12.078737745098039,1610612738,15,13,2021-02-17T00:29:54Z,910000,-190.0,176.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,
92,PT03M53.00S,2021-02-17T00:29:49.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,15,13,2021-02-17T00:29:49Z,920000,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,91.0,2.0,1.0,1.0,,,,,,,,,,,,,,
