actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
408,PT06M29.00S,2021-02-21T22:05:54.2Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],202684,,,1610612738,55,78,2021-02-21T22:05:54Z,3840000,,,0,,T. Thompson Free Throw 1 of 2 (9 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
409,PT06M29.00S,2021-02-21T22:05:56.7Z,3,REGULAR,substitution,out,[],1628369,,,1610612738,55,78,2021-02-21T22:06:05Z,3850000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
410,PT06M29.00S,2021-02-21T22:05:56.7Z,3,REGULAR,substitution,in,[],1630174,,,1610612738,55,78,2021-02-21T22:06:05Z,3860000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
411,PT06M29.00S,2021-02-21T22:06:18.0Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],202684,,,1610612738,55,79,2021-02-21T22:06:18Z,3870000,,,0,,T. Thompson Free Throw 2 of 2 (10 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
412,PT06M12.00S,2021-02-21T22:06:36.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628366,89.56964520367937,39.03952205882353,1610612740,55,79,2021-02-21T22:11:29Z,3880000,-55.0,46.0,1,right,MISS L. Ball 7' floating Shot,[1628366],1610612740.0,NOP,floating,,,Ball,L. Ball,,,,,7.12,Missed,,,,,,,,,,,,,,,,,,,
413,PT06M11.00S,2021-02-21T22:06:37.7Z,3,REGULAR,rebound,offensive,[],1629627,,,1610612740,55,79,2021-02-21T22:07:01Z,3890000,,,0,,Z. Williamson REBOUND (Off:1 Def:3),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,412.0,4.0,3.0,1.0,,,,,,,,,,,
414,PT06M11.00S,2021-02-21T22:06:40.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,94.1688567674113,45.166973039215684,1610612740,55,79,2021-02-21T22:07:07Z,3900000,-24.0,2.0,1,right,MISS Z. Williamson Layup - blocked,"[1629627, 202684]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,2.43,Missed,,,,,,,,,,,,,,,,,Thompson,202684.0,
415,PT06M11.00S,2021-02-21T22:06:40.1Z,3,REGULAR,block,,[],202684,,,1610612740,55,79,2021-02-21T22:06:42Z,3910000,,,0,,T. Thompson BLOCK (2 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
416,PT06M10.00S,2021-02-21T22:06:41.1Z,3,REGULAR,rebound,offensive,[],1629627,,,1610612740,55,79,2021-02-21T22:07:07Z,3920000,,,0,,Z. Williamson REBOUND (Off:2 Def:3),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,414.0,5.0,3.0,2.0,,,,,,,,,,,
417,PT06M09.00S,2021-02-21T22:06:45.8Z,3,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629627,94.40999984741211,50.0,1610612740,57,79,2021-02-21T22:07:13Z,3930000,0.0,0.0,1,right,Z. Williamson putback Layup (8 PTS),[1629627],1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,0.0,Made,8.0,,,,,,,,,,,,,,,,,,
418,PT05M59.00S,2021-02-21T22:06:56.3Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626195,,,1610612738,57,79,2021-02-21T22:07:13Z,3940000,,,0,,W. Hernangomez shooting personal FOUL (2 PF) (Brown 2 FT),"[1626195, 1627759]",1610612740.0,NOP,shooting,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,1155.0,2.0,0.0,Brown,1627759.0,,,
420,PT05M59.00S,2021-02-21T22:07:15.6Z,3,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,57,79,2021-02-21T22:07:15Z,3960000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
421,PT05M59.00S,2021-02-21T22:07:15.6Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,57,79,2021-02-21T22:07:15Z,3970000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,
422,PT05M59.00S,2021-02-21T22:07:20.0Z,3,REGULAR,substitution,out,[],1629627,,,1610612738,57,79,2021-02-21T22:07:45Z,3980000,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
423,PT05M59.00S,2021-02-21T22:07:20.0Z,3,REGULAR,substitution,out,[],1628366,,,1610612738,57,79,2021-02-21T22:07:45Z,3990000,,,0,,SUB out: L. Ball,[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
424,PT05M59.00S,2021-02-21T22:07:20.0Z,3,REGULAR,substitution,out,[],202684,,,1610612738,57,79,2021-02-21T22:07:45Z,4000000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
425,PT05M59.00S,2021-02-21T22:07:20.0Z,3,REGULAR,substitution,out,[],1628464,,,1610612738,57,79,2021-02-21T22:07:45Z,4010000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
426,PT05M59.00S,2021-02-21T22:07:20.0Z,3,REGULAR,substitution,in,[],1628404,,,1610612738,57,79,2021-02-21T22:07:45Z,4020000,,,0,,SUB in: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
427,PT05M59.00S,2021-02-21T22:07:20.0Z,3,REGULAR,substitution,in,[],200755,,,1610612738,57,79,2021-02-21T22:07:45Z,4030000,,,0,,SUB in: J. Redick,[200755],1610612740.0,NOP,,,,Redick,J. Redick,,,,,,,,,,,,,,,,,,,,,,,,,
428,PT05M59.00S,2021-02-21T22:07:20.0Z,3,REGULAR,substitution,in,[],1629057,,,1610612738,57,79,2021-02-21T22:07:45Z,4040000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
429,PT05M59.00S,2021-02-21T22:07:20.0Z,3,REGULAR,substitution,in,[],1628400,,,1610612738,57,79,2021-02-21T22:07:45Z,4050000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
430,PT05M59.00S,2021-02-21T22:07:51.9Z,3,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,57,80,2021-02-21T22:07:52Z,4060000,,,0,,J. Brown Free Throw 2 of 2 (14 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,14.0,,,,,,,,,,,,,,,,,,
431,PT05M34.00S,2021-02-21T22:08:19.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,94.56307490144546,52.27481617647059,1610612740,59,80,2021-02-21T22:08:23Z,4070000,11.0,-1.0,1,right,B. Ingram driving Layup (17 PTS) (J. Redick 2 AST),"[1627742, 200755]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,1.15,Made,17.0,J. Redick,200755.0,2.0,,,,,,,,,,,,,,,
433,PT05M21.00S,2021-02-21T22:08:32.9Z,3,REGULAR,2pt,Jump Shot,[],202689,20.844283837056505,20.657169117647058,1610612738,59,80,2021-02-21T22:08:39Z,4090000,147.0,143.0,1,left,MISS K. Walker 20' step back Shot,[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,20.51,Missed,,,,,,,,,,,,,,,,,,,
434,PT05M18.00S,2021-02-21T22:08:36.1Z,3,REGULAR,rebound,offensive,[],1629057,,,1610612738,59,80,2021-02-21T22:08:36Z,4100000,,,0,,R. Williams III REBOUND (Off:4 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,433.0,6.0,2.0,4.0,,,,,,,,,,,
435,PT05M17.00S,2021-02-21T22:08:37.4Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628400,30.305519053876477,26.53952205882353,1610612738,59,80,2021-02-21T22:08:41Z,4110000,117.0,232.0,1,left,MISS S. Ojeleye 26' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,,
436,PT05M13.00S,2021-02-21T22:08:41.4Z,3,REGULAR,rebound,defensive,[],1628404,,,1610612740,59,80,2021-02-21T22:08:41Z,4120000,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,435.0,3.0,3.0,0.0,,,,,,,,,,,
437,PT05M08.00S,2021-02-21T22:08:48.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1626195,92.59198423127464,50.55912990196079,1610612740,61,80,2021-02-21T22:12:34Z,4130000,3.0,17.0,1,right,W. Hernangomez finger roll Layup (6 PTS) (B. Ingram 3 AST),"[1626195, 1627742]",1610612740.0,NOP,finger roll,,,Hernangomez,W. Hernangomez,,,,,1.73,Made,6.0,B. Ingram,1627742.0,3.0,,,,,,,,,,,,,,,
439,PT05M08.00S,2021-02-21T22:08:51.6Z,3,REGULAR,foul,personal,['1freethrow'],1630174,,,1610612740,61,80,2021-02-21T22:09:03Z,4150000,,,0,,A. Nesmith shooting personal FOUL (2 PF) (Hernangomez 1 FT),"[1630174, 1626195]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,1155.0,2.0,0.0,Hernangomez,1626195.0,,,
441,PT05M08.00S,2021-02-21T22:09:15.8Z,3,REGULAR,freethrow,1 of 1,[],1626195,,,1610612740,61,80,2021-02-21T22:09:18Z,4170000,,,0,,MISS W. Hernangomez Free Throw 1 of 1,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,Missed,,,,,,,,,,,,,,,,,,,
442,PT05M05.00S,2021-02-21T22:09:18.8Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,61,80,2021-02-21T22:09:18Z,4180000,,,0,,R. Williams III REBOUND (Off:4 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,441.0,7.0,3.0,4.0,,,,,,,,,,,
443,PT04M49.00S,2021-02-21T22:09:32.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202689,5.469776609724048,53.50030637254902,1610612738,61,82,2021-02-21T22:09:36Z,4190000,-18.0,-1.0,1,left,K. Walker Layup (12 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,1.75,Made,12.0,,,,,,,,,,,,,,,,,,
444,PT04M37.00S,2021-02-21T22:09:45.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,94.03745072273325,51.53952205882353,1610612740,63,82,2021-02-21T22:09:48Z,4200000,8.0,4.0,1,right,B. Ingram driving Layup (19 PTS),[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,0.85,Made,19.0,,,,,,,,,,,,,,,,,,
445,PT04M17.00S,2021-02-21T22:10:04.8Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,6.389618922470433,49.57873774509804,1610612738,63,84,2021-02-21T22:10:13Z,4210000,2.0,8.0,1,left,R. Williams III alley-oop DUNK (6 PTS) (J. Brown 8 AST),"[1629057, 1627759]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,0.79,Made,6.0,J. Brown,1627759.0,8.0,,,,,,,,,,,,,,,
447,PT04M04.00S,2021-02-21T22:10:28.0Z,3,REGULAR,3pt,Jump Shot,[],1628404,94.95729303547962,5.215992647058823,1610612740,63,84,2021-02-21T22:10:35Z,4230000,-224.0,-5.0,1,right,MISS J. Hart 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,22.4,Missed,,,,,,,,,,,,,,,,,,,
448,PT03M57.00S,2021-02-21T22:10:35.0Z,3,REGULAR,rebound,defensive,[],1630174,,,1610612738,63,84,2021-02-21T22:10:35Z,4240000,,,0,,A. Nesmith REBOUND (Off:1 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,447.0,3.0,2.0,1.0,,,,,,,,,,,
449,PT03M50.00S,2021-02-21T22:10:41.8Z,3,REGULAR,turnover,out-of-bounds,[],202689,,,1610612738,63,84,2021-02-21T22:11:11Z,4250000,,,0,,K. Walker bad pass out-of-bounds TURNOVER (2 TO),[202689],1610612738.0,BOS,bad pass,,,Walker,K. Walker,,,,,,,,,,,,,,,2.0,,,1155.0,,,,,,,
450,PT03M50.00S,2021-02-21T22:10:45.5Z,3,REGULAR,substitution,out,[],1626195,,,1610612740,63,84,2021-02-21T22:10:56Z,4260000,,,0,,SUB out: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
451,PT03M50.00S,2021-02-21T22:10:45.5Z,3,REGULAR,substitution,in,[],1629637,,,1610612740,63,84,2021-02-21T22:10:56Z,4270000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
452,PT03M45.00S,2021-02-21T22:11:17.9Z,3,REGULAR,foul,personal,[],1627759,,,1610612740,63,84,2021-02-21T22:11:23Z,4280000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1627742]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Ingram,1627742.0,,,
454,PT03M45.00S,2021-02-21T22:11:28.3Z,3,REGULAR,substitution,out,[],202689,,,1610612740,63,84,2021-02-21T22:11:31Z,4300000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
455,PT03M45.00S,2021-02-21T22:11:28.3Z,3,REGULAR,substitution,in,[],1630202,,,1610612740,63,84,2021-02-21T22:11:31Z,4310000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
456,PT03M40.00S,2021-02-21T22:11:45.7Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612740,63,84,2021-02-21T22:11:54Z,4320000,,,0,,J. Brown shooting personal FOUL (2 PF) (Hayes 2 FT),"[1627759, 1629637]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,2148.0,2.0,0.0,Hayes,1629637.0,,,
458,PT03M40.00S,2021-02-21T22:12:08.2Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1629637,,,1610612740,63,84,2021-02-21T22:12:08Z,4340000,,,0,,MISS J. Hayes Free Throw 1 of 2,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
459,PT03M40.00S,2021-02-21T22:12:08.2Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,63,84,2021-02-21T22:12:08Z,4350000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,458.0,,,,,,,,,,,,,,
460,PT03M40.00S,2021-02-21T22:12:26.0Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1629637,,,1610612740,64,84,2021-02-21T22:12:26Z,4360000,,,0,,J. Hayes Free Throw 2 of 2 (3 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
461,PT03M26.00S,2021-02-21T22:12:41.8Z,3,REGULAR,turnover,lost ball,[],1627759,,,1610612738,64,84,2021-02-21T22:12:49Z,4370000,,,0,,J. Brown lost ball TURNOVER (2 TO),"[1627759, 1628404]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,2.0,Hart,1628404.0,,,,,,,,
462,PT03M26.00S,2021-02-21T22:12:41.8Z,3,REGULAR,steal,,[],1628404,,,1610612740,64,84,2021-02-21T22:13:10Z,4380000,,,0,,J. Hart STEAL (1 STL),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
463,PT03M24.00S,2021-02-21T22:12:47.7Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630202,,,1610612740,64,84,2021-02-21T22:13:00Z,4390000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Bledsoe 2 FT),"[1630202, 202339]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Bledsoe,202339.0,,,
465,PT03M24.00S,2021-02-21T22:13:07.9Z,3,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",202339,,,1610612740,65,84,2021-02-21T22:13:07Z,4410000,,,0,,E. Bledsoe Free Throw 1 of 2 (7 PTS),[202339],1610612740.0,NOP,,,,Bledsoe,E. Bledsoe,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
466,PT03M24.00S,2021-02-21T22:13:23.1Z,3,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",202339,,,1610612740,66,84,2021-02-21T22:13:23Z,4420000,,,0,,E. Bledsoe Free Throw 2 of 2 (8 PTS),[202339],1610612740.0,NOP,,,,Bledsoe,E. Bledsoe,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
467,PT03M11.00S,2021-02-21T22:13:41.6Z,3,REGULAR,foul,offensive,['inpenalty'],1629057,,,1610612738,66,84,2021-02-21T22:13:57Z,4430000,,,0,,R. Williams III offensive FOUL (2 PF),"[1629057, 202339]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,2148.0,2.0,0.0,Bledsoe,202339.0,,,
469,PT03M11.00S,2021-02-21T22:13:41.6Z,3,REGULAR,turnover,offensive foul,[],1629057,,,1610612738,66,84,2021-02-21T22:13:41Z,4450000,,,0,,R. Williams III offensive foul TURNOVER (1 TO),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,1.0,,,2148.0,,,,,,,
470,PT03M02.00S,2021-02-21T22:14:08.5Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630174,,,1610612740,66,84,2021-02-21T22:14:17Z,4460000,,,0,,A. Nesmith personal FOUL (3 PF) (Redick 2 FT),"[1630174, 200755]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,201639.0,3.0,0.0,Redick,200755.0,,,
472,PT03M02.00S,2021-02-21T22:14:30.0Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],200755,,,1610612740,67,84,2021-02-21T22:14:30Z,4480000,,,0,,J. Redick Free Throw 1 of 2 (3 PTS),[200755],1610612740.0,NOP,,,,Redick,J. Redick,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
473,PT03M02.00S,2021-02-21T22:14:46.5Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],200755,,,1610612740,68,84,2021-02-21T22:14:46Z,4490000,,,0,,J. Redick Free Throw 2 of 2 (4 PTS),[200755],1610612740.0,NOP,,,,Redick,J. Redick,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
474,PT02M56.00S,2021-02-21T22:15:00.3Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,68,84,2021-02-21T22:15:00Z,4500000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,PT02M56.00S,2021-02-21T22:17:38.9Z,3,REGULAR,substitution,out,[],1627759,,,1610612738,68,84,2021-02-21T22:17:58Z,4510000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
476,PT02M56.00S,2021-02-21T22:17:38.9Z,3,REGULAR,substitution,in,[],1628369,,,1610612738,68,84,2021-02-21T22:17:58Z,4520000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
477,PT02M43.00S,2021-02-21T22:18:30.0Z,3,REGULAR,2pt,Jump Shot,[],1629057,7.046649145860711,72.86305147058823,1610612738,68,84,2021-02-21T22:18:42Z,4530000,-114.0,14.0,1,left,MISS R. Williams III 11' Jump Shot,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,11.51,Missed,,,,,,,,,,,,,,,,,,,
478,PT02M42.00S,2021-02-21T22:18:31.0Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612740,68,84,2021-02-21T22:18:42Z,4540000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,477.0,,,,,,,,,,,,,,
479,PT02M40.00S,2021-02-21T22:18:41.6Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,68,84,2021-02-21T22:18:41Z,4550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,PT02M28.00S,2021-02-21T22:18:52.7Z,3,REGULAR,2pt,Jump Shot,[],1627742,84.97043363994744,73.59834558823529,1610612740,68,84,2021-02-21T22:18:56Z,4560000,118.0,89.0,1,right,MISS B. Ingram 14' Jump Shot,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,14.77,Missed,,,,,,,,,,,,,,,,,,,
481,PT02M26.00S,2021-02-21T22:18:54.7Z,3,REGULAR,rebound,defensive,[],1628400,,,1610612738,68,84,2021-02-21T22:18:54Z,4570000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,480.0,1.0,1.0,0.0,,,,,,,,,,,
482,PT02M09.00S,2021-02-21T22:19:11.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,11.251642575558476,38.05912990196079,1610612738,68,84,2021-02-21T22:19:17Z,4580000,60.0,53.0,1,left,MISS J. Tatum 8' floating Shot,[1628369],1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,8.0,Missed,,,,,,,,,,,,,,,,,,,
483,PT02M07.00S,2021-02-21T22:19:13.7Z,3,REGULAR,rebound,defensive,[],200755,,,1610612740,68,84,2021-02-21T22:19:17Z,4590000,,,0,,J. Redick REBOUND (Off:0 Def:1),[200755],1610612740.0,NOP,,,,Redick,J. Redick,,,,,,,,,,,482.0,1.0,1.0,0.0,,,,,,,,,,,
484,PT02M00.00S,2021-02-21T22:19:21.3Z,3,REGULAR,3pt,Jump Shot,[],1627742,68.01905387647832,48.353247549019606,1610612740,68,84,2021-02-21T22:19:26Z,4600000,-8.0,248.0,1,right,MISS B. Ingram 24' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
485,PT01M56.00S,2021-02-21T22:19:25.3Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,68,84,2021-02-21T22:19:26Z,4610000,,,0,,R. Williams III REBOUND (Off:4 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,484.0,8.0,4.0,4.0,,,,,,,,,,,
486,PT01M42.00S,2021-02-21T22:19:38.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,18.610381077529567,45.166973039215684,1610612738,68,84,2021-02-21T22:19:43Z,4620000,24.0,122.0,1,left,MISS J. Tatum 12' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,12.48,Missed,,,,,,,,,,,,,,,,,,,
487,PT01M39.00S,2021-02-21T22:19:41.5Z,3,REGULAR,rebound,defensive,[],1629637,,,1610612740,68,84,2021-02-21T22:19:43Z,4630000,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,486.0,1.0,1.0,0.0,,,,,,,,,,,
488,PT01M21.00S,2021-02-21T22:20:00.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,93.77463863337714,52.76501225490197,1610612740,70,84,2021-02-21T22:20:03Z,4640000,14.0,6.0,1,right,B. Ingram driving Layup (21 PTS) (J. Redick 3 AST),"[1627742, 200755]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,1.5,Made,21.0,J. Redick,200755.0,3.0,,,,,,,,,,,,,,,
489,PT01M03.00S,2021-02-21T22:20:21.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,7.178055190538765,45.166973039215684,1610612738,70,86,2021-02-21T22:20:32Z,4650000,24.0,15.0,1,left,A. Nesmith driving Layup (9 PTS),[1630174],1610612738.0,BOS,driving,,,Nesmith,A. Nesmith,,,,,2.85,Made,9.0,,,,,,,,,,,,,,,,,,
491,PT01M03.00S,2021-02-21T22:20:24.0Z,3,REGULAR,foul,personal,"['inpenalty', '1freethrow']",200755,,,1610612738,70,86,2021-02-21T22:21:00Z,4660000,,,0,,J. Redick shooting personal FOUL (3 PF) (Nesmith 1 FT),"[200755, 1630174]",1610612740.0,NOP,shooting,,,Redick,J. Redick,,,,,,,,,,,,,,,,,,201639.0,3.0,0.0,Nesmith,1630174.0,,,
493,PT01M03.00S,2021-02-21T22:20:40.4Z,3,REGULAR,substitution,out,[],1627742,,,1610612738,70,86,2021-02-21T22:20:59Z,4680000,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
494,PT01M03.00S,2021-02-21T22:20:40.4Z,3,REGULAR,substitution,out,[],1629057,,,1610612738,70,86,2021-02-21T22:20:59Z,4690000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
495,PT01M03.00S,2021-02-21T22:20:40.4Z,3,REGULAR,substitution,in,[],1629627,,,1610612738,70,86,2021-02-21T22:20:59Z,4700000,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
496,PT01M03.00S,2021-02-21T22:20:40.4Z,3,REGULAR,substitution,in,[],202684,,,1610612738,70,86,2021-02-21T22:20:59Z,4710000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
