actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
34,PT08M33.00S,2021-02-21T20:47:15.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,74.58935611038108,83.64736519607843,1610612738,11,5,2021-02-21T20:47:31Z,330000,168.0,186.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M31.00S,2021-02-21T20:47:17.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,11,5,2021-02-21T20:47:31Z,340000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,
36,PT08M31.00S,2021-02-21T20:47:29.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,11,5,2021-02-21T20:47:29Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M28.00S,2021-02-21T20:47:43.8Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1628369,89.17542706964521,26.53952205882353,1610612738,11,7,2021-02-21T20:47:52Z,360000,-117.0,49.0,1,right,J. Tatum 12' fadeaway Jump Shot (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,12.72,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
39,PT08M02.00S,2021-02-21T20:48:10.1Z,1,REGULAR,turnover,lost ball,[],1629627,,,1610612740,11,7,2021-02-21T20:48:14Z,380000,,,0,,Z. Williamson lost ball TURNOVER (2 TO),"[1629627, 1628464]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,2.0,Theis,1628464.0,,,,,,,,
40,PT08M02.00S,2021-02-21T20:48:10.1Z,1,REGULAR,steal,,[],1628464,,,1610612738,11,7,2021-02-21T20:48:13Z,390000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M51.00S,2021-02-21T20:48:24.7Z,1,REGULAR,violation,kicked ball,[],1629627,,,1610612738,11,7,2021-02-21T20:48:30Z,400000,,,0,,Z. Williamson kicked ball VIOLATION,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,1155.0,,,,,,,
42,PT07M41.00S,2021-02-21T20:48:44.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628464,93.51182654402102,46.88265931372549,1610612738,11,9,2021-02-21T20:48:50Z,410000,-16.0,8.0,1,right,D. Theis driving reverse Layup (2 PTS) (J. Brown 2 AST),"[1628464, 1627759]",1610612738.0,BOS,driving reverse,,,Theis,D. Theis,,,,,1.78,Made,2.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,,
43,PT07M29.00S,2021-02-21T20:49:00.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,8.09789750328515,48.59834558823529,1610612740,13,9,2021-02-21T20:49:07Z,420000,7.0,24.0,1,left,Z. Williamson cutting Layup (2 PTS) (E. Bledsoe 2 AST),"[1629627, 202339]",1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,2.46,Made,2.0,E. Bledsoe,202339.0,2.0,,,,,,,,,,,,,,,
45,PT07M29.00S,2021-02-21T20:49:03.1Z,1,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612740,13,9,2021-02-21T20:49:15Z,440000,,,0,,D. Theis shooting personal FOUL (1 PF) (Williamson 1 FT),"[1628464, 1629627]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Williamson,1629627.0,,,
