actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
32,PT08M45.00S,2021-03-18T00:16:07.4Z,1,REGULAR,substitution,out,[],1627759,,,1610612739,4,2,2021-03-18T00:16:20Z,320000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M45.00S,2021-03-18T00:16:07.4Z,1,REGULAR,substitution,in,[],201952,,,1610612739,4,2,2021-03-18T00:16:20Z,330000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M34.00S,2021-03-18T00:16:29.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630171,11.777266754270697,44.921875,1610612739,4,2,2021-03-18T00:18:21Z,340000,25.0,58.0,1,left,MISS I. Okoro 6' driving floating Shot,[1630171],1610612739.0,CLE,driving floating,,,Okoro,I. Okoro,,,,,,,,,,6.35,Missed,,,,,,,,,,,,,,
35,PT08M34.00S,2021-03-18T00:16:29.6Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,4,2,2021-03-18T00:16:33Z,350000,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,34.0,3.0,2.0,1.0,,,,,,,,,,
36,PT08M34.00S,2021-03-18T00:16:34.7Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612739,4,2,2021-03-18T00:16:42Z,360000,,,0,,D. Theis shooting personal FOUL (1 PF) (Allen 2 FT),"[1628464, 1628386]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,1627541.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,,
38,PT08M34.00S,2021-03-18T00:16:55.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628386,,,1610612739,4,2,2021-03-18T00:16:55Z,380000,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Missed,,,,,,,,,,,,,,
39,PT08M34.00S,2021-03-18T00:16:55.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,4,2,2021-03-18T00:16:55Z,390000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,
40,PT08M34.00S,2021-03-18T00:17:10.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628386,,,1610612739,5,2,2021-03-18T00:17:11Z,400000,,,0,,J. Allen Free Throw 2 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
41,PT08M20.00S,2021-03-18T00:17:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,89.43823915900131,36.833639705882355,1610612738,5,2,2021-03-18T00:17:32Z,410000,-66.0,47.0,1,right,MISS J. Tatum 8' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,,,,,,8.07,Missed,,,,,,,,,,,,,,
42,PT08M17.00S,2021-03-18T00:17:29.3Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612739,5,2,2021-03-18T00:17:32Z,420000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:2),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,
