actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
337,PT00M42.70S,2023-04-15T20:41:04.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,6.1268068331143235,53.431372549019606,1610612737,68,44,2023-04-15T20:41:09Z,3350000,False,-17.0,5.0,1,left,J. Collins alley-oop DUNK (12 PTS) (T. Young 4 AST),"[1628381, 1629027]",1610612737.0,ATL,alley-oop,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,1.79,Made,12.0,,,,,,,T. Young,1629027.0,4.0,,,,,
339,PT00M34.70S,2023-04-15T20:41:12.7Z,2,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1629027,,,1610612738,68,44,2023-04-15T20:41:32Z,3370000,False,,,0,,T. Young shooting personal FOUL (1 PF) (White 3 FT),"[1629027, 1628401]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,202049.0,1.0,0.0,White,1628401.0
341,PT00M34.70S,2023-04-15T20:41:48.6Z,2,REGULAR,freethrow,1 of 3,[],1628401,,,1610612738,69,44,2023-04-15T20:41:48Z,3390000,False,,,0,,D. White Free Throw 1 of 3 (14 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,Made,14.0,,,,,,,,,,,,,,
342,PT00M34.70S,2023-04-15T20:42:10.5Z,2,REGULAR,freethrow,2 of 3,[],1628401,,,1610612738,70,44,2023-04-15T20:42:10Z,3400000,False,,,0,,D. White Free Throw 2 of 3 (15 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,Made,15.0,,,,,,,,,,,,,,
343,PT00M34.70S,2023-04-15T20:42:30.6Z,2,REGULAR,freethrow,3 of 3,[],1628401,,,1610612738,71,44,2023-04-15T20:42:30Z,3410000,False,,,0,,D. White Free Throw 3 of 3 (16 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,Made,16.0,,,,,,,,,,,,,,
344,PT00M25.00S,2023-04-15T20:42:46.8Z,2,REGULAR,turnover,out-of-bounds,[],1630180,,,1610612737,71,44,2023-04-15T20:42:52Z,3420000,False,,,0,,S. Bey bad pass out-of-bounds TURNOVER (1 TO),[1630180],1610612737.0,ATL,bad pass,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,1.0,,,,,,,,,,,,,,,202049.0,,,,
345,PT00M25.00S,2023-04-15T20:42:56.1Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,71,44,2023-04-15T20:43:04Z,3430000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT00M25.00S,2023-04-15T20:42:56.1Z,2,REGULAR,substitution,in,[],1630573,,,1610612738,71,44,2023-04-15T20:43:04Z,3440000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT00M02.90S,2023-04-15T20:43:28.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,68.41327201051249,72.79411764705883,1610612738,74,44,2023-04-15T20:43:49Z,3450000,False,114.0,244.0,1,right,J. Tatum 26' 3PT pullup (21 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,26.97,Made,21.0,,,,,,,,,,,,,,
348,PT00M00.00S,2023-04-15T20:43:42.1Z,2,REGULAR,period,end,[],0,,,1610612737,74,44,2023-04-15T20:43:42Z,3460000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT12M00.00S,2023-04-15T20:59:11.7Z,3,REGULAR,substitution,out,['startperiod'],1630573,,,1610612737,74,44,2023-04-15T20:59:23Z,3470000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
350,PT12M00.00S,2023-04-15T20:59:11.7Z,3,REGULAR,substitution,out,['startperiod'],1630180,,,1610612737,74,44,2023-04-15T20:59:23Z,3480000,False,,,0,,SUB out: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
351,PT12M00.00S,2023-04-15T20:59:11.7Z,3,REGULAR,substitution,in,['startperiod'],1627759,,,1610612737,74,44,2023-04-15T20:59:23Z,3490000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
352,PT12M00.00S,2023-04-15T20:59:11.7Z,3,REGULAR,substitution,in,['startperiod'],1629631,,,1610612737,74,44,2023-04-15T20:59:23Z,3500000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
353,PT12M00.00S,2023-04-15T20:59:32.7Z,3,REGULAR,period,start,[],0,,,1610612738,74,44,2023-04-15T20:59:32Z,3510000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,PT11M45.00S,2023-04-15T20:59:47.3Z,3,REGULAR,3pt,Jump Shot,[],201143,33.590670170827856,43.872549019607845,1610612738,74,44,2023-04-15T20:59:53Z,3520000,False,31.0,263.0,1,left,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,26.51,Missed,,,,,,,,,,,,,,,
355,PT11M44.00S,2023-04-15T20:59:48.3Z,3,REGULAR,rebound,defensive,[],1629631,,,1610612737,74,44,2023-04-15T20:59:53Z,3530000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,,,,,354.0,1.0,1.0,0.0,,,,,,,,,,
357,PT11M22.00S,2023-04-15T21:00:34.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,87.46714848883047,47.05882352941176,1610612737,74,44,2023-04-15T21:00:53Z,3550000,False,-15.0,65.0,1,right,MISS J. Collins 6' driving Layup - blocked,"[1628381, 203935]",1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,6.69,Missed,,,,,,Smart,203935.0,,,,,,,,
358,PT11M22.00S,2023-04-15T21:00:34.2Z,3,REGULAR,block,,[],203935,,,1610612737,74,44,2023-04-15T21:00:37Z,3560000,False,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
359,PT11M21.00S,2023-04-15T21:00:35.2Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612738,74,44,2023-04-15T21:00:53Z,3570000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,357.0,,,,,,,,,,,,,
361,PT11M00.00S,2023-04-15T21:00:59.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203935,8.623521681997373,46.568627450980394,1610612738,76,44,2023-04-15T21:01:03Z,3590000,False,17.0,29.0,1,left,M. Smart cutting Layup (10 PTS) (D. White 4 AST),"[203935, 1628401]",1610612738.0,BOS,cutting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,3.34,Made,10.0,,,,,,,D. White,1628401.0,4.0,,,,,
363,PT10M43.00S,2023-04-15T21:01:15.8Z,3,REGULAR,2pt,Jump Shot,[],1629631,89.43823915900131,21.813725490196077,1610612737,76,46,2023-04-15T21:01:22Z,3610000,False,-141.0,47.0,1,right,D. Hunter 14' pullup Jump Shot (2 PTS) (T. Young 5 AST),"[1629631, 1629027]",1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Left,,,,14.85,Made,2.0,,,,,,,T. Young,1629027.0,5.0,,,,,
365,PT10M32.00S,2023-04-15T21:01:27.1Z,3,REGULAR,2pt,Jump Shot,[],1627759,22.946780551905388,51.470588235294116,1610612738,76,46,2023-04-15T21:01:30Z,3630000,False,-7.0,163.0,1,left,MISS J. Brown 16' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,16.34,Missed,,,,,,,,,,,,,,,
